EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,11.81,11.81,11.81,11.81,1317
1,11.86,12.02,11.85,11.89,6651
2,12,12.1134,11.9205,11.9205,4747
3,11.83,12,11.75,12,5130
4,11.5789,11.76,11.55,11.76,2724
5,11.49,11.61,11.38,11.6,4200
6,11.3363,11.51,11.3363,11.5,536
7,11.31,11.34,11.1,11.34,9025
8,11.34,11.34,11.2,11.326,1399
9,11.2952,11.34,11.25,11.25,2600
10,11.3,11.305,11.25,11.27,4188
11,11.1901,11.2549,11.1901,11.2549,3220
12,11.21,11.2977,11.1898,11.1898,1280
13,11.25,11.25,11.2,11.22,2295
14,11.18,11.18,11.18,11.18,400
15,11.22,11.23,11.18,11.2,3345
16,11.34,11.34,11.2094,11.2094,1568
17,11.24,11.24,11.24,11.24,333
18,11.29,11.29,11.29,11.29,700
19,11.244,11.34,11.244,11.32,5700
20,11.22,11.2972,11.22,11.24,1100
21,11.23,11.27,11.22,11.27,1700
22,11.27,11.27,11.25,11.25,300
24,11.09,11.2361,11.09,11.23,4962
25,11.16,11.16,11.12,11.12,1100
27,11.13,11.17,11.1021,11.17,1915
28,11.15,11.15,11.1,11.12,2087
29,11.13,11.13,11.13,11.13,100
30,11.18,11.18,11.1,11.1078,1800
31,11.1691,11.196,11.1691,11.196,2300
32,11.1958,11.1958,11.09,11.1488,2381
34,11.17,11.17,11.12,11.12,900
35,11.2,11.2,11.1631,11.1631,2700
36,11.2596,11.29,11.2,11.2,1684
37,11.18,11.22,11.1,11.21,3886
38,11.12,11.16,11.1,11.15,2428
39,11.15,11.29,11.07,11.09,10343
144,11.15,11.2,11.15,11.2,2152
145,11.072,11.1,10.93,11.1,5666
146,10.98,11,10.98,11,400
148,11.095,11.095,11.095,11.095,400
149,11.12,11.15,11.06,11.09,700
150,11.2,11.2,11.12,11.12,400
151,11.21,11.3,11.15,11.24,4800
152,11.38,11.389,11.26,11.28,2600
153,11.31,11.36,11.2701,11.2701,2900
154,11.4,11.4,11.34,11.38,4275
155,11.4931,11.499,11.3986,11.3986,4966
156,11.595,11.595,11.44,11.5,4697
157,11.61,11.71,11.61,11.64,1977
158,11.79,11.79,11.5701,11.5701,374
159,11.78,11.78,11.78,11.78,100
160,11.832,11.85,11.78,11.78,3572
161,11.75,11.83,11.74,11.83,2884
162,11.6726,11.75,11.6276,11.75,1150
163,11.8,11.8,11.67,11.67,3050
164,11.7,11.85,11.67,11.85,2100
165,11.72,11.8,11.66,11.71,5645
166,11.76,11.7786,11.71,11.71,3840
167,11.87,11.91,11.76,11.76,6264
168,11.8501,11.9,11.8501,11.9,600
169,11.9203,11.9203,11.9,11.9,300
170,11.85,11.85,11.85,11.85,100
171,11.91,11.91,11.75,11.75,3372
172,11.99,11.99,11.9,11.91,2303
173,12.25,12.25,12,12,5112
174,12.25,12.4,12.25,12.25,3457
175,12.1875,12.3309,12.1501,12.3309,1580
176,12.2481,12.2481,12.2481,12.2481,200
178,12.25,12.3,12.1501,12.1501,2700
179,12.24,12.24,12.201,12.201,1800
180,12.2291,12.2291,12.05,12.2,6126
181,12.25,12.25,11.9201,12.24,628
182,11.91,12.035,11.91,11.9706,3200
183,11.92,12.16,11.77,12.16,9554
288,11.78,11.8,11.78,11.8,3699
289,11.7349,11.8,11.53,11.79,3212
290,12.08,12.16,11.8,11.8,2303
291,12.2412,12.2412,12.2412,12.2412,400
292,11.9856,12.01,11.92,12.01,3349
293,11.94,11.94,11.94,11.94,300
294,12.16,12.29,12.09,12.09,10600
295,12.15,12.15,12.14,12.14,699
297,12.3,12.3,12.1744,12.1744,2257
298,12.17,12.35,12.17,12.35,2500
299,12.21,12.21,12.2,12.2,350
300,12.03,12.0301,12.03,12.0301,1600
301,12.17,12.17,12.03,12.03,300
302,11.96,11.96,11.96,11.96,1000
303,12,12.011,12,12.011,1800
305,12,12,11.97,11.97,1500
306,11.81,11.95,11.81,11.95,1144
307,11.92,11.92,11.79,11.8226,6165
311,11.8872,11.8872,11.8025,11.8025,310
313,11.87,11.87,11.87,11.87,100
314,11.8019,11.898,11.79,11.81,700
315,11.8598,11.8598,11.8598,11.8598,200
316,11.98,11.98,11.815,11.91,300
319,11.81,11.9,11.81,11.9,600
322,11.83,11.83,11.83,11.83,290
324,11.84,11.84,11.84,11.84,142
325,11.78,11.8145,11.78,11.81,566
326,11.78,11.79,11.78,11.79,2225
327,11.87,11.87,11.73,11.84,2975
432,11.89,11.89,11.89,11.89,2317
433,11.56,11.92,11.55,11.92,2295
434,11.4734,11.61,11.41,11.55,2968
435,11.59,11.59,11.585,11.585,500
436,11.5448,11.5448,11.5448,11.5448,1000
437,11.68,11.71,11.68,11.71,300
439,11.5028,11.611,11.5028,11.59,1181
440,11.5,11.5,11.5,11.5,483
441,11.4201,11.4214,11.41,11.4214,1300
443,11.46,11.46,11.42,11.42,200
444,11.62,11.62,11.62,11.62,100
446,11.63,11.63,11.63,11.63,100
449,11.5645,11.5645,11.5645,11.5645,160
451,11.5,11.5,11.48,11.5,700
452,11.4111,11.4111,11.4111,11.4111,600
453,11.411,11.411,11.411,11.411,100
455,11.44,11.44,11.44,11.44,300
456,11.3988,11.44,11.3988,11.44,1595
457,11.33,11.41,11.33,11.41,1955
458,11.25,11.32,11.25,11.32,1800
459,11.1678,11.26,11.1678,11.25,1100
460,11.25,11.26,11.25,11.25,3100
461,11.27,11.27,11.25,11.25,1499
463,11.3665,11.3665,11.3665,11.3665,100
466,11.5,11.5,11.44,11.44,600
467,11.49,11.49,11.49,11.49,100
468,11.4773,11.4773,11.4773,11.4773,1305
469,11.53,11.53,11.53,11.53,200
470,11.35,11.4768,11.35,11.4768,213
471,11.4,11.4399,11.37,11.37,7722
864,11.33,11.33,11.33,11.33,1070
866,11.33,11.33,11.2862,11.2862,993
867,11.32,11.33,11.2695,11.33,2000
868,11.33,11.33,11.33,11.33,100
869,11.15,11.24,11.11,11.22,4098
870,11.2184,11.2184,11.2184,11.2184,100
871,11.2,11.2208,11.2,11.2208,1100
872,11.25,11.25,11.25,11.25,100
873,11.29,11.33,11.29,11.33,600
874,11.2662,11.2662,11.2662,11.2662,175
875,11.1,11.33,11.1,11.33,1400
876,11.14,11.15,11,11.14,2965
877,11.0466,11.0466,11.0466,11.0466,400
878,11.02,11.1756,11.02,11.03,1174
879,11.14,11.14,11.01,11.0651,1900
880,11.03,11.03,11.01,11.02,400
881,11,11.0631,11,11.03,800
882,11.01,11.1,11.01,11.01,600
884,11,11.0594,11,11,1100
885,11.043,11.043,11.01,11.01,200
886,10.98,11.0225,10.98,11,700
887,11.0301,11.0629,10.97,11,650
888,10.7,11.01,10.57,11.01,10052
889,10.7679,10.7679,10.7679,10.7679,103
890,11.01,11.01,10.88,10.89,2000
891,11,11,10.99,10.99,700
893,10.88,10.9899,10.88,10.9899,3600
894,10.9,10.99,10.9,10.95,2100
895,10.83,10.98,10.81,10.98,2920
896,10.905,10.92,10.8,10.8,1400
897,10.9,10.9203,10.86,10.9203,521
898,10.74,10.95,10.74,10.95,6120
900,10.8425,10.85,10.74,10.75,1892
902,11.02,11.05,10.94,10.94,2076
903,11.02,11.05,10.93,11.05,17860
a1493731800,11.04,11.04,11.04,11.04,3201
1,11.3001,11.3001,11.3001,11.3001,400
2,10.7862,10.7862,10.6637,10.6637,500
3,11.2684,11.2684,10.84,10.84,2800
4,10.76,11.0703,10.76,11,4320
5,10.6952,10.81,10.6952,10.8,5017
6,10.8764,10.8764,10.8332,10.8332,266
7,10.73,10.8,10.7,10.8,8900
8,10.81,10.81,10.691,10.691,1200
9,10.83,10.84,10.8,10.8,1500
10,10.878,10.878,10.77,10.77,346
11,10.82,10.82,10.77,10.77,300
12,10.81,10.8895,10.81,10.8895,306
13,10.8712,10.8875,10.82,10.8875,674
14,10.82,10.8875,10.82,10.82,300
15,10.65,10.8,10.65,10.8,2594
16,10.7,10.75,10.7,10.74,4600
17,10.76,10.76,10.74,10.74,500
18,10.78,10.78,10.65,10.78,1700
20,10.5176,10.625,10.33,10.611,9683
