EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,172.81,172.91,172.81,172.91,24093
1,172.79,172.99,172.65,172.82,29351
2,172.66,172.94,172.66,172.83,38601
3,172.66,172.81,172.5,172.65,46813
4,172.82,172.87,172.55,172.665,43622
5,172.9451,173.04,172.85,172.85,19823
6,172.8,172.93,172.74,172.91,25230
7,172.675,172.85,172.63,172.8134,38304
8,172.58,172.7,172.2999,172.67,64394
9,172.55,172.61,172.43,172.55,29484
10,172.52,172.63,172.47,172.55,20173
11,172.54,172.54,172.43,172.53,17589
12,172.61,172.68,172.53,172.53,13276
13,172.56,172.644,172.52,172.61,16088
14,172.63,172.67,172.49,172.57,21984
15,172.7,172.72,172.62,172.6383,10873
16,172.61,172.7,172.6,172.7,12545
17,172.73,172.75,172.5777,172.62,9140
18,172.585,172.73,172.58,172.73,13343
19,172.3436,172.58,172.29,172.56,34508
20,172.4367,172.47,172.33,172.33,20112
21,172.56,172.61,172.42,172.4201,12101
22,172.73,172.75,172.54,172.54,13712
23,172.73,172.75,172.66,172.71,15877
24,172.65,172.74,172.645,172.74,22945
25,172.72,172.76,172.62,172.64,18484
26,172.79,172.82,172.67,172.7066,19444
27,172.83,172.85,172.75,172.81,11138
28,172.81,172.86,172.76,172.83,11700
29,172.83,172.89,172.8,172.8499,9064
30,172.8109,172.88,172.79,172.86,12951
31,172.9109,172.95,172.81,172.83,13271
32,172.95,172.98,172.86,172.91,14068
33,172.64,172.94,172.63,172.94,39843
34,172.71,172.7367,172.58,172.66,55771
35,172.71,172.73,172.64,172.69,32546
36,172.65,172.74,172.57,172.7075,41499
37,172.62,172.72,172.55,172.65,27938
38,172.66,172.72,172.59,172.59,36871
39,172.68,172.72,172.6,172.66,165733
144,178.13,178.13,178.01,178.05,91895
145,175.8,178.27,175.53,178.01,414382
146,176.1,176.4,175.72,175.82,203896
147,175.55,176.12,175.42,176.12,169420
148,175.925,176.16,175.52,175.53,153084
149,175.63,176.02,175.63,175.925,113004
150,175.93,175.93,175.62,175.63,112328
151,176.17,176.35,175.83,175.93,101974
152,176.07,176.38,176.07,176.18,97434
153,176.38,176.38,176.02,176.06,70367
154,176.105,176.38,176.04,176.37,48833
155,176.25,176.25,175.92,176.1083,93870
156,176.8899,176.95,176.25,176.25,81663
157,176.4,176.879,176.35,176.879,83560
158,175.9,176.39,175.88,176.37,74323
159,176.24,176.32,175.9,175.9,67008
160,176.1904,176.31,176.19,176.234,35369
161,176.4,176.45,176.19,176.19,31699
162,176.6,176.62,176.3115,176.39,42197
163,176.645,176.67,176.55,176.59,40416
164,176.86,176.87,176.64,176.645,47197
165,177.24,177.24,176.87,176.87,61313
166,177.36,177.36,177.1,177.22,44532
167,177.31,177.42,177.27,177.35,46544
168,177.3758,177.5,177.31,177.32,47191
169,177.49,177.54,177.325,177.3897,57144
170,177.43,177.55,177.3,177.51,73276
171,177.26,177.47,177.26,177.42,39416
172,177.25,177.27,177.0836,177.26,39598
173,177.38,177.49,177.26,177.27,69948
174,177.492,177.54,177.34,177.37,49231
175,177.43,177.54,177.4,177.48,55436
176,177.29,177.52,177.24,177.4117,100286
177,177.39,177.48,177.19,177.3095,71085
178,177.31,177.41,177.29,177.38,46332
179,177.13,177.31,177.11,177.3,52407
180,177.08,177.13,176.9401,177.11,124151
181,176.93,177.18,176.91,177.09,180074
182,176.79,177.02,176.75,176.93,109473
183,176.8,176.99,176.77,176.8,358761
288,177.32,177.32,177.32,177.32,28017
289,176.786,177.32,176.7,177.2,69000
290,176.6,176.85,176.4198,176.84,73432
291,176.52,176.73,176.52,176.59,26632
292,176.6289,176.77,176.51,176.51,27362
293,176.63,176.86,176.62,176.6731,28578
294,176.829,176.86,176.6,176.64,30144
295,176.97,176.99,176.72,176.8,28651
296,176.8,177.04,176.8,176.96,22711
297,176.825,176.89,176.7598,176.81,49904
298,177.01,177.2,176.82,176.82,45882
299,177.07,177.13,176.98,176.983,12675
300,177.06,177.11,177.01,177.06,44205
301,176.96,177.09,176.901,177.03,34782
302,176.8798,176.98,176.79,176.94,36730
303,176.798,176.94,176.75,176.8864,43854
304,176.8427,176.87,176.795,176.795,30382
305,176.83,176.85,176.79,176.83,20865
306,176.82,176.92,176.79,176.81,44963
307,176.9274,176.94,176.79,176.82,23913
308,176.82,177.03,176.82,176.93,28030
309,176.97,176.99,176.77,176.815,55955
310,177.15,177.15,176.91,176.96,68461
311,177.14,177.16,177.03,177.14,63440
312,177.267,177.29,177.1199,177.155,23110
313,177.37,177.37,177.26,177.26,18522
314,177.3999,177.55,177.22,177.35,77856
315,177.39,177.47,177.31,177.4,56575
316,177.23,177.445,177.19,177.39,54436
317,177.56,177.57,177.21,177.23,41921
318,177.6064,177.64,177.54,177.55,26250
319,177.75,177.76,177.5416,177.6,40079
320,177.6,177.79,177.6,177.76,37959
321,177.38,177.61,177.38,177.61,21273
322,177.15,177.36,177.11,177.36,44307
323,177.17,177.25,177.15,177.155,36777
324,177.19,177.25,177.12,177.1601,33898
325,177.27,177.28,177.1834,177.19,26551
326,177.325,177.37,177.24,177.251,19007
327,177.45,177.67,177.28,177.355,311043
432,178.04,178.07,177.95,178.07,43433
433,177.185,178.07,176.93,178.07,49250
434,177.18,177.2221,177.05,177.14,45304
435,177.27,177.38,177.12,177.175,25995
436,177.37,177.39,177.09,177.285,28516
437,177.5748,177.68,177.34,177.37,40596
438,177.38,177.57,177.35,177.56,36117
439,177.33,177.415,177.24,177.36,34439
440,177.16,177.352,177.16,177.34,27790
441,177.18,177.325,177.075,177.15,74400
442,177.14,177.229,177.1,177.19,29600
443,177.11,177.18,177.07,177.12,36340
444,177.19,177.191,177.1,177.1,16948
445,177.23,177.2456,177.13,177.2,22490
446,177.42,177.45,177.22,177.25,34308
447,177.54,177.54,177.36,177.41,55075
448,177.46,177.62,177.44,177.52,31104
449,177.5,177.55,177.45,177.455,23750
450,177.537,177.59,177.4201,177.49,29210
451,177.33,177.57,177.3,177.55,25088
452,177.275,177.43,177.275,177.325,30031
453,177.4,177.42,177.27,177.29,24275
454,177.44,177.5,177.385,177.4,25186
455,177.315,177.43,177.3,177.4204,31039
456,177.44,177.4551,177.28,177.315,34827
457,177.35,177.48,177.35,177.43,41089
458,177.36,177.38,177.29,177.37,36154
459,177.51,177.54,177.35,177.35,40143
460,177.62,177.6401,177.47,177.5,37557
461,177.645,177.68,177.609,177.62,58437
462,177.71,177.73,177.63,177.645,31267
463,177.8,177.81,177.7117,177.72,23790
464,177.905,177.92,177.8,177.8,26949
465,177.6,177.95,177.6,177.905,43763
466,177.59,177.6235,177.53,177.6,37191
467,177.48,177.609,177.47,177.59,31171
468,177.35,177.47,177.35,177.47,59416
469,177.42,177.52,177.35,177.35,52580
470,177.4154,177.457,177.35,177.4101,35993
471,177.52,177.62,177.42,177.44,381271
864,178.41,178.5,178.41,178.5,44308
865,177.64,178.4899,177.33,178.2701,200542
866,177.51,177.68,177.45,177.5728,63848
867,177.6,177.93,177.52,177.53,61166
868,177.83,177.85,177.5,177.58,52321
869,178.0947,178.15,177.7899,177.85,44079
870,178.01,178.11,177.9083,178.095,34921
871,178.13,178.149,178,178.03,30049
872,178.223,178.23,178.025,178.1283,54508
873,178.26,178.32,178.16,178.225,50422
874,178.245,178.27,178.14,178.27,41474
875,178.33,178.34,178.22,178.24,27088
876,178.395,178.41,178.31,178.33,46826
877,178.34,178.4,178.17,178.39,90513
878,178.37,178.41,178.25,178.335,41152
879,178.31,178.42,178.237,178.3746,43769
880,178.32,178.33,178.25,178.31,26995
881,178.2454,178.33,178.2,178.31,33031
882,178.3125,178.34,178.22,178.2407,46654
883,178.27,178.35,178.235,178.31,61630
884,178.29,178.35,178.259,178.27,28536
885,178.32,178.36,178.18,178.3,86852
886,178.32,178.36,178.19,178.315,37497
887,178.28,178.325,178.24,178.31,29354
888,178.3,178.33,178.25,178.29,32089
889,178.265,178.42,178.251,178.31,31014
890,178.24,178.29,178.21,178.26,37880
891,178.34,178.34,178.21,178.24,41839
