EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493132400,3.7358,3.7358,3.7358,3.7358,400
2,3.6644,3.6644,3.6325,3.6325,500
24,3.5864,3.5864,3.5864,3.5864,320
30,3.5,3.51,3.5,3.51,842
146,3.8,3.8,3.624,3.624,925
147,3.83,3.98,3.6584,3.82,15821
148,3.91,3.91,3.7,3.84,3900
149,3.835,3.9135,3.55,3.9135,4500
150,3.8547,3.86,3.8547,3.86,200
151,3.5536,3.69,3.52,3.56,1800
154,3.6,3.6,3.6,3.6,100
158,3.77,3.77,3.77,3.77,600
160,3.812,3.812,3.77,3.77,200
161,3.8,3.8,3.77,3.77,1500
163,3.88,3.88,3.8789,3.8789,200
165,3.878,3.878,3.878,3.878,160
167,3.8,3.8,3.8,3.8,100
168,3.8499,3.8499,3.77,3.79,879
169,3.68,3.77,3.68,3.77,1100
174,3.6,3.686,3.6,3.63,2700
279,3.63,3.63,3.63,3.63,104
280,3.7799,3.7799,3.7799,3.7799,500
282,3.78,3.78,3.78,3.78,300
283,3.81,3.81,3.81,3.81,100
289,3.69,3.69,3.69,3.69,100
296,3.6,3.6,3.6,3.6,100
302,3.57,3.57,3.57,3.57,100
312,3.5893,3.5893,3.5893,3.5893,700
318,3.58,3.58,3.58,3.58,100
430,3.5075,3.5075,3.5075,3.5075,100
432,3.5,3.55,3.5,3.521,1315
436,3.5,3.5,3.5,3.5,258
453,3.51,3.51,3.51,3.51,100
462,3.43,3.43,3.43,3.43,221
857,3.45,3.45,3.45,3.45,200
859,3.4231,3.4231,3.4231,3.4231,919
862,3.38,3.38,3.38,3.38,100
863,3.4,3.4,3.38,3.38,1500
864,3.4,3.4,3.4,3.4,411
873,3.38,3.38,3.38,3.38,200
874,3.38,3.38,3.38,3.38,100
880,3.39,3.39,3.39,3.39,100
881,3.39,3.39,3.39,3.39,100
890,3.3882,3.3882,3.3882,3.3882,145
894,3.46,3.46,3.4,3.4,600
a1493733600,3.5,3.5,3.42,3.47,914
6,3.5,3.5,3.5,3.5,100
13,3.41,3.47,3.41,3.47,498
16,3.4001,3.55,3.4,3.4067,3652
18,3.3227,3.3227,3.3227,3.3227,1380
25,3.33,3.35,3.33,3.34,843
34,3.38,3.49,3.38,3.49,200
35,3.42,3.42,3.42,3.42,100
147,3.64,3.64,3.64,3.64,100
148,3.59,3.59,3.59,3.59,100
160,3.46,3.47,3.46,3.47,400
180,3.32,3.34,3.32,3.34,605
296,3.3234,3.3235,3.32,3.3235,2000
302,3.32,3.32,3.32,3.32,200
304,3.32,3.32,3.32,3.32,200
313,3.33,3.33,3.33,3.33,100
315,3.4347,3.4347,3.32,3.33,1200
320,3.33,3.33,3.33,3.33,500
321,3.33,3.33,3.33,3.33,100
323,3.32,3.33,3.32,3.33,800
324,3.32,3.32,3.32,3.32,100
439,3.32,3.32,3.32,3.32,500
440,3.3552,3.3552,3.3552,3.3552,480
441,3.39,3.39,3.38,3.38,1500
463,3.3412,3.3412,3.3412,3.3412,264
464,3.345,3.345,3.345,3.345,200
466,3.3352,3.3352,3.3352,3.3352,150
467,3.32,3.32,3.32,3.32,300
468,3.32,3.33,3.32,3.32,1500
863,3.32,3.33,3.32,3.33,324
868,3.414,3.414,3.414,3.414,900
870,3.39,3.4,3.39,3.4,200
871,3.39,3.4,3.39,3.4,200
874,3.519,3.519,3.519,3.519,125
884,3.33,3.33,3.33,3.33,100
887,3.39,3.39,3.39,3.39,100
890,3.4,3.4,3.4,3.4,100
893,3.4,3.4,3.4,3.4,100
896,3.38,3.38,3.38,3.38,200
897,3.372,3.372,3.34,3.34,200
900,3.33,3.34,3.33,3.34,258
a1494336600,3.29,3.29,3.29,3.29,903
1,3.49,3.49,3.47,3.47,200
3,3.49,3.49,3.48,3.48,400
10,3.25,3.34,3.25,3.34,2160
15,3.28,3.28,3.26,3.26,600
16,3.37,3.38,3.37,3.38,203
21,3.23,3.24,3.23,3.24,300
24,3.3752,3.3752,3.3552,3.36,3425
25,3.35,3.35,3.35,3.35,200
26,3.3,3.3,3.3,3.3,100
31,3.25,3.25,3.25,3.25,100
32,3.34,3.34,3.34,3.34,327
34,3.34,3.34,3.21,3.21,6200
37,3.33,3.33,3.33,3.33,100
39,3.33,3.43,3.33,3.39,1421
145,3.46,3.46,3.46,3.46,100
148,3.46,3.46,3.46,3.46,100
151,3.35,3.48,3.34,3.46,700
157,3.4092,3.41,3.407,3.41,899
159,3.3501,3.3535,3.35,3.35,1400
160,3.31,3.3688,3.31,3.35,4904
161,3.33,3.33,3.32,3.32,600
165,3.41,3.42,3.41,3.41,400
177,3.36,3.38,3.36,3.36,1011
180,3.31,3.31,3.31,3.31,100
182,3.32,3.3299,3.3134,3.3134,5500
183,3.32,3.33,3.32,3.33,300
289,3.49,3.49,3.47,3.47,400
291,3.45,3.45,3.45,3.45,100
293,3.42,3.42,3.42,3.42,100
296,3.2176,3.45,3.2176,3.44,1449
303,3.45,3.46,3.45,3.45,1401
309,3.4,3.4,3.4,3.4,100
314,3.4,3.4176,3.4,3.4176,600
320,3.49,3.49,3.49,3.49,600
327,3.5,3.5,3.39,3.39,300
452,3.35,3.35,3.34,3.34,1098
453,3.47,3.47,3.35,3.35,400
454,3.35,3.49,3.35,3.48,900
459,3.3,3.3,3.3,3.3,100
462,3.5,3.5,3.48,3.5,360
463,3.596,3.596,3.596,3.596,105
469,3.5,3.52,3.5,3.52,2100
471,3.59,3.59,3.59,3.59,200
864,3.65,3.65,3.65,3.65,1000
865,3.79,3.79,3.75,3.75,500
867,3.6637,3.6637,3.6637,3.6637,100
869,3.6575,3.6855,3.6575,3.67,1700
870,3.77,3.77,3.75,3.75,200
873,3.78,3.78,3.78,3.78,100
875,3.73,3.73,3.73,3.73,100
876,3.78,3.78,3.78,3.78,300
884,3.76,3.76,3.76,3.76,100
887,3.79,3.79,3.78,3.78,400
888,3.73,3.73,3.73,3.73,100
898,3.74,3.74,3.73,3.73,200
899,3.65,3.65,3.65,3.65,105
902,3.72,3.72,3.71,3.71,400
903,3.78,3.79,3.75,3.78,4795
a1494942000,3.79,3.79,3.79,3.79,100
2,3.79,3.79,3.79,3.79,100
3,3.75,3.75,3.75,3.75,100
5,3.67,3.74,3.67,3.74,200
6,3.66,3.73,3.66,3.73,200
7,3.72,3.72,3.72,3.72,100
23,3.7,3.7,3.7,3.7,900
38,3.79,3.79,3.79,3.79,100
167,3.69,3.69,3.69,3.69,100
168,3.69,3.69,3.69,3.69,100
170,3.71,3.71,3.71,3.71,200
171,3.6555,3.6955,3.65,3.69,874
175,3.65,3.65,3.65,3.65,100
182,3.58,3.58,3.58,3.58,100
322,3.5661,3.5661,3.55,3.55,550
323,3.5501,3.5501,3.55,3.55,3880
324,3.55,3.55,3.55,3.55,100
325,3.57,3.59,3.57,3.57,300
326,3.58,3.5864,3.57,3.57,1565
432,3.357,3.357,3.34,3.34,400
864,3.03,3.06,3.03,3.06,524
886,3.5805,3.5805,3.5805,3.5805,150
894,3.5607,3.5607,3.5607,3.5607,645
895,3.542,3.542,3.542,3.542,115
897,3.55,3.55,3.55,3.55,100
902,3.45,3.47,3.45,3.47,300
a1495554600,3.4403,3.4403,3.4403,3.4403,1000
25,3.3991,3.3991,3.3991,3.3991,120
139,3.335,3.335,3.335,3.335,500
147,3.3,3.33,3.3,3.33,1700
279,3.7,3.7,3.7,3.7,100
296,3.24,3.24,3.24,3.24,567
303,3.25,3.25,3.25,3.25,100
418,3.21,3.21,3.21,3.21,200
419,3.2916,3.2916,3.2916,3.2916,700
423,3.2,3.2,3.2,3.2,300
425,3.1745,3.1745,3.1745,3.1745,700
442,3.16,3.16,3.16,3.16,1200
447,3.17,3.17,3.17,3.17,100
448,3.15,3.15,3.15,3.15,400
449,3.17,3.17,3.17,3.17,2426
450,3.143,3.143,3.143,3.143,1000
455,3.17,3.17,3.17,3.17,900
456,3.28,3.28,3.28,3.28,100
994,2.76,2.76,2.76,2.76,2966
998,3.56,3.59,3.56,3.59,1900
999,3.4855,3.49,3.2955,3.45,1487
