EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,2.54,2.58,2.54,2.58,2885
1,2.604,2.61,2.5701,2.59,13431
2,2.63,2.63,2.61,2.61,3800
3,2.6,2.62,2.59,2.62,18036
4,2.6,2.61,2.59,2.6,18914
5,2.5761,2.6,2.545,2.6,19394
6,2.57,2.571,2.56,2.57,5181
7,2.59,2.59,2.565,2.57,8055
8,2.56,2.59,2.56,2.59,10965
9,2.565,2.57,2.56,2.56,4756
10,2.59,2.59,2.58,2.58,2425
11,2.6,2.6,2.58,2.59,6141
12,2.59,2.6,2.59,2.59,6501
13,2.61,2.61,2.585,2.585,9646
14,2.62,2.62,2.61,2.61,4985
15,2.61,2.62,2.59,2.62,27407
16,2.62,2.62,2.605,2.61,1900
17,2.6275,2.63,2.62,2.62,8160
18,2.6,2.62,2.6,2.62,11371
19,2.59,2.6064,2.59,2.6,4488
20,2.6,2.6,2.59,2.59,4901
21,2.61,2.61,2.6,2.6,1600
22,2.6,2.61,2.595,2.6,3876
23,2.6,2.6039,2.6,2.6,2400
24,2.6,2.6,2.59,2.6,2800
25,2.605,2.605,2.59,2.6,3500
26,2.6,2.605,2.6,2.6,2700
27,2.6,2.6,2.59,2.59,3700
28,2.605,2.61,2.59,2.595,1900
29,2.625,2.63,2.6029,2.6029,5840
30,2.62,2.63,2.62,2.62,900
31,2.61,2.63,2.61,2.63,5900
32,2.6,2.62,2.6,2.61,3300
33,2.615,2.62,2.6,2.6,4551
34,2.63,2.63,2.6129,2.62,13576
35,2.62,2.63,2.62,2.63,6266
36,2.605,2.63,2.6,2.63,18935
37,2.605,2.61,2.595,2.6,15521
38,2.61,2.61,2.6,2.605,5547
39,2.61,2.61,2.6,2.61,32170
144,2.6,2.6,2.6,2.6,2183
145,2.58,2.64,2.57,2.57,5617
146,2.5956,2.6028,2.57,2.5939,7729
147,2.61,2.6199,2.59,2.59,2350
148,2.62,2.62,2.6,2.6099,4265
149,2.6,2.6299,2.59,2.6299,13804
150,2.6299,2.63,2.6,2.6,3800
151,2.64,2.64,2.6299,2.63,2300
152,2.65,2.65,2.63,2.64,3645
153,2.6699,2.67,2.6401,2.6401,8187
154,2.63,2.67,2.62,2.67,17496
155,2.625,2.64,2.62,2.63,21126
156,2.63,2.635,2.62,2.62,7651
157,2.63,2.635,2.62,2.6299,4050
158,2.6,2.63,2.59,2.63,7596
159,2.61,2.61,2.595,2.595,3000
160,2.62,2.62,2.605,2.605,1504
161,2.63,2.63,2.62,2.62,2140
162,2.6236,2.63,2.6236,2.63,1168
163,2.63,2.63,2.62,2.62,1100
164,2.6299,2.64,2.61,2.63,26335
165,2.64,2.64,2.6299,2.63,1587
166,2.64,2.64,2.625,2.6399,2484
167,2.64,2.65,2.6399,2.6399,2800
168,2.6399,2.64,2.6399,2.64,1594
169,2.64,2.64,2.63,2.6399,5531
170,2.6375,2.64,2.6375,2.64,700
171,2.64,2.64,2.6301,2.6399,1400
172,2.64,2.64,2.62,2.6399,8469
173,2.62,2.64,2.62,2.64,6699
174,2.64,2.65,2.62,2.63,4423
175,2.64,2.65,2.63,2.6499,4818
176,2.66,2.67,2.64,2.64,17965
177,2.6699,2.67,2.66,2.67,3000
178,2.67,2.67,2.6523,2.665,10866
179,2.68,2.68,2.6616,2.67,10784
180,2.69,2.7,2.665,2.68,29769
181,2.68,2.7,2.675,2.685,7518
182,2.66,2.68,2.65,2.675,13229
183,2.67,2.67,2.655,2.66,68335
288,2.67,2.67,2.67,2.67,2355
289,2.63,2.68,2.63,2.66,3599
290,2.645,2.66,2.62,2.62,2600
291,2.63,2.645,2.63,2.645,452
292,2.59,2.65,2.575,2.65,36808
293,2.58,2.595,2.53,2.59,46544
294,2.55,2.59,2.55,2.59,6200
295,2.57,2.57,2.55,2.555,9084
296,2.59,2.59,2.56,2.57,5832
297,2.59,2.595,2.59,2.59,500
298,2.62,2.62,2.595,2.6,2100
299,2.62,2.62,2.62,2.62,100
300,2.62,2.62,2.62,2.62,200
301,2.62,2.62,2.61,2.62,2801
302,2.63,2.64,2.625,2.63,1400
303,2.625,2.63,2.62,2.63,1500
304,2.63,2.64,2.625,2.625,4356
305,2.65,2.65,2.64,2.64,1500
306,2.605,2.64,2.6,2.63,6292
307,2.615,2.615,2.59,2.6,2561
308,2.64,2.64,2.62,2.62,3000
309,2.635,2.64,2.63,2.63,300
310,2.63,2.64,2.61,2.64,17920
311,2.59,2.625,2.58,2.62,4794
312,2.61,2.61,2.6,2.6,1556
313,2.61,2.62,2.605,2.62,1600
314,2.61,2.62,2.61,2.61,5105
315,2.59,2.605,2.59,2.605,3132
316,2.57,2.59,2.57,2.59,13844
317,2.57,2.58,2.57,2.58,2975
318,2.57,2.58,2.57,2.58,2000
319,2.56,2.6,2.56,2.58,17086
320,2.57,2.58,2.56,2.57,21118
321,2.56,2.57,2.56,2.56,1800
322,2.56,2.565,2.55,2.56,10744
323,2.53,2.56,2.53,2.55,13752
324,2.525,2.53,2.51,2.53,24898
325,2.53,2.54,2.52,2.525,9923
326,2.54,2.545,2.52,2.52,3175
327,2.52,2.545,2.52,2.54,51849
432,2.58,2.58,2.53,2.53,4195
433,2.51,2.56,2.51,2.53,23798
434,2.5,2.52,2.5,2.51,6555
435,2.49,2.52,2.49,2.5,34699
436,2.491,2.5099,2.49,2.49,8978
437,2.455,2.4952,2.45,2.49,33357
438,2.45,2.49,2.45,2.455,29873
439,2.47,2.47,2.45,2.46,7852
440,2.46,2.475,2.455,2.47,15800
441,2.46,2.4625,2.45,2.46,14954
442,2.465,2.4674,2.4532,2.465,12531
443,2.45,2.46,2.45,2.46,8822
444,2.46,2.46,2.45,2.45,1600
445,2.45,2.46,2.45,2.45,2849
446,2.42,2.46,2.42,2.455,50842
447,2.4,2.43,2.4,2.42,27349
448,2.42,2.43,2.4,2.4,17337
449,2.405,2.41,2.4,2.4,5060
450,2.43,2.43,2.415,2.415,7163
451,2.41,2.43,2.405,2.4299,6921
452,2.42,2.42,2.405,2.4199,3188
453,2.43,2.44,2.4113,2.417,11586
454,2.4296,2.43,2.425,2.43,1300
455,2.44,2.44,2.42,2.42,8300
456,2.43,2.43,2.4201,2.43,4000
457,2.425,2.429,2.425,2.425,1100
458,2.425,2.43,2.425,2.43,800
459,2.425,2.43,2.4201,2.425,722
460,2.4275,2.4275,2.42,2.425,1600
461,2.425,2.43,2.42,2.43,1400
462,2.425,2.43,2.42,2.425,2102
463,2.425,2.435,2.42,2.425,4589
464,2.41,2.43,2.41,2.425,9598
465,2.41,2.42,2.41,2.41,2870
466,2.41,2.41,2.405,2.41,3000
467,2.415,2.42,2.415,2.415,1028
468,2.415,2.42,2.415,2.415,3846
469,2.42,2.43,2.42,2.42,10900
470,2.43,2.43,2.41,2.42,11059
471,2.42,2.43,2.41,2.425,65151
864,2.45,2.45,2.45,2.45,3886
865,2.45,2.475,2.4478,2.4525,3855
866,2.44,2.46,2.44,2.45,2143
867,2.44,2.4584,2.43,2.44,10378
868,2.43,2.45,2.43,2.43,3882
869,2.42,2.4399,2.42,2.43,22673
870,2.41,2.4199,2.4,2.4199,7832
871,2.42,2.427,2.4066,2.41,5621
872,2.42,2.42,2.41,2.41,2800
873,2.39,2.42,2.39,2.42,19145
874,2.39,2.3935,2.38,2.38,12812
875,2.385,2.3999,2.38,2.3999,6100
876,2.39,2.39,2.38,2.38,2700
877,2.35,2.4,2.35,2.39,21635
878,2.38,2.38,2.35,2.35,4700
879,2.37,2.38,2.37,2.38,900
880,2.39,2.39,2.37,2.371,8876
881,2.38,2.39,2.38,2.39,1011
882,2.36,2.3711,2.36,2.37,900
883,2.395,2.4,2.37,2.37,9570
884,2.39,2.4,2.38,2.4,10925
885,2.38,2.39,2.365,2.37,3284
886,2.3727,2.39,2.3727,2.39,1350
887,2.39,2.39,2.375,2.375,400
888,2.3885,2.4,2.3885,2.4,12751
889,2.385,2.39,2.38,2.39,2700
890,2.39,2.39,2.38,2.385,9140
891,2.3675,2.39,2.3675,2.38,23758
