EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,7.75,7.75,7.75,7.75,300
1,7.7,7.75,7.7,7.75,200
2,7.7265,7.7265,7.7265,7.7265,1000
3,7.7,7.7,7.7,7.7,100
4,7.72,7.72,7.72,7.72,600
6,7.75,7.75,7.75,7.75,1000
8,7.75,7.75,7.75,7.75,200
12,7.74,7.74,7.7375,7.7375,3500
13,7.7,7.75,7.6998,7.75,2100
20,7.65,7.65,7.65,7.65,100
23,7.7285,7.7285,7.7285,7.7285,500
24,7.65,7.65,7.65,7.65,500
27,7.6,7.6,7.6,7.6,400
29,7.69,7.69,7.69,7.69,1000
30,7.7,7.7,7.7,7.7,300
34,7.7,7.7,7.65,7.65,200
36,7.75,7.75,7.75,7.75,100
38,7.7,7.7,7.7,7.7,200
39,7.65,7.7,7.65,7.7,800
144,7.65,7.65,7.65,7.65,112
145,7.6945,7.6945,7.6945,7.6945,228
147,7.61,7.6176,7.61,7.6176,2275
148,7.75,7.75,7.6,7.6,200
160,7.75,7.75,7.75,7.75,100
173,7.6995,7.6995,7.6995,7.6995,238
174,7.7,7.7,7.7,7.7,100
175,7.6786,7.6786,7.6786,7.6786,1500
176,7.7,7.7,7.6499,7.6499,5585
177,7.75,7.75,7.75,7.75,100
181,7.7,7.725,7.7,7.7,1090
183,7.75,7.75,7.75,7.75,559
288,7.75,7.75,7.75,7.75,411
289,7.75,7.75,7.5827,7.5827,468
290,7.75,7.75,7.75,7.75,100
291,7.75,7.75,7.75,7.75,100
292,7.75,7.75,7.75,7.75,400
293,7.7175,7.75,7.7175,7.75,1500
294,7.75,7.75,7.75,7.75,100
295,7.75,7.75,7.721,7.75,500
296,7.75,7.75,7.75,7.75,100
297,7.75,7.75,7.75,7.75,200
298,7.75,7.75,7.75,7.75,100
299,7.75,7.75,7.75,7.75,300
300,7.75,7.75,7.75,7.75,200
301,7.85,7.85,7.75,7.75,2895
302,7.85,7.85,7.85,7.85,100
303,7.85,7.85,7.85,7.85,100
304,7.85,7.85,7.8478,7.8478,550
305,7.85,7.85,7.85,7.85,100
306,7.85,7.85,7.85,7.85,100
307,7.85,7.85,7.85,7.85,100
308,7.8,7.8,7.8,7.8,1192
310,7.8,7.8,7.8,7.8,100
311,7.8,7.8,7.8,7.8,100
313,7.7851,7.85,7.7851,7.85,600
314,7.8289,7.85,7.8289,7.85,275
315,7.9,7.9,7.9,7.9,200
316,7.9,7.9,7.9,7.9,100
317,7.9,7.9,7.9,7.9,100
318,7.9,7.9,7.9,7.9,100
319,7.9,7.9,7.9,7.9,100
320,7.9,7.9,7.9,7.9,200
321,7.9,7.9,7.9,7.9,100
322,7.9,7.9,7.9,7.9,100
323,7.9,7.9,7.9,7.9,200
324,7.9,7.9,7.9,7.9,200
325,7.9,7.9,7.9,7.9,300
326,7.9,7.9,7.9,7.9,200
327,7.8,7.9,7.8,7.9,1759
432,7.85,7.85,7.85,7.85,984
433,7.9,7.9,7.9,7.9,100
434,7.887,7.887,7.887,7.887,200
435,7.85,7.85,7.85,7.85,200
436,7.8784,7.8784,7.8784,7.8784,755
438,7.7,7.7,7.7,7.7,100
439,7.85,7.85,7.85,7.85,100
441,7.7677,7.7677,7.7177,7.7177,1700
442,7.7,7.7,7.7,7.7,100
447,7.7,7.7,7.7,7.7,100
452,7.8,7.8,7.8,7.8,100
454,7.8,7.8,7.8,7.8,100
455,7.7,7.7,7.7,7.7,100
465,7.7,7.8,7.7,7.8,200
469,7.79,7.79,7.79,7.79,1217
470,7.71,7.8,7.7,7.8,3349
471,7.8,7.8,7.7,7.8,672
864,7.75,7.75,7.75,7.75,850
865,7.65,7.65,7.55,7.65,1673
866,7.6817,7.6817,7.6817,7.6817,1000
867,7.7,7.7,7.7,7.7,100
870,7.65,7.65,7.65,7.65,300
873,7.588,7.588,7.588,7.588,1526
874,7.65,7.65,7.65,7.65,100
875,7.631,7.631,7.631,7.631,500
876,7.6,7.6,7.6,7.6,400
877,7.555,7.59,7.555,7.555,2490
879,7.55,7.5726,7.55,7.5726,332
881,7.59,7.6,7.59,7.6,710
884,7.59,7.59,7.59,7.59,1000
885,7.595,7.595,7.575,7.575,1200
886,7.6,7.6,7.6,7.6,100
888,7.6,7.6,7.6,7.6,200
889,7.5875,7.5875,7.5875,7.5875,122
896,7.5808,7.5808,7.5808,7.5808,2000
897,7.575,7.575,7.575,7.575,143
900,7.6,7.6,7.6,7.6,100
903,7.55,7.575,7.55,7.575,314
a1493731800,7.55,7.55,7.55,7.55,1351
1,7.6,7.6,7.6,7.6,2768
3,7.55,7.55,7.55,7.55,100
6,7.575,7.6,7.555,7.555,1200
7,7.575,7.6,7.575,7.575,2968
8,7.65,7.65,7.575,7.595,3950
10,7.667,7.667,7.667,7.667,700
14,7.6736,7.6736,7.6736,7.6736,200
18,7.68,7.68,7.68,7.68,275
21,7.65,7.65,7.65,7.65,200
22,7.6,7.6,7.6,7.6,597
32,7.65,7.7,7.65,7.7,200
35,7.6,7.6,7.6,7.6,2289
36,7.6,7.6,7.595,7.6,500
39,7.6,7.638,7.55,7.638,1024
144,7.55,7.55,7.55,7.55,500
145,7.6,7.6,7.6,7.6,100
155,7.65,7.65,7.65,7.65,100
168,7.6,7.6182,7.6,7.6182,235
172,7.6,7.645,7.6,7.645,800
177,7.6265,7.65,7.6265,7.65,400
179,7.6,7.6,7.6,7.6,100
182,7.6,7.6,7.6,7.6,500
183,7.6,7.6,7.6,7.6,700
288,7.55,7.55,7.55,7.55,991
289,7.59,7.59,7.59,7.59,400
293,7.6,7.6,7.6,7.6,100
298,7.6,7.6,7.6,7.6,100
302,7.6,7.6,7.6,7.6,200
306,7.65,7.65,7.65,7.65,100
309,7.555,7.555,7.555,7.555,128
321,7.5851,7.5851,7.5851,7.5851,168
322,7.65,7.65,7.6,7.6,300
324,7.65,7.65,7.65,7.65,800
327,7.6,7.6,7.6,7.6,200
432,7.6,7.6,7.6,7.6,337
434,7.6,7.645,7.6,7.645,400
438,7.6,7.6,7.6,7.6,100
439,7.6,7.6,7.6,7.6,100
452,7.65,7.65,7.625,7.625,1984
453,7.65,7.65,7.6,7.6,300
457,7.75,7.75,7.7,7.75,2313
458,7.75,7.77,7.75,7.75,880
459,7.775,7.8,7.775,7.8,1800
462,7.9,7.9,7.8,7.8,3502
463,7.8,7.85,7.8,7.85,535
466,7.851,7.851,7.851,7.851,295
467,7.7982,7.8,7.75,7.8,899
468,7.75,7.75,7.75,7.75,100
471,7.85,7.85,7.8,7.8,440
865,7.75,7.75,7.75,7.75,510
875,7.85,7.85,7.85,7.85,419
876,7.8405,7.95,7.8405,7.95,300
879,7.9,7.9,7.9,7.9,150
891,7.9,7.9,7.9,7.9,100
900,7.85,7.85,7.85,7.85,200
901,7.85,7.8953,7.85,7.8953,250
902,7.85,7.85,7.85,7.85,300
903,7.8,7.825,7.8,7.825,288
a1494336600,7.8,7.8,7.8,7.8,132
1,7.8922,7.9,7.89,7.895,1270
5,8.05,8.05,7.9383,7.945,8471
11,7.942,7.942,7.942,7.942,200
13,7.9,7.9,7.9,7.9,100
20,7.9485,7.9485,7.9485,7.9485,300
21,8,8.045,7.995,7.995,1813
26,7.9179,7.9179,7.9179,7.9179,100
32,7.9,7.9,7.9,7.9,200
33,7.9,8,7.9,7.95,1760
34,8.02,8.02,8.02,8.02,500
35,7.9219,7.9219,7.9219,7.9219,400
39,7.95,8,7.905,7.905,1560
147,7.85,8,7.85,8,1100
153,7.8954,7.8954,7.8954,7.8954,519
155,7.9382,7.95,7.9382,7.945,1324
168,7.9,7.9,7.9,7.9,100
171,7.9,7.9,7.9,7.9,200
172,7.9,7.9,7.9,7.9,100
173,7.95,7.95,7.95,7.95,100
176,7.85,7.85,7.85,7.85,100
181,7.8718,7.8718,7.8718,7.8718,200
292,7.95,7.95,7.95,7.95,100
294,7.875,7.8947,7.875,7.8947,420
310,7.91,7.91,7.91,7.91,980
314,8,8.05,7.9921,8,6092
320,8,8,8,8,258
321,7.942,7.942,7.942,7.942,500
