EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,38.37,38.37,38.37,38.37,1042
1,38.52,38.55,37.685,37.685,2700
2,38.375,38.405,38.31,38.405,2500
3,38.3,38.41,38.3,38.395,1900
4,38.25,38.3,38.21,38.295,6630
5,38.2,38.26,38.2,38.26,854
6,38.25,38.275,38.19,38.21,3200
7,38.3,38.31,38.25,38.27,14791
8,38.3,38.43,38.27,38.32,3900
9,38.3,38.38,38.3,38.33,3320
10,38.39,38.39,38.31,38.31,2500
11,38.43,38.43,38.37,38.39,600
12,38.455,38.47,38.42,38.44,1900
13,38.44,38.46,38.415,38.42,2396
14,38.55,38.55,38.44,38.44,1600
15,38.62,38.62,38.52,38.55,2700
16,38.56,38.62,38.54,38.62,1700
17,38.52,38.55,38.47,38.55,1600
18,38.48,38.56,38.48,38.52,2300
19,38.42,38.45,38.38,38.45,900
20,38.41,38.41,38.385,38.41,4300
21,38.29,38.43,38.29,38.43,2303
22,38.33,38.33,38.26,38.26,700
23,38.3,38.36,38.3,38.35,1300
24,38.24,38.38,38.22,38.34,2500
25,38.29,38.29,38.26,38.28,500
26,38.21,38.29,38.21,38.26,2511
27,38.22,38.26,38.22,38.24,700
28,38.17,38.22,38.17,38.22,600
29,38.21,38.24,38.2,38.23,2300
30,38.24,38.26,38.22,38.24,3122
31,38.16,38.28,38.16,38.265,2100
32,38.15,38.2,38.06,38.16,2465
33,38.09,38.17,38.09,38.12,1084
34,38.12,38.13,38.1,38.12,1306
35,38.16,38.16,38.11,38.115,9079
36,38.18,38.2,38.16,38.16,3513
37,38.17,38.18,38.16,38.18,1796
38,38.1,38.2,38.08,38.18,7100
39,38.12,38.17,38.08,38.1,26540
144,38.16,38.16,38.16,38.16,1003
145,38.15,38.15,38.05,38.05,200
146,38.1,38.12,37.98,38.05,1000
147,38.04,38.11,38.04,38.11,600
149,38.06,38.06,38.02,38.02,600
150,38.0975,38.11,38.05,38.07,3200
151,38.05,38.13,38.01,38.13,2000
152,38.07,38.07,38.04,38.06,1800
153,38.02,38.1,37.99,38.06,9306
154,37.98,38.06,37.98,38.05,900
155,38.05,38.05,37.985,38,1600
156,38.135,38.16,38.03,38.04,4600
157,38.17,38.19,38.135,38.135,2184
158,38.13,38.17,38.035,38.17,5745
159,38.285,38.29,38.115,38.125,11410
160,38.26,38.28,38.25,38.28,7700
161,38.21,38.26,38.17,38.26,4800
162,38.2,38.23,38.19,38.215,3100
163,38.22,38.225,38.155,38.2,2800
164,38.175,38.245,38.17,38.225,7000
165,38.25,38.25,38.19,38.19,1900
166,38.27,38.28,38.255,38.255,6300
167,38.255,38.28,38.25,38.27,2800
168,38.285,38.3,38.22,38.24,1800
169,38.28,38.29,38.25,38.28,6500
170,38.205,38.28,38.2,38.28,3030
171,38.17,38.235,38.17,38.205,4200
172,38.205,38.22,38.14,38.14,3300
173,38.21,38.225,38.205,38.22,2814
174,38.23,38.245,38.185,38.185,4200
175,38.26,38.27,38.226,38.226,3570
176,38.29,38.3,38.265,38.265,4714
177,38.275,38.31,38.27,38.295,4551
178,38.26,38.28,38.23,38.26,8749
179,38.25,38.28,38.24,38.26,11990
180,38.28,38.29,38.21,38.24,1900
181,38.25,38.31,38.25,38.28,8839
182,38.2,38.275,38.17,38.25,13279
183,38.19,38.23,38.15,38.2,45234
288,38.28,38.33,38.28,38.33,1477
289,38.37,38.425,38.37,38.38,800
290,38.34,38.38,38.28,38.31,1700
291,38.24,38.34,38.24,38.34,400
292,38.28,38.35,38.28,38.35,2340
293,38.29,38.31,38.249,38.3,4600
294,38.28,38.28,38.28,38.28,200
295,38.35,38.35,38.28,38.31,900
296,38.29,38.36,38.29,38.36,1156
297,38.29,38.3,38.23,38.27,1800
298,38.29,38.29,38.26,38.29,700
299,38.26,38.28,38.26,38.26,500
300,38.24,38.26,38.23,38.26,500
301,38.23,38.25,38.23,38.23,600
302,38.21,38.22,38.21,38.22,500
303,38.21,38.22,38.19,38.22,600
304,38.25,38.31,38.21,38.21,4903
305,38.24,38.28,38.24,38.28,300
306,38.2,38.28,38.19,38.26,2400
307,38.1477,38.2,38.1477,38.2,356
308,38.28,38.28,38.2,38.22,900
309,38.3,38.3,38.25,38.28,2300
310,38.25,38.26,38.25,38.25,400
311,38.24,38.305,38.23,38.3,1600
312,38.26,38.26,38.26,38.26,100
313,38.23,38.265,38.21,38.25,1500
314,38.24,38.24,38.24,38.24,300
315,38.26,38.28,38.26,38.28,1000
316,38.2,38.285,38.2,38.25,2500
317,38.18,38.205,38.17,38.18,2000
318,38.18,38.2,38.18,38.18,1400
319,38.21,38.21,38.18,38.18,1100
320,38.17,38.21,38.17,38.19,1500
321,38.13,38.18,38.09,38.18,2600
322,38.09,38.13,38.09,38.13,3300
323,38.13,38.13,38.08,38.08,1800
324,38.08,38.14,38.05,38.13,8251
325,38.16,38.17,38.1,38.1,3066
326,38.17,38.22,38.15,38.17,5583
327,38.19,38.21,38.04,38.13,52111
432,38.26,38.26,38.26,38.26,1083
433,38.06,38.3475,37.99,38.25,2100
434,38.035,38.08,37.975,38.03,1700
435,37.95,38.05,37.88,38,1900
436,37.84,37.95,37.81,37.95,2750
437,37.79,37.83,37.76,37.81,2500
438,37.715,37.79,37.698,37.79,1900
439,37.6775,37.72,37.675,37.72,2100
440,37.7,37.71,37.69,37.69,500
441,37.7,37.7,37.67,37.67,600
442,37.63,37.68,37.63,37.68,2110
443,37.67,37.67,37.605,37.6175,4600
444,37.625,37.65,37.585,37.63,1300
445,37.5,37.62,37.5,37.62,1400
446,37.51,37.51,37.47,37.51,5356
447,37.48,37.51,37.48,37.51,2551
448,37.5,37.51,37.48,37.49,4100
449,37.51,37.51,37.49,37.5,3758
450,37.53,37.53,37.5,37.51,1800
451,37.54,37.55,37.525,37.55,400
452,37.58,37.61,37.525,37.525,2800
453,37.55,37.6025,37.55,37.58,2100
454,37.57,37.59,37.565,37.57,1700
455,37.515,37.56,37.515,37.55,1500
456,37.53,37.53,37.51,37.52,1100
457,37.55,37.5625,37.525,37.54,2400
458,37.545,37.545,37.545,37.545,400
459,37.5275,37.56,37.5275,37.56,2100
460,37.51,37.535,37.51,37.535,1500
461,37.505,37.52,37.5,37.52,2313
462,37.515,37.53,37.5,37.53,1268
463,37.51,37.53,37.5,37.515,3687
464,37.54,37.54,37.505,37.53,2364
465,37.52,37.55,37.52,37.525,3797
466,37.57,37.57,37.51,37.51,1502
467,37.605,37.62,37.6,37.61,6403
468,37.58,37.61,37.58,37.605,4399
469,37.5,37.58,37.5,37.58,7400
470,37.51,37.52,37.49,37.5,10038
471,37.51,37.54,37.47,37.52,45955
864,37.76,37.76,37.76,37.76,4043
865,37.615,37.77,37.615,37.77,500
866,37.54,37.65,37.54,37.65,1742
867,37.42,37.49,37.38,37.49,2000
868,37.39,37.42,37.39,37.39,600
869,37.5,37.52,37.37,37.37,700
870,37.4,37.515,37.38,37.515,1500
871,37.415,37.46,37.41,37.41,2100
872,37.47,37.47,37.43,37.435,300
873,37.46,37.475,37.41,37.44,1200
874,37.49,37.51,37.48,37.49,1800
875,37.5,37.535,37.48,37.49,5400
876,37.53,37.53,37.47,37.48,1100
877,37.46,37.53,37.45,37.53,2035
878,37.585,37.61,37.465,37.465,3100
879,37.65,37.65,37.5,37.56,2801
880,37.57,37.67,37.55,37.67,8244
881,37.53,37.5999,37.5,37.5999,2764
882,37.51,37.565,37.5,37.565,3400
883,37.525,37.525,37.49,37.52,3699
884,37.49,37.515,37.49,37.51,800
885,37.51,37.51,37.45,37.47,1815
886,37.49,37.54,37.46,37.525,5314
887,37.53,37.55,37.48,37.49,2500
888,37.5,37.53,37.47,37.53,5438
889,37.49,37.51,37.47,37.51,2300
890,37.54,37.6,37.5,37.5,17535
891,37.55,37.58,37.5,37.55,11334
892,37.59,37.62,37.506,37.57,5400
893,37.55,37.62,37.5,37.6,11754
894,37.515,37.57,37.515,37.534,4900
895,37.505,37.55,37.49,37.505,8180
896,37.48,37.51,37.46,37.49,9500
897,37.5197,37.55,37.45,37.46,9023
