EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,13.69,13.69,13.69,13.69,14324
1,13.62,13.75,13.57,13.7,55845
2,13.77,13.77,13.62,13.63,14423
3,13.8301,13.87,13.73,13.761,33473
4,13.78,13.83,13.76,13.83,28638
5,13.67,13.79,13.67,13.79,27756
6,13.665,13.7099,13.665,13.68,7774
7,13.6599,13.7,13.64,13.675,13890
8,13.68,13.68,13.61,13.65,15460
9,13.74,13.74,13.67,13.68,17550
10,13.79,13.8,13.725,13.74,55701
11,13.86,13.87,13.79,13.79,13070
12,13.79,13.86,13.79,13.85,7997
13,13.78,13.81,13.77,13.8035,5868
14,13.7844,13.79,13.77,13.77,5190
15,13.8,13.81,13.75,13.78,11600
16,13.85,13.86,13.8,13.8025,15661
17,13.8553,13.8553,13.8301,13.85,4645
18,13.84,13.85,13.83,13.85,7100
19,13.82,13.8316,13.8016,13.83,1200
20,13.81,13.82,13.79,13.814,20944
21,13.84,13.84,13.8,13.81,3800
22,13.83,13.85,13.82,13.83,6063
23,13.86,13.86,13.84,13.84,6410
24,13.85,13.865,13.85,13.86,16020
25,13.8493,13.85,13.835,13.85,3784
26,13.84,13.86,13.83,13.84,6664
27,13.831,13.85,13.82,13.85,7437
28,13.8511,13.86,13.82,13.83,15576
29,13.95,13.95,13.85,13.85,67774
30,13.98,14,13.95,13.95,39347
31,13.97,13.9737,13.95,13.9737,8400
32,13.934,13.9799,13.92,13.979,15476
33,13.9,13.9301,13.89,13.93,8904
34,13.89,13.9,13.88,13.895,16605
35,13.91,13.91,13.87,13.89,22146
36,13.897,13.91,13.897,13.9,13987
37,13.895,13.91,13.89,13.89,10550
38,13.91,13.92,13.88,13.89,35559
39,13.93,13.93,13.89,13.915,109319
144,13.92,13.92,13.92,13.92,8477
145,13.92,13.96,13.88,13.9,15724
146,13.89,13.92,13.862,13.92,5800
147,14,14.03,13.9,13.9,58321
148,14.14,14.14,14,14.0199,46152
149,14.15,14.18,14.11,14.13,59559
150,14.25,14.26,14.15,14.1597,52021
151,14.27,14.31,14.25,14.26,36120
152,14.162,14.33,14.16,14.27,39290
153,14.145,14.2,14.05,14.18,100747
154,14.1,14.18,14.1,14.15,46183
155,14.11,14.14,14.07,14.0916,39179
156,14.07,14.13,14.07,14.12,32716
157,14.015,14.07,14.01,14.06,23292
158,14.02,14.11,14,14.025,87259
159,14.05,14.06,13.99,14.01,26201
160,14.12,14.12,14.03,14.04,37876
161,14.095,14.16,14.09,14.12,43873
162,14.07,14.1,14.06,14.1,38682
163,14.08,14.08,14.05,14.07,23202
164,14.06,14.08,14.05,14.0753,8580
165,14.07,14.08,14.05,14.06,17534
166,13.99,14.06,13.99,14.06,26901
167,13.98,13.99,13.95,13.98,28592
168,13.94,13.99,13.94,13.99,11046
169,13.97,13.97,13.92,13.94,13533
170,13.95,14,13.92,13.9701,21856
171,13.95,13.98,13.94,13.95,10524
172,13.93,13.945,13.89,13.945,11720
173,13.91,13.92,13.89,13.92,28029
174,13.88,13.96,13.88,13.915,41303
175,13.91,13.92,13.871,13.871,30317
176,13.91,13.93,13.9,13.91,12747
177,13.9,13.92,13.895,13.91,7180
178,13.93,13.93,13.89,13.89,8700
179,13.945,13.95,13.93,13.93,8472
180,13.92,13.95,13.9,13.9497,48435
181,13.94,13.95,13.91,13.915,39216
182,13.945,13.95,13.925,13.94,47474
183,13.97,13.97,13.92,13.95,176572
288,14.01,14.01,14.01,14.01,15560
289,13.9262,14,13.9101,14,10520
290,14.02,14.02,13.88,13.94,34283
291,13.94,14.08,13.92,14.02,32535
292,13.91,14,13.91,13.93,11494
293,13.82,13.92,13.81,13.9,44788
294,13.58,13.81,13.58,13.81,100612
295,13.6601,13.67,13.57,13.58,42679
296,13.65,13.72,13.65,13.67,9687
297,13.7,13.7,13.65,13.65,6667
298,13.74,13.7458,13.7065,13.7065,14200
299,13.765,13.8,13.74,13.74,35397
300,13.76,13.7901,13.75,13.77,16325
301,13.76,13.77,13.73,13.76,14599
302,13.7,13.7584,13.69,13.7584,13405
303,13.65,13.69,13.6487,13.69,10780
304,13.66,13.7,13.64,13.65,11038
305,13.68,13.6934,13.67,13.69,6000
306,13.695,13.695,13.66,13.68,3463
307,13.68,13.73,13.68,13.7,17950
308,13.705,13.71,13.69,13.69,6100
309,13.72,13.725,13.68,13.71,12437
310,13.73,13.74,13.71,13.73,12586
311,13.7,13.75,13.68,13.74,17138
312,13.69,13.71,13.68,13.7,4250
313,13.74,13.74,13.69,13.69,3860
314,13.75,13.7633,13.74,13.75,17880
315,13.73,13.76,13.68,13.74,60371
316,13.71,13.73,13.695,13.725,13699
317,13.7,13.71,13.68,13.7061,21230
318,13.69,13.71,13.68,13.69,6330
319,13.79,13.79,13.7,13.7,6850
320,13.795,13.8031,13.775,13.79,26972
321,13.745,13.8,13.74,13.79,27860
322,13.705,13.75,13.69,13.75,30876
323,13.681,13.701,13.67,13.701,28832
324,13.66,13.71,13.65,13.681,38636
325,13.67,13.69,13.66,13.665,41993
326,13.69,13.69,13.65,13.67,28707
327,13.68,13.71,13.67,13.68,162599
432,13.72,13.72,13.72,13.72,4112
433,13.45,13.758,13.42,13.72,72415
434,13.4,13.5,13.39,13.44,67758
435,13.2,13.4,13.19,13.4,85548
436,13.33,13.4058,13.2,13.205,53974
437,13.3838,13.3838,13.34,13.34,11804
438,13.36,13.4,13.35,13.38,16051
439,13.36,13.43,13.355,13.36,28649
440,13.2365,13.37,13.23,13.36,42039
441,13.12,13.24,13.05,13.23,53461
442,13.127,13.15,13.1,13.13,17355
443,13.08,13.12,13.04,13.12,13348
444,13.125,13.15,13.08,13.09,24469
445,13.13,13.16,13.1,13.1398,11716
446,13.05,13.14,13.04,13.12,15641
447,13.06,13.08,13.05,13.0728,8601
448,13.06,13.11,13.06,13.07,19818
449,13.03,13.075,13.02,13.075,12216
450,13.0007,13.06,12.99,13.04,33915
451,12.9901,13.03,12.98,13.0076,21579
452,13.07,13.07,12.99,13.0098,40807
453,13.05,13.08,13.05,13.0624,19493
454,13.07,13.0763,13.06,13.06,2700
455,13.0751,13.09,13.07,13.07,7807
456,13.08,13.09,13.06,13.0799,15234
457,13.095,13.1,13.08,13.08,6972
458,13.13,13.14,13.09,13.09,11351
459,13.11,13.18,13.11,13.14,11553
460,13.16,13.18,13.11,13.12,8234
461,13.13,13.16,13.12,13.16,7130
462,13.14,13.16,13.12,13.14,6652
463,13.16,13.18,13.13,13.14,7937
464,13.17,13.19,13.14,13.15,4502
465,13.09,13.19,13.08,13.19,29643
466,13.1,13.1,13.07,13.1,9170
467,13.08,13.1,13.05,13.1,17514
468,13.07,13.1125,13.06,13.08,29051
469,13.09,13.09,13.03,13.06,31991
470,13.13,13.15,13.07,13.09,84637
471,13.3,13.31,13.12,13.14,493230
864,13.36,13.36,13.36,13.36,8299
865,13.36,13.42,13.2743,13.42,26439
866,13.4,13.48,13.36,13.3804,19780
867,13.25,13.36,13.25,13.36,9525
868,13.28,13.31,13.18,13.25,23514
869,13.3,13.32,13.25,13.25,5426
870,13.14,13.28,13.12,13.28,27906
871,13.26,13.27,13.16,13.16,10074
872,13.29,13.299,13.26,13.26,5700
873,13.24,13.29,13.22,13.29,9318
874,13.26,13.26,13.23,13.24,7881
875,13.2545,13.26,13.22,13.255,9847
876,13.29,13.29,13.22,13.25,7367
877,13.28,13.2998,13.25,13.2998,6208
878,13.28,13.3,13.26,13.28,20489
879,13.29,13.29,13.26,13.28,4700
880,13.27,13.29,13.26,13.28,13311
881,13.26,13.28,13.26,13.27,5687
882,13.22,13.265,13.22,13.265,16000
883,13.21,13.24,13.205,13.22,48901
884,13.22,13.235,13.21,13.215,16375
885,13.24,13.24,13.17,13.215,13200
886,13.205,13.225,13.2,13.225,16563
887,13.2,13.23,13.2,13.205,25403
888,13.21,13.22,13.2,13.2,7600
889,13.18,13.2,13.17,13.2,9447
890,13.1863,13.19,13.16,13.18,9794
891,13.19,13.21,13.18,13.1899,11530
892,13.12,13.19,13.12,13.185,35786
