EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,18.51,18.51,18.51,18.51,257
1,18.69,18.71,18.36,18.62,7795
2,18.8069,18.96,18.7,18.7,3785
3,18.905,18.92,18.9,18.9,1741
4,18.99,19,18.92,18.92,1988
5,19,19,18.92,18.92,1000
6,18.93,18.94,18.93,18.94,500
7,18.77,18.83,18.77,18.83,600
8,18.63,18.7,18.63,18.7,700
9,18.6,18.6,18.58,18.58,300
10,18.6,18.61,18.58,18.61,1500
11,18.49,18.7,18.49,18.68,3500
12,18.66,18.67,18.48,18.53,28694
13,18.66,18.66,18.62,18.63,700
14,18.62,18.67,18.61,18.66,5300
15,18.64,18.64,18.6,18.6,800
16,18.66,18.66,18.66,18.66,300
17,18.65,18.66,18.63,18.63,700
18,18.72,18.72,18.66,18.66,2141
19,18.6825,18.6825,18.6825,18.6825,100
20,18.69,18.69,18.65,18.665,500
21,18.7,18.735,18.69,18.71,1300
22,18.7,18.7,18.69,18.69,536
23,18.6,18.69,18.6,18.69,900
24,18.5,18.59,18.475,18.59,4500
25,18.57,18.57,18.465,18.465,1100
27,18.6,18.6,18.6,18.6,100
28,18.59,18.59,18.54,18.54,300
29,18.57,18.6,18.57,18.6,800
30,18.58,18.58,18.58,18.58,100
31,18.6,18.6,18.59,18.59,200
32,18.52,18.57,18.52,18.57,1400
33,18.52,18.52,18.52,18.52,500
34,18.55,18.55,18.49,18.49,1700
35,18.5,18.52,18.5,18.52,1100
36,18.48,18.48,18.465,18.465,1462
37,18.44,18.48,18.44,18.48,2629
38,18.41,18.455,18.39,18.4401,3490
39,18.35,18.42,18.29,18.4,19579
144,18.44,18.44,18.44,18.44,586
146,18.61,18.61,18.55,18.58,2299
147,18.66,18.66,18.64,18.64,200
148,18.74,18.74,18.65,18.66,600
149,18.76,18.76,18.76,18.76,3400
150,18.9,18.96,18.76,18.76,2200
151,18.8,18.9,18.78,18.9,700
152,18.82,18.82,18.82,18.82,100
153,18.94,18.94,18.84,18.84,700
155,18.92,18.96,18.92,18.94,2215
156,18.97,18.97,18.91,18.94,2400
157,19,19,19,19,100
158,18.98,18.98,18.96,18.96,18100
159,19,19,18.9,18.92,1100
160,18.98,19.03,18.98,19,400
161,18.99,19.06,18.99,18.99,1400
162,19.01,19.01,18.98,18.98,400
163,18.99,19.01,18.99,18.99,300
164,19.01,19.04,18.97,19.01,900
165,19.02,19.07,19.02,19.05,700
166,19.055,19.055,19.02,19.03,1663
167,19.04,19.04,19.02,19.02,500
168,19.02,19.04,19.02,19.04,300
169,19.01,19.03,19,19.01,3300
170,18.95,19.015,18.95,19.015,400
171,18.97,18.97,18.94,18.94,300
172,18.91,19.015,18.9,18.9,2000
173,18.93,18.95,18.92,18.935,600
174,18.9,18.96,18.9,18.93,1200
175,18.91,18.94,18.9,18.91,3900
176,18.98,18.98,18.9,18.9,3300
177,19.02,19.02,18.94,18.99,1565
178,19.08,19.08,19.01,19.01,900
179,19.11,19.11,19.08,19.11,600
180,19.175,19.175,19.08,19.11,1300
181,19.12,19.15,19.12,19.15,1500
182,19.03,19.13,19.02,19.1,3700
183,19.04,19.05,19.02,19.03,35098
288,19.13,19.13,19.13,19.13,122
289,17.71,18.88,17.71,18.88,200
290,18.97,19.28,18.8175,19.28,6500
291,18.87,19.03,18.87,18.985,700
292,18.84,18.87,18.81,18.855,1300
293,18.95,18.96,18.95,18.96,300
294,18.92,18.97,18.92,18.97,400
296,18.91,18.99,18.9075,18.93,3900
297,18.92,18.92,18.89,18.89,1100
298,18.96,18.96,18.91,18.94,1000
299,19.07,19.07,18.94,18.96,1100
301,19.05,19.05,19.05,19.05,100
302,19.1,19.1,19.06,19.06,200
303,19.15,19.17,19.09,19.09,700
304,19.13,19.13,19.13,19.13,300
305,19.19,19.19,19.13,19.13,400
306,19.21,19.21,19.21,19.21,100
307,19.18,19.18,19.15,19.17,700
308,19.18,19.18,19.16,19.16,400
309,19.14,19.18,19.14,19.18,300
310,19.16,19.16,19.16,19.16,100
311,19.18,19.18,19.18,19.18,100
313,19.1,19.17,19.1,19.17,454
314,18.99,18.99,18.99,18.99,300
315,18.98,19.02,18.98,19.02,200
317,19,19.06,19,19.02,500
318,18.99,18.99,18.99,18.99,100
319,19,19,18.96,18.96,400
322,18.99,18.99,18.99,18.99,100
323,19.04,19.04,18.99,19.01,500
324,19.05,19.05,18.98,19.015,3500
325,19.08,19.2,19.07,19.07,4747
326,19.13,19.13,19.06,19.09,1600
327,19.1,19.15,19.1,19.15,7305
432,19,19,19,19,900
434,18.98,18.98,18.97,18.97,200
435,18.92,18.99,18.87,18.95,1000
437,18.99,18.99,18.8901,18.95,4300
438,18.75,18.99,18.75,18.99,4294
439,18.75,18.8,18.75,18.8,300
441,18.8201,18.84,18.82,18.82,300
443,18.74,18.79,18.67,18.72,800
444,18.6,18.78,18.6,18.78,7500
445,18.5,18.6,18.5,18.57,4300
446,18.4,18.59,18.33,18.51,3495
447,18.45,18.46,18.45,18.46,200
448,18.54,18.57,18.38,18.48,22800
449,18.54,18.54,18.54,18.54,100
450,18.89,18.89,18.57,18.6,5957
451,18.79,18.89,18.71,18.89,11127
452,18.65,18.75,18.64,18.75,8500
453,18.65,18.65,18.64,18.65,400
454,18.7,18.7,18.65,18.65,200
456,18.72,18.72,18.72,18.72,200
458,18.78,18.8,18.78,18.8,300
459,18.87,18.88,18.82,18.83,700
460,18.89,18.89,18.85,18.85,1500
461,18.84,18.84,18.83,18.84,400
463,18.81,18.81,18.81,18.81,100
464,18.88,18.88,18.84,18.845,1600
465,18.865,18.865,18.84,18.84,400
466,18.905,18.92,18.9,18.9,900
467,18.92,18.93,18.89,18.9,1600
468,18.82,18.91,18.82,18.91,4510
469,18.74,18.83,18.69,18.8222,5220
470,18.73,18.74,18.61,18.74,9172
471,18.79,18.84,18.73,18.73,25134
864,18.91,18.91,18.91,18.91,1146
865,18.96,19.22,18.92,19.2,18100
866,18.84,18.92,18.79,18.79,2740
868,18.77,18.81,18.76,18.76,700
869,18.75,18.76,18.72,18.76,600
870,18.68,18.78,18.68,18.78,200
871,18.77,18.77,18.71,18.71,200
873,18.54,18.75,18.53,18.735,5800
874,18.67,18.67,18.54,18.55,27266
875,18.67,18.69,18.62,18.66,4000
876,18.66,18.67,18.64,18.67,600
877,18.63,18.66,18.63,18.66,1700
878,18.61,18.61,18.61,18.61,100
879,18.68,18.68,18.65,18.68,1400
880,18.67,18.67,18.67,18.67,600
881,18.73,18.73,18.73,18.73,100
882,18.78,18.78,18.74,18.74,200
883,18.73,18.79,18.72,18.79,800
884,18.74,18.78,18.74,18.77,500
885,18.78,18.78,18.68,18.69,1208
887,18.81,18.83,18.81,18.82,400
888,18.85,18.91,18.84,18.84,3881
889,18.79,18.84,18.77,18.84,2358
890,18.84,18.84,18.72,18.72,4500
891,18.84,18.84,18.825,18.825,800
892,18.825,18.85,18.825,18.85,500
893,18.83,18.87,18.83,18.87,483
894,18.76,18.85,18.76,18.85,2157
895,18.77,18.77,18.77,18.77,100
896,18.71,18.74,18.64,18.71,1061
897,18.69,18.715,18.69,18.715,200
898,18.73,18.73,18.73,18.73,100
900,18.78,18.78,18.78,18.78,100
901,18.64,18.8,18.64,18.8,1427
902,18.7,18.7,18.63,18.63,1146
903,18.61,18.7,18.61,18.7,6488
a1493731800,18.67,18.67,18.67,18.67,1047
3,18.72,18.73,18.72,18.73,200
4,18.75,18.8,18.72,18.72,7100
5,18.75,18.75,18.73,18.73,600
6,18.74,18.78,18.74,18.76,900
7,18.75,18.78,18.67,18.78,1900
8,18.79,18.79,18.79,18.79,100
9,18.765,18.765,18.73,18.765,3200
10,18.74,18.74,18.7,18.72,1919
11,18.82,18.82,18.79,18.79,500
12,18.93,18.93,18.84,18.84,400
13,18.95,18.97,18.95,18.95,500
15,18.91,18.91,18.91,18.91,100
16,18.9,18.91,18.9,18.91,200
17,18.89,18.89,18.88,18.88,200
18,18.88,18.88,18.88,18.88,100
19,18.88,18.88,18.87,18.88,300
20,18.89,18.905,18.89,18.905,300
