EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,15.5,15.5,15.5,15.5,9270
1,15.5,15.6,15.25,15.475,53778
2,15.3,15.55,15.25,15.55,41471
3,15.375,15.475,15.3,15.3,18875
4,15.425,15.5,15.35,15.375,19320
5,15.425,15.45,15.4,15.45,22037
6,15.425,15.5,15.4,15.425,13659
7,15.475,15.5,15.4,15.45,31278
8,15.475,15.5,15.425,15.5,12550
9,15.5,15.5,15.45,15.475,16547
10,15.525,15.55,15.4635,15.5,26519
11,15.58,15.6,15.525,15.55,32243
12,15.625,15.65,15.55,15.575,23838
13,15.7,15.7,15.6,15.65,79160
14,15.8,15.8,15.675,15.7,30016
15,15.85,15.925,15.75,15.78,36713
16,15.775,15.875,15.75,15.85,15456
17,15.8,15.85,15.75,15.775,27963
18,15.725,15.85,15.7,15.85,15732
19,15.75,15.75,15.7,15.75,16742
20,15.75,15.75,15.7,15.725,6200
21,15.75,15.8,15.7,15.75,12489
22,15.725,15.8,15.7,15.775,12975
23,15.775,15.8,15.725,15.75,10145
24,15.8,15.8,15.775,15.8,6452
25,15.8,15.8,15.75,15.775,4100
26,15.8,15.825,15.75,15.8,14678
27,15.725,15.85,15.7,15.85,24196
28,15.775,15.775,15.7,15.75,26791
29,15.775,15.8,15.75,15.8,6300
30,15.8,15.8,15.75,15.775,9901
31,15.75,15.775,15.7,15.775,14263
32,15.725,15.75,15.7,15.725,3915
33,15.75,15.75,15.7,15.7,12069
34,15.775,15.8,15.725,15.75,25966
35,15.775,15.8,15.75,15.775,12943
36,15.9,16,15.75,15.8,67197
37,15.95,15.95,15.9,15.9286,18140
38,15.95,15.95,15.9,15.95,22188
39,15.95,15.95,15.9,15.925,100246
144,15.95,15.95,15.95,15.95,4007
145,15.85,16.05,15.8,16,27455
146,16,16,15.76,15.9,19795
147,16.15,16.175,16.025,16.05,18910
148,16.125,16.2,16.105,16.15,15737
149,16.1,16.15,16,16.125,13820
150,16.025,16.15,16,16.1,20478
151,16.1,16.1,16,16.025,14300
152,16.1,16.1,16.025,16.075,9751
153,16.125,16.15,16.05,16.05,25537
154,16.125,16.15,16.1,16.15,10110
155,16.125,16.15,16.075,16.15,18196
156,16.15,16.15,16.1,16.125,19239
157,16.175,16.2,16.125,16.15,39719
158,16.125,16.2,16.05,16.175,38763
159,16.125,16.15,16.125,16.125,9642
160,16.15,16.15,16.055,16.125,13923
161,16.125,16.15,16.11,16.15,25510
162,16.15,16.15,16.1,16.15,13929
163,16.15,16.2,16.15,16.15,11880
164,16.175,16.2,16.15,16.15,3743
165,16.175,16.2,16.15,16.2,9144
166,16.2,16.225,16.15,16.175,19186
167,16.2,16.225,16.175,16.2,14830
168,16.25,16.275,16.195,16.2,25349
169,16.3,16.3,16.25,16.25,11420
170,16.4,16.4,16.275,16.3,18712
171,16.4,16.4,16.37,16.37,8439
172,16.4,16.4,16.375,16.4,3100
173,16.45,16.45,16.4,16.4,17671
174,16.45,16.46,16.4,16.45,18784
175,16.5,16.5,16.42,16.4349,8295
176,16.5249,16.55,16.475,16.5,18746
177,16.575,16.6,16.5247,16.55,23729
178,16.6,16.65,16.55,16.575,24369
179,16.8,16.8,16.55,16.65,40364
180,16.8,16.8,16.7,16.8,36860
181,16.78,16.85,16.75,16.775,22868
182,16.775,16.825,16.7,16.8,82180
183,16.9,16.9,16.75,16.775,310510
288,16.95,16.95,16.95,16.95,5544
289,16.8,17.2,16.5497,17,40188
290,16.675,16.85,16.45,16.755,44287
291,16.875,16.9,16.675,16.7,24047
292,16.725,16.9,16.6,16.875,38800
293,16.8,16.85,16.75,16.75,7815
294,16.85,16.9,16.75,16.755,19603
295,16.9726,17,16.81,16.825,11404
296,17.025,17.05,16.9185,16.95,14898
297,16.95,17.025,16.925,17,15443
298,17,17.05,16.945,17,13702
299,16.975,17.05,16.95,17.005,8376
300,17,17.05,16.95,16.975,27901
301,16.95,17.05,16.95,16.975,38657
302,17.05,17.05,16.9665,16.975,40087
303,16.977,17.05,16.95,17.05,30740
304,17,17,16.95,17,5500
305,17.05,17.05,16.95,16.975,19509
306,17.025,17.05,17.025,17.05,4289
307,16.8,17.05,16.8,17.025,41616
308,16.8177,16.85,16.8,16.8,11800
309,16.77,16.8248,16.7499,16.8248,15394
310,16.8,16.8,16.75,16.775,4712
311,16.8,16.8,16.775,16.8,1954
312,16.85,16.85,16.8,16.8,8256
313,16.825,16.85,16.75,16.825,9122
314,16.825,16.85,16.825,16.825,1373
315,16.825,16.85,16.8,16.8,2600
316,16.85,16.85,16.8,16.825,4458
317,16.825,16.85,16.775,16.8249,11106
318,16.9,16.9,16.8,16.85,10700
319,17,17,16.86,16.875,36215
320,17,17,16.95,17,10900
321,16.9,17,16.9,16.9887,21202
322,16.925,16.95,16.9,16.9,7087
323,17,17,16.925,16.925,18084
324,16.95,17.05,16.95,16.975,53502
325,16.89,16.95,16.825,16.95,27417
326,17,17,16.85,16.875,22227
327,17,17,16.95,16.975,161033
432,15.8,15.95,15.8,15.95,18795
433,16.425,16.5,15,15.85,58043
434,16.4,16.6,16.1,16.425,31963
435,15.8,16.4496,15.75,16.4,78019
436,16.025,16.1,15.75,15.85,59872
437,16.05,16.1,16,16.05,15651
438,16.25,16.3,16.1,16.1,13912
439,16.275,16.3,16.15,16.25,13580
440,16.25,16.3,16.2,16.275,17682
441,16.25,16.25,16.2,16.25,30891
442,16.15,16.3,16,16.225,40082
443,16.225,16.25,16.125,16.125,25743
444,16.4,16.4,16.2,16.25,44515
445,16.45,16.45,16.4,16.45,6500
446,16.475,16.5,16.405,16.425,13049
447,16.425,16.475,16.405,16.475,9972
448,16.45,16.5,16.4,16.425,14684
449,16.45,16.5,16.45,16.475,10045
450,16.425,16.4765,16.369,16.4765,20309
451,16.4,16.45,16.35,16.425,10900
452,16.3,16.425,16.25,16.4,25838
453,16.1,16.35,16.05,16.35,16363
454,16.15,16.2,16,16.05,16904
455,16.2,16.2,16.175,16.2,10500
456,16.25,16.25,16.15,16.175,16820
457,16.275,16.31,16.25,16.25,7023
458,16.3,16.3,16.25,16.3,6200
459,16.325,16.35,16.275,16.275,7604
460,16.4,16.4,16.325,16.325,10710
461,16.275,16.4,16.2,16.4,29345
462,16.3,16.3,16.25,16.275,5683
463,16.275,16.3,16.25,16.275,2303
464,16.425,16.45,16.25,16.275,18634
465,16.425,16.45,16.425,16.425,3088
466,16.4,16.475,16.375,16.425,18779
467,16.45,16.45,16.375,16.375,6044
468,16.475,16.5,16.425,16.45,18620
469,16.41,16.5,16.4,16.5,15106
470,16.4,16.425,16.3,16.425,30689
471,16.4,16.4,16.35,16.4,208055
864,16.35,16.35,16.35,16.35,12487
865,16.65,16.7,16.3,16.325,9373
866,16.55,16.675,16.55,16.65,9684
867,16.25,16.55,16.25,16.55,4780
868,16.25,16.3,16.25,16.3,5708
869,16.225,16.3,16.15,16.25,6800
870,16.1,16.25,16.1,16.225,3600
871,16.2,16.2,16,16.1,18572
872,16.25,16.25,16.1,16.175,7084
873,16.15,16.3,16.15,16.3,11338
874,16.05,16.2,15.95,16.1695,15929
875,16.05,16.05,15.95,16.05,5778
876,16,16.05,15.95,15.95,3400
877,16.1,16.1,16,16.05,7136
878,16.05,16.1,16.05,16.05,3500
879,16.05,16.05,15.95,16.05,4632
880,16.1,16.1,16,16.025,14028
881,16.1,16.1,16,16.1,4150
882,16.05,16.1,16,16.1,6458
883,16.1,16.1,16,16.05,7800
884,16.025,16.05,16,16.05,2600
885,16.1,16.1,16,16.05,6995
886,16.1,16.1,16.075,16.1,2700
887,16.075,16.1,16.05,16.06,3100
888,16.05,16.1,15.95,16.075,20651
889,15.9,16.05,15.9,16.025,20625
890,15.925,15.95,15.9,15.9,4015
891,15.925,15.95,15.9,15.95,6880
892,15.875,15.925,15.85,15.925,8467
893,15.825,15.9,15.8,15.85,16192
894,15.925,15.95,15.8,15.825,22300
895,15.95,15.95,15.9,15.925,15508
896,15.85,15.95,15.8,15.95,23787
897,15.75,15.85,15.7,15.8,10486
