EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493131800,4,4.05,4,4.05,2150
1,4.05,4.05,4.05,4.05,100
2,4.1,4.1,4.1,4.1,100
4,4.05,4.05,4.05,4.05,1200
7,4.1,4.1,4.1,4.1,100
8,4.081,4.081,4.081,4.081,255
13,4,4,4,4,100
16,4,4,4,4,100
20,4,4,4,4,100
24,4.0234,4.0234,4.0234,4.0234,1000
25,4,4,4,4,100
27,4.0001,4.006,4,4.006,5500
28,4.05,4.05,4.05,4.05,100
30,4.05,4.05,4.05,4.05,100
31,4,4.05,4,4.05,750
137,4.0253,4.05,4,4,1200
141,4,4,4,4,200
142,4.05,4.05,4.032,4.032,600
143,4,4,4,4,100
144,4.0465,4.0465,4.0465,4.0465,100
145,4.0211,4.0211,4.0211,4.0211,1000
146,4,4,4,4,100
149,4,4,4,4,100
151,4,4,4,4,450
152,4,4,4,4,100
155,4.025,4.05,4.0001,4.0001,1675
159,4,4,4,4,100
161,4.0001,4.0001,4.0001,4.0001,1000
163,4.05,4.05,4,4,200
167,4,4.0035,4,4.0035,200
168,4.0035,4.0035,4.0035,4.0035,100
169,4.05,4.15,4,4.05,4100
170,4.05,4.1,4.05,4.1,1510
171,4.1,4.1427,4.1,4.1427,1100
172,4.15,4.15,4.141,4.1449,10100
173,4.15,4.15,4.15,4.15,300
174,4.15,4.15,4.15,4.15,300
175,4.15,4.15,4.1,4.15,860
280,4.15,4.15,4.15,4.15,1026
281,4.15,4.15,4.15,4.15,762
282,4.2038,4.2038,4.1438,4.1438,6676
284,4.2,4.2,4.1937,4.1937,850
285,4.201,4.201,4.201,4.201,652
291,4.2003,4.2003,4.2003,4.2003,2562
293,4.2,4.2,4.2,4.2,1100
295,4.2,4.2,4.2,4.2,120
296,4.15,4.15,4.15,4.15,100
299,4.1535,4.1535,4.1535,4.1535,100
303,4.2,4.2,4.2,4.2,100
305,4.15,4.15,4.15,4.15,100
309,4.15,4.15,4.15,4.15,400
318,4.1535,4.1535,4.1535,4.1535,100
319,4.1,4.175,4.1,4.15,2626
424,4.05,4.05,4.05,4.05,250
425,4.001,4.088,4.001,4.088,2100
426,4.112,4.112,4.0794,4.0794,625
430,4.1256,4.1256,4.1256,4.1256,100
431,4.1,4.146,4.1,4.146,6000
433,4.1,4.1,4.1,4.1,200
438,4.1035,4.1035,4.1035,4.1035,290
441,4.1,4.1,4.1,4.1,100
447,4.1,4.133,4.1,4.133,300
448,4.1,4.1,4.1,4.1,100
449,4.05,4.05,4.05,4.05,100
450,4.1,4.1,4.1,4.1,100
452,4.1,4.1,4.1,4.1,200
458,4.05,4.05,4.05,4.05,100
459,4.0999,4.0999,4.05,4.05,650
463,4,4,4,4,300
857,4.005,4.005,4,4,600
866,4.0005,4.0005,4.0005,4.0005,100
870,4.015,4.015,4.015,4.015,100
871,4.0099,4.0099,4.0099,4.0099,1000
876,4,4,4,4,100
880,4,4.005,4,4.005,600
885,4,4,4,4,100
887,4,4,4,4,100
891,4,4,4,4,3240
892,4,4,4,4,200
893,4,4,4,4,100
a1493731800,4.05,4.05,4.05,4.05,230
11,4.019,4.019,4.019,4.019,255
30,4,4,4,4,100
31,4.1,4.1,4.1,4.1,100
34,4.096,4.096,4.096,4.096,100
35,4.1,4.1,4.1,4.1,100
39,4.1,4.1,4.1,4.1,400
144,4.2,4.2,4.2,4.2,1000
145,4.4001,4.4001,4.146,4.15,3833
146,4.4,4.45,4.3015,4.3015,3200
147,4.599,4.65,4.4483,4.4483,2600
148,4.5,4.55,4.5,4.55,1655
149,4.5,4.6,4.5,4.5463,6883
150,4.5355,4.5355,4.5,4.5068,600
151,4.5262,4.5262,4.5,4.5,726
152,4.4,4.5,4.35,4.5,13288
153,4.65,4.65,4.45,4.45,24763
154,4.6,4.95,4.6,4.7,8359
155,4.6492,4.65,4.647,4.65,300
156,4.55,4.65,4.5,4.5681,3300
159,4.5,4.5281,4.5,4.5281,6100
160,4.52,4.52,4.52,4.52,400
161,4.5205,4.5205,4.5,4.5,1500
163,4.5265,4.5265,4.5265,4.5265,100
164,4.5,4.5,4.5,4.5,100
166,4.5,4.5,4.5,4.5,100
167,4.549,4.549,4.549,4.549,100
169,4.592,4.592,4.548,4.55,1300
171,4.6,4.6,4.6,4.6,1000
173,4.55,4.55,4.55,4.55,2500
176,4.5,4.55,4.5,4.55,7018
177,4.5,4.55,4.5,4.5498,9200
179,4.5,4.5001,4.5,4.5001,4000
180,4.5111,4.5111,4.5111,4.5111,150
181,4.5,4.5151,4.5,4.5151,2567
183,4.5,4.55,4.5,4.5,7032
289,4.5002,4.5277,4.5,4.5,450
290,4.5,4.5,4.5,4.5,100
291,4.545,4.545,4.545,4.545,100
292,4.4,4.4,4.4,4.4,100
293,4.4035,4.4035,4.4035,4.4035,100
294,4.4255,4.4255,4.4076,4.4076,1000
296,4.4,4.45,4.4,4.45,2730
298,4.4,4.4858,4.4,4.439,763
300,4.4,4.4,4.4,4.4,200
301,4.435,4.435,4.425,4.425,700
303,4.4,4.425,4.4,4.4,1900
304,4.4,4.4,4.4,4.4,500
305,4.35,4.4002,4.35,4.4,2900
306,4.409,4.409,4.409,4.409,1500
309,4.4,4.4288,4.4,4.4,1200
310,4.425,4.45,4.425,4.45,1200
311,4.4,4.4,4.4,4.4,500
312,4.4,4.4001,4.4,4.4001,3100
314,4.35,4.4001,4.35,4.4001,1000
316,4.35,4.351,4.35,4.35,1400
321,4.375,4.375,4.375,4.375,196
322,4.3576,4.3576,4.35,4.35,500
326,4.35,4.4,4.35,4.4,1100
327,4.375,4.375,4.375,4.375,100
434,4.45,4.45,4.45,4.45,100
441,4.45,4.45,4.4044,4.45,1400
443,4.45,4.45,4.45,4.45,300
448,4.5,4.5,4.4,4.4,1300
450,4.45,4.45,4.45,4.45,100
453,4.4,4.425,4.4,4.425,4086
455,4.4499,4.4499,4.4,4.4,2300
456,4.4248,4.425,4.4,4.425,1200
457,4.4,4.4,4.4,4.4,100
464,4.425,4.425,4.425,4.425,100
465,4.4,4.4,4.4,4.4,100
466,4.4044,4.4044,4.4044,4.4044,600
467,4.4,4.425,4.4,4.425,1600
468,4.4,4.425,4.4,4.425,1100
469,4.4,4.405,4.4,4.405,1450
470,4.4,4.4,4.4,4.4,700
471,4.4,4.401,4.4,4.4,1700
864,4.4,4.4,4.4,4.4,306
865,4.45,4.45,4.45,4.45,100
868,4.35,4.35,4.35,4.35,100
871,4.25,4.35,4.15,4.35,8151
872,4.25,4.25,4.25,4.25,6300
873,4.25,4.25,4.25,4.25,200
875,4.25,4.25,4.1,4.25,500
876,4.25,4.25,4.25,4.25,800
882,4.1,4.1,4.1,4.1,100
883,4.15,4.2785,4.15,4.2785,1320
884,4.15,4.25,4.15,4.25,3308
887,4.05,4.1175,4.05,4.1175,1100
889,4.1,4.1,4.1,4.1,100
890,4.1,4.1,4.1,4.1,500
892,4.1499,4.1499,4.1499,4.1499,1500
893,4.1,4.1,4.1,4.1,100
896,4.1,4.1,4.1,4.1,100
897,4.1,4.1,4.1,4.1,300
901,4.1,4.1,4.1,4.1,100
902,4.1,4.1075,4.1,4.1075,3400
903,4.1,4.1001,4.1,4.1,1662
a1494337200,4.2,4.2,4.1,4.1,2826
2,4.25,4.25,4.25,4.25,100
4,4.25,4.25,4.25,4.25,238
7,4.3,4.35,4.25,4.3,4375
9,4.3436,4.3436,4.3436,4.3436,172
14,4.325,4.325,4.3,4.3,200
15,4.35,4.35,4.3447,4.3447,550
16,4.3,4.35,4.25,4.25,2500
18,4.25,4.25,4.25,4.25,100
23,4.4,4.45,4.3,4.35,8164
24,4.4,4.4,4.3,4.35,800
25,4.5,4.5,4.3,4.4,900
26,4.5,4.5,4.35,4.45,800
27,4.5,4.55,4.4,4.5,800
28,4.5,4.5,4.4,4.45,700
29,4.45,4.5,4.4,4.45,800
30,4.5,4.5,4.4,4.5,6000
31,4.5,4.5,4.4,4.425,2700
32,4.45,4.5,4.4,4.4,1500
33,4.45,4.5,4.45,4.475,800
34,4.4001,4.5,4.4001,4.5,300
