EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,12.86,12.86,12.86,12.86,1201
1,12.92,12.92,12.87,12.87,4200
2,12.95,12.98,12.93,12.93,10900
3,13,13,12.94,12.95,3843
4,13.01,13.02,12.995,13.02,6900
5,13.01,13.02,13.01,13.02,5155
6,12.99,13.02,12.97,13.01,2500
7,12.95,12.98,12.95,12.98,4803
8,12.93,12.95,12.92,12.95,3074
9,12.91,12.93,12.91,12.92,1464
10,12.92,12.92,12.89,12.9,3398
11,12.93,12.94,12.92,12.93,3900
12,12.93,12.94,12.905,12.94,3705
13,12.93,12.94,12.92,12.93,4503
14,12.93,12.94,12.92,12.93,4300
15,12.94,12.94,12.93,12.93,1300
16,12.927,12.94,12.92,12.925,3009
17,12.92,12.925,12.915,12.925,3400
18,12.915,12.93,12.915,12.92,2465
19,12.92,12.925,12.915,12.92,3900
20,12.92,12.925,12.92,12.92,3689
21,12.9,12.92,12.9,12.91,1200
22,12.9,12.915,12.895,12.9,14200
23,12.88,12.905,12.88,12.9,11452
24,12.88,12.9,12.88,12.89,6000
25,12.87,12.89,12.87,12.89,3788
26,12.89,12.89,12.87,12.87,1000
27,12.87,12.89,12.87,12.89,400
28,12.87,12.8764,12.86,12.87,4488
29,12.875,12.88,12.87,12.88,700
30,12.86,12.88,12.86,12.88,2914
31,12.86,12.87,12.855,12.86,1952
32,12.845,12.86,12.845,12.86,2573
33,12.83,12.84,12.82,12.84,1226
34,12.82,12.83,12.81,12.82,10817
35,12.81,12.82,12.81,12.82,2623
36,12.79,12.81,12.785,12.81,5510
37,12.79,12.805,12.785,12.79,9881
38,12.79,12.81,12.79,12.79,4723
39,12.76,12.795,12.76,12.795,55484
144,12.73,12.73,12.73,12.73,1086
145,12.75,12.83,12.74,12.76,1300
146,12.805,12.81,12.77,12.78,6613
147,12.81,12.82,12.785,12.82,2401
148,12.82,12.8255,12.82,12.82,4584
149,12.84,12.84,12.81,12.82,2108
150,12.85,12.87,12.845,12.85,3259
151,12.82,12.83,12.8,12.83,1953
152,12.81,12.81,12.79,12.81,1490
153,12.87,12.87,12.82,12.82,4434
154,12.875,12.88,12.86,12.87,2430
155,12.88,12.9,12.88,12.88,5038
156,12.95,12.95,12.88,12.88,6298
157,12.93,12.94,12.91,12.92,2800
158,12.92,12.94,12.9,12.93,5215
159,12.93,12.93,12.92,12.92,2524
160,12.91,12.93,12.91,12.93,1338
161,12.91,12.92,12.9,12.91,3400
162,12.91,12.92,12.9,12.91,3040
163,12.915,12.92,12.9,12.905,1800
164,12.95,12.955,12.92,12.92,3135
165,13,13,12.94,12.94,5600
166,13.02,13.02,12.98,13,12019
167,13.02,13.05,13.01,13.02,5990
168,13.03,13.04,13.02,13.03,5149
169,13.02,13.02,13.01,13.02,2116
170,13,13.03,13,13.01,7862
171,13,13.01,12.99,13.01,6752
172,12.995,13.005,12.98,13.005,4300
173,12.995,13.01,12.995,12.995,4940
174,12.99,13,12.98,12.99,4109
175,13,13,12.99,12.99,3100
176,13.01,13.015,13,13,8736
177,13,13.01,12.9999,13.01,15600
178,13.01,13.01,12.99,12.99,4882
179,13,13.01,13,13.01,11219
180,13.02,13.02,12.99,12.995,4547
181,13,13.02,13,13.02,9699
182,12.99,13.01,12.99,13,7936
183,12.95,12.995,12.94,12.991,61768
288,13.03,13.03,13.03,13.03,1535
289,12.92,13.04,12.92,12.97,2810
290,12.99,13.04,12.93,12.93,10166
291,12.945,13,12.94,13,2300
292,13.01,13.01,12.95,12.95,4792
293,12.99,13,12.99,13,1881
294,12.96,12.99,12.95,12.99,2681
295,12.95,12.95,12.94,12.95,2000
296,12.93,12.96,12.93,12.94,1100
297,12.94,12.94,12.93,12.93,900
298,12.91,12.935,12.91,12.93,3096
299,12.9,12.91,12.89,12.91,3669
300,12.86,12.9,12.86,12.9,1900
301,12.83,12.88,12.82,12.87,4758
302,12.84,12.86,12.84,12.84,1266
303,12.85,12.85,12.845,12.85,900
304,12.87,12.875,12.86,12.86,2410
305,12.87,12.89,12.87,12.88,1529
306,12.86,12.87,12.86,12.87,700
307,12.8954,12.8954,12.86,12.86,2616
308,12.9,12.915,12.9,12.9,2766
309,12.905,12.905,12.9,12.9,800
310,12.9,12.905,12.89,12.9,936
311,12.89,12.9,12.89,12.9,200
312,12.9,12.91,12.89,12.89,3500
313,12.91,12.91,12.9,12.9,1274
314,12.88,12.91,12.88,12.91,1200
315,12.88,12.89,12.88,12.89,1365
316,12.88,12.9,12.88,12.89,2100
317,12.885,12.89,12.875,12.88,2165
318,12.88,12.89,12.88,12.885,1200
319,12.91,12.91,12.89,12.89,2851
320,12.91,12.91,12.9,12.9,300
321,12.916,12.92,12.9,12.92,4437
322,12.92,12.92,12.9,12.91,3340
323,12.94,12.945,12.92,12.92,4318
324,12.925,12.935,12.92,12.935,4473
325,12.92,12.93,12.91,12.93,4398
326,12.93,12.93,12.92,12.92,2500
327,12.91,12.925,12.89,12.925,50187
432,12.93,12.93,12.93,12.93,787
433,12.88,12.88,12.868,12.88,1100
434,12.85,12.91,12.85,12.88,4088
435,12.86,12.89,12.86,12.88,2200
436,12.825,12.86,12.81,12.86,3450
437,12.8,12.82,12.8,12.82,3588
438,12.77,12.8,12.76,12.8,3303
439,12.75,12.755,12.745,12.755,2100
440,12.73,12.77,12.73,12.75,1720
441,12.76,12.76,12.73,12.73,1969
442,12.735,12.7501,12.73,12.75,2698
443,12.75,12.75,12.72,12.73,2550
444,12.75,12.75,12.72,12.74,2420
445,12.74,12.75,12.735,12.74,1189
446,12.73,12.75,12.73,12.74,2200
447,12.74,12.75,12.74,12.74,1600
448,12.74,12.76,12.74,12.75,11500
449,12.74,12.75,12.74,12.74,2953
450,12.74,12.76,12.74,12.74,2600
451,12.74,12.75,12.735,12.74,3600
452,12.74,12.745,12.73,12.74,1400
453,12.72,12.735,12.72,12.735,1911
454,12.75,12.75,12.72,12.72,2217
455,12.74,12.7501,12.74,12.74,3700
456,12.74,12.75,12.735,12.74,2700
457,12.74,12.745,12.74,12.745,400
458,12.735,12.75,12.73,12.74,2642
459,12.73,12.74,12.73,12.735,1600
460,12.75,12.75,12.735,12.74,2900
461,12.74,12.74,12.73,12.74,1600
462,12.73,12.74,12.73,12.735,1500
463,12.73,12.74,12.73,12.73,5324
464,12.76,12.76,12.73,12.73,7154
465,12.75,12.76,12.74,12.755,1500
466,12.795,12.8,12.75,12.75,11985
467,12.78,12.795,12.78,12.795,63763
468,12.73,12.7803,12.73,12.78,7094
469,12.725,12.73,12.72,12.73,8649
470,12.75,12.75,12.725,12.73,17054
471,12.7,12.75,12.68,12.75,94825
864,12.77,12.77,12.77,12.77,2480
865,12.64,12.81,12.61,12.74,12500
866,12.7,12.7,12.65,12.65,4000
867,12.67,12.7,12.65,12.7,3300
868,12.7,12.7,12.67,12.67,4287
869,12.715,12.715,12.67,12.7,3400
870,12.71,12.72,12.7,12.715,5187
871,12.755,12.76,12.71,12.71,3200
872,12.745,12.77,12.745,12.76,2612
873,12.725,12.74,12.72,12.74,1500
874,12.725,12.74,12.72,12.73,3450
875,12.725,12.73,12.72,12.73,1886
876,12.69,12.72,12.69,12.72,2700
877,12.67,12.69,12.67,12.69,1562
878,12.69,12.69,12.68,12.68,1047
879,12.7,12.7,12.685,12.69,3034
880,12.695,12.7,12.69,12.69,1585
881,12.7,12.73,12.695,12.7,4351
882,12.7075,12.71,12.7,12.7,900
883,12.72,12.72,12.7,12.71,4098
884,12.72,12.72,12.72,12.72,500
885,12.76,12.76,12.71,12.715,4433
886,12.745,12.76,12.745,12.75,1340
887,12.74,12.75,12.73,12.75,1778
888,12.76,12.76,12.7475,12.75,2700
889,12.745,12.755,12.745,12.755,1231
890,12.7507,12.76,12.745,12.7475,2374
891,12.76,12.77,12.755,12.7575,5809
892,12.725,12.77,12.725,12.76,2600
893,12.73,12.74,12.72,12.73,2069
894,12.72,12.725,12.72,12.72,2009
895,12.71,12.72,12.71,12.72,2084
896,12.68,12.72,12.68,12.71,3992
