EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,4.1,4.1,4.1,4.1,150
3,4.1,4.1,4.1,4.1,324
5,4.1,4.1,4.1,4.1,200
6,4.05,4.1,4.05,4.05,700
7,4.1,4.1,4.084,4.084,900
8,4.05,4.11,4.05,4.11,700
9,4.1,4.1,4.1,4.1,100
11,4.15,4.15,4.15,4.15,100
12,4.15,4.15,4.1,4.1,2000
13,4.15,4.15,4.1,4.15,400
14,4.1,4.1,4.1,4.1,100
15,4.1314,4.2,4.1,4.1,400
16,4.1,4.16,4.1,4.1389,2350
18,4.15,4.175,4.1,4.1,400
19,4.15,4.15,4.15,4.15,200
25,4.15,4.15,4.1432,4.1432,1940
26,4.1,4.1,4.1,4.1,100
27,4.15,4.15,4.15,4.15,300
29,4.149,4.149,4.149,4.149,2000
30,4.1,4.15,4.1,4.1,4845
33,4.05,4.1,4,4.1,6206
34,4.05,4.1,4.05,4.1,200
35,4.0001,4.1,4,4.0524,3800
37,4,4.0999,4,4.0999,5232
38,4.0308,4.05,4,4.025,4874
39,4,4.05,4,4.05,900
144,4.1,4.1,4.1,4.1,3102
147,4.1,4.1,4.081,4.1,5800
150,4.1317,4.1317,4.1317,4.1317,100
151,4.1001,4.1001,4.1001,4.1001,400
156,4.1,4.1,4.1,4.1,100
163,4.15,4.15,4.15,4.15,350
165,4.15,4.15,4.101,4.101,300
166,4.15,4.15,4.15,4.15,400
167,4.159,4.159,4.159,4.159,500
169,4.1543,4.1543,4.1543,4.1543,100
170,4.175,4.175,4.175,4.175,544
171,4.1563,4.1563,4.1563,4.1563,300
172,4.2,4.2,4.2,4.2,200
173,4.1753,4.1753,4.1753,4.1753,100
176,4.15,4.2,4.15,4.2,400
178,4.2,4.2,4.2,4.2,100
179,4.15,4.162,4.15,4.162,5600
181,4.2,4.25,4.15,4.15,11500
182,4.15,4.2,4.15,4.2,2365
183,4.25,4.25,4.15,4.15,6000
288,4.5,4.5,4.5,4.5,4452
289,4.3,4.45,4.3,4.45,8759
291,4.35,4.35,4.3,4.3,358
292,4.3,4.3,4.3,4.3,200
293,4.3372,4.3372,4.2665,4.2665,1120
294,4.25,4.25,4.25,4.25,100
299,4.2763,4.2763,4.2763,4.2763,800
301,4.299,4.299,4.299,4.299,2250
303,4.25,4.25,4.25,4.25,100
304,4.2564,4.2564,4.2564,4.2564,2000
309,4.2999,4.2999,4.2999,4.2999,500
311,4.25,4.2505,4.2,4.25,9146
317,4.2,4.2,4.2,4.2,200
318,4.25,4.25,4.2,4.225,600
320,4.25,4.25,4.2,4.2499,6370
324,4.3,4.3,4.251,4.251,730
326,4.251,4.251,4.251,4.251,2334
327,4.25,4.3,4.25,4.285,1250
436,4.1792,4.2,4.1,4.2,3201
437,4.1018,4.1018,4.1018,4.1018,550
442,4.1,4.15,4.1,4.15,900
447,4.1205,4.1205,4.1205,4.1205,1630
454,4.1,4.1,4.1,4.1,500
461,4.1,4.1,4.1,4.1,100
462,4.113,4.113,4.113,4.113,610
463,4.0999,4.0999,4,4.05,1300
465,4.04,4.04,4.01,4.01,436
466,4.1,4.1,4.1,4.1,300
467,4.1,4.1,4.1,4.1,100
469,4.15,4.1608,4.1,4.1,700
471,4.2,4.2,4.15,4.1625,700
864,4.15,4.15,4.15,4.15,354
868,4.1001,4.15,4.1001,4.15,377
878,4.1502,4.1502,4.1502,4.1502,123
880,4.1595,4.1595,4.1595,4.1595,1000
887,4.1351,4.1351,4.1351,4.1351,100
893,4.15,4.15,4.149,4.149,2200
898,4.1,4.1,4.1,4.1,700
902,4.1005,4.1005,4.1,4.1,1200
903,4.15,4.15,4.1,4.1,3900
a1493731800,4.15,4.15,4.15,4.15,185
1,4.255,4.3,4.15,4.15,6100
2,4.25,4.25,4.23,4.23,200
5,4.3,4.3,4.3,4.3,100
6,4.25,4.25,4.25,4.25,100
9,4.25,4.25,4.25,4.25,100
11,4.25,4.25,4.25,4.25,851
13,4.2501,4.2501,4.2501,4.2501,300
16,4.3,4.3,4.3,4.3,100
18,4.25,4.2564,4.25,4.2501,1400
20,4.25,4.285,4.25,4.25,850
24,4.25,4.25,4.25,4.25,100
25,4.25,4.25,4.25,4.25,100
27,4.25,4.25,4.25,4.25,347
28,4.2,4.2,4.2,4.2,100
30,4.15,4.15,4.15,4.15,100
36,4.1,4.1563,4.1,4.15,2700
39,4.15,4.2,4.15,4.15,400
144,4.15,4.15,4.15,4.15,384
149,4.2,4.2,4.2,4.2,100
151,4.1501,4.165,4.15,4.165,1600
152,4.15,4.15,4.15,4.15,100
153,4.15,4.15,4.15,4.15,200
156,4.2,4.2,4.2,4.2,400
159,4.15,4.15,4.15,4.15,200
166,4.1496,4.1496,4.1496,4.1496,100
167,4.1,4.1,4.1,4.1,100
170,4.1,4.1,4.1,4.1,100
175,4.1,4.15,4.1,4.15,2800
176,4.1,4.1,4.1,4.1,200
177,4.1,4.1,4.1,4.1,100
178,4.1,4.1062,4.1,4.1062,1820
181,4.05,4.2,4.05,4.125,8600
183,4.05,4.05,4.05,4.05,100
288,4.1,4.1,4.1,4.1,101
293,4.05,4.0712,4.05,4.0712,1100
294,4.05,4.05,4.05,4.05,100
298,4.05,4.05,4.05,4.05,200
299,4.05,4.0825,4.05,4.0825,600
302,4,4.0541,4,4.0541,7326
304,4,4.05,4,4.049,7942
305,4,4.049,4,4.049,3641
312,4.049,4.049,4.049,4.049,111
313,4,4.045,4,4.012,2400
314,4.004,4.004,4.004,4.004,500
315,4,4.0164,4,4.0164,300
316,4.0001,4.0001,4.0001,4.0001,300
317,4.02,4.02,4,4,200
318,4.0499,4.0499,4.0499,4.0499,100
322,4,4.0468,4,4.0468,200
327,4.0005,4.0005,3.975,4,6633
432,4,4,4,4,126
433,4,4,4,4,1000
434,4.0818,4.0818,4.0818,4.0818,100
437,3.95,3.95,3.95,3.95,100
438,4.0001,4.0001,4,4,2529
439,3.9881,4.0182,3.95,4.0182,1800
440,4,4,4,4,300
442,3.95,3.95,3.95,3.95,1100
443,4.016,4.016,4.016,4.016,500
447,4.05,4.05,4.05,4.05,400
449,3.95,3.95,3.95,3.95,100
459,4,4,3.95,3.95,500
464,4.038,4.038,4.038,4.038,1200
465,4,4,4,4,1200
467,4.06,4.06,4.06,4.06,500
470,4.05,4.05,4.05,4.05,600
471,4.05,4.05,4.05,4.05,1500
866,4.0752,4.0752,4.0752,4.0752,200
867,4.05,4.05,4.05,4.05,200
872,4.0743,4.0743,4.0743,4.0743,200
880,4.075,4.075,4.075,4.075,100
883,4.0703,4.0703,4.0703,4.0703,100
886,4.05,4.1,4.05,4.05,1200
888,4.05,4.1,4.05,4.1,1200
890,4.1,4.1,4.1,4.1,300
892,4,4.0001,4,4,5100
901,4,4,4,4,100
a1494336600,4.05,4.05,4.05,4.05,100
1,4.05,4.05,4.004,4.004,400
5,4.0001,4.0001,4,4,610
9,4.049,4.049,4.049,4.049,1100
11,4.05,4.05,4,4,200
15,4,4,4,4,100
16,4.02,4.02,4.02,4.02,110
18,4.0325,4.1,4.025,4.025,3388
19,4.075,4.075,4.075,4.075,100
26,4.05,4.05,4.05,4.05,1100
28,4.05,4.05,4.05,4.05,1406
29,4.05,4.1,4.05,4.05,1200
32,4.05,4.05,4.05,4.05,100
35,4.05,4.05,4,4,4300
36,4.05,4.05,4.05,4.05,800
39,4,4.1,4,4.05,8555
144,4.05,4.05,4.05,4.05,555
145,4.1,4.1,4.05,4.05,595
146,4.1,4.1,4.0665,4.0665,300
148,4.05,4.0501,4.05,4.05,2300
150,4.05,4.05,4.05,4.05,383
151,4.05,4.05,4.05,4.05,100
153,4,4.005,4,4.005,200
157,4.1,4.1,4,4,200
161,4,4,4,4,300
162,4.005,4.05,4,4,1265
163,4.1,4.1,4.095,4.095,4500
164,4.05,4.05,4.05,4.05,100
169,4.0561,4.0561,4.0561,4.0561,400
170,4.055,4.055,4.05,4.05,1000
178,4.0622,4.0622,4.0622,4.0622,1296
180,4.0721,4.0721,4.0721,4.0721,269
181,4.1,4.1,4.05,4.05,2066
