EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493213400,4.15,4.15,4.15,4.15,0
748,4.2,4.2,4.1999,4.1999,200
a1493906400,3.95,3.95,3.85,3.95,1114
14,3.9287,3.9287,3.9287,3.9287,3000
594,4.45,4.5,4,4.05,89817
595,4.25,4.45,4.2,4.4125,30811
596,4.25,4.25,4.2,4.2,4200
597,4.25,4.25,4.2,4.2,950
598,4.25,4.25,4.25,4.25,100
599,4.25,4.3,4.2,4.2499,34675
600,4.2999,4.3,4.25,4.299,2009
601,4.2448,4.2448,4.2,4.2,2104
602,4.1,4.2,4.1,4.15,5382
604,4.1555,4.1555,4.1555,4.1555,100
605,4.1973,4.1973,4.1973,4.1973,1000
606,4.15,4.249,4.15,4.249,5445
607,4.15,4.1505,4.15,4.15,5200
608,4.15,4.25,4.15,4.2,6300
609,4.15,4.25,4.15,4.2,20650
610,4.151,4.25,4.15,4.25,21350
611,4.2499,4.25,4.1,4.15,7380
612,4.2,4.25,4.185,4.2,16174
717,4.4,4.55,4.4,4.4,20819
718,4.3745,4.55,4.3,4.45,64414
719,4.3,4.3745,4.3,4.3745,49270
720,4.2926,4.345,4.25,4.3,26056
721,4.3375,4.349,4.25,4.3,50927
722,4.35,4.35,4.321,4.3312,10540
723,4.39,4.4,4.35,4.35,10941
724,4.3425,4.35,4.3,4.35,6300
725,4.35,4.4,4.35,4.35,25266
726,4.35,4.35,4.3,4.345,7000
727,4.3,4.35,4.3,4.3,5672
728,4.301,4.349,4.25,4.349,13625
729,4.35,4.35,4.301,4.35,20548
730,4.35,4.35,4.3497,4.35,10900
731,4.35,4.4,4.3435,4.345,11476
732,4.35,4.35,4.3,4.35,13904
733,4.35,4.3506,4.3,4.35,15527
734,4.35,4.35,4.35,4.35,300
735,4.3,4.35,4.3,4.35,20820
736,4.3,4.35,4.2989,4.3,9856
737,4.3,4.3005,4.25,4.3,17825
738,4.3,4.3,4.2918,4.2918,10500
739,4.3,4.3005,4.2896,4.3,13400
740,4.3,4.3,4.2862,4.3,400
741,4.3,4.3426,4.2882,4.3,19050
742,4.25,4.3,4.25,4.3,4550
743,4.3,4.35,4.2912,4.3,17600
744,4.3,4.35,4.3,4.3,4760
745,4.3179,4.35,4.2936,4.3,20052
746,4.3,4.345,4.3,4.3,2400
747,4.3363,4.35,4.3,4.321,6427
748,4.35,4.35,4.3375,4.35,10200
749,4.3501,4.3505,4.3075,4.3499,10241
750,4.379,4.379,4.35,4.35,8550
751,4.399,4.4,4.35,4.35,25884
752,4.3425,4.39,4.3425,4.35,10000
753,4.3447,4.3742,4.3375,4.3742,4200
754,4.35,4.35,4.3357,4.35,12080
755,4.35,4.35,4.3,4.325,15100
756,4.35,4.4,4.325,4.3499,16306
861,4.65,4.65,4.65,4.65,9420
862,4.1,4.5,4.1,4.5,64169
863,4.2,4.249,4.1,4.15,9400
864,4.25,4.25,4.15,4.1762,12415
866,4.35,4.35,4.325,4.35,6689
867,4.35,4.4,4.3392,4.4,10900
868,4.3499,4.4,4.3497,4.35,8327
869,4.2999,4.345,4.2751,4.345,14910
870,4.2852,4.3,4.2537,4.3,10300
871,4.3005,4.3414,4.3,4.3,2100
872,4.3,4.3425,4.3,4.3,14200
873,4.3,4.35,4.2975,4.33,8972
874,4.3,4.35,4.2823,4.2823,24400
875,4.299,4.3,4.299,4.3,1075
876,4.3,4.3,4.2775,4.2775,1100
877,4.2909,4.3,4.2909,4.2995,4800
878,4.3,4.3,4.2995,4.3,4000
879,4.2726,4.3,4.2726,4.2999,7990
880,4.295,4.3,4.25,4.3,2576
882,4.2957,4.34,4.2957,4.3,4000
883,4.3,4.345,4.3,4.345,2209
885,4.3,4.3,4.3,4.3,8000
886,4.3,4.3,4.29,4.29,600
887,4.2919,4.2919,4.2919,4.2919,581
888,4.25,4.3,4.25,4.3,22696
889,4.2999,4.3,4.29,4.29,3824
891,4.2916,4.2916,4.2916,4.2916,1000
893,4.3,4.3,4.2936,4.3,2400
894,4.284,4.3,4.2837,4.3,3334
895,4.3,4.3,4.2957,4.3,2300
896,4.3499,4.3999,4.26,4.3,7300
897,4.29,4.35,4.29,4.3371,22500
898,4.345,4.345,4.2959,4.3,7020
899,4.3,4.3418,4.3,4.3418,4700
900,4.4,4.4,4.35,4.35,20207
a1494509400,4.6,4.85,4.55,4.85,5291
1,4.462,4.6,4.45,4.6,8656
2,4.45,4.55,4.45,4.485,14100
3,4.483,4.65,4.45,4.5,12244
5,4.45,4.5,4.4,4.45,2600
6,4.45,4.4999,4.441,4.45,14408
7,4.5,4.55,4.45,4.5,42743
8,4.6,4.645,4.5,4.5,36732
9,4.649,4.649,4.5,4.6,9400
10,4.5955,4.5955,4.55,4.55,800
11,4.55,4.6,4.5,4.59,25617
12,4.55,4.6,4.5422,4.579,17365
13,4.5,4.549,4.5,4.5,5780
14,4.5,4.6,4.5,4.55,21407
15,4.55,4.6,4.5,4.5685,15269
16,4.6,4.6,4.55,4.55,6915
17,4.6,4.6,4.558,4.6,8200
18,4.6753,4.6753,4.6,4.6001,3499
19,4.686,4.7,4.686,4.692,1000
20,4.729,4.745,4.6982,4.7,3450
21,4.65,4.7,4.65,4.7,3650
22,4.733,4.7475,4.6965,4.7,2597
23,4.7256,4.749,4.7256,4.749,1175
24,4.8,4.8,4.75,4.75,12094
25,4.8,4.8,4.775,4.8,10337
26,4.75,4.8,4.75,4.7578,17621
27,4.7,4.8,4.65,4.8,18253
28,4.65,4.7,4.65,4.7,12500
29,4.65,4.7,4.65,4.695,8991
30,4.65,4.695,4.65,4.65,3191
31,4.7,4.75,4.65,4.7,6800
32,4.7,4.75,4.7,4.7499,1100
33,4.65,4.75,4.65,4.7,6700
34,4.75,4.75,4.65,4.6927,8600
35,4.6753,4.7,4.6753,4.695,4940
36,4.65,4.65,4.65,4.65,250
37,4.7,4.75,4.7,4.7,4280
38,4.7,4.75,4.7,4.745,14650
39,4.8,4.8,4.65,4.7,30298
144,5.15,5.15,5.15,5.15,3065
145,4.75,4.9,4.75,4.8,32221
146,4.7499,4.75,4.65,4.7095,16900
147,4.55,4.7,4.5,4.7,8000
148,4.6,4.65,4.5553,4.5553,6600
149,4.55,4.6118,4.55,4.6,26053
150,4.55,4.6,4.55,4.5993,13050
151,4.6,4.6,4.6,4.6,1350
153,4.5728,4.5728,4.5603,4.5603,499
154,4.6,4.6,4.6,4.6,1000
155,4.55,4.5999,4.55,4.5999,200
156,4.6,4.6,4.5825,4.5825,4900
157,4.6248,4.65,4.55,4.6,13300
158,4.6,4.6069,4.6,4.6069,1700
159,4.6,4.65,4.55,4.65,6800
160,4.5997,4.6,4.55,4.55,3595
161,4.592,4.592,4.592,4.592,500
162,4.6,4.6,4.5995,4.5999,2282
163,4.6472,4.6472,4.6472,4.6472,200
164,4.612,4.6816,4.612,4.6816,1500
166,4.6,4.699,4.6,4.699,2600
167,4.6,4.6,4.6,4.6,100
168,4.65,4.65,4.65,4.65,200
169,4.6,4.6,4.6,4.6,1100
170,4.6,4.6,4.6,4.6,500
173,4.6,4.6,4.5757,4.5757,5500
174,4.5825,4.6,4.5825,4.6,3500
175,4.5958,4.5958,4.5957,4.5957,400
178,4.6,4.6,4.6,4.6,600
179,4.6,4.65,4.5995,4.6,8359
180,4.6,4.6209,4.5982,4.6,4600
181,4.55,4.55,4.55,4.55,1000
182,4.6,4.7,4.5999,4.6,41310
183,4.8,4.8,4.6,4.6,19782
576,4.9,5.15,4.9,5.15,6293
577,4.75,4.9,4.75,4.9,37614
578,4.65,4.8,4.65,4.75,3712
579,4.65,4.65,4.65,4.65,6596
580,4.6997,4.7,4.684,4.684,6600
581,4.6,4.7,4.6,4.65,6594
582,4.6928,4.7,4.65,4.7,1701
583,4.65,4.6938,4.65,4.65,600
584,4.65,4.7,4.6,4.65,2800
585,4.6883,4.7,4.6,4.65,7740
586,4.65,4.7,4.65,4.65,5514
587,4.6821,4.6915,4.65,4.6501,8600
588,4.65,4.692,4.65,4.692,1100
589,4.6748,4.6999,4.6748,4.6999,2100
