EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,1.45,1.45,1.45,1.45,2190
2,1.605,1.605,1.5,1.5,68944
3,1.55,1.605,1.55,1.605,2190
4,1.55,1.595,1.55,1.55,8200
5,1.55,1.55,1.55,1.55,200
6,1.55,1.575,1.55,1.575,200
7,1.55,1.575,1.55,1.575,500
8,1.575,1.6,1.55,1.55,800
9,1.55,1.575,1.55,1.575,4488
10,1.55,1.575,1.55,1.55,1022
11,1.55,1.55,1.55,1.55,100
12,1.55,1.55,1.55,1.55,300
13,1.55,1.55,1.55,1.55,400
14,1.55,1.575,1.55,1.555,2528
15,1.55,1.55,1.55,1.55,300
16,1.55,1.5875,1.55,1.575,1300
17,1.55,1.55,1.55,1.55,300
18,1.55,1.55,1.55,1.55,300
19,1.55,1.55,1.55,1.55,200
20,1.55,1.56,1.5,1.55,24492
21,1.55,1.55,1.55,1.55,300
22,1.55,1.6,1.55,1.6,600
23,1.55,1.55,1.55,1.55,200
24,1.55,1.55,1.55,1.55,300
25,1.55,1.55,1.55,1.55,300
26,1.55,1.55,1.55,1.55,200
27,1.55,1.6,1.55,1.55,4230
28,1.55,1.55,1.55,1.55,300
29,1.55,1.55,1.55,1.55,200
30,1.55,1.55,1.55,1.55,1200
31,1.575,1.6,1.55,1.55,10176
32,1.55,1.55,1.55,1.55,400
33,1.55,1.55,1.55,1.55,200
34,1.55,1.55,1.55,1.55,300
35,1.525,1.6,1.5,1.55,28085
36,1.5,1.525,1.5,1.525,3800
37,1.525,1.525,1.5,1.525,4900
38,1.525,1.55,1.5,1.5,6974
39,1.5,1.525,1.5,1.525,14341
144,1.5,1.5,1.5,1.5,253
145,1.525,1.525,1.525,1.525,200
146,1.55,1.55,1.5355,1.5355,1400
147,1.6,1.6,1.5,1.5,200
148,1.55,1.55,1.55,1.55,1200
149,1.5742,1.5742,1.5742,1.5742,250
150,1.55,1.6,1.55,1.6,200
152,1.55,1.55,1.55,1.55,200
153,1.55,1.55,1.55,1.55,100
156,1.55,1.55,1.55,1.55,100
157,1.55,1.575,1.55,1.575,400
158,1.5884,1.5884,1.55,1.55,500
160,1.55,1.55,1.55,1.55,100
163,1.55,1.575,1.55,1.575,1367
164,1.55,1.575,1.55,1.55,300
168,1.55,1.55,1.55,1.55,100
169,1.55,1.55,1.55,1.55,300
171,1.575,1.575,1.575,1.575,100
172,1.55,1.55,1.55,1.55,100
174,1.5624,1.5624,1.5624,1.5624,1000
175,1.55,1.55,1.55,1.55,100
176,1.55,1.55,1.55,1.55,100
177,1.55,1.575,1.55,1.55,500
178,1.575,1.6,1.55,1.6,7700
179,1.55,1.575,1.55,1.575,500
180,1.55,1.575,1.55,1.575,200
181,1.59,1.59,1.55,1.575,620
182,1.575,1.6,1.55,1.55,500
183,1.6,1.6,1.55,1.6,6005
288,1.55,1.55,1.55,1.55,4304
289,1.55,1.55,1.55,1.55,999
291,1.6,1.6,1.5647,1.5647,450
292,1.55,1.5714,1.55,1.55,500
293,1.55,1.55,1.55,1.55,200
294,1.55,1.6,1.55,1.6,3802
296,1.55,1.6,1.55,1.6,300
297,1.6,1.6,1.55,1.55,400
298,1.55,1.55,1.55,1.55,100
299,1.575,1.575,1.575,1.575,100
300,1.55,1.55,1.55,1.55,200
303,1.55,1.5739,1.55,1.56,3522
304,1.55,1.55,1.55,1.55,100
308,1.55,1.55,1.55,1.55,200
310,1.55,1.575,1.55,1.575,2200
311,1.55,1.55,1.55,1.55,100
312,1.55,1.575,1.55,1.575,1000
313,1.55,1.55,1.55,1.55,200
315,1.55,1.55,1.55,1.55,100
316,1.55,1.55,1.55,1.55,1565
317,1.55,1.55,1.55,1.55,100
318,1.55,1.595,1.55,1.575,2030
320,1.55,1.55,1.55,1.55,300
321,1.55,1.55,1.55,1.55,100
322,1.55,1.55,1.55,1.55,563
323,1.55,1.55,1.55,1.55,500
324,1.55,1.55,1.55,1.55,100
325,1.55,1.55,1.5,1.5,200
326,1.5,1.5,1.5,1.5,200
327,1.5,1.54,1.5,1.5,4803
432,1.5,1.5,1.5,1.5,211
434,1.545,1.545,1.5,1.514,4600
435,1.525,1.525,1.525,1.525,100
436,1.5171,1.525,1.5,1.525,1300
438,1.5,1.5,1.5,1.5,200
439,1.5,1.5,1.5,1.5,100
440,1.5372,1.5372,1.5,1.5,700
441,1.5,1.5,1.5,1.5,200
444,1.5,1.5,1.5,1.5,100
445,1.5,1.5,1.5,1.5,100
447,1.5,1.5,1.5,1.5,100
448,1.5,1.5,1.5,1.5,100
449,1.5,1.55,1.5,1.55,300
450,1.525,1.55,1.525,1.54,4298
453,1.5,1.5,1.5,1.5,100
454,1.5,1.5,1.5,1.5,100
455,1.55,1.55,1.55,1.55,173
456,1.5,1.5,1.5,1.5,900
457,1.545,1.545,1.525,1.525,225
459,1.5,1.505,1.5,1.5,4200
460,1.5,1.5,1.5,1.5,100
461,1.5,1.5,1.5,1.5,300
463,1.5,1.5,1.5,1.5,100
464,1.5,1.5,1.5,1.5,100
465,1.5,1.5,1.5,1.5,100
466,1.5,1.5,1.5,1.5,100
467,1.5,1.5,1.5,1.5,100
468,1.5,1.5,1.5,1.5,400
469,1.5,1.5,1.5,1.5,200
470,1.5,1.525,1.5,1.525,400
471,1.55,1.55,1.5,1.5,9701
864,1.5,1.5,1.5,1.5,289
865,1.41,1.495,1.41,1.495,3395
866,1.475,1.475,1.45,1.45,495
867,1.49,1.49,1.49,1.49,100
868,1.45,1.45,1.45,1.45,100
869,1.45,1.45,1.45,1.45,100
870,1.45,1.45,1.45,1.45,100
871,1.45,1.45,1.45,1.45,100
873,1.455,1.46,1.45,1.46,1400
874,1.45,1.46,1.45,1.455,950
875,1.45,1.45,1.45,1.45,200
876,1.4,1.45,1.4,1.45,3754
877,1.4,1.425,1.4,1.41,700
878,1.4087,1.4399,1.4,1.425,11242
879,1.5,1.525,1.4,1.425,22474
880,1.5,1.5,1.5,1.5,600
881,1.475,1.475,1.475,1.475,115
882,1.475,1.475,1.475,1.475,100
883,1.5231,1.5231,1.5,1.5,3800
884,1.5,1.5,1.5,1.5,100
886,1.5,1.5,1.5,1.5,300
888,1.5,1.5,1.5,1.5,100
889,1.525,1.525,1.5,1.5,400
892,1.45,1.5,1.45,1.5,12092
893,1.55,1.55,1.5,1.55,655
894,1.5,1.5,1.5,1.5,100
895,1.45,1.45,1.45,1.45,200
897,1.475,1.475,1.45,1.475,400
898,1.5,1.5,1.475,1.475,400
899,1.475,1.495,1.45,1.475,2900
900,1.475,1.475,1.475,1.475,100
901,1.45,1.475,1.45,1.475,875
902,1.475,1.475,1.475,1.475,800
903,1.5,1.5,1.45,1.45,2438
a1493731800,1.45,1.45,1.45,1.45,2289
3,1.4805,1.4805,1.4805,1.4805,300
4,1.45,1.45,1.45,1.45,200
5,1.425,1.45,1.425,1.45,13493
6,1.45,1.45,1.45,1.45,3803
7,1.45,1.45,1.45,1.45,100
9,1.45,1.45,1.45,1.45,600
11,1.45,1.45,1.4,1.45,4138
12,1.4,1.45,1.4,1.45,200
13,1.4,1.425,1.4,1.425,7215
15,1.4,1.4,1.4,1.4,100
16,1.425,1.425,1.425,1.425,100
17,1.44,1.44,1.44,1.44,215
18,1.4,1.4,1.4,1.4,100
19,1.4,1.425,1.4,1.425,250
20,1.4,1.445,1.4,1.445,211
22,1.425,1.425,1.4,1.4,300
24,1.425,1.425,1.4,1.425,782
25,1.4,1.4,1.4,1.4,200
26,1.4,1.425,1.4,1.425,1470
27,1.425,1.425,1.4,1.4,300
28,1.4,1.43,1.4,1.425,900
29,1.4,1.4,1.4,1.4,100
30,1.425,1.425,1.425,1.425,100
32,1.4,1.425,1.4,1.4,700
33,1.4,1.425,1.4,1.4,1100
34,1.4,1.4,1.4,1.4,325
35,1.4,1.4,1.4,1.4,600
36,1.4,1.425,1.4,1.4,840
37,1.425,1.425,1.425,1.425,250
38,1.4,1.4,1.4,1.4,605
39,1.4,1.43,1.4,1.4,6273
144,1.4,1.4,1.4,1.4,1537
