EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,55,55,54.95,54.95,50185
1,55.72,55.8297,54.87,54.99,183568
2,55.85,55.88,55.63,55.715,24783
3,55.71,55.895,55.69,55.87,51996
4,55.71,55.77,55.64,55.7,28024
5,55.715,55.73,55.56,55.73,37555
6,55.56,55.73,55.48,55.71,43876
7,55.09,55.55,55.09,55.54,130992
8,55.25,55.3,55.07,55.1,122917
9,55.21,55.27,55.17,55.26,41628
10,55.09,55.2375,55.09,55.21,74124
11,54.94,55.1,54.94,55.1,50880
12,55.01,55.02,54.935,54.95,39438
13,54.95,55.09,54.94,55.005,52976
14,55.07,55.09,54.97,54.975,33411
15,55.03,55.07,54.99,55.07,31441
16,55.118,55.18,55,55.03,25055
17,55.03,55.11,55.03,55.11,30671
18,55,55.09,54.96,55.03,33573
19,55.01,55.0699,55.005,55.01,12067
20,55.065,55.09,55,55,26689
21,55.03,55.1,55.03,55.065,20265
22,55,55.05,54.9,55.02,56449
23,55,55.015,54.95,55.005,30482
24,54.94,55.01,54.9,55.01,51824
25,55.015,55.03,54.94,54.94,42237
26,55.01,55.05,54.995,55.01,38779
27,55,55.02,54.975,55.015,31080
28,54.99,55.01,54.98,55,46372
29,55,55.02,54.98,54.99,20343
30,55.0075,55.01,54.955,55,28496
31,55.08,55.105,55.01,55.01,30353
32,55,55.09,55,55.071,22016
33,55,55.13,55,55,40871
34,54.99,55.08,54.98,55.01,65730
35,54.945,55,54.93,54.995,42153
36,54.895,54.95,54.861,54.95,116804
37,54.895,54.95,54.82,54.895,121996
38,54.85,54.93,54.805,54.9,122459
39,54.9,54.92,54.84,54.88,305121
144,54.87,54.87,54.87,54.87,8633
145,54.94,55.25,54.81,54.855,54669
146,54.975,55.06,54.86,54.87,22142
147,55.08,55.14,54.975,54.99,26923
148,55.09,55.23,55.09,55.11,23301
149,54.94,55.12,54.94,55.09,23035
150,55,55.03,54.91,54.96,17140
151,54.895,55.03,54.81,55.01,34169
152,54.8999,54.91,54.81,54.895,28702
153,55.0799,55.09,54.88,54.89,38513
154,55.05,55.18,55.05,55.0799,15878
155,55.06,55.14,55.05,55.05,14845
156,55.03,55.09,54.965,55.04,15629
157,55.005,55.08,54.97,55.05,21832
158,54.93,55.005,54.87,55,25905
159,54.86,54.98,54.83,54.93,21026
160,54.79,54.86,54.79,54.86,18191
161,54.83,54.84,54.74,54.81,28977
162,54.85,54.89,54.81,54.82,13053
163,54.89,54.91,54.84,54.85,10794
164,54.88,54.93,54.85,54.86,13702
165,54.98,55,54.87,54.88,11692
166,54.99,54.99,54.92,54.98,9279
167,54.98,55.01,54.96,55,21755
168,54.96,55,54.94,54.975,14839
169,54.92,54.96,54.92,54.94,8700
170,54.975,55.01,54.92,54.94,40014
171,54.9575,55,54.95,54.96,11900
172,54.98,55.01,54.935,54.98,10802
173,54.92,54.99,54.91,54.98,83238
174,54.97,54.975,54.85,54.91,40336
175,54.98,55.01,54.965,54.98,15035
176,55.04,55.05,54.97,54.98,29371
177,55.13,55.16,55.04,55.04,17920
178,55.2,55.21,55.11,55.13,27521
179,55.31,55.33,55.2,55.21,33602
180,55.37,55.38,55.3,55.32,31216
181,55.29,55.38,55.29,55.37,44369
182,55.13,55.28,55.11,55.27,54763
183,55.14,55.19,55.12,55.13,189117
288,55.04,55.04,55.04,55.04,9842
289,55.25,55.48,55.17,55.2032,3900
290,55.82,55.86,55.23,55.23,18058
291,55.89,55.92,55.79,55.85,15962
292,56.06,56.06,55.885,55.89,41340
293,56.125,56.2157,56.032,56.032,34873
294,56.02,56.15,55.9968,56.125,14214
295,56.15,56.205,55.88,56.015,26431
296,56.2,56.24,56.13,56.15,23481
297,56.44,56.44,56.17,56.2,67301
298,56.33,56.6,56.33,56.42,73524
299,56.33,56.42,56.27,56.32,22230
300,56.134,56.34,56.11,56.325,134164
301,56.23,56.23,56.03,56.13,37184
302,56.44,56.5,56.22,56.24,115177
303,56.47,56.53,56.35,56.445,51418
304,56.34,56.5,56.31,56.48,42696
305,56.445,56.48,56.33,56.35,29747
306,56.52,56.52,56.4,56.445,15811
307,56.71,56.71,56.52,56.52,23644
308,56.73,56.85,56.69,56.7,20676
309,56.81,56.82,56.7,56.725,46298
310,56.88,56.92,56.77,56.81,38717
311,57.0598,57.08,56.87,56.89,39945
312,56.97,57.08,56.95,57.05,40264
313,56.76,56.985,56.76,56.985,15908
314,56.78,56.78,56.69,56.76,24598
315,56.92,56.92,56.77,56.79,24123
316,56.72,57,56.72,56.91,36727
317,56.75,56.76,56.71,56.724,15358
318,56.74,56.82,56.69,56.75,31656
319,56.75,56.8,56.7,56.74,23438
320,56.835,56.85,56.6903,56.75,27701
321,56.72,56.84,56.695,56.84,362704
322,56.57,56.71,56.57,56.71,32890
323,56.48,56.61,56.48,56.575,42913
324,56.55,56.59,56.48,56.485,55241
325,56.5,56.6,56.48,56.55,65895
326,56.52,56.535,56.49,56.49,41629
327,56.46,56.56,56.43,56.52,177738
432,56.4,56.4,56.4,56.4,9736
433,56.23,56.6,55.79,55.79,18403
434,55.94,56.27,55.89,56.227,24967
435,55.72,56.01,55.68,55.93,26595
436,55.66,55.81,55.635,55.74,19736
437,55.6,55.7,55.535,55.6679,11975
438,55.44,55.69,55.34,55.55,44029
439,55.5,55.51,55.42,55.42,26749
440,55.45,55.53,55.42,55.5,16757
441,55.57,55.57,55.42,55.45,7519
442,55.54,55.61,55.54,55.57,28290
443,55.52,55.56,55.5,55.56,5889
444,55.63,55.665,55.52,55.54,11406
445,55.64,55.7,55.61,55.66,5014
446,55.79,55.79,55.64,55.67,8136
447,55.9,55.9,55.78,55.78,6746
448,55.98,55.98,55.9,55.9,11350
449,55.9797,56,55.96,55.9632,8903
450,55.99,56,55.96,55.96,10252
451,55.98,55.98,55.9499,55.98,9098
452,56,56.01,55.95,55.97,11991
453,55.95,55.99,55.9,55.99,8609
454,55.96,55.98,55.93,55.96,5407
455,55.96,56.01,55.96,55.98,13735
456,56,56.01,55.95,55.96,9450
457,56.07,56.07,55.99,55.99,5416
458,55.99,56.06,55.99,56.06,3331
459,55.95,56.01,55.93,56.01,27104
460,55.96,56.02,55.947,55.947,7959
461,55.85,55.96,55.81,55.96,31142
462,55.8132,55.86,55.8132,55.85,9089
463,55.8,55.86,55.8,55.82,7642
464,55.81,55.83,55.77,55.805,9139
465,55.84,55.84,55.805,55.82,11750
466,55.91,55.91,55.83,55.84,15882
467,55.85,55.93,55.85,55.91,21706
468,55.84,55.86,55.82,55.85,12382
469,55.82,55.86,55.82,55.84,21040
470,55.84,55.85,55.785,55.82,37812
471,55.86,55.9,55.81,55.85,130315
864,57.42,57.46,57.37,57.38,23173
865,57.03,57.8,56.78,57.21,74512
866,57.185,57.25,56.86,57.046,38897
867,57.3,57.32,57.11,57.21,60443
868,57.29,57.39,57.21,57.295,63145
869,57.57,57.72,57.29,57.31,53086
870,57.66,57.72,57.48,57.57,50316
871,57.42,57.75,57.4,57.63,61045
872,57.35,57.48,57.32,57.41,49271
873,57.255,57.39,57.19,57.35,55065
874,57.24,57.325,57.2,57.25,26466
875,57.335,57.38,57.16,57.25,34054
876,57.28,57.3051,57.22,57.3051,20411
877,56.97,57.2725,56.95,57.27,49376
878,56.895,57,56.85,56.95,41079
879,56.9274,57.02,56.88,56.9,48205
880,56.89,56.985,56.83,56.91,23232
881,56.85,56.96,56.84,56.89,24295
882,56.86,56.87,56.77,56.85,10995
883,56.88,56.89,56.81,56.86,13114
884,56.79,56.86,56.79,56.86,13353
885,56.74,56.8361,56.664,56.8,83382
886,56.915,56.93,56.75,56.75,38505
887,57,57.04,56.9,56.91,23251
888,56.94,57.04,56.94,56.99,16167
889,56.8501,56.96,56.85,56.9596,21876
890,56.94,56.97,56.83,56.86,19473
891,56.96,56.96,56.93,56.94,23995
892,56.9,56.96,56.86,56.955,32733
893,56.85,56.93,56.85,56.92,17878
894,56.84,56.89,56.79,56.84,18880
895,56.81,56.8899,56.76,56.85,20941
896,56.82,56.865,56.78,56.81,35857
