EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,3,3,3,3,127
1,3.03,3.03,2.93,2.93,400
2,3.04,3.04,3.03,3.03,400
3,3.04,3.05,3.02,3.0492,2700
4,3.06,3.1099,3.04,3.04,15400
5,3.09,3.09,3.0401,3.07,2250
6,3.07,3.0999,3.07,3.0999,5000
7,3.06,3.06,3.06,3.06,100
8,3.06,3.06,3.035,3.055,1300
10,3.06,3.06,3.05,3.05,1050
11,3.055,3.06,3.055,3.0557,975
12,3.08,3.08,3.055,3.06,1200
13,3.1,3.1,3.065,3.08,11700
14,3.0901,3.0901,3.0901,3.0901,1000
15,3.1,3.1,3.0999,3.0999,1300
16,3.1,3.14,3.1,3.1,9700
17,3.11,3.1199,3.0931,3.0931,2400
21,3.11,3.11,3.1,3.1,500
22,3.09,3.128,3.09,3.12,2600
24,3.1,3.1,3.1,3.1,1550
25,3.1,3.1,3.1,3.1,100
26,3.1,3.1,3.1,3.1,100
28,3.11,3.11,3.095,3.11,900
29,3.1111,3.12,3.1,3.1,4314
31,3.18,3.18,3.1,3.13,28900
32,3.1522,3.17,3.1522,3.17,2785
33,3.1548,3.18,3.1548,3.17,700
34,3.14,3.25,3.14,3.16,32678
35,3.16,3.17,3.16,3.17,200
36,3.17,3.17,3.16,3.17,1500
37,3.18,3.19,3.15,3.165,2300
38,3.17,3.18,3.16,3.17,3065
39,3.16,3.18,3.15,3.18,8175
144,3.17,3.17,3.17,3.17,316
145,3.149,3.17,3.149,3.17,5865
146,3.17,3.17,3.17,3.17,200
147,3.19,3.2,3.18,3.19,7871
148,3.24,3.252,3.2002,3.2002,19386
149,3.2452,3.2452,3.2452,3.2452,3000
150,3.21,3.23,3.21,3.23,4500
151,3.24,3.24,3.22,3.22,2200
152,3.245,3.245,3.245,3.245,500
154,3.24,3.245,3.24,3.245,6300
155,3.23,3.24,3.23,3.24,780
156,3.21,3.23,3.21,3.23,1492
157,3.2,3.2,3.2,3.2,100
158,3.2,3.2001,3.2,3.2001,284
159,3.2099,3.2099,3.205,3.205,2000
160,3.22,3.26,3.2,3.205,25199
161,3.23,3.25,3.22,3.22,1600
162,3.23,3.23,3.21,3.21,300
163,3.2404,3.2599,3.2404,3.2599,5300
166,3.2407,3.2407,3.2407,3.2407,600
167,3.25,3.25,3.25,3.25,200
169,3.25,3.25,3.25,3.25,100
170,3.22,3.26,3.22,3.25,800
171,3.25,3.25,3.23,3.2301,6300
172,3.2201,3.23,3.21,3.23,1400
174,3.2256,3.26,3.2256,3.24,1345
175,3.26,3.26,3.24,3.24,500
176,3.33,3.33,3.24,3.24,21210
177,3.29,3.33,3.2562,3.32,15292
178,3.3,3.32,3.29,3.29,1500
179,3.305,3.309,3.3,3.3,2200
180,3.33,3.345,3.3099,3.31,20035
181,3.34,3.35,3.33,3.3331,9300
182,3.32,3.345,3.32,3.345,8100
183,3.35,3.35,3.31,3.32,11458
288,3.32,3.32,3.32,3.32,323
289,3.29,3.3365,3.29,3.3365,9140
290,3.32,3.32,3.221,3.29,1600
291,3.2769,3.2769,3.2769,3.2769,2000
292,3.33,3.3399,3.295,3.3,1400
293,3.31,3.34,3.31,3.34,2250
294,3.3,3.3101,3.3,3.3101,1925
295,3.2699,3.29,3.24,3.29,4100
296,3.25,3.3,3.25,3.27,6200
297,3.2773,3.2773,3.23,3.25,500
298,3.3,3.3,3.25,3.2601,6510
300,3.3,3.3,3.3,3.3,100
302,3.32,3.32,3.32,3.32,100
303,3.32,3.32,3.32,3.32,1550
304,3.31,3.31,3.3014,3.3014,600
305,3.31,3.329,3.31,3.329,6672
306,3.32,3.32,3.31,3.31,900
307,3.37,3.37,3.31,3.31,3149
308,3.36,3.36,3.35,3.35,200
310,3.34,3.34,3.3302,3.34,2200
312,3.36,3.36,3.3332,3.3332,2900
313,3.3699,3.37,3.36,3.3651,6100
314,3.3699,3.3699,3.36,3.36,3365
315,3.37,3.37,3.37,3.37,100
316,3.36,3.3601,3.36,3.36,3690
317,3.37,3.37,3.37,3.37,200
318,3.36,3.36,3.36,3.36,106
319,3.355,3.355,3.355,3.355,100
320,3.36,3.36,3.36,3.36,100
321,3.3551,3.36,3.3551,3.36,400
322,3.35,3.35,3.35,3.35,100
323,3.35,3.36,3.33,3.355,1700
324,3.35,3.35,3.34,3.34,200
325,3.36,3.36,3.35,3.3501,1600
326,3.37,3.37,3.35,3.36,4728
327,3.38,3.38,3.35,3.38,12661
433,3.37,3.37,3.3298,3.33,800
435,3.35,3.355,3.3426,3.3426,1250
436,3.33,3.35,3.33,3.331,1400
438,3.33,3.3301,3.33,3.33,3757
439,3.35,3.37,3.34,3.34,4400
440,3.37,3.37,3.36,3.36,300
441,3.38,3.38,3.35,3.37,600
442,3.39,3.43,3.38,3.38,6100
443,3.42,3.4299,3.41,3.41,4200
444,3.42,3.43,3.42,3.4284,3700
445,3.4001,3.425,3.4,3.425,3000
446,3.41,3.41,3.41,3.41,400
447,3.39,3.4037,3.39,3.4,1916
448,3.3899,3.3899,3.38,3.38,1200
449,3.39,3.39,3.384,3.384,230
450,3.39,3.39,3.39,3.39,100
451,3.38,3.38,3.38,3.38,1300
452,3.38,3.38,3.38,3.38,700
453,3.382,3.382,3.38,3.38,530
454,3.4,3.4,3.4,3.4,100
455,3.35,3.373,3.32,3.37,7444
456,3.35,3.35,3.3352,3.3352,765
457,3.35,3.35,3.35,3.35,300
458,3.34,3.34,3.34,3.34,200
460,3.31,3.31,3.31,3.31,200
461,3.31,3.31,3.31,3.31,300
463,3.31,3.31,3.31,3.31,200
464,3.34,3.34,3.32,3.32,200
465,3.34,3.34,3.34,3.34,100
466,3.32,3.32,3.31,3.32,800
468,3.32,3.32,3.32,3.32,100
469,3.32,3.32,3.32,3.32,300
470,3.32,3.33,3.315,3.315,1285
471,3.33,3.35,3.32,3.32,2010
865,3.29,3.33,3.29,3.33,1538
866,3.31,3.31,3.26,3.26,1200
867,3.25,3.26,3.25,3.25,2500
868,3.22,3.22,3.21,3.22,1100
869,3.22,3.2494,3.22,3.2494,1100
870,3.28,3.28,3.21,3.25,500
871,3.25,3.26,3.25,3.26,200
872,3.25,3.25,3.25,3.25,400
873,3.26,3.26,3.25,3.26,700
874,3.23,3.24,3.23,3.24,400
876,3.22,3.27,3.22,3.27,595
877,3.26,3.26,3.26,3.26,100
879,3.29,3.29,3.23,3.23,200
881,3.24,3.2701,3.24,3.27,1300
883,3.26,3.26,3.22,3.22,300
884,3.25,3.25,3.23,3.23,200
885,3.25,3.25,3.25,3.25,100
886,3.26,3.27,3.25,3.26,836
887,3.29,3.29,3.25,3.27,300
889,3.3,3.3,3.26,3.2744,1150
890,3.28,3.3,3.28,3.3,400
891,3.27,3.3,3.27,3.3,200
892,3.26,3.2721,3.25,3.27,3498
893,3.27,3.27,3.25,3.251,1300
894,3.25,3.26,3.25,3.26,300
895,3.25,3.26,3.25,3.26,500
896,3.26,3.26,3.26,3.26,100
897,3.25,3.25,3.25,3.25,300
898,3.22,3.2501,3.21,3.25,3098
899,3.23,3.25,3.22,3.22,600
900,3.25,3.25,3.24,3.24,200
901,3.27,3.27,3.24,3.24,4400
902,3.265,3.27,3.26,3.27,2400
903,3.27,3.27,3.26,3.27,5631
a1493732400,3.25,3.2698,3.25,3.2698,670
2,3.2349,3.2349,3.2349,3.2349,200
3,3.18,3.23,3.11,3.23,5027
6,3.18,3.19,3.18,3.18,505
8,3.18,3.2,3.18,3.18,300
9,3.17,3.18,3.17,3.18,202
11,3.15,3.15,3.15,3.15,200
17,3.11,3.15,3.11,3.15,300
18,3.14,3.14,3.11,3.1307,1200
19,3.11,3.11,3.11,3.11,100
22,3.12,3.12,3.12,3.12,200
23,3.11,3.1499,3.11,3.1499,1500
25,3.15,3.15,3.13,3.13,500
26,3.13,3.14,3.13,3.14,500
27,3.16,3.16,3.16,3.16,100
28,3.17,3.17,3.17,3.17,100
29,3.18,3.18,3.13,3.1653,1500
35,3.1,3.15,3.1,3.15,3197
36,3.05,3.1,3.05,3.1,1900
