EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,9.76,9.76,9.76,9.76,100
1,9.754,9.754,9.754,9.754,136
3,9.86,9.92,9.8,9.8,2200
4,9.89,9.95,9.86,9.93,6376
5,9.91,9.92,9.86,9.9,900
6,9.91,9.91,9.89,9.89,200
7,9.9,9.92,9.88,9.895,2600
8,9.905,9.905,9.9,9.9,300
9,9.8848,9.89,9.8848,9.89,500
10,9.86,9.9,9.85,9.9,2200
11,9.7,9.9,9.69,9.88,20088
12,9.755,9.755,9.755,9.755,300
13,9.72,9.72,9.72,9.72,100
14,9.79,9.79,9.77,9.77,900
15,9.79,9.79,9.79,9.79,200
17,9.79,9.79,9.79,9.79,600
18,9.87,9.87,9.79,9.79,700
19,9.87,9.87,9.87,9.87,100
20,9.85,9.85,9.85,9.85,100
21,9.84,9.85,9.82,9.85,1600
22,9.85,9.85,9.84,9.84,615
23,9.85,9.85,9.85,9.85,610
24,9.94,10.05,9.84,9.84,18259
25,9.88,9.89,9.88,9.88,500
26,9.87,9.93,9.87,9.88,1431
27,9.89,9.9,9.84,9.9,800
28,9.9,9.95,9.82,9.84,5700
29,9.87,9.94,9.87,9.94,500
30,9.95,9.95,9.88,9.88,200
31,9.96,9.96,9.9264,9.95,2600
32,10.01,10.01,9.9904,9.9904,1600
33,10.02,10.07,9.97,10.05,1466
34,10.08,10.09,10.02,10.02,1200
35,10.05,10.05,10,10,400
36,10,10.05,9.99,10.05,1500
37,10.09,10.09,9.98,10,4604
38,10.08,10.08,9.94,10.03,6380
39,9.98,10.05,9.88,10.025,7455
144,9.97,9.97,9.97,9.97,100
145,9.86,9.98,9.86,9.98,200
146,10.06,10.06,10.06,10.06,100
150,9.9899,9.9899,9.98,9.98,200
151,9.98,9.98,9.98,9.98,100
152,9.97,9.97,9.97,9.97,100
153,9.96,9.96,9.92,9.95,2459
154,10.0399,10.05,9.99,10,2000
155,10.04,10.0899,9.96,10.04,3381
156,10.0799,10.0799,10.01,10.0799,900
157,10,10.0364,10,10.0364,200
158,10,10,10,10,100
159,10.02,10.02,10.02,10.02,100
160,9.9999,10.0399,9.9999,10,2200
161,9.9999,10,9.95,9.99,514
162,9.9965,9.9965,9.9965,9.9965,100
163,10,10,9.95,10,1840
165,10,10,10,10,400
166,10.0299,10.0299,9.99,10,2021
167,10.03,10.03,9.99,10.0099,1400
168,10.0399,10.04,10.02,10.04,400
170,10,10.02,10,10.02,223
171,10.02,10.0399,10.02,10.03,300
173,9.98,10.03,9.95,10,8847
174,10.03,10.04,10.01,10.019,3000
175,10.03,10.04,9.97,10.04,4844
176,10.03,10.04,10.02,10.03,2170
177,10.15,10.15,10.0197,10.03,12873
178,10.1,10.17,10.05,10.125,17150
179,10.1304,10.17,10.1,10.1,83408
180,10.1,10.12,10.07,10.08,51600
181,10.1,10.1399,10.1,10.13,10900
182,10.1299,10.13,10.09,10.1299,22163
183,10.11,10.14,10.09,10.12,6748
289,10.11,10.1888,10.11,10.11,1200
290,10.19,10.19,10.19,10.19,100
293,10.19,10.19,10.19,10.19,578
294,10.17,10.17,10.15,10.15,300
295,10.18,10.18,10.18,10.18,100
296,10.18,10.18,10.18,10.18,100
297,10.19,10.19,10.16,10.16,401
298,10.18,10.18,10.18,10.18,300
299,10.19,10.19,10.19,10.19,100
300,10.2,10.2,10.2,10.2,100
301,10.2,10.2,10.2,10.2,500
302,10.2,10.2,10.2,10.2,300
303,10.18,10.2,10.18,10.2,700
304,10.19,10.19,10.18,10.18,300
305,10.2,10.2,10.18,10.18,1900
306,10.18,10.18,10.18,10.18,200
307,10.18,10.18,10.18,10.18,300
308,10.18,10.18,10.18,10.18,300
309,10.18,10.2,10.17,10.18,995
310,10.18,10.18,10.18,10.18,400
311,10.18,10.2,10.18,10.18,400
312,10.18,10.18,10.18,10.18,200
313,9.96,10.18,9.96,10.18,5600
314,10.08,10.08,9.96,9.96,1653
315,9.94,10.045,9.94,10.02,1200
316,9.97,9.97,9.97,9.97,100
317,10.03,10.03,10.03,10.03,452
318,10.14,10.14,10.04,10.04,1336
319,10.13,10.13,10.11,10.125,300
320,10.12,10.125,10.11,10.125,1600
321,10.12,10.12,10.12,10.12,1224
322,10.14,10.14,10.14,10.14,300
323,10.19,10.19,10.14,10.14,700
324,10.18,10.19,10.18,10.19,800
325,10.18,10.19,10.14,10.18,900
326,10.18,10.18,10.18,10.18,404
327,10.16,10.2,10.16,10.2,3904
433,10.15,10.15,10.15,10.15,600
434,9.95,10.205,9.95,10.15,4130
435,10,10,9.87,9.87,1940
437,10.1185,10.19,10.09,10.17,1990
438,10.03,10.03,10.03,10.03,100
439,10.14,10.16,10.02,10.114,6100
441,10.03,10.15,10.03,10.15,600
443,10.105,10.105,10.105,10.105,100
445,10.18,10.18,10.105,10.105,200
448,10.12,10.18,10.12,10.17,500
449,10.1,10.1,10.1,10.1,400
450,10.1,10.1404,10.1,10.1,1500
451,10.12,10.15,10.04,10.1,8645
452,10.11,10.11,10.11,10.11,500
453,10.11,10.11,10.11,10.11,300
454,10.11,10.11,10.1,10.1,200
455,10.11,10.16,10.11,10.13,1100
458,10.13,10.13,10.12,10.12,200
459,10.125,10.125,10.1,10.1,200
460,10.19,10.19,10.14,10.14,2319
461,10.21,10.21,10.21,10.21,300
462,10.21,10.21,10.185,10.185,1000
463,10.19,10.21,10.16,10.2,3900
464,10.19,10.19,10.19,10.19,200
465,10.195,10.2,10.195,10.2,1300
466,10.2,10.2,10.19,10.2,500
467,10.19,10.195,10.19,10.195,600
468,10.17,10.17,10.15,10.15,400
469,10.15,10.19,10.15,10.1699,3400
470,10.15,10.18,10.15,10.1675,3000
471,10.15,10.15,10.12,10.15,1518
864,10.07,10.07,10.07,10.07,490
865,10.19,10.19,10.19,10.19,400
866,10.19,10.19,10.19,10.19,100
868,10.16,10.16,10.16,10.16,100
869,10.16,10.16,10.0844,10.0844,1100
870,10.17,10.17,10.17,10.17,100
871,10.18,10.18,10.18,10.18,250
872,10.17,10.17,10.17,10.17,100
874,10.16,10.16,10.16,10.16,100
876,10.17,10.17,10.17,10.17,100
878,10.15,10.15,10.15,10.15,100
879,10.15,10.15,10.12,10.1201,1600
882,10.16,10.16,10.15,10.15,200
883,10.17,10.17,10.1651,10.1651,1100
884,10.15,10.15,10.15,10.15,1000
885,10.09,10.1312,10.08,10.085,3400
886,10.11,10.15,10.11,10.15,200
887,10.15,10.15,10.15,10.15,100
891,10.15,10.15,10.15,10.15,100
892,10.15,10.15,10.15,10.15,200
893,10.15,10.15,10.15,10.15,100
895,10.14,10.14,10.14,10.14,100
897,10.15,10.15,10.15,10.15,200
898,10.03,10.03,10.03,10.03,100
899,10.11,10.11,10.11,10.11,600
900,10.12,10.12,10.12,10.12,200
901,10.0841,10.12,10.0841,10.12,400
902,10.12,10.12,10.09,10.1117,3150
903,10.1,10.14,10.1,10.14,899
a1493731800,10.31,10.31,10.31,10.31,2250
1,10.3,10.36,10.3,10.335,13499
2,10.25,10.29,10.14,10.14,4799
3,10.05,10.33,10.05,10.25,3117
4,10.34,10.34,10.08,10.22,5800
5,10.27,10.34,10.27,10.32,1300
6,10.277,10.277,10.25,10.25,1400
7,10.28,10.3,10.255,10.255,7100
8,10.13,10.2,10.13,10.2,7561
9,10.12,10.15,10.12,10.15,400
11,10.16,10.16,10.16,10.16,100
12,10.15,10.15,10.11,10.11,200
13,10.11,10.16,10.11,10.16,200
14,10.17,10.17,10.16,10.16,200
15,10.2,10.2,10.18,10.18,300
17,10.2498,10.2498,10.22,10.22,250
18,10.24,10.24,10.208,10.209,2251
19,10.23,10.24,10.23,10.2332,1200
20,10.23,10.23,10.23,10.23,300
22,10.15,10.2,10.15,10.2,200
25,10.175,10.175,10.175,10.175,100
26,10.2,10.2,10.18,10.18,200
27,10.2,10.2,10.2,10.2,100
29,10.2,10.2,10.2,10.2,100
30,10.1899,10.21,10.17,10.21,1200
31,10.1501,10.1501,10.1501,10.1501,1000
32,10.17,10.17,10.17,10.17,100
33,10.17,10.17,10.15,10.15,200
