EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,41.67,41.67,41.67,41.67,700
1,41.74,41.74,41.5,41.67,7800
2,41.78,41.78,41.754,41.754,200
4,41.83,41.83,41.78,41.78,300
6,41.79,41.79,41.79,41.79,100
7,41.7431,41.7431,41.7431,41.7431,120
8,41.7401,41.7994,41.7229,41.7229,1970
9,41.7348,41.75,41.7348,41.74,439
10,41.7001,41.7001,41.7001,41.7001,300
11,41.775,41.775,41.775,41.775,375
17,41.76,41.76,41.76,41.76,100
18,41.83,41.83,41.83,41.83,100
22,41.83,41.83,41.83,41.83,300
24,41.7681,41.8299,41.7681,41.8299,1205
25,41.8073,41.8073,41.7401,41.7401,6274
26,41.7696,41.8146,41.7696,41.7958,1994
28,41.8021,41.8021,41.7888,41.7888,935
29,41.8355,41.837,41.8204,41.8204,1568
30,41.798,41.8347,41.798,41.8347,3398
33,41.815,41.815,41.815,41.815,100
34,41.8292,41.8292,41.8292,41.8292,1800
35,41.8296,41.8296,41.8296,41.8296,180
36,41.9,41.9,41.83,41.83,200
37,41.7852,41.83,41.7852,41.83,1530
39,41.77,41.7848,41.77,41.7848,1169
144,41.62,41.62,41.62,41.62,1006
150,41.6445,41.6448,41.6272,41.6448,1205
153,41.71,41.71,41.71,41.71,100
154,41.7856,41.7856,41.7856,41.7856,3000
155,41.81,41.81,41.8,41.8,200
156,41.9143,41.93,41.8888,41.93,1145
157,42.03,42.03,42.03,42.03,100
160,41.9123,41.9123,41.9,41.9,400
161,41.92,41.92,41.92,41.92,100
163,41.95,41.95,41.95,41.95,100
165,42.029,42.029,42.029,42.029,3800
166,42.02,42.02,42.02,42.02,100
167,42.04,42.055,42.04,42.0523,829
168,42.027,42.027,42.027,42.027,150
169,42,42,41.93,41.93,400
172,41.91,41.91,41.91,41.91,100
173,41.88,41.88,41.8466,41.8466,1435
174,41.91,41.92,41.88,41.88,7662
175,41.97,41.97,41.89,41.9,6716
176,42.01,42.01,42,42,2000
177,42.06,42.06,41.961,41.961,2417
178,41.97,41.97,41.97,41.97,225
179,42.07,42.07,42.07,42.07,100
180,42.0282,42.0282,42.0282,42.0282,369
182,41.94,41.98,41.92,41.98,2091
183,41.88,41.9389,41.88,41.9389,1011
288,41.93,41.93,41.93,41.93,665
290,41.95,41.95,41.8601,41.8601,540
291,42.16,42.16,42.0584,42.0584,1496
292,42.0142,42.0142,41.9301,41.9301,224
294,42.05,42.06,42.05,42.06,375
296,41.955,41.97,41.95,41.95,800
299,41.9,41.9,41.9,41.9,250
308,41.89,41.89,41.89,41.89,720
312,41.9376,41.9376,41.9376,41.9376,225
314,41.9281,42.0099,41.9242,42.0099,935
315,41.8501,41.8506,41.85,41.85,1698
319,41.8748,41.8748,41.83,41.84,550
320,41.8401,41.8401,41.8401,41.8401,508
321,41.8401,41.8401,41.8401,41.8401,230
325,41.8558,41.8558,41.8558,41.8558,173
327,41.84,41.85,41.84,41.85,300
432,41.79,41.79,41.79,41.79,1137
437,41.8235,41.8235,41.76,41.76,520
438,41.695,41.695,41.695,41.695,100
440,41.678,41.7,41.678,41.69,701
441,41.65,41.668,41.65,41.668,498
442,41.641,41.641,41.641,41.641,1100
444,41.67,41.67,41.67,41.67,100
447,41.5516,41.5516,41.5516,41.5516,270
448,41.6,41.6,41.6,41.6,420
450,41.6439,41.6439,41.6439,41.6439,362
451,41.6294,41.6294,41.6294,41.6294,700
452,41.6,41.6,41.6,41.6,5630
453,41.61,41.61,41.574,41.574,225
454,41.61,41.61,41.6,41.61,600
455,41.58,41.58,41.58,41.58,100
459,41.5615,41.5836,41.5615,41.5836,662
463,41.55,41.55,41.55,41.55,200
464,41.57,41.57,41.57,41.57,100
465,41.4801,41.4801,41.48,41.48,200
468,41.5672,41.5672,41.5672,41.5672,122
469,41.53,41.53,41.53,41.53,100
470,41.61,41.61,41.61,41.61,100
471,41.41,41.58,41.41,41.58,552
864,41.62,41.62,41.62,41.62,854
866,41.6242,41.6242,41.6242,41.6242,159
867,41.6,41.6,41.6,41.6,135
869,41.5,41.51,41.5,41.5,3623
872,41.6564,41.6564,41.6564,41.6564,670
874,41.62,41.62,41.62,41.62,386
875,41.6665,41.6665,41.6665,41.6665,110
879,41.72,41.7273,41.716,41.7273,601
884,41.8745,41.8745,41.8745,41.8745,337
885,41.75,41.75,41.75,41.75,300
887,41.7929,41.8292,41.7929,41.8292,635
890,42,42,41.9994,41.9994,280
891,41.9355,42.0599,41.9201,41.9954,2912
892,42.0564,42.0564,42.0564,42.0564,725
894,41.95,41.9529,41.95,41.9529,463
896,41.9225,41.9225,41.9225,41.9225,200
897,41.9099,41.9099,41.9099,41.9099,290
898,41.793,41.793,41.793,41.793,300
899,41.82,41.845,41.82,41.845,604
900,41.919,41.919,41.919,41.919,145
903,41.98,41.99,41.91,41.91,400
a1493733000,41.74,41.91,41.73,41.91,1768
2,41.6972,41.6972,41.6972,41.6972,277
7,41.7699,41.7699,41.7699,41.7699,3793
9,41.74,41.74,41.7206,41.7206,527
10,41.715,41.715,41.68,41.68,528
12,41.69,41.69,41.69,41.69,170
17,41.7395,41.7395,41.7395,41.7395,312
21,41.573,41.7,41.573,41.7,30445
22,41.56,41.56,41.56,41.56,200
23,41.581,41.581,41.581,41.581,650
25,41.575,41.5838,41.56,41.5838,950
27,41.5823,41.5823,41.554,41.554,355
28,41.5326,41.5326,41.5326,41.5326,255
29,41.456,41.456,41.456,41.456,152
33,41.46,41.46,41.46,41.46,100
35,41.45,41.45,41.42,41.42,300
36,41.4487,41.4487,41.4487,41.4487,125
37,41.525,41.525,41.525,41.525,100
142,41.44,41.44,41.44,41.44,400
143,41.44,41.44,41.44,41.44,800
144,41.4,41.41,41.4,41.41,300
146,41.32,41.32,41.32,41.32,100
147,41.25,41.25,41.25,41.25,100
150,41.26,41.26,41.26,41.26,100
153,41.23,41.23,41.23,41.23,100
154,41.3,41.3,41.3,41.3,100
155,41.28,41.28,41.28,41.28,100
156,41.27,41.27,41.27,41.27,100
163,41.26,41.26,41.26,41.26,100
164,41.28,41.28,41.28,41.28,400
169,41.2701,41.2701,41.2701,41.2701,480
170,41.45,41.45,41.45,41.45,100
173,41.178,41.178,41.1201,41.16,1935
175,41.2122,41.2122,41.2122,41.2122,100
176,41.2611,41.2611,41.2611,41.2611,173
177,41.25,41.25,41.25,41.25,100
178,41.312,41.312,41.312,41.312,500
179,41.3026,41.3099,41.3022,41.3099,3828
181,41.36,41.37,41.28,41.2965,1421
287,41.58,41.65,41.58,41.65,600
289,41.4726,41.4726,41.4726,41.4726,120
291,41.51,41.51,41.5,41.5,324
292,41.466,41.466,41.466,41.466,224
296,41.3463,41.3463,41.2901,41.2901,2832
297,41.3049,41.3049,41.3049,41.3049,150
302,41.29,41.3,41.29,41.3,200
305,41.2165,41.2165,41.2165,41.2165,800
306,41.24,41.24,41.24,41.24,300
307,41.2341,41.24,41.2341,41.2399,745
312,41.18,41.2428,41.18,41.2428,1123
316,41.2867,41.2867,41.2867,41.2867,115
317,41.29,41.29,41.29,41.29,700
318,41.3895,41.39,41.3895,41.39,210
319,41.31,41.31,41.3001,41.3001,770
321,41.3,41.3,41.3,41.3,200
432,41.42,41.42,41.42,41.42,100
435,41.1701,41.26,41.1701,41.26,842
437,41.11,41.11,41.11,41.11,100
439,41.1484,41.1484,41.1484,41.1484,145
448,41.22,41.22,41.22,41.22,100
449,41.19,41.19,41.19,41.19,100
450,41.127,41.28,41.127,41.28,1004
456,41.2512,41.2512,41.2512,41.2512,2000
458,41.3551,41.3551,41.3551,41.3551,367
459,41.3495,41.3495,41.292,41.292,249
461,41.3158,41.3158,41.2995,41.2995,294
465,41.3298,41.3298,41.3298,41.3298,3937
466,41.3,41.3413,41.3,41.3413,1219
467,41.3677,41.41,41.36,41.36,1900
469,41.51,41.51,41.3824,41.3824,550
865,41.4578,41.4699,41.4578,41.4699,200
873,41.2626,41.2867,41.2626,41.2867,1068
876,41.2874,41.2874,41.2874,41.2874,513
878,41.252,41.252,41.252,41.252,200
