EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493132400,10.5,10.55,10.5,10.55,1000
2,10.55,10.55,10.55,10.55,100
4,10.65,10.65,10.65,10.65,100
5,10.7,10.7,10.7,10.7,1000
29,10.6,10.6,10.6,10.6,100
140,10.5535,10.5535,10.5535,10.5535,200
142,10.5604,10.5604,10.5604,10.5604,100
158,10.6026,10.6026,10.6026,10.6026,249
279,10.6,10.6,10.6,10.6,100
280,10.6,10.6,10.6,10.6,800
282,10.7,10.7,10.7,10.7,500
283,10.55,10.55,10.55,10.55,200
285,10.5,10.5,10.5,10.5,700
286,10.5477,10.5477,10.5,10.5,793
287,10.6,10.6,10.6,10.6,1000
297,10.55,10.55,10.55,10.55,200
298,10.5415,10.5415,10.5415,10.5415,200
306,10.6,10.6,10.6,10.6,100
308,10.678,10.678,10.678,10.678,150
424,10.551,10.551,10.551,10.551,100
428,10.7,10.7,10.65,10.7,2707
447,10.6253,10.6253,10.6253,10.6253,400
884,10.55,10.5511,10.55,10.5511,200
889,10.65,10.65,10.65,10.65,100
a1493739600,10.55,10.6,10.55,10.6,295
4,10.65,10.65,10.65,10.65,100
7,10.65,10.65,10.65,10.65,100
12,10.55,10.55,10.55,10.55,200
131,10.55,10.55,10.55,10.55,200
136,10.5625,10.5625,10.55,10.55,990
142,10.5252,10.5252,10.5252,10.5252,500
154,10.5001,10.5001,10.5,10.5,495
157,10.55,10.55,10.55,10.55,100
170,10.25,10.5,10.25,10.5,1900
275,10.45,10.5,10.45,10.5,899
276,10.5,10.5,10.5,10.5,100
280,10.35,10.35,10.35,10.35,100
281,10.35,10.4387,10.3378,10.3378,1000
285,10.2834,10.2834,10.2834,10.2834,250
286,10.4008,10.403,10.4,10.4,1900
288,10.5,10.5,10.5,10.5,100
290,10.55,10.55,10.55,10.55,200
294,10.5096,10.5096,10.5096,10.5096,100
310,10.55,10.55,10.5495,10.5495,2000
419,10.5,10.5,10.5,10.5,500
420,10.5,10.5035,10.5,10.5035,1000
424,10.5,10.503,10.5,10.5,3297
426,10.5,10.5,10.5,10.5,1000
430,10.5,10.5,10.5,10.5,100
432,10.5,10.5,10.5,10.5,100
442,10.5,10.5,10.5,10.5,100
867,10.55,10.55,10.55,10.55,400
868,10.55,10.55,10.55,10.55,100
869,10.61,10.61,10.5,10.5,5000
871,10.5307,10.5307,10.5307,10.5307,400
884,10.6,10.6,10.6,10.6,135
885,10.6,10.6,10.6,10.6,200
890,10.6,10.6,10.5534,10.6,2400
a1494424200,10.6008,10.65,10.6,10.6,800
2,10.6,10.6,10.6,10.6,1651
36,10.6999,10.7,10.6999,10.7,1049
148,10.6352,10.6352,10.6352,10.6352,3500
152,10.6,10.6,10.6,10.6,140
171,10.75,10.75,10.75,10.75,100
286,10.95,10.95,10.95,10.95,1423
290,11.1,11.1,11.0175,11.0175,300
294,11.0001,11.0001,11.0001,11.0001,200
295,11.05,11.05,11.05,11.05,197
296,11.05,11.05,11.05,11.05,100
297,11.0262,11.0262,11.0215,11.0215,1100
301,11.05,11.05,11.05,11.05,200
307,11.15,11.15,11.15,11.15,100
309,11.15,11.15,11.15,11.15,100
312,11.15,11.15,11.15,11.15,100
314,11.0801,11.0801,11.0801,11.0801,100
321,11.0415,11.0415,11.0415,11.0415,100
737,11.128,11.128,11.128,11.128,385
740,11.0202,11.0202,11.0202,11.0202,150
870,11.0499,11.0499,11.0499,11.0499,300
874,11,11,11,11,434
895,11,11,11,11,150
a1495027800,10.85,10.85,10.85,10.85,100
10,11,11,11,11,100
147,10.886,10.886,10.886,10.886,100
182,10.95,10.95,10.95,10.95,200
291,11.05,11.05,11,11,1500
292,11.15,11.15,11.05,11.05,1274
297,11.15,11.15,11.15,11.15,200
300,11.15,11.15,11.15,11.15,100
301,11.1229,11.1229,11.1229,11.1229,100
302,11.1,11.1125,11.1,11.1125,600
745,10.9043,10.9043,10.9043,10.9043,125
868,10.9164,10.9164,10.9164,10.9164,100
894,11.07,11.07,11.07,11.07,1920
901,11.15,11.15,11.0001,11.0001,1100
903,11.1,11.1,11.1,11.1,100
a1495719600,11.2,11.2,11.15,11.15,3753
3,11.25,11.25,11.2428,11.2428,3100
8,11.25,11.25,11.25,11.25,100
9,11.3,11.3,11.3,11.3,100
11,11.3,11.3,11.3,11.3,100
38,11.25,11.25,11.25,11.25,100
143,11.3,11.3,11.3,11.3,100
150,11.1167,11.1167,11.1167,11.1167,250
175,11.3,11.3,11.3,11.3,100
182,11.2,11.25,11.15,11.25,1510
725,11.3,11.3,11.3,11.3,100
744,11.35,11.35,11.3,11.3,2390
746,11.35,11.35,11.3499,11.3499,400
751,11.35,11.35,11.35,11.35,100
755,11.3,11.3094,11.3,11.301,551
867,11.3,11.3,11.3,11.3,400
868,11.3124,11.3124,11.3,11.3,1300
892,11.3379,11.3379,11.3379,11.3379,162
895,11.35,11.35,11.35,11.35,100
897,11.3165,11.3165,11.3165,11.3165,1000
899,11.3096,11.3096,11.3096,11.3096,956
900,11.35,11.35,11.3252,11.3252,200
901,11.35,11.35,11.35,11.35,100
902,11.3,11.3,11.3,11.3,220
a1496323800,11.4,11.4,11.4,11.4,183
2,11.4465,11.4465,11.4465,11.4465,195
3,11.431,11.431,11.431,11.431,262
4,11.45,11.45,11.449,11.4499,300
11,11.45,11.45,11.45,11.45,100
14,11.5,11.5,11.45,11.45,1210
16,11.52,11.55,11.52,11.55,459
17,11.5999,11.5999,11.5999,11.5999,3000
19,11.6,11.6,11.6,11.6,223
21,11.6,11.6,11.6,11.6,100
22,11.65,11.65,11.65,11.65,100
26,11.6,11.6,11.6,11.6,100
27,11.64,11.65,11.59,11.6,400
33,11.6122,11.65,11.6122,11.65,300
34,11.6179,11.6179,11.617,11.617,590
35,11.629,11.629,11.629,11.629,128
37,11.65,11.65,11.65,11.65,100
39,11.55,11.65,11.55,11.6374,699
144,11.65,11.65,11.65,11.65,104
147,11.7,11.75,11.7,11.7,2473
148,11.7374,11.7374,11.7374,11.7374,1000
150,11.65,11.65,11.65,11.65,300
154,11.75,11.75,11.75,11.75,100
156,11.73,11.73,11.73,11.73,1150
157,11.7035,11.7099,11.7035,11.7099,350
158,11.75,11.75,11.75,11.75,100
159,11.725,11.725,11.725,11.725,900
160,11.75,11.75,11.75,11.75,100
171,11.725,11.725,11.725,11.725,100
172,11.74,11.74,11.74,11.74,200
174,11.7,11.7,11.7,11.7,100
179,11.7,11.7,11.7,11.7,100
180,11.7091,11.7091,11.7091,11.7091,1000
181,11.75,11.75,11.7254,11.7254,441
183,11.75,11.75,11.75,11.75,100
576,11.75,11.75,11.75,11.75,255
577,11.7,11.7,11.7,11.7,100
583,11.501,11.501,11.501,11.501,500
588,11.85,11.85,11.75,11.75,1250
603,11.7516,11.7516,11.7516,11.7516,100
604,11.7117,11.7118,11.7,11.7,2458
605,11.8,11.8,11.8,11.8,100
611,11.85,11.85,11.8409,11.85,1000
721,11.65,11.65,11.65,11.65,100
727,11.845,11.845,11.654,11.654,825
733,11.85,11.85,11.85,11.85,100
736,11.701,11.701,11.701,11.701,100
740,11.7,11.7,11.7,11.7,2226
746,11.85,11.85,11.85,11.85,100
758,11.85,11.85,11.85,11.85,100
868,11.7,11.7,11.7,11.7,100
870,11.7574,11.7574,11.7574,11.7574,260
873,11.8,11.85,11.8,11.8,3686
875,11.75,11.75,11.75,11.75,109
880,11.85,11.85,11.85,11.85,200
881,11.85,11.85,11.847,11.847,555
888,11.9048,11.9048,11.9048,11.9048,100
897,11.95,11.95,11.95,11.95,100
a1496931600,11.9,11.9,11.9,11.9,200
1,11.9213,11.9213,11.9213,11.9213,100
4,11.95,11.95,11.95,11.95,500
6,11.95,11.95,11.95,11.95,1004
7,11.9005,11.9323,11.9005,11.9323,610
10,11.95,11.95,11.95,11.95,300
11,11.9,11.9,11.9,11.9,100
13,11.95,11.95,11.95,11.95,100
23,11.891,11.891,11.891,11.891,100
24,11.8723,11.8723,11.8723,11.8723,306
29,11.875,11.9,11.875,11.9,400
30,11.875,11.9,11.875,11.9,480
