EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,4.39,4.39,4.39,4.39,963
1,4.43,4.43,4.355,4.36,2460
2,4.47,4.47,4.42,4.42,4100
3,4.4208,4.48,4.42,4.48,3100
4,4.43,4.45,4.42,4.44,5520
5,4.4,4.43,4.37,4.42,7100
6,4.39,4.39,4.35,4.39,2600
7,4.38,4.39,4.38,4.38,500
8,4.4,4.4,4.35,4.38,1400
9,4.37,4.4,4.37,4.385,1590
10,4.39,4.39,4.38,4.38,1300
11,4.36,4.38,4.32,4.38,2176
12,4.4,4.4,4.359,4.359,1379
13,4.405,4.42,4.38,4.38,5062
14,4.4,4.42,4.4,4.41,2000
15,4.41,4.41,4.39,4.4,1100
16,4.399,4.405,4.399,4.405,500
17,4.38,4.39,4.36,4.39,1400
18,4.39,4.39,4.38,4.388,700
19,4.37,4.38,4.36,4.37,1300
20,4.365,4.37,4.35,4.36,13421
21,4.36,4.37,4.36,4.37,600
22,4.359,4.37,4.359,4.365,2100
23,4.3298,4.38,4.3,4.35,6668
24,4.339,4.34,4.339,4.34,4891
25,4.33,4.34,4.33,4.339,300
26,4.32,4.34,4.32,4.34,2001
27,4.34,4.34,4.31,4.31,1000
28,4.34,4.34,4.32,4.34,485
29,4.35,4.35,4.339,4.34,1000
30,4.365,4.37,4.3535,4.355,959
31,4.34,4.37,4.34,4.37,2100
32,4.33,4.348,4.3235,4.3235,1200
33,4.34,4.34,4.33,4.339,400
34,4.31,4.335,4.27,4.335,12900
35,4.32,4.327,4.3,4.3,1200
36,4.3,4.315,4.28,4.315,3300
37,4.27,4.3,4.22,4.29,12355
38,4.24,4.27,4.21,4.27,17036
39,4.23,4.26,4.22,4.235,29735
144,4.24,4.24,4.24,4.24,956
145,4.22,4.28,4.15,4.28,12343
146,4.27,4.29,4.24,4.26,4134
147,4.3,4.3,4.285,4.29,6800
148,4.3,4.3,4.29,4.3,7354
149,4.225,4.3,4.21,4.3,7014
150,4.24,4.25,4.23,4.23,4400
151,4.24,4.25,4.23,4.25,2900
152,4.235,4.245,4.23,4.23,5137
153,4.227,4.2353,4.21,4.235,9505
154,4.22,4.22,4.21,4.22,2000
155,4.22,4.22,4.21,4.22,2200
156,4.225,4.23,4.215,4.22,3527
157,4.235,4.24,4.225,4.225,9024
158,4.22,4.235,4.22,4.23,1609
159,4.23,4.23,4.21,4.21,1590
160,4.23,4.238,4.22,4.2257,575
161,4.22,4.24,4.22,4.24,2200
162,4.2,4.225,4.2,4.225,7300
163,4.21,4.21,4.205,4.205,1640
164,4.2,4.22,4.2,4.218,1000
165,4.2,4.22,4.2,4.21,1300
166,4.22,4.22,4.21,4.22,2050
167,4.215,4.22,4.215,4.215,400
168,4.19,4.22,4.16,4.22,11356
169,4.209,4.21,4.1801,4.19,2100
170,4.2,4.21,4.2,4.21,465
171,4.21,4.21,4.19,4.19,300
172,4.2,4.21,4.2,4.21,1413
173,4.21,4.218,4.21,4.218,400
174,4.22,4.22,4.21,4.21,2985
175,4.218,4.22,4.21,4.219,700
176,4.22,4.22,4.21,4.21,2743
177,4.21,4.22,4.21,4.22,1470
178,4.21,4.21,4.2,4.21,600
179,4.22,4.22,4.21,4.218,3600
180,4.22,4.22,4.215,4.22,1600
181,4.22,4.22,4.219,4.22,900
182,4.2153,4.22,4.195,4.22,3716
183,4.21,4.22,4.2,4.2153,10981
288,4.22,4.22,4.22,4.22,2561
289,4.22,4.25,4.22,4.25,5140
290,4.19,4.21,4.16,4.21,6590
291,4.17,4.19,4.169,4.169,850
292,4.1499,4.163,4.14,4.16,5545
293,4.14,4.15,4.14,4.15,7548
294,4.11,4.1499,4.11,4.1499,1950
295,4.11,4.1397,4.11,4.11,2804
296,4.125,4.1349,4.11,4.11,900
297,4.0391,4.1304,4.03,4.1304,16689
298,4.07,4.07,4,4.0468,23344
299,4.13,4.14,4.0759,4.0824,3710
300,4.1,4.1,4.1,4.1,400
301,4.1041,4.11,4.08,4.1,6300
302,4.05,4.1086,4.05,4.1086,6600
303,4.08,4.08,4.07,4.07,600
305,4.075,4.0899,4.07,4.08,6220
306,4.07,4.0754,4.07,4.07,2517
307,4.06,4.08,4.04,4.07,1933
308,4.05,4.0699,4.05,4.06,1150
309,4.065,4.065,4.06,4.06,600
310,4.06,4.06,4.06,4.06,100
311,4.0539,4.0601,4.0539,4.06,750
312,4.0501,4.06,4.04,4.05,5665
313,4.04,4.0473,4.04,4.04,1350
314,4.035,4.0483,4.02,4.045,12854
315,4.025,4.03,4.02,4.02,2385
316,4.01,4.0276,4.01,4.02,5265
317,4.01,4.01,4,4.01,2750
318,4.015,4.02,4,4.005,5999
319,4.059,4.059,4.02,4.02,5850
320,4.11,4.12,4.04,4.06,20656
321,4.08,4.09,4.08,4.09,600
322,4.08,4.09,4.06,4.08,800
323,4.09,4.09,4.075,4.075,1500
324,4.1,4.11,4.1,4.1,2800
325,4.1,4.105,4.09,4.1,1100
326,4.109,4.11,4.09,4.11,500
327,4.08,4.1,4.08,4.1,6250
432,4.08,4.08,4.08,4.08,200
433,4.07,4.11,4.05,4.08,2678
434,4.05,4.07,4.05,4.07,200
435,4.05,4.09,4.05,4.07,10400
436,4.03,4.06,4.03,4.06,10437
437,3.95,4.02,3.92,4.02,38354
438,3.94,3.97,3.94,3.96,2145
439,3.9,3.95,3.9,3.94,19760
440,3.91,3.91,3.89,3.9,6800
441,3.9172,3.92,3.9,3.91,3450
442,3.86,3.92,3.86,3.91,16345
443,3.89,3.89,3.86,3.86,13924
444,3.8692,3.895,3.86,3.895,15410
445,3.895,3.8968,3.86,3.86,6250
446,3.87,3.9,3.87,3.9,3921
447,3.8699,3.88,3.86,3.87,12901
448,3.89,3.89,3.8662,3.87,7533
449,3.878,3.89,3.87,3.885,7828
450,3.91,3.91,3.88,3.88,4450
451,3.91,3.91,3.8999,3.91,4300
452,3.92,3.92,3.91,3.91,2400
453,3.91,3.93,3.91,3.91,15526
454,3.9,3.91,3.89,3.905,5900
455,3.89,3.8999,3.89,3.8999,2301
456,3.9,3.901,3.89,3.9,3800
458,3.89,3.9,3.89,3.9,3200
459,3.88,3.8914,3.88,3.89,4700
460,3.9,3.9,3.88,3.88,1600
461,3.9,3.9,3.9,3.9,300
462,3.89,3.9,3.89,3.8901,3700
463,3.885,3.89,3.885,3.885,800
464,3.89,3.89,3.88,3.885,7050
465,3.8808,3.8852,3.88,3.88,1607
466,3.88,3.89,3.88,3.88,7677
467,3.87,3.885,3.87,3.88,4650
468,3.86,3.875,3.86,3.87,18350
469,3.8,3.86,3.8,3.86,12162
470,3.81,3.83,3.8,3.8,14027
471,3.82,3.82,3.8,3.81,79738
864,3.81,3.81,3.81,3.81,2945
865,3.8035,3.813,3.79,3.81,4245
866,3.8211,3.83,3.81,3.81,1200
867,3.76,3.81,3.7,3.81,24971
868,3.7386,3.759,3.7,3.7578,15092
869,3.74,3.74,3.727,3.727,2975
870,3.7,3.74,3.7,3.74,2500
871,3.73,3.7386,3.72,3.72,600
872,3.72,3.74,3.72,3.73,400
873,3.6313,3.72,3.63,3.72,21704
874,3.6723,3.69,3.615,3.635,23886
875,3.7,3.7,3.67,3.69,3100
876,3.6936,3.6936,3.68,3.69,2500
877,3.7,3.71,3.685,3.69,5941
878,3.7,3.7,3.6943,3.695,5511
879,3.7021,3.72,3.7,3.7,2725
880,3.74,3.74,3.71,3.71,8250
881,3.74,3.74,3.735,3.74,4500
882,3.74,3.74,3.735,3.735,3100
883,3.7301,3.74,3.73,3.739,3392
884,3.74,3.74,3.73,3.73,3400
885,3.72,3.73,3.7,3.73,2468
886,3.7288,3.7338,3.7288,3.7338,1300
887,3.73,3.73,3.724,3.7246,1596
888,3.72,3.725,3.71,3.725,1200
889,3.71,3.73,3.71,3.72,6933
890,3.72,3.73,3.72,3.73,1200
892,3.73,3.73,3.725,3.73,1489
893,3.73,3.73,3.73,3.73,700
894,3.725,3.725,3.72,3.72,200
895,3.72,3.73,3.71,3.725,2932
896,3.67,3.72,3.66,3.72,12477
