EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127600,28.99,28.99,28.64,28.66,800
1,28.59,28.99,28.59,28.662,1570
2,28.504,28.58,28.504,28.515,300
3,28.59,28.59,28.3549,28.48,1998
6,28.41,28.55,28.41,28.55,300
8,28.43,28.43,28.35,28.37,300
9,28.5,28.5,28.47,28.47,400
10,28.43,28.5234,28.43,28.5234,240
12,28.59,28.59,28.41,28.57,600
13,28.58,28.59,28.58,28.59,200
14,28.59,28.59,28.59,28.59,100
15,28.555,28.555,28.555,28.555,100
21,28.5,28.5,28.5,28.5,100
23,28.565,28.565,28.565,28.565,100
27,28.53,28.53,28.53,28.53,100
31,28.525,28.525,28.525,28.525,100
33,28.585,28.585,28.585,28.585,100
36,28.66,28.66,28.585,28.65,800
37,28.66,28.66,28.603,28.603,200
38,28.63,28.66,28.56,28.66,2096
143,28.52,28.52,28.52,28.52,103
144,28.57,28.67,27.7,27.7,945
145,28.24,28.24,28.24,28.24,100
146,28.53,28.53,28.53,28.53,100
147,28.1692,28.1692,28.1692,28.1692,128
148,28.31,28.31,28.31,28.31,100
149,28.5,28.5,28.34,28.34,500
150,28.49,28.5,28.46,28.4628,769
153,28.46,28.54,28.46,28.54,800
154,28.35,28.3635,28.35,28.3635,200
155,28.58,28.6,28.58,28.6,206
158,28.67,28.67,28.55,28.55,200
159,28.725,28.79,28.725,28.79,200
160,28.62,28.62,28.62,28.62,150
162,28.63,28.63,28.63,28.63,100
163,28.78,28.8,28.78,28.8,200
164,28.8,28.8,28.72,28.78,500
165,28.88,28.88,28.82,28.82,600
166,28.89,28.9,28.81,28.81,500
167,28.9098,29,28.905,29,700
168,28.95,28.95,28.95,28.95,200
169,29,29,28.99,28.99,200
172,28.85,28.85,28.85,28.85,400
174,28.94,28.94,28.94,28.94,100
177,28.77,28.94,28.77,28.94,200
179,28.98,29.02,28.95,28.95,4847
182,28.86,29.05,28.75,29.05,4217
287,29,29,29,29,146
302,28.96,28.96,28.96,28.96,100
306,28.92,28.92,28.92,28.92,100
310,28.84,28.84,28.84,28.84,100
314,28.79,28.8,28.63,28.63,300
316,28.74,28.78,28.74,28.78,1512
321,28.5702,28.575,28.5702,28.575,200
322,28.65,28.65,28.4,28.4301,11100
323,28.77,28.77,28.77,28.77,100
324,28.65,28.65,28.65,28.65,300
325,28.63,28.8,28.63,28.75,7978
326,28.74,28.74,28.57,28.65,2718
431,28.73,28.73,28.73,28.73,162
434,29.06,29.06,28.98,28.98,663
442,28.485,28.6,28.485,28.6,200
443,28.73,28.7731,28.6,28.61,2099
446,28.65,28.65,28.65,28.65,400
447,29.02,29.02,28.79,28.79,1400
448,29.01,29.01,29.01,29.01,100
449,28.615,28.66,28.615,28.66,300
450,28.615,28.615,28.615,28.615,100
452,28.76,28.76,28.67,28.67,500
453,28.75,28.81,28.75,28.81,1204
457,29.02,29.02,28.8,28.8,300
460,28.97,28.97,28.97,28.97,100
461,28.8109,28.8109,28.8109,28.8109,472
462,28.88,28.88,28.87,28.87,200
464,28.605,28.605,28.605,28.605,403
465,28.64,28.66,28.64,28.66,200
470,28.68,28.85,28.48,28.85,7211
863,28.7,28.7,28.7,28.7,152
865,28.5564,28.5564,28.5564,28.5564,150
868,28.645,28.645,28.645,28.645,100
871,28.87,28.87,28.635,28.635,200
872,28.6495,28.84,28.64,28.84,500
875,28.79,28.95,28.4199,28.54,2000
879,28.82,28.82,28.82,28.82,100
881,28.76,28.76,28.76,28.76,100
884,28.66,28.8,28.5,28.5,344
885,28.76,28.76,28.76,28.76,100
886,28.7095,28.7095,28.66,28.7,300
888,28.86,28.86,28.8,28.8,200
889,28.86,28.86,28.77,28.77,500
890,28.8,28.9,28.8,28.87,330
891,28.77,28.8495,28.76,28.76,1000
892,28.86,28.86,28.86,28.86,100
894,28.7565,28.7565,28.7565,28.7565,100
895,28.72,28.72,28.72,28.72,100
898,28.7,28.7,28.68,28.7,300
899,28.575,28.63,28.575,28.63,200
900,28.46,28.61,28.455,28.58,2656
901,28.59,28.595,28.58,28.595,400
902,28.63,28.64,28.55,28.59,3226
a1493734800,28.84,28.84,28.84,28.84,100
5,28.3201,28.3201,28.3201,28.3201,164
6,28.93,28.93,28.3201,28.42,1000
7,28.55,28.7329,28.4199,28.54,1887
16,28.98,28.98,28.98,28.98,100
17,28.775,28.775,28.775,28.775,100
18,28.99,28.99,28.775,28.775,200
34,28.74,28.91,28.74,28.87,1424
139,28.79,28.79,28.79,28.79,200
141,28.75,28.75,28.75,28.75,289
143,28.63,28.71,28.63,28.71,300
148,28.59,28.59,28.59,28.59,100
150,28.58,28.58,28.34,28.34,800
152,28.57,28.57,28.57,28.57,100
155,28.52,28.52,28.52,28.52,100
157,28.46,28.46,28.39,28.45,400
158,28.46,28.46,28.395,28.44,400
160,28.32,28.43,28.32,28.42,700
161,28.3301,28.3301,28.33,28.33,300
162,28.32,28.34,28.32,28.33,823
167,28.26,28.32,28.23,28.23,300
168,28.24,28.24,28.24,28.24,400
169,28.14,28.14,28.14,28.14,100
170,28.09,28.09,28.09,28.09,100
173,28.08,28.08,28.05,28.05,400
175,28.1419,28.1419,28.1419,28.1419,100
178,28.1,28.26,28.1,28.26,2588
283,28.28,28.28,28.28,28.28,106
299,27.995,27.995,27.99,27.99,600
306,28.02,28.02,27.99,28.02,300
307,27.9899,27.9999,27.9899,27.9999,300
308,27.62,27.8899,27.62,27.8899,900
309,27.65,27.65,27.65,27.65,100
310,27.455,27.615,27.455,27.48,400
312,27.55,27.55,27.55,27.55,100
314,27.55,27.55,27.55,27.55,100
315,27.8683,27.8683,27.4038,27.5462,2599
319,27.6,27.9063,27.6,27.9063,300
321,27.9,27.9,27.55,27.55,200
322,27.64,27.94,27.5901,27.94,1883
427,27.68,27.68,27.68,27.68,225
430,27.99,27.99,27.99,27.99,100
432,27.98,27.98,27.98,27.98,100
433,27.03,27.03,27.03,27.03,100
434,27.6254,27.6254,27.6254,27.6254,100
439,27.02,27.02,27.02,27.02,100
441,27.42,27.42,27.42,27.42,100
443,27.02,27.02,27.02,27.02,100
444,27.02,27.56,27.02,27.56,200
446,27.88,27.88,27.88,27.88,100
449,27.02,27.02,27.02,27.02,100
450,27.435,27.435,27.435,27.435,200
452,25.97,27.29,25.97,27.17,5398
453,26.21,26.21,26.21,26.21,100
456,26.235,26.4198,26.235,26.4198,351
457,26.49,26.49,26.48,26.48,1000
458,26.49,26.6,26.48,26.6,1250
459,26.68,26.79,26.59,26.59,2045
460,26.7,26.7,26.7,26.7,100
461,26.9519,26.989,26.9519,26.989,880
462,26.9,26.99,26.81,26.81,1050
463,26.65,26.65,26.63,26.63,300
465,26.64,26.72,26.63,26.66,900
466,26.48,26.79,26.48,26.79,5325
860,26.34,26.34,26.34,26.34,197
863,26.41,26.77,26.41,26.77,300
864,27.11,27.11,26.58,26.58,1300
872,27.14,27.14,27,27.01,1414
873,27.135,27.135,27.135,27.135,100
879,27.17,27.17,27.17,27.17,100
882,27.235,27.235,27.235,27.235,100
887,27.15,27.23,27.15,27.23,200
889,27.04,27.04,27.04,27.04,200
893,26.99,26.99,26.97,26.97,262
894,26.99,26.99,26.99,26.99,200
895,26.99,26.99,26.99,26.99,100
896,26.99,26.99,26.82,26.82,200
897,26.9068,26.9068,26.9068,26.9068,110
898,26.87,27,26.87,26.99,2907
a1494336600,27.01,27.01,27.01,27.01,569
1,27.232,27.232,27.232,27.232,200
3,27.06,27.06,27.06,27.06,100
8,26.78,26.93,26.73,26.93,500
11,26.78,26.79,26.78,26.79,400
12,26.72,26.72,26.7,26.7,200
16,26.6,26.6,26.6,26.6,182
19,26.51,26.6,26.51,26.6,400
21,26.54,26.55,26.54,26.55,800
23,26.51,26.54,26.51,26.51,1200
24,26.52,26.54,26.52,26.54,1600
26,26.55,26.68,26.53,26.53,300
27,26.55,26.55,26.55,26.55,100
29,26.57,26.65,26.57,26.65,200
31,26.57,26.57,26.57,26.57,100
32,26.53,26.53,26.53,26.53,200
34,26.51,26.51,26.51,26.51,300
