EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,5.95,5.95,5.95,5.95,612
1,5.9,5.95,5.9,5.95,3800
2,5.925,6,5.9,5.9,1800
3,5.95,5.95,5.9,5.9,8870
4,5.95,5.95,5.925,5.95,6778
5,5.925,5.95,5.925,5.95,9664
6,5.95,5.95,5.9,5.925,500
7,5.925,5.95,5.9,5.95,2600
8,5.925,5.925,5.9,5.9,400
9,5.9,5.95,5.9,5.925,1623
10,5.925,5.925,5.925,5.925,300
11,5.925,5.95,5.9,5.9,1300
12,5.95,5.95,5.9,5.9,600
13,5.925,5.95,5.9,5.925,1701
14,5.9,5.95,5.9,5.95,1300
15,5.9,5.925,5.9,5.9,1700
16,5.9,5.9,5.9,5.9,200
17,5.925,5.925,5.9,5.925,1000
18,5.925,5.925,5.9,5.9,4228
19,5.75,5.9,5.75,5.9,76806
20,5.775,5.8,5.75,5.775,8000
21,5.775,5.775,5.75,5.775,2690
22,5.7658,5.775,5.75,5.775,600
23,5.75,5.8,5.75,5.775,1757
24,5.775,5.8,5.75,5.775,6757
25,5.8,5.85,5.775,5.775,7300
26,5.8,5.85,5.8,5.8,500
27,5.85,5.85,5.8,5.8,700
28,5.825,5.85,5.8,5.825,1159
29,5.8,5.85,5.8,5.825,4798
30,5.8,5.8258,5.8,5.8258,500
31,5.7673,5.825,5.75,5.825,19761
32,5.775,5.775,5.75,5.775,900
33,5.775,5.775,5.75,5.75,200
34,5.775,5.775,5.75,5.75,4000
35,5.725,5.8,5.7,5.775,27288
36,5.7,5.75,5.7,5.75,7000
37,5.725,5.725,5.7,5.725,8160
38,5.725,5.75,5.7,5.725,9750
39,5.75,5.75,5.7,5.7,55077
144,5.7,5.7,5.7,5.7,955
145,5.75,5.85,5.7,5.7,2417
146,5.8,5.8,5.725,5.75,6653
147,5.8,5.8,5.75,5.775,3000
148,5.775,5.8,5.7,5.8,8891
149,5.775,5.775,5.775,5.775,900
150,5.775,5.775,5.75,5.775,1600
151,5.775,5.79,5.725,5.775,5543
152,5.775,5.8,5.775,5.775,1100
153,5.8,5.8,5.75,5.775,2200
154,5.775,5.8,5.775,5.8,1100
155,5.8,5.8,5.775,5.8,2900
156,5.9,5.9,5.775,5.775,4400
157,5.875,5.9,5.875,5.875,1500
158,5.875,5.9,5.875,5.9,870
159,5.925,5.95,5.9,5.9,4556
160,5.9187,5.95,5.9,5.95,6525
161,5.95,5.95,5.9,5.925,800
162,5.9,5.95,5.9,5.925,1200
163,5.925,5.95,5.9,5.925,1100
164,5.95,5.95,5.9,5.925,1352
165,5.925,5.95,5.925,5.925,1600
166,5.95,5.95,5.9,5.925,900
167,5.925,5.95,5.9,5.95,1200
168,5.9,5.95,5.9,5.925,15583
169,5.85,5.875,5.85,5.85,800
170,5.825,5.9,5.8,5.875,17516
171,5.825,5.875,5.825,5.825,7463
172,5.875,5.875,5.825,5.825,1850
173,5.875,5.9,5.85,5.9,7307
174,5.85,5.9,5.85,5.85,15803
175,5.84,5.875,5.84,5.85,11777
176,5.85,5.875,5.825,5.825,2800
177,5.85,5.85,5.85,5.85,5200
178,5.85,5.875,5.85,5.85,8000
179,5.84,5.85,5.825,5.85,1800
180,5.825,5.85,5.825,5.85,1705
181,5.825,5.85,5.8,5.825,3100
182,5.775,5.85,5.775,5.825,13922
183,5.75,5.8,5.75,5.775,148996
288,5.75,5.75,5.75,5.75,969
289,5.7305,5.7305,5.7,5.725,24790
290,5.7,5.75,5.7,5.725,3600
291,5.825,5.825,5.7,5.7,14080
292,5.8,5.84,5.8,5.825,3749
293,5.75,5.8,5.75,5.75,1800
294,5.775,5.8,5.75,5.75,2400
295,5.75,5.8,5.75,5.75,2718
296,5.725,5.75,5.725,5.725,800
297,5.7,5.75,5.7,5.725,1200
298,5.7,5.75,5.7,5.725,1600
299,5.75,5.75,5.7,5.75,300
300,5.75,5.75,5.75,5.75,300
301,5.725,5.75,5.7,5.705,1100
302,5.725,5.725,5.7,5.7,600
303,5.725,5.725,5.7,5.7,200
304,5.725,5.725,5.725,5.725,100
305,5.725,5.725,5.7,5.725,490
306,5.725,5.725,5.7,5.7,300
307,5.7,5.725,5.7,5.725,2242
308,5.725,5.725,5.7,5.7,1100
309,5.725,5.725,5.7,5.7,900
310,5.7,5.75,5.7,5.725,300
311,5.725,5.75,5.7,5.7,500
312,5.72,5.75,5.72,5.725,900
313,5.7656,5.775,5.725,5.75,4047
314,5.775,5.775,5.7658,5.775,300
315,5.775,5.8,5.75,5.775,1104
316,5.75,5.75,5.75,5.75,500
317,5.75,5.8,5.75,5.775,700
318,5.725,5.775,5.725,5.75,2457
319,5.725,5.75,5.725,5.75,300
320,5.725,5.75,5.71,5.75,1228
321,5.725,5.75,5.725,5.75,1100
322,5.74,5.75,5.725,5.725,4775
323,5.675,5.725,5.625,5.725,133934
324,5.675,5.7,5.65,5.65,1100
325,5.675,5.675,5.65,5.65,2200
326,5.65,5.7,5.65,5.675,1000
327,5.7,5.7,5.65,5.675,22896
432,5.75,5.75,5.75,5.75,861
433,5.75,5.75,5.75,5.75,1100
434,5.725,5.725,5.725,5.725,200
435,5.8,5.8,5.75,5.75,1592
436,5.75,5.8,5.725,5.75,3415
437,5.75,5.75,5.725,5.725,400
438,5.75,5.75,5.725,5.75,3400
439,5.75,5.75,5.725,5.725,1300
440,5.75,5.75,5.7,5.7,2000
441,5.75,5.775,5.7,5.75,10603
442,5.725,5.75,5.725,5.75,1100
443,5.75,5.75,5.725,5.725,300
444,5.75,5.75,5.725,5.75,1500
445,5.725,5.75,5.725,5.725,2600
446,5.74,5.75,5.725,5.75,2900
447,5.725,5.75,5.725,5.75,400
448,5.75,5.75,5.725,5.725,900
449,5.75,5.75,5.725,5.725,800
450,5.75,5.75,5.75,5.75,200
451,5.75,5.75,5.725,5.725,200
452,5.75,5.75,5.725,5.725,400
453,5.725,5.75,5.7,5.725,2253
454,5.7,5.725,5.7,5.7,28295
455,5.675,5.7,5.65,5.7,35115
456,5.65,5.675,5.65,5.675,2400
457,5.675,5.7,5.65,5.7,1900
458,5.675,5.7,5.65,5.675,2200
459,5.675,5.7,5.65,5.7,3200
460,5.7,5.7,5.65,5.7,1600
461,5.69,5.7,5.69,5.7,700
462,5.675,5.7,5.65,5.675,1800
463,5.675,5.7,5.65,5.65,700
464,5.675,5.7,5.65,5.7,500
465,5.65,5.675,5.65,5.675,500
466,5.65,5.7,5.65,5.675,500
467,5.65,5.7,5.65,5.675,800
468,5.675,5.675,5.65,5.675,600
469,5.675,5.7,5.65,5.65,1100
470,5.65,5.7,5.65,5.7,2775
471,5.65,5.7,5.65,5.675,25357
864,5.7,5.7,5.7,5.7,758
865,5.65,5.7,5.65,5.7,300
866,5.705,5.75,5.7,5.7,12584
867,5.75,5.75,5.75,5.75,100
868,5.725,5.75,5.725,5.725,400
869,5.725,5.725,5.725,5.725,1700
870,5.725,5.7314,5.725,5.725,1300
871,5.725,5.75,5.725,5.75,533
872,5.75,5.75,5.725,5.725,1750
873,5.725,5.75,5.725,5.725,800
874,5.725,5.725,5.725,5.725,700
875,5.725,5.75,5.725,5.725,1500
876,5.725,5.75,5.7,5.725,7620
877,5.725,5.75,5.725,5.75,3400
878,5.725,5.75,5.725,5.75,985
879,5.725,5.75,5.725,5.75,704
880,5.75,5.75,5.725,5.75,1792
881,5.75,5.75,5.75,5.75,100
882,5.75,5.75,5.725,5.725,3021
883,5.7062,5.75,5.7,5.725,41050
884,5.8,5.8,5.75,5.75,2684
885,5.775,5.8,5.75,5.8,7200
886,5.775,5.775,5.775,5.775,900
887,5.775,5.775,5.75,5.75,600
888,5.775,5.775,5.75,5.75,800
889,5.775,5.775,5.75,5.775,400
890,5.775,5.775,5.775,5.775,400
891,5.75,5.79,5.75,5.775,1200
892,5.725,5.75,5.725,5.75,3411
893,5.725,5.75,5.725,5.725,500
894,5.725,5.75,5.725,5.75,1125
895,5.725,5.75,5.725,5.75,2200
896,5.75,5.75,5.7,5.7,700
897,5.725,5.75,5.71,5.75,1375
