EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,2.98,2.98,2.98,2.98,2117
1,2.98,3,2.96,2.97,7900
2,2.99,3,2.97,2.98,9700
3,2.99,3.01,2.97,2.98,13115
4,2.995,3.01,2.97,2.99,48052
5,2.995,2.995,2.97,2.995,30418
6,3,3,2.99,3,2100
7,3,3.01,2.99,2.99,43809
8,2.9916,3.01,2.99,3,47734
9,3.04,3.04,2.99,2.99,35903
10,3.03,3.04,3.01,3.03,15614
11,3.01,3.025,3.01,3.02,8200
12,3.02,3.025,3,3.02,24600
13,3.04,3.04,3.025,3.025,18459
14,3.02,3.05,3.02,3.045,10000
15,3,3.0275,3,3.02,4200
16,2.96,3,2.95,3,53773
17,2.9899,2.99,2.95,2.96,15006
18,2.98,2.99,2.97,2.985,12388
19,2.97,2.98,2.97,2.98,2100
20,2.98,2.99,2.975,2.975,14402
21,2.9999,3,2.98,2.99,25200
22,2.98,3,2.97,2.999,41979
23,2.96,2.995,2.96,2.98,14252
24,2.9675,2.97,2.96,2.96,2200
25,2.96,2.9686,2.96,2.9686,6700
26,2.96,2.9675,2.96,2.96,3000
27,2.99,3,2.96,2.965,24169
28,2.99,3,2.99,2.995,3795
29,2.99,3,2.99,2.99,11900
30,2.98,3,2.98,2.99,5800
31,3,3.02,2.98,2.99,19923
32,3,3.01,3,3.01,4605
33,3.0075,3.01,2.995,2.995,57989
34,3.01,3.01,2.995,3.01,17708
35,3.005,3.01,3,3.01,2100
36,2.985,3.01,2.98,3,58397
37,2.98,2.99,2.97,2.98,28263
38,2.97,2.99,2.97,2.985,17849
39,2.95,2.99,2.95,2.97,131232
144,2.95,2.95,2.95,2.95,2573
145,2.98,2.99,2.95,2.95,4882
146,2.955,2.9801,2.95,2.98,36800
147,2.985,2.99,2.9575,2.9575,12766
148,2.99,2.99,2.9801,2.985,3538
149,2.99,2.99,2.98,2.985,4276
150,3,3,2.99,2.99,6264
151,3,3,2.98,2.995,6915
152,2.995,3,2.99,2.995,4800
153,3,3,2.99,3,9791
154,3,3,2.995,3,10450
155,3.01,3.02,2.99,3,145711
156,3.0608,3.07,2.99,3.005,175362
157,3.1,3.105,3.06,3.07,26194
158,3.14,3.15,3.1,3.11,20064
159,3.1,3.14,3.1,3.14,17170
160,3.11,3.11,3.1,3.1,700
161,3.095,3.12,3.09,3.11,40630
162,3.05,3.1,3.05,3.1,73617
163,3.08,3.08,3.055,3.06,6300
164,3.105,3.11,3.07,3.08,7039
165,3.105,3.11,3.1,3.1,16875
166,3.115,3.12,3.1,3.105,5300
167,3.13,3.14,3.11,3.11,221199
168,3.15,3.16,3.14,3.14,5392
169,3.155,3.16,3.15,3.15,4068
170,3.1735,3.2,3.1547,3.155,38268
171,3.18,3.18,3.18,3.18,1100
172,3.18,3.19,3.18,3.18,3100
173,3.21,3.22,3.18,3.18,19706
174,3.205,3.215,3.19,3.215,16403
175,3.22,3.22,3.2,3.2,21491
176,3.205,3.215,3.2,3.21,6051
177,3.22,3.24,3.2,3.205,54521
178,3.2,3.23,3.2,3.2247,14000
179,3.19,3.205,3.19,3.2,4000
180,3.195,3.195,3.19,3.19,7800
181,3.19,3.2,3.19,3.2,11498
182,3.17,3.195,3.17,3.19,23100
183,3.16,3.19,3.145,3.175,303949
288,3.17,3.17,3.17,3.17,2322
289,3.12,3.16,3.1,3.15,8456
290,3.15,3.15,3.11,3.12,2900
291,3.19,3.19,3.15,3.16,7207
292,3.1,3.18,3.1,3.18,3500
293,3.08,3.11,3.05,3.11,27501
294,3.11,3.11,3.03,3.07,33244
295,3.12,3.13,3.11,3.11,2885
296,3.09,3.13,3.09,3.125,5749
297,3.085,3.09,3.06,3.08,7717
298,3.08,3.09,3.08,3.085,700
299,3.06,3.08,3.06,3.08,5702
300,3.04,3.06,3.04,3.06,4110
301,3.06,3.065,3.04,3.045,4628
302,3.04,3.06,3.04,3.055,5290
303,3.04,3.05,3.04,3.04,5649
304,3.04,3.045,3.04,3.04,700
305,3.045,3.045,3.04,3.04,1100
306,3.05,3.06,3.05,3.05,4954
307,3.08,3.08,3.05,3.0501,4492
308,3.095,3.095,3.075,3.08,1625
309,3.075,3.095,3.075,3.09,2710
310,3.075,3.08,3.07,3.075,1956
311,3.07,3.08,3.07,3.07,2896
312,3.0635,3.065,3.06,3.06,2611
313,3.05,3.06,3.05,3.06,2021
314,3.055,3.06,3.05,3.055,4400
315,3.05,3.059,3.05,3.05,1200
316,3.075,3.075,3.05,3.059,2914
317,3.07,3.075,3.07,3.075,1300
318,3.07,3.08,3.065,3.065,2047
319,3.07,3.08,3.07,3.075,2800
320,3.05,3.065,3.05,3.065,2500
321,3.05,3.059,3.05,3.05,1400
322,3.07,3.08,3.05,3.055,8647
323,3.06,3.065,3.06,3.06,2900
324,3.05,3.07,3.05,3.06,5158
325,3.065,3.07,3.05,3.055,8336
326,3.075,3.08,3.06,3.07,3920
327,3.09,3.1,3.07,3.08,80780
432,3.1,3.1,3.1,3.1,4006
433,3.09,3.1,3.08,3.1,12665
434,3.1,3.11,3.09,3.1,9700
435,3.1,3.1,3.1,3.1,12520
436,3.1,3.1099,3.1,3.1,11439
437,3.08,3.09,3.08,3.09,5400
438,3.09,3.09,3.08,3.08,13067
439,3.08,3.09,3.08,3.09,1600
440,3.09,3.09,3.08,3.08,7200
441,3.095,3.1,3.09,3.09,1800
442,3.09,3.1,3.09,3.09,2446
443,3.08,3.09,3.08,3.09,5100
444,3.08,3.08,3.08,3.08,6300
445,3.09,3.1,3.07,3.07,10903
446,3.09,3.09,3.09,3.09,2900
447,3.09,3.09,3.09,3.09,5660
448,3.09,3.09,3.09,3.09,2200
449,3.09,3.09,3.09,3.09,6300
450,3.09,3.0947,3.09,3.09,3820
451,3.09,3.095,3.09,3.09,2800
452,3.085,3.09,3.085,3.09,3781
453,3.08,3.08,3.08,3.08,3900
454,3.06,3.08,3.06,3.08,4096
455,3.08,3.08,3.06,3.07,7100
456,3.075,3.075,3.07,3.07,600
457,3.075,3.08,3.07,3.075,3400
458,3.08,3.09,3.07,3.075,4300
459,3.09,3.09,3.075,3.08,12559
460,3.09,3.09,3.09,3.09,400
461,3.08,3.09,3.07,3.09,4729
462,3.06,3.08,3.06,3.08,6022
463,3.06,3.0601,3.06,3.06,2900
464,3.07,3.07,3.06,3.06,7600
465,3.06,3.06,3.06,3.06,500
466,3.06,3.07,3.06,3.065,2100
467,3.08,3.09,3.06,3.06,21867
468,3.09,3.095,3.08,3.08,17238
469,3.09,3.1,3.08,3.09,42389
470,3.095,3.1,3.07,3.09,15109
471,3.1,3.105,3.08,3.1,204124
864,3.09,3.09,3.09,3.09,5936
865,3.07,3.1,3.07,3.1,700
866,3.09,3.11,3.09,3.1,3084
867,3.07,3.08,3.07,3.08,1600
868,3.07,3.075,3.07,3.0747,1697
869,3.07,3.08,3.07,3.07,4208
870,3.075,3.08,3.07,3.07,1300
871,3.07,3.08,3.07,3.07,3200
872,3.07,3.07,3.07,3.07,600
873,3.095,3.095,3.075,3.08,2100
874,3.105,3.11,3.1,3.1,4875
875,3.11,3.1155,3.11,3.11,2480
876,3.09,3.1184,3.09,3.1184,5000
877,3.085,3.09,3.08,3.09,500
878,3.0899,3.09,3.08,3.09,800
879,3.09,3.09,3.08,3.08,1000
880,3.095,3.1,3.08,3.085,3938
881,3.09,3.1,3.09,3.09,600
882,3.095,3.1,3.09,3.1,1200
883,3.09,3.1,3.09,3.095,800
884,3.1,3.1,3.09,3.1,2700
885,3.095,3.1,3.095,3.1,500
886,3.1,3.105,3.09,3.1,1894
887,3.1,3.11,3.1,3.105,2021
888,3.105,3.11,3.1,3.1,700
889,3.11,3.12,3.11,3.11,2700
890,3.13,3.13,3.115,3.12,2545
891,3.125,3.13,3.12,3.125,2800
892,3.12,3.13,3.12,3.13,9362
893,3.1,3.13,3.09,3.13,13450
894,3.1,3.11,3.1,3.11,400
895,3.09,3.1,3.09,3.1,3400
896,3.09,3.095,3.09,3.09,8000
897,3.09,3.095,3.09,3.09,2700
