EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493129400,9.1,9.1,9.1,9.1,500
1,9,9.075,9,9.05,1000
2,9.025,9.025,8.95,9,700
15,9,9,9,9,100
18,8.975,9,8.975,9,740
19,9,9,8.95,9,1060
20,8.975,9,8.975,9,700
27,9,9,9,9,460
28,8.975,8.975,8.95,8.95,500
34,8.95,9,8.95,9,200
35,9,9,8.95,9,1000
143,8.8,8.8,8.8,8.8,100
147,8.825,8.875,8.75,8.875,2126
148,8.85,8.9,8.81,8.9,4440
149,8.85,8.85,8.85,8.85,100
150,8.9,8.9,8.9,8.9,100
152,9,9,8.9,8.9,900
155,9,9,9,9,200
157,9,9,8.95,9,800
165,9,9,9,9,100
170,8.9,8.9,8.9,8.9,100
171,8.9,8.9,8.9,8.9,300
172,8.9,8.95,8.9,8.95,400
173,8.925,8.95,8.916,8.916,900
176,8.925,8.95,8.925,8.95,560
177,8.925,8.95,8.9,8.9,300
178,8.95,8.95,8.925,8.95,300
179,8.95,8.95,8.95,8.95,200
284,8.9,8.9,8.9,8.9,185
291,8.9,8.9,8.655,8.655,300
297,9,9,9,9,100
303,9,9,9,9,100
304,8.9,8.95,8.85,8.95,1100
308,8.95,8.95,8.95,8.95,100
316,8.85,8.95,8.85,8.95,1328
323,8.85,8.85,8.8,8.85,1005
428,8.8,8.8,8.8,8.8,200
432,8.7,8.7,8.7,8.7,100
440,8.6,8.6,8.6,8.6,100
442,8.65,8.65,8.65,8.65,100
467,8.6,8.7,8.6,8.7,300
862,8.6,8.6,8.6,8.6,100
864,8.75,8.75,8.7,8.7,600
869,8.7,8.7,8.7,8.7,100
888,8.7,8.75,8.7,8.75,300
894,8.8,8.85,8.8,8.85,200
898,8.7,8.7,8.7,8.7,100
a1493739000,8.8,8.8,8.8,8.8,244
2,8.7,8.7,8.7,8.7,100
3,8.7,8.7,8.7,8.7,328
8,8.75,8.75,8.75,8.75,100
14,8.5,8.7446,8,8.7446,12795
15,8.65,8.65,8.25,8.4,2550
17,8.65,8.65,8.65,8.65,100
18,8.6,8.6,8.55,8.55,200
21,8.55,8.65,8.55,8.65,1500
24,8.6,8.65,8.6,8.65,900
27,8.6,8.6,8.6,8.6,100
138,8.65,8.65,8.65,8.65,600
159,8.6,8.6,8.6,8.6,1100
170,8.55,8.55,8.55,8.55,341
276,8.55,8.55,8.55,8.55,130
279,8.55,8.55,8.55,8.55,100
286,8.5,8.5,8.5,8.5,200
288,8.5,8.55,8.5,8.55,1138
310,8.5,8.5,8.5,8.5,500
315,8.5,8.5,8.45,8.5,1000
420,8.45,8.45,8.45,8.45,354
423,8.45,8.45,8.45,8.45,400
427,8.5,8.5,8.5,8.5,100
440,8.475,8.475,8.475,8.475,200
445,8.45,8.475,8.45,8.475,490
448,8.475,8.475,8.475,8.475,100
451,8.55,8.55,8.55,8.55,100
453,8.55,8.55,8.5,8.55,500
455,8.65,8.65,8.65,8.65,200
456,8.5,8.6,8.5,8.6,400
457,8.6,8.6,8.6,8.6,200
458,8.6,8.65,8.6,8.6,600
459,8.65,8.65,8.55,8.65,800
853,8.6,8.6,8.6,8.6,218
859,8.6,8.6,8.6,8.6,100
891,8.55,8.55,8.55,8.55,100
996,8.6,8.6,8.6,8.6,358
a1494344400,8.5,8.55,8.4,8.55,1275
11,8.45,8.5,8.45,8.5,935
26,8.45,8.6,8.4,8.6,1300
131,8.25,8.25,8.25,8.25,3150
132,8,8.05,8,8.05,2500
133,7.95,8.05,7.95,8.05,17440
134,7.95,7.975,7.95,7.975,18000
135,8,8,7.95,7.95,1700
136,7.9,7.95,7.9,7.95,5489
137,7.925,7.925,7.9,7.925,4400
138,7.95,7.95,7.9,7.925,5900
139,8.05,8.1,7.95,7.95,3379
146,8.05,8.05,8.05,8.05,200
149,8.15,8.15,8.1,8.1,319
156,8.15,8.3,8.15,8.2,1400
157,8.15,8.18,8.15,8.18,500
158,8.25,8.25,8.25,8.25,100
167,8.2,8.2,8.05,8.15,3193
169,8.05,8.15,8.05,8.15,400
170,8.2,8.25,8.15,8.15,3147
275,8.15,8.15,8.15,8.15,119
276,8.65,8.7,8.25,8.4,2100
277,8.5,8.75,8.5,8.75,1700
286,8.45,8.6,8.45,8.5,1900
287,8.7,8.7,8.6,8.6,6198
289,8.65,8.65,8.65,8.65,300
298,8.65,8.7,8.65,8.7,500
312,8.8,8.8,8.8,8.8,117
313,8.7,8.7,8.7,8.7,199
314,8.75,8.8,8.75,8.8,200
434,8.8,8.85,8.8,8.8,2177
437,8.85,8.85,8.85,8.85,100
438,8.85,8.85,8.85,8.85,100
440,8.85,8.85,8.85,8.85,178
442,8.8,8.9,8.8,8.84,2422
444,8.825,8.825,8.825,8.825,100
448,8.825,8.825,8.8,8.8,300
454,8.7,8.8,8.7,8.8,1757
456,8.75,8.75,8.75,8.75,300
457,8.7,8.725,8.7,8.725,500
458,8.7,8.7,8.7,8.7,1461
851,8.65,8.65,8.65,8.65,400
853,8.6,8.6,8.6,8.6,200
858,8.5,8.6,8.5,8.6,1044
860,8.55,8.55,8.55,8.55,200
863,8.525,8.575,8.525,8.575,700
879,8.6,8.6,8.5,8.5,400
880,8.55,8.55,8.55,8.55,100
885,8.5971,8.5971,8.5971,8.5971,139
887,8.55,8.55,8.55,8.55,100
890,8.6,8.6,8.6,8.6,200
995,8.5,8.5,8.5,8.5,3100
998,8.6,8.6,8.6,8.6,100
999,8.65,8.65,8.65,8.65,100
a1494944400,8.6,8.6,8.6,8.6,300
2,8.45,8.5,8.45,8.5,700
16,8.5,8.5,8.5,8.5,500
18,8.5,8.5,8.5,8.5,600
27,8.445,8.5,8.445,8.5,2500
28,8.4,8.4,8.4,8.4,100
31,8.4,8.4,8.4,8.4,100
32,8.25,8.4346,8.25,8.4,4500
33,8.25,8.3,8.25,8.3,200
34,8.25,8.3,8.25,8.3,1700
140,8.25,8.25,8.25,8.25,100
141,8.45,8.45,8.3,8.3,200
142,8.45,8.45,8.45,8.45,300
143,8.45,8.45,8.45,8.45,500
146,8.45,8.45,8.45,8.45,700
149,8.5773,8.5773,8.5773,8.5773,200
154,8.55,8.55,8.55,8.55,100
162,8.4,8.4755,8.4,8.45,1380
165,8.3,8.3,8.3,8.3,300
167,8.325,8.35,8.325,8.35,500
172,8.3,8.3,8.3,8.3,300
174,8.25,8.25,8.25,8.25,200
175,8.25,8.25,8.25,8.25,300
177,8.15,8.25,8.15,8.25,1500
178,8.25,8.25,8.15,8.15,1735
283,8.3,8.3,8.3,8.3,100
287,8.3,8.35,8.25,8.25,1100
292,8.25,8.25,8.25,8.25,100
302,8.3,8.3,8.3,8.3,100
305,8.2706,8.2706,8.2706,8.2706,139
312,8.3,8.3,8.3,8.3,100
315,8.35,8.35,8.35,8.35,100
322,8.25,8.25,8.25,8.25,100
445,8.2,8.255,8.2,8.255,1400
448,8.25,8.25,8.15,8.15,600
465,8.35,8.35,8.35,8.35,100
860,8.2,8.2,8.2,8.2,100
863,8.2524,8.2524,8.2524,8.2524,150
871,8.2,8.2,8.15,8.2,700
873,8.175,8.2,8.15,8.2,900
875,8.15,8.25,8.15,8.2,1723
876,8.2,8.2,8.2,8.2,400
879,8.2,8.2,8.2,8.2,200
883,8.15,8.15,8.15,8.15,100
888,8.15,8.15,8.15,8.15,100
889,8.1,8.1,8.1,8.1,100
891,8.2,8.2,8.2,8.2,100
892,8.2,8.2,8.2,8.2,120
893,8.15,8.15,8.15,8.15,200
894,8.15,8.15,8.15,8.15,300
895,8.15,8.15,8.15,8.15,200
897,8.1,8.1,8.1,8.1,290
898,8.15,8.15,8.1,8.1,400
a1495546200,8.1,8.1,8.1,8.1,957
2,8.1,8.1,8.1,8.1,353
8,8.2,8.2,8.2,8.2,100
11,8.05,8.1,8.05,8.1,800
12,8,8.1168,8,8.1168,399
13,8,8,8,8,1284
14,8.1,8.1,8.1,8.1,100
16,8.022,8.062,8,8.05,1700
19,8.05,8.05,8.05,8.05,500
20,8.1,8.1,8.05,8.05,900
23,8.1,8.1,8.1,8.1,700
