EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127600,62.36,62.36,62.34,62.34,600
1,62.38,62.38,62.37,62.37,800
2,62.3575,62.365,62.3575,62.3575,400
20,62.4479,62.4479,62.4479,62.4479,100
27,62.5169,62.5169,62.5169,62.5169,168
146,62.234,62.234,62.234,62.234,366
159,62.1988,62.1988,62.1988,62.1988,109
167,62.15,62.15,62.15,62.15,150
168,62.15,62.15,62.15,62.15,100
172,62.27,62.27,62.27,62.27,100
289,62.2522,62.26,62.24,62.24,3227
315,62.1499,62.15,62.1499,62.15,240
323,62.149,62.149,62.149,62.149,321
324,62.14,62.14,62.14,62.14,300
435,62.15,62.16,62.15,62.15,300
440,62.11,62.11,62.11,62.11,100
458,62.2399,62.2399,62.2399,62.2399,213
459,62.23,62.23,62.23,62.23,146
460,62.2499,62.25,62.2499,62.25,404
461,62.26,62.26,62.26,62.26,113
465,62.3348,62.3348,62.3348,62.3348,158
466,62.32,62.32,62.32,62.32,100
467,62.32,62.32,62.32,62.32,100
865,62.49,62.49,62.49,62.49,500
868,62.4,62.4,62.4,62.4,500
893,62.67,62.67,62.67,62.67,169
898,62.66,62.66,62.66,62.66,140
900,62.67,62.67,62.67,62.67,698
902,62.54,62.54,62.54,62.54,300
a1493734800,62.76,62.76,62.76,62.76,100
7,62.82,62.82,62.82,62.82,100
139,62.84,62.84,62.84,62.84,166
142,62.71,62.71,62.71,62.71,200
174,62.63,62.63,62.63,62.63,100
175,62.6,62.61,62.6,62.61,739
287,62.24,62.24,62.21,62.21,200
290,62.2825,62.29,62.2825,62.29,1300
292,62.2377,62.239,62.2377,62.239,320
297,62.283,62.283,62.283,62.283,110
308,62.09,62.1,62.09,62.09,300
313,62.03,62.03,62.03,62.03,100
319,62.0837,62.0837,62.0837,62.0837,157
320,62.07,62.07,62.07,62.07,100
321,62.07,62.07,62.07,62.07,200
322,62.09,62.09,62.09,62.09,100
427,62.16,62.16,62.16,62.16,135
431,62.12,62.12,62.12,62.12,400
438,62.27,62.27,62.27,62.27,200
443,62.32,62.32,62.32,62.32,100
462,62.37,62.37,62.3601,62.3601,3686
466,62.47,62.47,62.4495,62.4495,336
860,62.88,62.88,62.88,62.88,112
868,62.76,62.76,62.752,62.752,215
870,62.72,62.72,62.72,62.72,111
881,62.645,62.66,62.645,62.66,400
883,62.6286,62.64,62.6286,62.64,320
884,62.589,62.589,62.589,62.589,300
894,62.659,62.659,62.6458,62.6458,330
895,62.6004,62.6004,62.6004,62.6004,650
a1494339000,63.22,63.22,63.22,63.22,110
1,63.26,63.26,63.24,63.24,200
7,63.32,63.34,63.32,63.34,800
14,63.36,63.36,63.36,63.36,100
15,63.32,63.32,63.32,63.32,100
17,63.28,63.28,63.28,63.28,100
20,63.25,63.25,63.25,63.25,100
28,63.18,63.2001,63.18,63.2,3100
29,63.2153,63.2153,63.19,63.2,1178
30,63.19,63.1901,63.19,63.19,2600
35,63.07,63.07,63.07,63.07,200
145,63.34,63.34,63.34,63.34,100
146,63.34,63.34,63.34,63.34,100
147,63.37,63.37,63.33,63.33,814
148,63.41,63.41,63.36,63.36,400
149,63.43,63.43,63.43,63.43,100
151,63.37,63.398,63.37,63.3955,300
152,63.39,63.39,63.39,63.39,200
153,63.42,63.42,63.42,63.42,200
154,63.45,63.45,63.45,63.45,1000
156,63.4,63.4,63.4,63.4,500
157,63.38,63.39,63.38,63.39,1000
158,63.38,63.38,63.38,63.38,1000
159,63.3,63.39,63.3,63.39,4580
161,63.38,63.38,63.38,63.38,500
167,63.3,63.3,63.3,63.3,165
170,63.2833,63.2833,63.2833,63.2833,185
177,63.28,63.28,63.28,63.28,200
287,63.3,63.3,63.3,63.3,100
288,63.32,63.33,63.32,63.33,1000
289,63.31,63.32,63.31,63.32,2400
294,63.31,63.32,63.31,63.32,1000
295,63.31,63.31,63.31,63.31,500
303,63.5299,63.5299,63.5299,63.5299,178
305,63.47,63.47,63.47,63.47,100
308,63.529,63.5354,63.529,63.5354,473
314,63.56,63.56,63.56,63.56,500
316,63.6399,63.6399,63.598,63.598,566
319,63.5898,63.5898,63.5898,63.5898,475
320,63.5899,63.5899,63.5899,63.5899,1178
323,63.63,63.63,63.63,63.63,100
430,63.83,63.83,63.81,63.81,300
432,63.79,63.79,63.79,63.79,500
438,63.839,63.839,63.839,63.839,125
449,63.91,63.91,63.8963,63.9025,896
452,63.8797,63.88,63.8797,63.88,200
465,63.82,63.82,63.82,63.82,100
864,64.29,64.29,64.28,64.29,500
884,64.4187,64.4187,64.4187,64.4187,115
885,64.39,64.4287,64.39,64.4287,2145
886,64.4,64.42,64.4,64.42,400
887,64.4287,64.4287,64.4287,64.4287,175
888,64.41,64.41,64.41,64.41,100
889,64.39,64.4,64.39,64.4,1100
892,64.35,64.35,64.35,64.35,700
895,64.3803,64.3803,64.3803,64.3803,147
897,64.38,64.38,64.37,64.37,500
898,64.345,64.36,64.34,64.36,400
a1494943200,64.49,64.51,64.49,64.51,3300
1,64.48,64.48,64.48,64.48,1500
7,64.418,64.418,64.418,64.418,100
11,64.35,64.35,64.34,64.35,1107
13,64.37,64.37,64.37,64.37,200
14,64.41,64.41,64.41,64.41,200
16,64.4,64.4,64.4,64.4,200
17,64.42,64.42,64.42,64.42,200
18,64.42,64.42,64.42,64.42,600
19,64.38,64.39,64.38,64.39,3100
20,64.4,64.41,64.38,64.39,7000
32,64.4369,64.4369,64.4369,64.4369,1431
35,64.4283,64.4283,64.4283,64.4283,100
143,64.06,64.08,64.05,64.08,1423
145,63.862,63.862,63.862,63.862,324
148,63.94,63.94,63.94,63.94,201
151,63.84,63.84,63.83,63.83,915
152,63.89,63.89,63.88,63.88,300
165,63.78,63.78,63.78,63.78,300
166,63.77,63.77,63.77,63.77,1300
180,63.48,63.54,63.43,63.45,800
285,62.41,62.41,62.41,62.41,200
287,62.27,62.27,62.21,62.21,700
294,62.494,62.494,62.49,62.49,639
295,62.567,62.567,62.567,62.567,155
301,62.22,62.22,62.22,62.22,100
303,62.2,62.2,62.189,62.19,5145
305,62.3,62.3,62.3,62.3,100
317,62.89,62.89,62.89,62.89,200
319,62.75,62.75,62.75,62.75,355
320,62.7626,62.7626,62.7626,62.7626,396
322,62.5774,62.5774,62.5774,62.5774,1000
324,62.5,62.53,62.5,62.53,200
430,63.35,63.37,63.32,63.32,1200
431,63.5,63.5,63.45,63.45,600
432,63.52,63.52,63.5,63.5,200
433,63.55,63.55,63.55,63.55,100
434,63.59,63.63,63.59,63.62,400
435,63.6,63.6,63.6,63.6,100
436,63.54,63.54,63.54,63.54,200
437,63.52,63.52,63.52,63.52,200
438,63.582,63.582,63.55,63.55,909
439,63.55,63.55,63.55,63.55,200
440,63.61,63.61,63.61,63.61,100
441,63.62,63.62,63.62,63.62,200
444,63.61,63.61,63.6,63.6,300
445,63.65,63.65,63.65,63.65,100
446,63.7,63.71,63.69,63.69,4200
447,63.67,63.67,63.67,63.67,200
448,63.68,63.68,63.68,63.68,400
450,63.68,63.68,63.68,63.68,700
451,63.6864,63.6864,63.6864,63.6864,300
452,63.66,63.66,63.66,63.66,200
455,63.64,63.64,63.64,63.64,400
457,63.7,63.7,63.7,63.7,100
458,63.71,63.71,63.7,63.7,200
460,63.77,63.77,63.76,63.76,300
463,63.75,63.79,63.74,63.74,2500
464,63.69,63.69,63.68,63.6881,500
466,63.64,63.66,63.61,63.66,400
467,63.64,63.66,63.64,63.66,400
468,63.71,63.71,63.65,63.65,846
870,63.719,63.73,63.719,63.73,800
888,63.75,63.77,63.75,63.77,2500
890,63.75,63.76,63.75,63.76,2500
891,63.75,63.76,63.75,63.75,4200
894,63.7494,63.7494,63.7494,63.7494,108
898,63.81,63.81,63.81,63.81,300
900,63.78,63.78,63.78,63.78,100
a1495546200,63.98,63.98,63.98,63.98,675
1,63.89,63.89,63.87,63.87,1000
2,63.861,63.9,63.861,63.89,2500
4,63.79,63.8,63.79,63.79,1500
17,63.79,63.8,63.79,63.8,1000
20,63.7299,63.7299,63.6662,63.6662,226
