EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,15.25,15.25,15.25,15.25,1625
1,15.32,15.32,15.04,15.04,600
2,15.29,15.36,15.29,15.3,7670
3,15.315,15.34,15.28,15.32,1300
4,15.31,15.36,15.3,15.33,2100
5,15.32,15.33,15.29,15.33,1100
6,15.23,15.294,15.23,15.294,2700
7,15.18,15.22,15.18,15.22,2500
8,15.2,15.22,15.2,15.2,7700
9,15.22,15.24,15.19,15.19,1300
10,15.23,15.255,15.16,15.16,2603
11,15.23,15.26,15.23,15.25,1900
12,15.23,15.23,15.22,15.22,600
13,15.22,15.25,15.22,15.25,4500
14,15.24,15.27,15.23,15.23,500
15,15.25,15.27,15.24,15.2699,1500
16,15.24,15.27,15.24,15.27,1800
17,15.25,15.26,15.24,15.24,1200
18,15.21,15.29,15.21,15.27,2478
19,15.18,15.21,15.17,15.21,700
20,15.21,15.21,15.18,15.18,700
21,15.19,15.205,15.19,15.205,200
22,15.15,15.21,15.13,15.16,4500
23,15.13,15.15,15.13,15.15,700
24,15.13,15.16,15.13,15.14,2200
25,15.1408,15.16,15.12,15.12,1804
26,15.21,15.21,15.15,15.15,1301
27,15.21,15.24,15.17,15.21,2000
28,15.21,15.22,15.1901,15.21,2479
29,15.22,15.245,15.21,15.24,3000
30,15.25,15.26,15.2375,15.26,1309
31,15.26,15.27,15.23,15.27,2000
32,15.24,15.29,15.2293,15.2293,4025
33,15.21,15.25,15.2,15.25,1918
34,15.23,15.23,15.19,15.2,4203
35,15.22,15.24,15.21,15.225,600
36,15.23,15.24,15.21,15.22,1560
37,15.23,15.25,15.22,15.22,5420
38,15.24,15.25,15.22,15.22,3422
39,15.2,15.24,15.16,15.24,28670
144,15.21,15.21,15.21,15.21,1259
145,15.26,15.3,15.2575,15.29,2550
146,15.2571,15.3,15.22,15.26,4150
147,15.25,15.29,15.24,15.25,2824
148,15.35,15.36,15.29,15.29,6041
149,15.4,15.42,15.36,15.38,4300
150,15.45,15.45,15.42,15.425,1481
151,15.44,15.48,15.41,15.45,3930
152,15.47,15.47,15.43,15.435,4818
153,15.45,15.49,15.4231,15.47,12095
154,15.45,15.47,15.44,15.46,2100
155,15.48,15.5,15.44,15.44,4800
156,15.54,15.58,15.4876,15.49,8799
157,15.47,15.57,15.47,15.56,3669
158,15.31,15.485,15.3,15.47,11444
159,15.43,15.43,15.33,15.33,2300
160,15.42,15.42,15.42,15.42,200
161,15.46,15.47,15.415,15.42,4291
162,15.46,15.49,15.46,15.47,1432
163,15.44,15.48,15.41,15.47,5710
164,15.48,15.48,15.445,15.45,4134
165,15.49,15.49,15.4675,15.48,3100
166,15.48,15.49,15.46,15.48,3300
167,15.49,15.49,15.46,15.49,1916
168,15.43,15.49,15.38,15.48,7734
169,15.48,15.5,15.41,15.43,3343
170,15.42,15.48,15.42,15.48,3100
171,15.41,15.48,15.41,15.44,2715
172,15.41,15.42,15.38,15.38,3300
173,15.41,15.42,15.4,15.415,12300
174,15.41,15.43,15.375,15.4,5271
175,15.4,15.42,15.395,15.405,4150
176,15.47,15.49,15.4,15.4,3200
177,15.44,15.49,15.43,15.47,4200
178,15.45,15.47,15.43,15.43,1978
179,15.46,15.47,15.445,15.46,7720
180,15.43,15.455,15.41,15.455,7279
181,15.455,15.46,15.435,15.44,5906
182,15.39,15.45,15.34,15.45,13372
183,15.35,15.4,15.34,15.39,62726
288,15.51,15.51,15.51,15.51,5031
289,17.79,17.79,15.0573,15.0573,49361
290,17.66,18,17.4454,17.8,53460
291,17.22,17.69,17.1601,17.65,31215
292,16.8,17.245,16.8,17.185,38291
293,16.61,17.04,16.6,16.87,33595
294,16.41,16.67,16.39,16.63,22565
295,16.4,16.5414,16.4,16.415,16630
296,16.28,16.44,16.26,16.42,9740
297,16.3,16.4,16.165,16.26,16139
298,16.47,16.5153,16.29,16.31,11000
299,16.49,16.49,16.36,16.48,7919
300,16.25,16.49,16.2,16.49,22415
301,16.14,16.37,16.14,16.19,8476
302,16.06,16.19,16.0201,16.13,10000
303,16.23,16.26,16.02,16.045,33476
304,16.485,16.5,16.24,16.24,18273
305,16.56,16.73,16.47,16.47,17832
306,16.1943,16.55,16.1943,16.55,20043
307,16.59,16.6,16.17,16.2,6329
308,16.65,16.68,16.56,16.58,6724
309,16.83,16.87,16.68,16.68,10629
310,16.76,16.835,16.75,16.835,8427
311,16.78,16.8,16.76,16.79,5288
312,16.735,16.78,16.68,16.78,7092
313,16.72,16.785,16.6,16.75,10578
314,16.73,16.765,16.695,16.695,3664
315,16.67,16.74,16.65,16.74,5020
316,16.71,16.71,16.67,16.68,2890
317,16.53,16.75,16.53,16.71,10027
318,16.43,16.57,16.39,16.54,10276
319,16.56,16.56,16.44,16.44,3448
320,16.45,16.61,16.43,16.61,16467
321,16.48,16.51,16.44,16.46,7400
322,16.37,16.48,16.35,16.475,10263
323,16.42,16.47,16.38,16.39,7070
324,16.245,16.41,16.19,16.41,16366
325,16.19,16.31,16.18,16.245,21384
326,16.24,16.28,16.18,16.21,13780
327,16.25,16.35,16.16,16.25,130024
432,16.25,16.25,16.25,16.25,1348
433,16.385,16.46,16.21,16.24,4057
434,16.84,16.84,16.34,16.44,10151
435,16.83,16.84,16.72,16.84,9292
436,16.78,16.85,16.77,16.8,15245
437,16.74,16.8,16.73,16.8,3100
438,16.65,16.765,16.59,16.74,72348
439,16.56,16.66,16.5,16.66,9200
440,16.64,16.64,16.505,16.56,8100
441,16.57,16.615,16.56,16.615,7451
442,16.77,16.79,16.56,16.56,13829
443,16.82,16.82,16.73,16.775,9044
444,16.85,16.8531,16.8105,16.84,8816
445,16.77,16.84,16.75,16.84,6622
446,16.795,16.8,16.75,16.76,3600
447,16.75,16.81,16.74,16.8,7422
448,16.83,16.83,16.75,16.75,7948
449,16.8,16.835,16.77,16.825,8391
450,16.77,16.82,16.74,16.8,12144
451,16.72,16.77,16.69,16.77,6925
452,16.75,16.765,16.72,16.72,6840
453,16.76,16.77,16.74,16.75,5900
454,16.76,16.77,16.74,16.75,6811
455,16.75,16.77,16.73,16.75,4278
456,16.75,16.775,16.72,16.76,8038
457,16.73,16.76,16.73,16.74,7500
458,16.75,16.755,16.72,16.74,3700
459,16.785,16.82,16.74,16.7401,25630
460,16.84,16.88,16.775,16.775,16826
461,16.83,16.88,16.825,16.85,8034
462,16.8,16.85,16.76,16.83,6847
463,16.775,16.82,16.7501,16.81,9400
464,16.78,16.8,16.77,16.78,4314
465,16.82,16.83,16.765,16.77,10407
466,16.81,16.825,16.8,16.8101,16424
467,16.8,16.81,16.8,16.81,5400
468,16.75,16.8,16.73,16.8,15082
469,16.745,16.77,16.735,16.76,21661
470,16.77,16.81,16.73,16.74,29303
471,16.7,16.85,16.62,16.79,154212
864,16.77,16.77,16.77,16.77,3589
865,16.63,16.705,16.55,16.7,5100
866,16.76,16.84,16.63,16.66,5265
867,16.75,16.7799,16.66,16.749,3350
868,16.705,16.73,16.6824,16.71,2000
869,16.65,16.72,16.64,16.705,3701
870,16.65,16.68,16.63,16.64,4600
871,16.76,16.76,16.645,16.65,2300
872,16.85,16.86,16.77,16.77,3908
873,16.82,16.85,16.782,16.85,3430
874,16.87,16.87,16.81,16.83,5380
875,16.88,16.92,16.85,16.8788,6380
876,16.83,16.9,16.83,16.9,2300
877,16.75,16.84,16.75,16.84,3354
878,16.73,16.75,16.73,16.75,800
879,16.71,16.78,16.71,16.74,3100
880,16.67,16.74,16.67,16.7217,2640
881,16.65,16.67,16.64,16.67,2300
882,16.655,16.66,16.63,16.64,2800
883,16.69,16.7,16.66,16.66,1400
884,16.71,16.71,16.68,16.69,3200
885,16.68,16.7,16.64,16.7,3200
886,16.675,16.725,16.67,16.68,4046
887,16.6792,16.71,16.63,16.66,6597
888,16.68,16.68,16.68,16.68,100
889,16.7,16.74,16.6808,16.69,6500
890,16.72,16.74,16.7,16.7,8500
891,16.7,16.74,16.64,16.74,46048
892,16.63,16.7,16.63,16.7,6562
893,16.605,16.645,16.55,16.645,6243
