EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1498575600,15.26,15.9,15.15,15.9,73427
1,15,15.34,15,15.34,135881
2,15.12,15.35,15,15.005,126270
3,15.11,15.15,15.05,15.1,10110
4,15.2,15.38,15.11,15.15,4800
5,15.15,15.32,15.1,15.32,5237
6,15.06,15.25,15.06,15.2,11700
7,15.1,15.1,15.05,15.08,6099
8,15.2493,15.25,15.1,15.11,1319
9,15.1,15.2,15.05,15.2,21085
10,15.25,15.25,15.1,15.1001,11856
11,15.1,15.1,15.1,15.1,500
12,15.1,15.11,15.1,15.11,1100
13,15.1,15.1,15.1,15.1,950
14,15.11,15.12,15.1,15.12,3300
15,15.16,15.16,15.1,15.12,11400
16,15.25,15.25,15.15,15.15,11300
17,15.2,15.25,15.155,15.25,1400
18,15.23,15.25,15.1501,15.2,20700
19,15.16,15.25,15.15,15.2,15822
20,15.2,15.2,15.15,15.16,2100
21,15.2,15.212,15.2,15.2,13839
22,15.2,15.25,15.18,15.2,2461
23,15.18,15.2248,15.18,15.2,11934
24,15.15,15.19,15.15,15.18,14633
25,15.145,15.16,15.1,15.15,7200
26,15.1,15.15,15.06,15.11,18900
27,15.1,15.15,15.07,15.125,37400
28,15.1,15.13,15.09,15.1,18782
29,15.15,15.15,15.1,15.1,48177
30,15.25,15.25,15.08,15.11,54415
135,15.22,15.22,15.22,15.22,1093
136,15.13,15.249,15.11,15.11,500
137,15.13,15.13,15.13,15.13,944
138,15.18,15.18,15.11,15.13,5342
139,15.1501,15.2,15.1501,15.2,800
140,15.22,15.2265,15.18,15.18,700
141,15.2,15.25,15.1,15.2,9230
142,15.2,15.2,15.2,15.2,1400
144,15.2,15.24,15.2,15.2,1000
148,15.16,15.21,15.13,15.21,2620
149,15.175,15.175,15.175,15.175,100
151,15.1101,15.185,15.1101,15.17,1200
152,15.11,15.13,15.11,15.13,400
156,15.11,15.11,15.1001,15.11,1200
159,15.1,15.11,15.1,15.1032,4496
160,15.1053,15.1053,15.1053,15.1053,200
161,15.11,15.185,15.1065,15.1065,4100
162,15.19,15.19,15.185,15.19,1500
163,15.19,15.19,15.18,15.18,300
164,15.18,15.25,15.18,15.19,2000
165,15.21,15.23,15.18,15.18,1200
166,15.21,15.21,15.21,15.21,1200
167,15.12,15.221,15.12,15.21,1700
168,15.12,15.18,15.11,15.18,1500
169,15.15,15.23,15.12,15.1853,1500
170,15.16,15.25,15.15,15.15,1700
171,15.22,15.22,15.16,15.18,12600
172,15.22,15.22,15.22,15.22,400
173,15.195,15.22,15.195,15.22,300
174,15.15,15.25,15.15,15.2,8290
279,15.15,15.15,15.15,15.15,436
280,15.02,15.02,15.02,15.02,900
281,15.1194,15.15,15.05,15.05,3712
282,15.1198,15.13,15.1,15.13,2700
283,15.125,15.125,15.1,15.1,1707
284,15.1,15.1,15.1,15.1,200
286,15.1178,15.1178,15.1,15.1,1800
287,15.1202,15.1202,15.1,15.1,300
288,15.1,15.1,15.05,15.1,16407
291,15.05,15.05,15,15.05,2100
292,15.05,15.05,15.05,15.05,800
293,14.96,15.05,14.96,15.025,10445
294,15.05,15.05,14.985,15,400
297,15,15,14.996,15,4345
298,15,15,15,15,1395
299,15,15,15,15,2300
300,15,15.0249,15,15.0249,1705
302,15,15.05,15,15,4057
303,15,15,15,15,2100
304,15,15,15,15,1000
305,15,15,15,15,2200
306,15,15.05,15,15,25300
308,15,15,15,15,705
316,14.9767,14.9767,14.9767,14.9767,200
318,14.86,14.91,14.74,14.91,1799
423,14.83,14.83,14.83,14.83,108
424,15,15,14.9,14.9,4088
426,15,15,15,15,200
427,15,15,15,15,200
428,15,15,15,15,100
429,15.1265,15.1265,15,15,10625
433,14.99,15,14.99,15,200
434,14.98,14.98,14.98,14.98,100
438,14.9683,14.9683,14.95,14.95,610
440,14.965,14.965,14.965,14.965,400
445,15,15,14.98,14.98,2100
446,15,15,15,15,200
447,15.0485,15.0485,15,15,600
448,15,15,15,15,516
449,15,15,15,15,100
450,15.0637,15.0637,15.0637,15.0637,450
451,15,15,15,15,100
452,15,15,15,15,100
453,15.075,15.075,15,15,1100
454,15,15,15,15,200
455,15,15,15,15,100
456,15,15,15,15,100
457,15,15.0006,15,15,4588
458,15,15,15,15,700
459,15,15.0005,15,15.0005,700
460,15,15,15,15,467
461,15,15,15,15,300
462,15,15.03,15,15,1567
855,15.27,15.27,15.27,15.27,400
860,15.1,15.1,15.07,15.07,400
868,15.05,15.05,15.05,15.05,200
869,15.08,15.08,15.08,15.08,603
874,15.0501,15.0501,15.05,15.05,2448
875,15.0214,15.0214,15.0214,15.0214,496
876,15.05,15.05,15,15,5271
a1499261400,14.9,14.9,14.9,14.9,317
2,14.91,14.93,14.9,14.93,700
3,14.91,14.91,14.91,14.91,100
7,14.92,14.92,14.89,14.89,500
8,14.92,14.92,14.92,14.92,200
21,15,15,15,15,200
25,15.1,15.1,15.09,15.09,300
26,15.1,15.1,15.1,15.1,100
28,15.1382,15.1382,15.1382,15.1382,400
29,15.1,15.1,15.1,15.1,300
31,15.123,15.123,15.12,15.12,300
32,15.1,15.1,15.1,15.1,600
33,15.1052,15.1052,15.1052,15.1052,1000
34,15.125,15.13,15.11,15.11,2100
36,15.14,15.15,15.1062,15.1062,1400
37,15.15,15.15,15.15,15.15,1800
38,15.2,15.2,15.2,15.2,500
39,15.14,15.2,15.14,15.19,1514
