EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,35.85,35.85,35.85,35.85,19833
1,35.99,36.04,35.573,35.93,114969
2,35.84,36,35.84,35.985,188088
3,35.72,35.8438,35.661,35.835,90368
4,35.86,35.86,35.68,35.72,70562
5,35.83,35.86,35.77,35.855,93360
6,35.74,35.825,35.73,35.82,96245
7,35.63,35.74,35.63,35.735,59905
8,35.55,35.645,35.55,35.64,62552
9,35.54,35.595,35.51,35.55,46967
10,35.58,35.63,35.53,35.53,52937
11,35.72,35.72,35.585,35.585,144231
12,35.62,35.715,35.605,35.71,38477
13,35.61,35.635,35.565,35.625,33557
14,35.595,35.63,35.58,35.61,65862
15,35.64,35.65,35.59,35.595,57011
16,35.625,35.645,35.62,35.645,28979
17,35.6,35.63,35.59,35.625,44152
18,35.6,35.615,35.59,35.6,26277
19,35.54,35.6,35.53,35.59,45049
20,35.5,35.54,35.47,35.54,34277
21,35.4799,35.5,35.45,35.49,85624
22,35.49,35.51,35.47,35.47,28233
23,35.5,35.51,35.485,35.5,29059
24,35.45,35.51,35.44,35.5,60743
25,35.44,35.46,35.4038,35.46,33719
26,35.47,35.48,35.44,35.44,33398
27,35.46,35.49,35.45,35.46,25151
28,35.49,35.495,35.44,35.46,52933
29,35.51,35.54,35.495,35.495,51676
30,35.57,35.57,35.5,35.51,27888
31,35.58,35.59,35.56,35.57,42493
32,35.57,35.61,35.56,35.57,37924
33,35.53,35.55,35.5235,35.54,17856
34,35.54,35.56,35.52,35.529,41708
35,35.55,35.56,35.52,35.55,71249
36,35.56,35.57,35.55,35.55,37572
37,35.52,35.57,35.52,35.55,96304
38,35.515,35.54,35.5,35.52,93891
39,35.51,35.54,35.48,35.51,338102
144,35.3,35.3,35.3,35.3,25237
145,35.47,35.53,35.32,35.345,55521
146,35.52,35.53,35.4185,35.46,84006
147,35.49,35.525,35.45,35.525,72148
148,35.42,35.49,35.33,35.485,38098
149,35.45,35.51,35.39,35.42,78427
150,35.45,35.47,35.425,35.47,67520
151,35.46,35.5,35.415,35.45,128873
152,35.445,35.48,35.41,35.46,209303
153,35.4525,35.49,35.43,35.45,111577
154,35.46,35.49,35.425,35.46,57553
155,35.48,35.49,35.44,35.46,52979
156,35.56,35.62,35.49,35.49,148415
157,35.5,35.5999,35.5,35.56,128740
158,35.29,35.53,35.29,35.51,57882
159,35.38,35.385,35.28,35.29,59010
160,35.4,35.43,35.345,35.37,36009
161,35.48,35.49,35.39,35.39,30557
162,35.47,35.505,35.47,35.49,45523
163,35.5,35.53,35.47,35.47,42190
164,35.52,35.58,35.495,35.5,27100
165,35.625,35.645,35.53,35.53,337358
166,35.63,35.67,35.61,35.625,161030
167,35.7,35.75,35.63,35.63,110856
168,35.63,35.72,35.63,35.71,121290
169,35.655,35.67,35.55,35.62,60902
170,35.56,35.71,35.53,35.66,117849
171,35.6,35.67,35.56,35.57,50260
172,35.59,35.61,35.53,35.59,47421
173,35.595,35.66,35.58,35.6,24686
174,35.61,35.6575,35.59,35.6,33390
175,35.64,35.67,35.61,35.61,113399
176,35.68,35.71,35.63,35.64,81938
177,35.659,35.705,35.655,35.69,104231
178,35.67,35.67,35.63,35.655,56112
179,35.645,35.68,35.62,35.665,50097
180,35.65,35.65,35.605,35.645,55025
181,35.565,35.65,35.555,35.65,100863
182,35.55,35.59,35.53,35.56,143081
183,35.5,35.56,35.49,35.55,523022
288,35.54,35.54,35.53,35.53,15403
289,35.46,35.74,35.405,35.74,34780
290,35.4,35.46,35.34,35.46,44042
291,35.2,35.39,35.19,35.39,98901
292,35.1,35.25,35.06,35.2,59069
293,35.05,35.11,35,35.09,60932
294,34.99,35.05,34.955,35.05,58177
295,35,35.01,34.935,34.99,117439
296,34.8,35,34.79,34.99,48709
297,34.725,34.8,34.69,34.8,139323
298,34.75,34.87,34.72,34.72,90190
299,34.81,34.85,34.75,34.75,56660
300,34.8,34.86,34.79,34.81,93151
301,34.72,34.805,34.72,34.8,36145
302,34.63,34.73,34.59,34.71,141225
303,34.62,34.64,34.56,34.625,203739
304,34.68,34.7,34.59,34.63,87981
305,34.68,34.72,34.68,34.69,47736
306,34.59,34.68,34.56,34.68,33608
307,34.715,34.715,34.6,34.6,40659
308,34.87,34.88,34.71,34.72,113601
309,34.99,34.99,34.85,34.86,55075
310,34.85,34.985,34.83,34.985,42868
311,34.84,34.89,34.83,34.84,37413
312,34.875,34.9,34.825,34.835,30239
313,34.89,34.89,34.82,34.88,29469
314,34.815,34.9,34.81,34.89,70960
315,34.84,34.86,34.82,34.82,36253
316,34.85,34.87,34.81,34.84,38932
317,34.93,34.93,34.85,34.85,40352
318,34.9,34.93,34.83,34.93,43905
319,34.9242,34.935,34.88,34.89,60997
320,34.91,34.925,34.86,34.925,60604
321,34.85,34.92,34.84,34.91,68783
322,34.77,34.84,34.73,34.84,130966
323,34.84,34.845,34.775,34.78,56295
324,34.82,34.85,34.785,34.85,94181
325,34.835,34.84,34.81,34.82,76193
326,34.85,34.885,34.83,34.835,58242
327,34.85,34.88,34.83,34.845,423032
432,34.86,34.86,34.86,34.86,16129
433,34.615,34.86,34.5,34.77,73489
434,34.72,34.72,34.56,34.6,66798
435,34.845,34.87,34.7,34.72,133109
436,34.845,34.96,34.84,34.845,51392
437,34.73,34.88,34.73,34.85,78820
438,34.59,34.72,34.565,34.72,69147
439,34.56,34.605,34.48,34.6,113214
440,34.49,34.57,34.48,34.57,65707
441,34.59,34.605,34.475,34.5,115859
442,34.57,34.69,34.56,34.6,73621
443,34.6,34.615,34.53,34.57,26590
444,34.56,34.61,34.55,34.61,34715
445,34.5,34.57,34.47,34.55,127061
446,34.49,34.53,34.45,34.5,42486
447,34.49,34.53,34.455,34.495,51055
448,34.59,34.6,34.49,34.49,34431
449,34.62,34.63,34.59,34.595,31298
450,34.615,34.65,34.595,34.62,28942
451,34.48,34.61,34.47,34.61,52347
452,34.52,34.52,34.465,34.47,39986
453,34.5,34.53,34.48,34.52,46329
454,34.54,34.565,34.49,34.49,26639
455,34.485,34.54,34.48,34.535,30602
456,34.555,34.56,34.485,34.485,37358
457,34.6,34.6,34.55,34.55,21055
458,34.55,34.6,34.53,34.6,26825
459,34.54,34.5525,34.53,34.55,18252
460,34.53,34.56,34.5163,34.53,26176
461,34.55,34.55,34.51,34.54,30506
462,34.5799,34.58,34.545,34.56,17763
463,34.57,34.61,34.55,34.57,54200
464,34.565,34.6,34.55,34.58,37779
465,34.53,34.5625,34.53,34.55,27850
466,34.58,34.58,34.525,34.53,65832
467,34.57,34.5933,34.57,34.58,33641
468,34.56,34.58,34.52,34.57,50458
469,34.57,34.575,34.53,34.55,104665
470,34.54,34.59,34.53,34.57,120782
471,34.55,34.59,34.52,34.54,611117
864,34.68,34.68,34.68,34.68,14056
865,34.7,34.72,34.51,34.51,17351
866,34.68,34.75,34.665,34.68,25848
867,34.62,34.73,34.62,34.68,7891
868,34.56,34.63,34.55,34.58,20861
869,34.6,34.605,34.52,34.55,20622
870,34.52,34.6,34.49,34.6,27752
871,34.65,34.68,34.515,34.52,33512
872,34.67,34.68,34.625,34.65,37425
873,34.7,34.71,34.63,34.66,31876
874,34.685,34.75,34.68,34.705,61380
875,34.635,34.695,34.635,34.685,59562
876,34.59,34.67,34.59,34.63,34203
877,34.6,34.6,34.54,34.59,33222
878,34.65,34.65,34.58,34.6,55766
879,34.66,34.675,34.64,34.65,115790
880,34.77,34.78,34.66,34.665,27306
881,34.77,34.785,34.725,34.78,24647
882,34.75,34.78,34.74,34.76,44913
883,34.7867,34.79,34.74,34.74,21170
884,34.745,34.8,34.745,34.785,23698
885,34.67,34.75,34.53,34.75,142282
886,34.65,34.69,34.605,34.67,65074
887,34.68,34.695,34.61,34.65,22900
888,34.695,34.705,34.67,34.69,61109
889,34.68,34.72,34.65,34.695,58778
890,34.74,34.755,34.67,34.68,21458
891,34.75,34.775,34.6901,34.74,58437
892,34.81,34.82,34.76,34.76,43018
893,34.84,34.8501,34.8,34.81,18210
894,34.81,34.8674,34.81,34.85,35573
