EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,56.5,56.51,56.5,56.51,9650
1,56.78,56.9,56.36,56.5,24659
2,56.7,56.78,56.58,56.75,23418
3,56.79,56.79,56.405,56.72,16681
4,56.87,56.93,56.64,56.7226,40859
5,56.646,56.88,56.646,56.87,22091
6,56.595,56.78,56.56,56.7,66299
7,56.59,56.68,56.47,56.6,20601
8,56.46,56.59,56.45,56.575,19385
9,56.435,56.57,56.41,56.41,49317
10,56.55,56.61,56.4,56.435,21763
11,56.65,56.67,56.54,56.55,21958
12,56.51,56.645,56.51,56.6301,39042
13,56.55,56.58,56.43,56.5,41920
14,56.46,56.54,56.46,56.53,24750
15,56.5036,56.54,56.46,56.47,27096
16,56.46,56.58,56.44,56.51,31842
17,56.45,56.47,56.37,56.47,15814
18,56.45,56.5,56.41,56.43,11877
19,56.45,56.465,56.38,56.42,42524
20,56.46,56.5,56.42,56.46,34773
21,56.375,56.45,56.37,56.45,20605
22,56.45,56.46,56.37,56.38,26312
23,56.47,56.5,56.44,56.46,16310
24,56.45,56.48,56.39,56.46,32725
25,56.42,56.48,56.39,56.47,24931
26,56.46,56.51,56.43,56.43,23975
27,56.53,56.54,56.4403,56.45,22729
28,56.63,56.63,56.53,56.53,18003
29,56.62,56.7,56.6,56.601,20288
30,56.63,56.65,56.5701,56.62,23384
31,56.69,56.71,56.615,56.63,26796
32,56.61,56.71,56.61,56.675,41269
33,56.52,56.62,56.49,56.62,14338
34,56.55,56.58,56.52,56.52,20483
35,56.57,56.58,56.5,56.56,26304
36,56.575,56.625,56.55,56.57,26843
37,56.57,56.61,56.545,56.575,35970
38,56.52,56.58,56.5,56.57,69864
39,56.49,56.56,56.48,56.52,215590
144,56.36,56.36,56.36,56.36,4028
145,56.44,56.5744,55.9501,55.9501,13042
146,56.73,56.73,56.44,56.47,19804
147,56.56,56.75,56.5,56.73,16017
148,56.54,56.65,56.47,56.54,18721
149,56.57,56.69,56.46,56.52,21215
150,56.63,56.63,56.48,56.55,22114
151,56.58,56.66,56.5,56.66,16959
152,56.61,56.63,56.5,56.58,32057
153,56.58,56.68,56.56,56.59,40156
154,56.64,56.65,56.57,56.6,19342
155,56.8236,56.86,56.62,56.62,37984
156,57.04,57.12,56.82,56.82,27651
157,56.93,57.0752,56.93,56.99,22082
158,56.6,57.03,56.6,56.94,89574
159,56.8754,56.89,56.62,56.62,24372
160,56.8758,56.905,56.785,56.87,30404
161,57.0022,57.05,56.89,56.89,43122
162,56.9,57.02,56.885,56.98,16957
163,56.96,56.97,56.88,56.9,24088
164,56.96,57.05,56.92,56.946,27123
165,57.07,57.1058,56.96,56.96,35641
166,57.13,57.13,57.04,57.0732,22300
167,57.21,57.21,57.07,57.15,21651
168,57.08,57.24,57.08,57.2,9408
169,57.12,57.14,56.99,57.06,20455
170,56.945,57.14,56.9,57.12,25057
171,57,57.08,56.95,56.95,19756
172,56.87,57,56.81,56.95,64609
173,56.9,56.99,56.86,56.87,20334
174,56.98,57.02,56.89,56.9015,28060
175,57.0015,57.12,56.96,56.96,29312
176,57.125,57.16,57.01,57.01,28350
177,57,57.13,56.995,57.13,22796
178,57.06,57.068,57,57.01,41654
179,57,57.14,57,57.06,24058
180,57.08,57.08,56.98,56.99,60723
181,57.01,57.09,57.01,57.09,85335
182,56.885,57.01,56.87,57.01,107776
183,56.75,56.895,56.73,56.885,355721
288,56.75,56.75,56.75,56.75,2844
289,56.385,56.55,55.979,55.979,30916
290,56.64,56.67,56.345,56.43,15145
291,56.43,56.67,56.35,56.63,52484
292,56.29,56.48,56.2,56.45,42823
293,56.38,56.41,56.18,56.26,16315
294,56.28,56.38,56.25,56.37,34569
295,56.38,56.4,56.25,56.27,24174
296,56.18,56.42,56.17,56.4,50118
297,56.12,56.18,56,56.18,44877
298,56,56.15,56,56.11,20429
299,56.09,56.13,55.98,56.01,16978
300,56.08,56.14,56.02,56.1,14046
301,55.94,56.06,55.91,56.05,32584
302,55.85,56.01,55.85,55.94,41812
303,55.99,55.99,55.81,55.85,21512
304,56.175,56.24,55.98,55.98,18347
305,56.14,56.23,56.13,56.22,35214
306,56.03,56.145,55.93,56.14,46659
307,56.03,56.155,56,56.04,33318
308,56.125,56.15,56.01,56.03,28583
309,56.2617,56.27,56.1,56.111,33881
310,56.17,56.26,56.09,56.26,19029
311,56.09,56.2,56.09,56.16,11530
312,56.13,56.16,56.07,56.11,8500
313,56.03,56.135,56,56.135,11608
314,56.0074,56.08,55.99,56.03,17305
315,56,56.03,55.97,56.005,10428
316,55.98,56.02,55.93,55.99,21915
317,56.105,56.11,55.99,55.99,14919
318,56.15,56.1552,56.08,56.09,27294
319,56.15,56.2,56.111,56.14,43922
320,56.06,56.15,56.06,56.15,11196
321,56.07,56.1,56.035,56.07,20638
322,55.94,56.06,55.925,56.06,38015
323,56.06,56.08,55.95,55.95,98500
324,56.02,56.1,55.99,56.06,37433
325,55.925,56.06,55.9,56.01,56157
326,55.92,56.02,55.91,55.92,25394
327,55.82,55.9103,55.81,55.91,208440
432,56,56,55.91,55.91,3951
433,55.614,55.94,55.57,55.94,4193
434,55.88,55.88,55.44,55.55,4549
435,56.0359,56.075,55.85,55.9,8624
436,55.9,56.01,55.8,56,16217
437,55.64,55.9641,55.64,55.93,10101
438,55.55,55.65,55.44,55.6372,19781
439,55.44,55.535,55.3,55.535,11997
440,55.21,55.4437,55.17,55.4437,18104
441,55.18,55.225,55.11,55.19,40238
442,55.02,55.24,55.02,55.19,28862
443,55.01,55.05,54.85,55.01,16756
444,55.02,55.08,54.89,55.02,11322
445,55.01,55.09,54.97,55.01,10700
446,54.92,55.07,54.88,55,12525
447,54.85,55.01,54.81,54.94,19751
448,54.92,54.97,54.82,54.82,7099
449,54.9,54.96,54.81,54.91,20728
450,54.89,54.95,54.86,54.8872,3660
451,54.81,54.89,54.8,54.89,6300
452,54.89,54.89,54.77,54.79,7489
453,54.91,54.93,54.88,54.89,8431
454,54.91,54.91,54.87,54.9,9649
455,54.85,54.95,54.85,54.94,11599
456,54.94,54.94,54.88,54.88,3287
457,54.97,54.985,54.95,54.96,4099
458,54.88,54.98,54.87,54.97,4416
459,54.82,54.92,54.81,54.9,6873
460,54.77,54.87,54.76,54.8,8655
461,54.7,54.77,54.67,54.7695,9454
462,54.57,54.705,54.56,54.7,17993
463,54.57,54.62,54.51,54.57,22724
464,54.54,54.63,54.53,54.58,12805
465,54.45,54.54,54.41,54.54,17029
466,54.57,54.595,54.45,54.45,16361
467,54.54,54.61,54.53,54.565,34810
468,54.41,54.54,54.4,54.53,34969
469,54.4,54.43,54.34,54.4,47785
470,54.34,54.43,54.31,54.41,51061
471,54.27,54.39,54.23,54.33,281115
864,54.69,54.69,54.69,54.69,5758
865,54.885,55.32,54.55,55.32,102508
866,54.83,54.95,54.77,54.9,12586
867,54.56,54.87,54.54,54.76,7788
868,54.37,54.6,54.37,54.51,42723
869,54.69,54.69,54.31,54.36,31673
870,54.64,54.8,54.6,54.68,6428
871,54.89,54.98,54.67,54.67,10346
872,54.74,54.93,54.74,54.91,5800
873,54.78,54.78,54.64,54.73,5499
874,54.81,54.85,54.72,54.78,6584
875,54.78,54.88,54.76,54.79,20746
876,54.82,54.89,54.72,54.76,15202
877,54.865,54.865,54.72,54.83,9400
878,54.97,55.03,54.85,54.87,14559
879,54.89,55.01,54.87,54.99,26801
880,55.17,55.17,54.9,54.9,33950
881,55.23,55.25,55.13,55.15,12749
882,55.09,55.22,55.06,55.22,39980
883,55.08,55.14,55.07,55.1,33229
884,55.081,55.17,55.04,55.075,53448
885,55.11,55.18,54.63,55.12,123867
886,55.17,55.24,55.01,55.1,46493
887,55.46,55.46,55.11,55.2,78048
888,55.51,55.51,55.37,55.45,40461
889,55.52,55.56,55.48,55.54,44586
890,55.81,55.84,55.5,55.52,48858
891,55.9,55.9,55.78,55.8,55518
892,55.83,56.02,55.774,55.89,30953
893,55.77,55.85,55.77,55.84,12313
894,55.73,55.81,55.69,55.78,76014
