EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,27.49,27.49,27.49,27.49,1091
4,27.54,27.54,27.53,27.54,5148
9,27.52,27.525,27.52,27.525,200
23,27.54,27.54,27.54,27.54,600
33,27.55,27.55,27.55,27.55,100
36,27.5497,27.55,27.54,27.54,1800
37,27.54,27.54,27.5218,27.5218,2000
149,27.51,27.51,27.51,27.51,254
150,27.5,27.509,27.5,27.509,1000
156,27.559,27.56,27.559,27.5597,870
157,27.57,27.58,27.57,27.58,1880
160,27.5395,27.54,27.5395,27.54,570
172,27.56,27.56,27.56,27.56,300
181,27.55,27.55,27.55,27.55,634
182,27.55,27.55,27.55,27.55,1025
289,27.5,27.5,27.5,27.5,300
315,27.5126,27.5126,27.5126,27.5126,176
320,27.5372,27.5372,27.5372,27.5372,149
437,27.57,27.57,27.57,27.57,270
440,27.55,27.55,27.55,27.55,100
453,27.58,27.58,27.58,27.58,100
471,27.5866,27.5866,27.5866,27.5866,1300
864,27.47,27.47,27.47,27.47,110
865,27.4697,27.4699,27.4697,27.4699,236
870,27.43,27.43,27.429,27.43,1183
873,27.4147,27.4147,27.4147,27.4147,100
874,27.44,27.44,27.4127,27.44,900
879,27.43,27.43,27.429,27.43,600
893,27.45,27.45,27.45,27.45,100
899,27.4373,27.45,27.4373,27.45,738
a1493733000,27.44,27.44,27.44,27.44,325
17,27.46,27.46,27.443,27.46,540
20,27.42,27.42,27.42,27.42,306
29,27.42,27.42,27.42,27.42,355
147,27.43,27.43,27.43,27.43,1800
150,27.4145,27.42,27.4145,27.42,400
155,27.428,27.428,27.428,27.428,500
156,27.439,27.439,27.439,27.439,200
168,27.44,27.44,27.4396,27.4396,500
172,27.43,27.43,27.429,27.429,700
180,27.44,27.44,27.4264,27.4264,245
181,27.44,27.44,27.44,27.44,100
286,27.4,27.4,27.4,27.4,200
288,27.35,27.35,27.35,27.35,200
295,27.34,27.34,27.34,27.34,100
300,27.31,27.31,27.31,27.31,100
303,27.24,27.24,27.24,27.24,1001
316,27.24,27.24,27.24,27.24,100
319,27.2419,27.2419,27.2419,27.2419,365
322,27.26,27.26,27.26,27.26,169
433,27.23,27.23,27.23,27.23,285
468,27.33,27.33,27.322,27.322,400
877,27.29,27.29,27.29,27.29,300
892,27.3379,27.35,27.334,27.35,922
a1494337200,27.368,27.368,27.368,27.368,295
145,27.34,27.34,27.34,27.34,2496
159,27.4075,27.4075,27.4075,27.4075,500
290,27.39,27.39,27.39,27.39,100
297,27.41,27.41,27.41,27.41,350
310,27.43,27.43,27.43,27.43,100
320,27.4,27.4,27.3966,27.3966,300
325,27.41,27.41,27.41,27.41,100
435,27.38,27.38,27.38,27.38,100
464,27.38,27.38,27.38,27.38,646
468,27.38,27.38,27.3401,27.366,1200
470,27.39,27.39,27.39,27.39,100
869,27.49,27.49,27.49,27.49,150
901,27.49,27.49,27.49,27.49,470
a1494943200,27.4601,27.4601,27.4601,27.4601,100
19,27.47,27.47,27.47,27.47,100
141,27.4,27.4,27.4,27.4,465
143,27.4195,27.4195,27.4195,27.4195,215
145,27.3995,27.3995,27.3995,27.3995,140
149,27.4196,27.4196,27.4196,27.4196,345
173,27.3398,27.34,27.3339,27.3339,1870
179,27.312,27.312,27.312,27.312,150
866,27.4301,27.441,27.4301,27.4409,700
867,27.47,27.47,27.47,27.47,2500
878,27.4664,27.4664,27.4664,27.4664,444
896,27.4698,27.4699,27.4698,27.4699,360
897,27.46,27.46,27.46,27.46,100
900,27.49,27.49,27.49,27.49,100
a1495569600,27.48,27.48,27.4543,27.47,4100
105,27.49,27.49,27.49,27.49,145
107,27.49,27.49,27.4862,27.4862,360
109,27.49,27.49,27.49,27.49,100
110,27.4899,27.49,27.4899,27.49,345
112,27.47,27.47,27.47,27.47,100
114,27.4601,27.4601,27.46,27.46,3500
115,27.48,27.48,27.48,27.48,100
117,27.47,27.47,27.465,27.465,350
119,27.48,27.48,27.48,27.48,100
122,27.47,27.47,27.47,27.47,200
125,27.47,27.47,27.47,27.47,100
128,27.49,27.49,27.49,27.49,100
131,27.49,27.49,27.49,27.49,200
134,27.53,27.53,27.53,27.53,100
137,27.53,27.53,27.53,27.53,200
143,27.56,27.56,27.52,27.52,500
251,27.57,27.57,27.57,27.57,100
254,27.58,27.58,27.58,27.58,100
258,27.59,27.59,27.59,27.59,100
262,27.56,27.56,27.56,27.56,100
274,27.48,27.48,27.48,27.48,100
283,27.52,27.52,27.52,27.52,100
285,27.5,27.5,27.5,27.5,100
287,27.51,27.51,27.51,27.51,150
394,27.48,27.5,27.48,27.4999,670
402,27.48,27.48,27.48,27.48,100
426,27.493,27.493,27.493,27.493,239
428,27.5,27.5,27.5,27.5,100
430,27.5,27.5,27.4864,27.4864,363
432,27.49,27.49,27.49,27.49,100
969,27.49,27.49,27.49,27.49,100
980,27.5,27.5,27.5,27.5,100
981,27.4776,27.5,27.4776,27.5,3900
991,27.5298,27.5298,27.5298,27.5298,302
a1496242800,27.4772,27.4772,27.4772,27.4772,100
4,27.47,27.47,27.47,27.47,290
30,27.54,27.54,27.523,27.524,1100
135,27.39,27.39,27.39,27.39,500
164,27.45,27.45,27.45,27.45,547
169,27.4085,27.4085,27.4085,27.4085,100
280,27.4592,27.4592,27.4565,27.4565,400
301,27.4612,27.4612,27.4612,27.4612,200
302,27.4549,27.4549,27.4549,27.4549,510
303,27.4599,27.4599,27.4599,27.4599,325
723,27.41,27.41,27.409,27.409,200
748,27.42,27.42,27.42,27.42,100
749,27.42,27.42,27.42,27.42,100
861,27.42,27.42,27.42,27.42,912
889,27.4398,27.4398,27.4398,27.4398,438
894,27.43,27.43,27.43,27.43,100
a1496846400,27.37,27.37,27.37,27.37,900
2,27.36,27.36,27.36,27.36,370
3,27.35,27.35,27.35,27.35,100
9,27.33,27.33,27.33,27.33,100
30,27.36,27.36,27.36,27.36,535
141,27.3127,27.34,27.3127,27.34,462
174,27.4,27.4,27.4,27.4,304
285,27.4095,27.4095,27.4095,27.4095,1460
286,27.429,27.429,27.429,27.429,912
292,27.46,27.46,27.46,27.46,100
293,27.46,27.46,27.46,27.46,100
294,27.46,27.46,27.46,27.46,200
306,27.4,27.4,27.4,27.4,100
313,27.36,27.36,27.36,27.36,100
320,27.4,27.4,27.4,27.4,100
752,27.47,27.47,27.47,27.47,100
865,27.45,27.45,27.45,27.45,320
873,27.4228,27.4228,27.4228,27.4228,185
877,27.433,27.433,27.433,27.433,100
a1497451800,27.43,27.45,27.43,27.45,400
9,27.4099,27.4099,27.4099,27.4099,364
136,27.27,27.27,27.27,27.27,809
144,27.29,27.29,27.29,27.29,400
149,27.31,27.31,27.31,27.31,600
151,27.3,27.3,27.3,27.3,100
153,27.2799,27.2799,27.2799,27.2799,200
157,27.2897,27.2897,27.2897,27.2897,1019
171,27.29,27.29,27.29,27.29,100
281,27.3,27.3,27.3,27.3,555
287,27.27,27.27,27.27,27.27,100
290,27.24,27.24,27.24,27.24,122
318,27.26,27.26,27.26,27.26,1460
715,27.39,27.39,27.39,27.39,209
740,27.383,27.383,27.383,27.383,457
751,27.39,27.39,27.39,27.39,100
867,27.27,27.27,27.27,27.27,150
889,27.319,27.319,27.319,27.319,400
894,27.25,27.2601,27.25,27.2601,360
895,27.29,27.29,27.29,27.29,400
a1498057800,27.23,27.23,27.23,27.23,100
10,27.16,27.16,27.16,27.16,1700
16,27.1,27.11,27.1,27.11,300
29,27.05,27.05,27.05,27.05,100
141,27.1,27.1,27.1,27.1,111
317,27.3,27.3,27.3,27.3,100
716,27.28,27.28,27.2745,27.28,1520
717,27.27,27.27,27.265,27.265,1482
725,27.32,27.32,27.32,27.32,450
733,27.32,27.325,27.32,27.32,400
735,27.33,27.33,27.3189,27.33,500
742,27.36,27.36,27.36,27.36,110
749,27.35,27.35,27.35,27.35,100
854,27.33,27.33,27.33,27.33,100
862,27.3696,27.3696,27.3696,27.3696,200
869,27.37,27.37,27.3481,27.37,900
998,27.35,27.35,27.35,27.35,300
a1498666200,27.3899,27.3899,27.3899,27.3899,219
