EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,3.3,3.3,3.3,3.3,1200
1,3.33,3.33,3.2858,3.31,11624
2,3.55,3.6,3.34,3.34,41753
3,3.47,3.52,3.47,3.52,500
4,3.5148,3.5185,3.45,3.47,4920
5,3.501,3.501,3.5,3.5001,3267
6,3.48,3.53,3.48,3.53,6392
7,3.49,3.49,3.4562,3.4562,2070
8,3.52,3.52,3.51,3.51,713
9,3.5,3.52,3.5,3.52,700
10,3.53,3.53,3.5,3.52,2700
11,3.54,3.54,3.5,3.54,6700
12,3.54,3.54,3.5101,3.5101,11400
13,3.51,3.55,3.51,3.55,7400
14,3.54,3.54,3.52,3.52,1548
15,3.5363,3.55,3.5252,3.55,8400
16,3.55,3.55,3.53,3.5499,10580
17,3.53,3.55,3.53,3.53,2000
18,3.55,3.55,3.55,3.55,100
19,3.54,3.55,3.54,3.55,600
20,3.54,3.54,3.537,3.537,1300
21,3.54,3.56,3.54,3.54,6000
22,3.56,3.56,3.56,3.56,100
23,3.48,3.5301,3.48,3.5301,29598
24,3.48,3.48,3.465,3.48,1800
25,3.47,3.48,3.46,3.48,1700
26,3.53,3.53,3.47,3.47,3169
27,3.52,3.54,3.519,3.54,1300
28,3.57,3.58,3.549,3.549,19932
29,3.58,3.58,3.5633,3.5633,600
30,3.58,3.58,3.56,3.58,900
31,3.5554,3.58,3.5554,3.58,1600
32,3.565,3.58,3.565,3.58,200
33,3.55,3.58,3.55,3.58,3600
34,3.58,3.58,3.55,3.55,1700
35,3.57,3.58,3.56,3.58,6800
36,3.58,3.58,3.56,3.5626,600
37,3.56,3.58,3.55,3.56,23800
38,3.57,3.58,3.56,3.56,2100
39,3.57,3.5791,3.56,3.5791,15592
144,3.55,3.55,3.55,3.55,855
145,3.55,3.5989,3.55,3.5989,1623
146,3.54,3.55,3.52,3.5284,700
147,3.59,3.6,3.55,3.55,6000
148,3.59,3.6,3.5755,3.6,450
149,3.59,3.6,3.5736,3.59,2000
150,3.59,3.6,3.59,3.59,1000
151,3.59,3.59,3.57,3.59,400
152,3.58,3.59,3.57,3.59,500
153,3.59,3.6,3.58,3.58,2000
154,3.6,3.6,3.59,3.59,2200
155,3.72,3.72,3.6,3.6,17960
156,3.75,3.75,3.69,3.705,19126
157,3.78,3.79,3.75,3.75,7567
158,3.74,3.78,3.74,3.78,8698
159,3.75,3.76,3.72,3.76,8325
160,3.73,3.745,3.72,3.745,6621
161,3.76,3.77,3.76,3.76,400
162,3.84,3.84,3.76,3.76,20900
163,3.73,3.83,3.7,3.82,16318
164,3.76,3.76,3.71,3.71,3600
165,3.82,3.83,3.82,3.83,2487
166,3.84,3.84,3.81,3.81,1575
167,3.83,3.83,3.81,3.81,5800
168,3.84,3.84,3.8301,3.84,1300
169,3.83,3.84,3.83,3.83,400
170,3.8,3.84,3.8,3.84,4772
171,3.78,3.785,3.78,3.7817,1500
172,3.76,3.78,3.75,3.78,500
173,3.76,3.76,3.745,3.745,1700
174,3.8,3.8,3.75,3.76,2500
175,3.8,3.8,3.7817,3.8,600
176,3.75,3.81,3.75,3.8,10427
177,3.78,3.78,3.751,3.765,1800
178,3.79,3.79,3.79,3.79,400
179,3.8,3.8,3.76,3.79,8600
180,3.8,3.8,3.78,3.8,1800
181,3.78,3.8,3.78,3.8,1300
182,3.77,3.79,3.75,3.78,20321
183,3.78,3.78,3.75,3.76,23696
288,3.82,3.82,3.82,3.82,1974
289,3.76,3.8299,3.76,3.82,4036
290,3.78,3.78,3.78,3.78,500
292,3.76,3.79,3.75,3.75,1901
293,3.72,3.76,3.71,3.7569,11836
294,3.7048,3.78,3.7048,3.71,11262
295,3.7799,3.78,3.72,3.73,1785
296,3.77,3.77,3.77,3.77,200
297,3.78,3.78,3.78,3.78,100
298,3.77,3.78,3.77,3.77,840
299,3.77,3.785,3.77,3.785,300
300,3.77,3.7701,3.77,3.7701,500
301,3.77,3.7701,3.75,3.77,1400
302,3.77,3.77,3.75,3.75,900
305,3.75,3.76,3.75,3.76,300
306,3.74,3.76,3.74,3.7531,3724
307,3.75,3.75,3.75,3.75,200
308,3.74,3.74,3.74,3.74,100
309,3.75,3.76,3.74,3.74,300
310,3.7701,3.7701,3.77,3.77,1200
311,3.77,3.775,3.763,3.763,310
312,3.8,3.8,3.78,3.78,600
313,3.775,3.775,3.74,3.77,8300
314,3.765,3.78,3.75,3.77,400
315,3.76,3.78,3.76,3.78,200
316,3.74,3.74,3.74,3.74,100
317,3.75,3.75,3.73,3.74,3726
318,3.74,3.765,3.74,3.765,1300
319,3.75,3.75,3.745,3.745,300
320,3.74,3.75,3.74,3.75,200
321,3.74,3.75,3.74,3.74,2000
322,3.745,3.745,3.745,3.745,100
323,3.74,3.745,3.74,3.745,300
324,3.73,3.75,3.73,3.74,14041
325,3.72,3.73,3.72,3.73,2462
326,3.72,3.73,3.72,3.73,300
327,3.73,3.74,3.72,3.73,10630
432,3.72,3.72,3.72,3.72,468
433,3.73,3.73,3.68,3.68,800
434,3.62,3.69,3.58,3.67,9700
435,3.67,3.67,3.66,3.66,200
436,3.61,3.67,3.61,3.67,1650
437,3.65,3.66,3.63,3.66,7002
438,3.66,3.66,3.63,3.64,1570
439,3.6301,3.67,3.6301,3.67,3900
440,3.7,3.7,3.63,3.63,10300
441,3.71,3.71,3.7,3.7,900
442,3.72,3.72,3.72,3.72,100
443,3.7163,3.7163,3.7163,3.7163,300
444,3.68,3.68,3.68,3.68,100
445,3.7,3.7006,3.7,3.7006,700
446,3.71,3.71,3.71,3.71,100
447,3.6801,3.6801,3.6801,3.6801,300
448,3.68,3.68,3.68,3.68,100
449,3.69,3.69,3.66,3.6783,4200
450,3.69,3.69,3.69,3.69,100
451,3.66,3.69,3.66,3.69,300
453,3.65,3.65,3.65,3.65,100
456,3.67,3.67,3.65,3.66,500
458,3.7,3.7,3.7,3.7,100
459,3.6501,3.6673,3.65,3.6673,4300
460,3.65,3.65,3.65,3.65,200
461,3.65,3.65,3.65,3.65,100
462,3.63,3.63,3.63,3.63,600
463,3.64,3.64,3.6316,3.6316,1700
464,3.64,3.64,3.64,3.64,600
466,3.65,3.67,3.65,3.67,1200
467,3.64,3.66,3.64,3.6478,1200
468,3.63,3.6563,3.63,3.6563,1544
469,3.66,3.66,3.64,3.64,1118
470,3.67,3.67,3.66,3.66,200
471,3.64,3.66,3.63,3.66,11361
864,3.69,3.69,3.69,3.69,1315
865,3.68,3.68,3.68,3.68,100
866,3.6503,3.6503,3.63,3.642,2000
867,3.67,3.67,3.67,3.67,100
870,3.63,3.63,3.63,3.63,600
871,3.63,3.64,3.63,3.64,700
873,3.63,3.64,3.63,3.63,4800
874,3.63,3.64,3.63,3.64,2688
875,3.63,3.63,3.63,3.63,400
876,3.63,3.63,3.63,3.63,200
877,3.63,3.63,3.63,3.63,200
880,3.64,3.64,3.64,3.64,200
881,3.65,3.65,3.647,3.6486,7900
882,3.63,3.66,3.63,3.66,900
883,3.67,3.67,3.67,3.67,100
884,3.66,3.66,3.63,3.63,700
885,3.64,3.68,3.64,3.66,600
887,3.68,3.68,3.63,3.63,500
888,3.66,3.68,3.66,3.68,200
889,3.65,3.65,3.65,3.65,200
890,3.6459,3.6459,3.64,3.64,315
892,3.67,3.7,3.6598,3.66,7110
893,3.6799,3.6799,3.67,3.67,2200
894,3.69,3.7,3.68,3.68,2800
895,3.6601,3.69,3.66,3.6825,10100
896,3.63,3.66,3.63,3.66,500
897,3.67,3.67,3.67,3.67,100
898,3.65,3.67,3.65,3.67,600
899,3.65,3.65,3.65,3.65,500
901,3.65,3.65,3.65,3.65,300
902,3.65,3.65,3.63,3.65,800
903,3.66,3.66,3.65,3.66,5289
a1493731800,3.67,3.67,3.67,3.67,824
1,3.69,3.69,3.69,3.69,100
10,3.645,3.6655,3.63,3.6655,7500
12,3.63,3.66,3.63,3.66,2600
13,3.66,3.66,3.63,3.63,800
15,3.69,3.69,3.66,3.66,1580
16,3.69,3.69,3.6624,3.69,3700
17,3.7,3.7,3.69,3.69,6800
