EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,26.94,26.94,26.94,26.94,408
8,26.99,26.99,26.94,26.94,2329
9,27.27,27.35,27.27,27.35,800
14,27.15,27.2,27.15,27.2,200
17,27.01,27.05,27.01,27.05,400
20,26.98,26.98,26.98,26.98,999
23,27.15,27.17,26.96,26.96,400
29,27.4,27.4,27.4,27.4,100
30,27.41,27.41,27.39,27.39,300
31,27.42,27.42,27.42,27.42,100
32,27.4,27.4,27.4,27.4,200
36,27.3,27.3,27.3,27.3,885
37,27.29,27.29,27.29,27.29,100
39,27.21,27.29,27.15,27.15,1164
149,27.43,27.43,27.43,27.43,100
158,27.57,27.57,27.52,27.52,700
160,28.09,28.09,28.09,28.09,100
161,27.68,28.03,27.68,28.03,1000
162,27.84,27.84,27.83,27.84,300
170,28.1,28.19,27.96,27.96,3810
171,28.08,28.28,28.08,28.28,1100
172,27.95,28.01,27.95,28.01,675
173,27.925,28.36,27.925,28.36,435
181,28.26,28.28,28.24,28.24,300
182,28.1853,28.24,28.1853,28.2,2832
183,28.16,28.18,27.99,28.18,2597
288,28.15,28.15,28.15,28.15,148
291,28.21,28.21,28.21,28.21,600
292,28.16,28.21,28.16,28.21,1100
293,28.16,28.16,28.16,28.16,305
298,28.43,28.43,28.43,28.43,100
299,28.21,28.3,28.21,28.3,200
303,28.2,28.2,28.2,28.2,500
304,28,28.16,28,28.16,600
309,28.16,28.16,28.16,28.16,100
310,28.15,28.195,28.15,28.17,600
311,28.15,28.2,28.15,28.2,200
313,28.11,28.13,28.05,28.11,840
314,28.1,28.1,28.09,28.09,400
318,28.1,28.1,28.09,28.09,658
323,28.36,28.36,28.36,28.36,100
325,28.32,28.32,28.32,28.32,100
326,28.31,28.31,28.31,28.31,100
327,28.31,28.42,28.245,28.31,2463
432,28.28,28.28,28.28,28.28,344
433,26.97,26.97,26.97,26.97,1000
434,26.51,27.42,26.51,27.42,200
435,26.5,26.54,26.5,26.54,200
437,26.7,26.75,26.7,26.75,2200
438,26.65,26.725,26.475,26.725,1800
440,26.645,26.645,26.645,26.645,200
441,26.63,26.65,26.3875,26.3875,832
443,26.36,26.36,26.36,26.36,100
444,26.51,26.53,26.51,26.53,200
446,26.62,26.62,26.57,26.57,400
448,26.38,26.38,26.38,26.38,100
450,26.39,26.39,26.39,26.39,100
451,26.6499,26.65,26.46,26.61,980
452,26.375,26.375,26.375,26.375,100
455,26.36,26.36,26.36,26.36,100
458,26.505,26.505,26.37,26.37,300
459,26.5,26.5,26.5,26.5,100
460,26.42,26.42,26.42,26.42,100
461,26.5,26.5,26.35,26.35,400
462,26.39,26.39,26.39,26.39,100
463,26.48,26.48,26.37,26.37,200
464,26.37,26.37,26.35,26.37,700
465,26.3,26.35,26.3,26.35,679
467,26.4,26.4,26.3,26.35,1302
468,26.32,26.59,26.32,26.58,500
469,26.5,26.58,26.5,26.55,600
470,26.52,26.52,26.305,26.305,2097
471,26.57,26.6,26.37,26.57,8505
864,26.16,26.16,26.16,26.16,860
865,26,26,26,26,1000
867,25.9004,26.01,25.8818,26.01,921
868,25.767,26.005,25.767,26.005,1000
874,25.73,25.799,25.73,25.76,2200
875,25.5891,25.75,25.5891,25.74,1721
876,25.605,25.605,25.605,25.605,100
877,25.605,25.605,25.56,25.56,200
879,25.595,25.595,25.595,25.595,100
881,25.5,25.6,25.5,25.6,1301
882,25.52,25.6,25.52,25.56,2623
883,25.595,25.66,25.595,25.66,200
884,25.55,25.55,25.55,25.55,100
885,25.53,25.53,25.53,25.53,171
886,25.51,25.51,25.51,25.51,100
887,25.5533,25.59,25.5533,25.59,837
890,25.58,25.6,25.51,25.52,1321
891,25.58,25.58,25.5008,25.507,400
892,25.59,25.59,25.59,25.59,200
893,25.61,25.65,25.6,25.6,788
895,25.53,25.61,25.53,25.61,200
896,25.52,25.69,25.52,25.6349,561
897,25.88,25.88,25.71,25.71,2213
900,25.81,25.93,25.81,25.93,29700
901,25.76,25.95,25.76,25.905,600
902,25.8704,25.8988,25.8209,25.83,25852
903,26.05,26.07,25.86,25.88,18722
a1493731800,25.83,25.83,25.83,25.83,301
1,26.225,26.225,25.83,25.83,200
3,25.6383,25.6383,25.6,25.6,200
4,25.79,25.79,25.7475,25.7475,5900
5,25.8381,25.8381,25.8381,25.8381,100
6,25.77,25.915,25.77,25.9129,600
7,25.5,25.6857,25.5,25.66,2300
8,25.4669,25.56,25.45,25.56,500
9,25.57,25.57,25.5,25.5,300
10,25.6,25.61,25.59,25.6,2482
14,25.5383,25.5383,25.5383,25.5383,100
15,25.5,25.51,25.5,25.51,1088
16,25.5383,25.5383,25.5,25.5,400
17,25.56,25.56,25.56,25.56,100
19,25.57,25.57,25.57,25.57,200
21,25.62,25.62,25.62,25.62,100
22,25.51,25.51,25.51,25.51,100
25,25.5,25.51,25.5,25.51,400
26,25.59,25.59,25.59,25.59,100
27,25.46,25.5002,25.445,25.5,500
28,25.5,25.555,25.24,25.46,3400
29,25.4382,25.4382,25.4382,25.4382,102
30,25.5,25.5,25.32,25.34,1295
31,25.5,25.5,25.42,25.42,700
32,25.45,25.5,25.369,25.411,2700
33,25.14,25.39,25.01,25.36,4300
34,25.29,25.29,25.245,25.28,400
35,25.255,25.255,25.25,25.25,300
36,25.26,25.31,25.26,25.3,4421
37,25.26,25.26,25.249,25.249,200
38,25.22,25.31,25.22,25.26,1300
39,25.13,25.225,25.12,25.225,1722
144,25.12,25.12,25.12,25.12,200
145,25.25,25.3,25.25,25.3,300
146,25.2625,25.3,25.15,25.2879,2298
147,25.2502,25.2502,25.25,25.25,400
148,25.15,25.17,25.15,25.17,300
149,25,25.16,24.99,25.16,3300
150,25,25,25,25,300
151,25,25,25,25,2314
152,24.901,24.97,24.901,24.97,700
153,24.96,25,24.92,24.92,1400
154,24.99,24.99,24.99,24.99,300
155,25.12,25.12,24.975,24.975,37302
156,25.06,25.12,25.06,25.12,900
157,25.2,25.21,25.1,25.11,4146
158,25.23,25.25,25.0976,25.0976,1841
160,25.1677,25.19,25.13,25.1777,686
161,25.18,25.185,25.18,25.1819,1000
162,25.15,25.1819,25.15,25.1819,700
163,25.14,25.2,25.14,25.17,2433
164,25.12,25.15,25.12,25.15,400
165,25.06,25.15,25.04,25.15,2100
166,25.195,25.2227,25.11,25.11,1000
167,25.13,25.17,25.124,25.124,500
168,25.1,25.11,25.1,25.11,300
169,25.105,25.11,24.99,25.11,1505
171,25.13,25.13,25.0952,25.0952,200
172,25.07,25.18,25.07,25.125,600
173,25.12,25.12,25.12,25.12,100
174,25.1576,25.1576,25.12,25.12,200
175,24.99,25.125,24.99,25.125,900
176,25.06,25.06,25.03,25.05,400
177,25.06,25.06,25.05,25.06,1000
179,25.05,25.12,25.05,25.12,200
180,25.07,25.1057,25.05,25.085,700
181,25.12,25.12,25.08,25.08,466
182,25,25.06,24.98,25.05,500
183,24.99,24.99,24.98,24.98,1986
288,25.11,25.11,25.11,25.11,126
296,24.83,25.04,24.83,25.04,500
297,24.94,24.94,24.94,24.94,100
298,24.905,24.905,24.905,24.905,100
300,24.905,24.979,24.905,24.979,1100
301,24.9,24.9,24.9,24.9,100
304,24.89,24.94,24.89,24.895,900
305,24.885,24.885,24.88,24.88,500
306,24.89,24.89,24.89,24.89,100
307,24.93,24.93,24.89,24.93,600
308,25,25,24.99,24.99,200
310,24.97,24.97,24.9636,24.969,2900
312,25,25,25,25,100
313,24.9525,24.9525,24.9525,24.9525,100
314,24.95,24.95,24.9478,24.9478,300
315,24.93,24.95,24.93,24.95,300
317,24.9372,24.9372,24.91,24.91,200
319,24.96,25,24.95,24.97,3500
320,24.96,24.974,24.955,24.96,1946
321,24.935,24.99,24.92,24.99,900
322,24.92,24.95,24.92,24.95,200
323,24.95,24.95,24.95,24.95,200
324,24.9573,25,24.9573,24.98,900
325,24.995,25.01,24.9407,25,6900
326,25.01,25.05,24.995,24.995,2400
327,25.01,25.03,24.94,25.03,6010
436,24.76,24.76,24.66,24.66,200
437,24.7908,24.7908,24.7908,24.7908,100
