EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,14.99,14.99,14.99,14.99,100
1,14.99,14.99,14.99,14.99,129
6,14.91,14.915,14.91,14.915,800
7,14.915,14.92,14.915,14.915,800
8,14.93,14.93,14.92,14.925,600
9,14.94,14.94,14.94,14.94,200
10,14.965,14.965,14.965,14.965,100
11,14.9798,14.9799,14.9798,14.9799,500
12,14.9989,15.03,14.9989,15.02,1476
13,14.9556,15.0072,14.9556,14.98,1519
14,14.9699,14.98,14.9176,14.98,1856
16,14.98,14.98,14.98,14.98,100
17,15.01,15.01,15.01,15.01,100
18,14.9797,14.9999,14.9797,14.9999,442
20,15,15,14.9701,14.9701,200
23,15.09,15.09,15.09,15.09,100
24,15.07,15.0701,15.07,15.0701,200
25,15.11,15.12,15.05,15.0744,51631
29,15.17,15.17,15.1201,15.1201,1104
31,15.19,15.19,15.19,15.19,100
32,15.1789,15.1789,15.1789,15.1789,1400
34,15.188,15.188,15.17,15.17,238
35,15.1667,15.1799,15.1667,15.1788,1499
36,15.18,15.18,15.18,15.18,100
38,15.21,15.21,15.194,15.2,7930
39,15.16,15.22,15.16,15.22,1126
144,14.99,14.99,14.99,14.99,200
145,14.99,14.99,14.99,14.99,603
151,15.02,15.0582,15.02,15.0582,477
154,15.1565,15.1565,15.09,15.09,405
155,15.0401,15.1,15.0401,15.1,603
157,15.0601,15.0601,15.0601,15.0601,141
158,15.02,15.02,14.954,15,5419
164,14.9,14.92,14.9,14.92,1573
167,14.9,14.9,14.8501,14.8501,233
170,14.97,14.97,14.97,14.97,100
172,15.01,15.01,15.01,15.01,1103
174,15.03,15.04,15.03,15.04,200
175,15.0201,15.0392,15.0201,15.0392,1228
177,15.0326,15.0326,15.0326,15.0326,291
178,15.0899,15.0899,15.0899,15.0899,350
180,15.0436,15.0536,15.0436,15.0536,1917
183,15.05,15.05,15.05,15.05,6400
291,15.0436,15.0974,15.0436,15.0974,226
295,15.0675,15.0675,15.0675,15.0675,1396
298,14.9659,15.0099,14.9659,15.0099,1042
306,14.88,14.9177,14.88,14.9177,673
310,14.9739,14.9739,14.9739,14.9739,1149
315,14.9107,14.9107,14.9107,14.9107,123
316,14.98,14.98,14.98,14.98,100
318,14.9597,14.9597,14.9597,14.9597,173
321,15.0099,15.0099,15.0099,15.0099,804
325,14.947,14.947,14.947,14.947,262
326,14.99,14.99,14.9101,14.9101,659
327,14.97,14.98,14.9,14.93,3346
432,14.85,14.85,14.85,14.85,2183
433,14.932,14.932,14.932,14.932,165
435,15.035,15.0499,14.9675,14.98,2707
436,14.9798,14.9798,14.9798,14.9798,227
438,15.0175,15.0175,15.0175,15.0175,1982
439,14.9879,14.9879,14.9879,14.9879,144
442,15.1099,15.1099,15.1099,15.1099,147
446,15.1001,15.1301,15.1001,15.1301,408
447,15.12,15.12,15.1014,15.1014,423
448,15.12,15.12,15.12,15.12,100
452,15.1774,15.1774,15.0901,15.0901,7279
453,15.1537,15.17,15.1537,15.17,287
458,15.1428,15.1428,15.1428,15.1428,233
460,15.1301,15.1301,15.1301,15.1301,772
465,15.2172,15.2312,15.192,15.192,1378
468,15.225,15.225,15.225,15.225,254
469,15.2,15.2358,15.2,15.2358,405
471,15.15,15.27,15.15,15.27,722
869,15.2329,15.2329,15.2329,15.2329,406
871,15.2842,15.2842,15.2842,15.2842,138
872,15.2329,15.2329,15.2329,15.2329,190
874,15.2639,15.2639,15.2639,15.2639,112
875,15.2992,15.2992,15.2992,15.2992,404
876,15.2968,15.2968,15.2968,15.2968,200
877,15.3699,15.3699,15.3699,15.3699,594
878,15.27,15.27,15.27,15.27,448
890,15.33,15.33,15.33,15.33,200
893,15.39,15.39,15.37,15.39,1240
894,15.39,15.39,15.39,15.39,400
895,15.39,15.39,15.39,15.39,200
896,15.3925,15.3925,15.3925,15.3925,880
897,15.3601,15.37,15.3601,15.37,1065
898,15.4,15.4,15.4,15.4,100
899,15.4,15.4,15.37,15.3868,1701
903,15.35,15.3501,15.35,15.3501,661
a1493731800,15.41,15.41,15.41,15.41,1211
1,15.45,15.45,15.42,15.42,900
2,15.44,15.46,15.4343,15.45,3300
3,15.49,15.5,15.4401,15.46,2307
4,15.54,15.54,15.48,15.49,800
5,15.56,15.56,15.54,15.55,700
6,15.55,15.56,15.54,15.56,800
7,15.6,15.61,15.5024,15.56,1100
8,15.62,15.62,15.6,15.6,730
9,15.585,15.62,15.585,15.62,900
10,15.6,15.6,15.6,15.6,600
11,15.61,15.62,15.561,15.5775,1047
12,15.57,15.6,15.57,15.6,700
13,15.465,15.57,15.46,15.57,3988
14,15.55,15.55,15.52,15.52,682
15,15.54,15.55,15.49,15.55,700
16,15.58,15.58,15.55,15.55,1200
17,15.58,15.58,15.57,15.57,500
18,15.61,15.61,15.59,15.59,300
19,15.61,15.62,15.531,15.6,986
20,15.59,15.61,15.59,15.61,1090
21,15.59,15.59,15.5501,15.59,549
22,15.62,15.62,15.59,15.59,400
23,15.64,15.64,15.63,15.63,400
24,15.65,15.65,15.63,15.64,500
25,15.66,15.66,15.65,15.65,400
26,15.71,15.71,15.66,15.66,500
27,15.71,15.71,15.67,15.7,700
28,15.73,15.73,15.72,15.72,500
29,15.73,15.75,15.68,15.68,1800
30,15.73,15.74,15.72,15.72,500
31,15.7,15.73,15.7,15.73,700
32,15.74,15.74,15.72,15.72,400
33,15.71,15.74,15.71,15.74,600
35,15.6363,15.6363,15.6363,15.6363,455
37,15.68,15.69,15.68,15.69,1127
38,15.6372,15.6372,15.6372,15.6372,100
39,15.71,15.71,15.64,15.64,202
149,15.7229,15.7334,15.7229,15.7334,822
150,15.71,15.71,15.71,15.71,930
153,15.6349,15.6374,15.6349,15.6374,216
154,15.62,15.62,15.62,15.62,5000
158,15.6001,15.6001,15.6001,15.6001,190
161,15.5928,15.5928,15.5928,15.5928,350
162,15.53,15.57,15.53,15.57,17904
163,15.595,15.6,15.59,15.6,2400
164,15.595,15.6,15.59,15.59,800
165,15.595,15.6,15.59,15.59,600
166,15.609,15.609,15.609,15.609,522
167,15.6,15.6,15.511,15.6,600
168,15.6,15.6,15.6,15.6,300
169,15.62,15.62,15.61,15.61,1560
171,15.4732,15.4732,15.4732,15.4732,200
172,15.64,15.64,15.64,15.64,100
174,15.59,15.59,15.59,15.59,4658
177,15.6286,15.6286,15.6286,15.6286,1965
178,15.69,15.69,15.64,15.64,4299
179,15.616,15.63,15.616,15.62,7366
180,15.58,15.59,15.5733,15.59,3330
182,15.61,15.61,15.59,15.59,300
288,15.41,15.41,15.41,15.41,100
289,15.3671,15.41,15.3536,15.41,1800
292,15.28,15.28,15.2733,15.28,972
295,15.2813,15.284,15.2813,15.284,1356
297,15.1223,15.18,15.1223,15.18,742
300,15.1522,15.1522,15.13,15.1501,1450
302,15.1699,15.1699,15.1699,15.1699,381
303,15.15,15.15,15.15,15.15,100
310,15.0363,15.0363,15.0363,15.0363,184
311,15.0251,15.0251,15.0201,15.0201,938
314,15.0481,15.0481,15.0481,15.0481,1000
316,15.01,15.03,15.01,15.03,314
318,15.0167,15.0167,15.0167,15.0167,246
319,15.0149,15.0149,15.0149,15.0149,260
320,15,15.0179,15,15.0179,1843
321,15.07,15.08,15.01,15.0101,10523
322,15.062,15.07,15.06,15.07,838
323,15.07,15.09,15.0695,15.0695,1493
324,15.07,15.09,15.07,15.07,700
325,15.07,15.08,15.0601,15.08,1512
326,15.07,15.0886,15.07,15.07,2663
327,15.085,15.09,15.08,15.09,1600
438,15.34,15.36,15.34,15.36,325
439,15.34,15.34,15.34,15.34,100
440,15.34,15.34,15.34,15.34,100
441,15.35,15.35,15.31,15.34,27190
442,15.3401,15.35,15.33,15.33,424
443,15.34,15.3499,15.34,15.34,1023
447,15.43,15.43,15.43,15.43,100
448,15.41,15.41,15.41,15.41,100
449,15.39,15.39,15.39,15.39,100
450,15.34,15.34,15.34,15.34,100
451,15.3363,15.3363,15.33,15.33,282
452,15.33,15.33,15.33,15.33,100
453,15.31,15.31,15.31,15.31,100
454,15.335,15.335,15.31,15.31,1000
