EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493130600,23.17,23.17,23.17,23.17,100
10,23.22,23.22,23.22,23.22,100
13,23.185,23.185,23.185,23.185,100
29,23.2241,23.2241,23.2241,23.2241,114
32,23.24,23.24,23.24,23.24,100
33,23.28,23.28,23.24,23.24,500
146,23.23,23.23,23.23,23.23,100
147,23.23,23.23,23.23,23.23,100
166,23.1064,23.1064,23.1064,23.1064,643
167,23.13,23.13,23.13,23.13,200
168,23.15,23.15,23.15,23.15,100
177,23.07,23.07,23.02,23.03,600
300,22.6513,22.6513,22.6513,22.6513,100
303,22.69,22.71,22.69,22.71,200
309,22.76,22.76,22.76,22.76,200
430,22.83,22.83,22.83,22.83,100
440,22.7101,22.7101,22.7101,22.7101,123
441,22.77,22.77,22.728,22.728,569
442,22.78,22.78,22.78,22.78,100
449,22.82,22.82,22.82,22.82,100
465,22.82,22.82,22.82,22.82,200
872,22.88,22.88,22.88,22.88,100
886,22.8621,22.8621,22.8621,22.8621,100
891,22.8412,22.8412,22.8412,22.8412,436
896,22.815,22.815,22.815,22.815,828
a1493731800,22.84,22.84,22.84,22.84,340
3,22.7108,22.7108,22.7108,22.7108,166
15,22.782,22.782,22.782,22.782,122
158,22.64,22.64,22.64,22.64,1062
183,22.56,22.56,22.56,22.56,100
432,22.29,22.29,22.29,22.29,400
445,22.504,22.504,22.504,22.504,366
895,22.5981,22.5981,22.5981,22.5981,405
a1494338400,22.6,22.6,22.5,22.5,200
173,22.6098,22.6098,22.6,22.6,726
315,22.505,22.505,22.505,22.505,250
430,22.49,22.5,22.49,22.5,200
442,22.4729,22.4729,22.4729,22.4729,154
465,22.305,22.305,22.305,22.305,647
861,22.33,22.33,22.33,22.33,6230
862,22.57,22.57,22.57,22.57,300
863,22.57,22.57,22.57,22.57,500
893,22.54,22.54,22.53,22.54,1100
a1494941400,22.57,22.65,22.57,22.65,528
5,22.7013,22.7013,22.7013,22.7013,115
153,22.3381,22.3601,22.3381,22.3601,330
178,22.12,22.12,22.12,22.12,100
179,22.15,22.15,22.15,22.15,100
304,22.075,22.075,22.07,22.075,600
315,22.0553,22.0553,22.0553,22.0553,100
432,22.29,22.29,22.29,22.29,100
440,22.44,22.44,22.44,22.44,100
452,22.4876,22.4876,22.4876,22.4876,768
457,22.53,22.53,22.53,22.53,100
459,22.55,22.55,22.55,22.55,100
460,22.59,22.59,22.59,22.59,100
464,22.61,22.61,22.61,22.61,100
471,22.6,22.61,22.59,22.61,300
864,22.78,22.78,22.78,22.78,100
866,22.78,22.78,22.78,22.78,400
899,22.75,22.75,22.73,22.73,500
903,22.64,22.64,22.64,22.64,100
a1495546200,22.9,22.9,22.9,22.9,100
28,22.66,22.66,22.66,22.66,200
39,22.61,22.61,22.61,22.61,100
144,22.71,22.71,22.71,22.71,100
172,22.69,22.69,22.69,22.69,200
180,22.73,22.73,22.73,22.73,100
183,22.69,22.69,22.69,22.69,100
288,22.93,22.93,22.93,22.93,100
319,22.65,22.65,22.65,22.65,100
327,22.58,22.58,22.58,22.58,100
432,22.76,22.76,22.76,22.76,100
452,22.625,22.625,22.625,22.625,100
464,22.7,22.7,22.7,22.7,100
471,22.6,22.6,22.6,22.6,100
a1496151000,22.71,22.71,22.71,22.71,100
6,22.61,22.61,22.61,22.61,500
21,22.615,22.615,22.615,22.615,100
39,22.62,22.67,22.62,22.67,300
144,22.73,22.73,22.73,22.73,100
148,22.09,22.11,22.09,22.1,45900
149,22.18,22.18,22.09,22.09,177100
154,22.26,22.26,22.18,22.18,111900
155,22.22,22.25,22.22,22.25,21400
156,22.28,22.28,22.28,22.28,7500
183,22.25,22.25,22.25,22.25,100
288,22.49,22.49,22.49,22.49,100
297,22.49,22.49,22.49,22.49,200
298,22.49,22.49,22.49,22.49,100
313,22.58,22.58,22.58,22.58,100
327,22.51,22.51,22.51,22.51,100
432,22.5,22.5,22.5,22.5,250
457,22.55,22.55,22.55,22.55,100
471,22.44,22.44,22.44,22.44,100
864,22.61,22.61,22.61,22.61,100
868,22.43,22.43,22.43,22.43,100
889,22.51,22.51,22.51,22.51,100
903,22.47,22.54,22.47,22.54,200
a1496755800,22.56,22.56,22.56,22.56,250
3,22.4319,22.4319,22.4319,22.4319,129
14,22.44,22.44,22.44,22.44,100
32,22.49,22.49,22.49,22.49,100
39,22.48,22.48,22.48,22.48,100
144,22.62,22.62,22.62,22.62,100
171,22.4,22.4,22.4,22.4,143
183,22.34,22.34,22.34,22.34,100
288,22.49,22.49,22.49,22.49,100
310,22.53,22.53,22.53,22.53,100
327,22.52,22.52,22.52,22.52,100
432,22.63,22.63,22.63,22.63,352
444,22.81,22.81,22.81,22.81,100
864,22.71,22.71,22.71,22.71,400
892,22.78,22.78,22.78,22.78,100
a1497367200,22.9003,22.9003,22.9003,22.9003,470
170,22.707,22.707,22.707,22.707,205
172,22.77,22.77,22.75,22.75,1567
288,22.48,22.48,22.48,22.48,100
289,22.42,22.425,22.41,22.42,1000
854,22.69,22.69,22.69,22.69,200
856,22.76,22.76,22.76,22.76,200
861,22.85,22.85,22.85,22.85,100
880,22.91,22.91,22.91,22.91,200
a1498140600,22.4329,22.4329,22.4329,22.4329,649
22,22.46,22.46,22.46,22.46,200
23,22.46,22.46,22.46,22.46,100
26,22.45,22.45,22.45,22.45,100
140,22.41,22.41,22.41,22.41,100
144,22.41,22.41,22.41,22.41,100
161,22.52,22.52,22.52,22.52,100
572,22.52,22.52,22.52,22.52,500
590,22.541,22.541,22.53,22.53,700
597,22.55,22.55,22.55,22.55,100
605,22.5524,22.5524,22.5524,22.5524,400
729,22.7,22.7,22.7,22.7,310
739,22.6654,22.6654,22.6654,22.6654,178
a1498851000,22.985,22.985,22.985,22.985,100
417,23.175,23.175,23.175,23.175,100
684,23.08,23.08,23.08,23.08,100
701,23,23,23,23,53107
705,22.945,22.945,22.945,22.945,100
