EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493130600,2.94,2.94,2.85,2.85,8252
7,3,3,2.8839,2.9047,16133
8,3.0079,3.0079,3.0079,3.0079,1000
9,2.96,3.05,2.96,2.98,800
13,3.0644,3.0644,2.9388,2.97,1000
16,2.98,2.98,2.98,2.98,400
18,2.9155,2.9155,2.9155,2.9155,700
24,2.9435,2.9435,2.9435,2.9435,1000
26,2.98,2.98,2.98,2.98,100
27,2.97,2.97,2.97,2.97,526
30,2.96,2.96,2.94,2.94,200
31,2.97,2.97,2.91,2.93,1459
32,2.96,2.96,2.96,2.96,100
33,2.93,2.96,2.93,2.96,1200
138,2.88,2.88,2.88,2.88,1002
140,2.811,2.9443,2.811,2.93,3200
141,2.81,2.81,2.81,2.81,500
142,2.85,2.85,2.81,2.811,4200
143,2.8562,2.8562,2.66,2.71,11400
177,2.75,2.76,2.75,2.76,750
282,2.75,2.75,2.74,2.74,300
283,2.84,2.84,2.84,2.84,7100
285,2.67,2.67,2.67,2.67,7200
289,2.78,2.78,2.78,2.78,180
291,2.7465,2.7465,2.7465,2.7465,500
308,2.82,2.82,2.82,2.82,100
309,2.81,2.81,2.81,2.81,100
311,2.83,2.83,2.83,2.83,100
319,2.79,2.79,2.75,2.75,273
321,2.85,2.85,2.77,2.77,940
426,2.83,2.83,2.83,2.83,172
432,2.74,2.74,2.74,2.74,7300
437,2.7901,2.7901,2.7901,2.7901,760
438,2.78,2.7801,2.78,2.7801,200
441,2.79,2.79,2.78,2.78,700
442,2.92,2.92,2.82,2.82,11100
465,2.85,2.85,2.8101,2.8101,767
860,2.721,2.89,2.721,2.86,7600
863,2.85,2.85,2.85,2.85,100
865,2.762,2.762,2.762,2.762,100
871,2.8,2.8,2.8,2.8,100
877,2.88,2.88,2.88,2.88,100
883,2.88,2.88,2.88,2.88,100
897,2.81,2.81,2.81,2.81,184
a1493732400,2.8121,2.8121,2.8121,2.8121,400
4,2.73,2.73,2.73,2.73,7200
6,2.82,2.82,2.77,2.77,6100
17,2.83,2.83,2.83,2.83,200
21,2.82,2.82,2.82,2.82,100
22,2.83,2.83,2.83,2.83,350
36,2.81,2.81,2.81,2.81,200
37,2.81,2.81,2.81,2.81,300
38,2.85,2.85,2.81,2.81,250
144,2.73,2.81,2.73,2.81,7300
147,2.72,2.72,2.66,2.66,7600
149,2.7472,2.7472,2.7472,2.7472,200
157,2.7548,2.7548,2.7548,2.7548,200
159,2.72,2.72,2.72,2.72,100
162,2.78,2.78,2.78,2.78,100
177,2.762,2.762,2.762,2.762,213
181,2.72,2.72,2.72,2.72,100
182,2.74,2.74,2.74,2.74,100
292,2.71,2.71,2.68,2.71,300
312,2.71,2.71,2.71,2.71,100
434,2.67,2.6955,2.67,2.6955,319
435,2.8,2.95,2.699,2.699,24158
440,2.77,2.77,2.77,2.77,300
442,2.76,2.76,2.76,2.76,250
470,2.77,2.78,2.77,2.78,300
864,2.7701,2.7701,2.7701,2.7701,219
865,2.7442,2.7742,2.74,2.77,1900
867,2.74,2.75,2.74,2.75,800
874,2.76,2.83,2.73,2.73,14500
878,2.77,2.77,2.77,2.77,200
884,2.76,2.76,2.76,2.76,300
886,2.75,2.77,2.75,2.77,200
890,2.75,2.75,2.75,2.75,100
894,2.76,2.76,2.76,2.76,800
898,2.75,2.75,2.75,2.75,100
899,2.76,2.76,2.76,2.76,100
900,2.72,2.74,2.72,2.74,1100
901,2.72,2.72,2.72,2.72,700
902,2.73,2.73,2.72,2.72,501
a1494336600,2.72,2.72,2.72,2.72,600
1,2.76,2.76,2.72,2.72,7600
5,2.49,2.6801,2.35,2.68,13990
7,2.58,2.6,2.51,2.56,10200
8,2.58,2.58,2.58,2.58,100
12,2.63,2.6363,2.63,2.63,1700
37,2.67,2.67,2.63,2.63,5300
39,2.66,2.66,2.64,2.64,900
149,2.666,2.679,2.666,2.679,1000
152,2.6648,2.6648,2.6648,2.6648,2000
153,2.66,2.66,2.66,2.66,1000
154,2.59,2.59,2.59,2.59,200
161,2.59,2.59,2.59,2.59,200
183,2.57,2.58,2.57,2.5701,575
288,2.57,2.57,2.57,2.57,350
289,2.62,2.62,2.62,2.62,100
294,2.39,2.5702,2.39,2.5702,2480
296,2.87,3.01,2.61,2.61,26345
297,2.61,2.91,2.61,2.91,7082
298,2.66,2.66,2.66,2.66,100
300,2.6412,2.6412,2.6412,2.6412,100
303,2.57,2.57,2.57,2.57,5589
306,2.6,2.65,2.41,2.55,23700
312,2.5508,2.5667,2.5508,2.5667,1094
321,2.6,2.6,2.6,2.6,100
322,2.53,2.55,2.53,2.54,1200
323,2.58,2.59,2.55,2.554,6779
326,2.55,2.55,2.55,2.55,100
327,2.53,2.55,2.53,2.55,590
434,2.6,2.6,2.6,2.6,200
437,2.53,2.6001,2.396,2.6,5978
438,2.53,2.53,2.53,2.53,200
443,2.5,2.5,2.5,2.5,100
456,2.851,2.99,2.5,2.5,47616
457,2.7415,2.88,2.7415,2.861,31500
459,2.9,2.9,2.84,2.84,950
462,2.8001,2.81,2.8,2.81,3238
464,2.75,2.75,2.75,2.75,456
469,2.62,2.62,2.61,2.61,200
470,2.85,2.85,2.45,2.53,14894
471,2.94,2.94,2.72,2.72,500
864,2.92,2.92,2.92,2.92,310
865,2.8,2.8,2.8,2.8,456
867,2.69,2.69,2.69,2.69,100
871,2.73,2.74,2.73,2.74,400
888,2.96,2.96,2.96,2.96,100
900,2.82,2.82,2.82,2.82,100
903,2.85,2.99,2.85,2.99,400
a1494941400,2.95,2.95,2.95,2.95,400
3,2.6737,2.6737,2.6737,2.6737,494
5,2.69,2.69,2.69,2.69,400
6,2.7665,2.7665,2.7665,2.7665,600
12,2.95,2.95,2.95,2.95,100
16,2.94,2.949,2.93,2.949,1000
27,2.9,2.9,2.9,2.9,200
34,2.82,2.82,2.82,2.82,100
37,2.83,2.83,2.83,2.83,100
39,2.7601,2.84,2.69,2.81,700
144,2.84,2.84,2.84,2.84,101
149,2.79,2.8,2.79,2.8,300
163,2.79,2.79,2.79,2.79,100
176,2.89,2.89,2.89,2.89,100
182,2.7,2.7,2.7,2.7,100
183,2.99,2.99,2.69,2.78,800
288,2.9,2.9,2.9,2.9,1236
292,2.9889,2.9889,2.9889,2.9889,100
293,2.9,2.9,2.89,2.89,200
297,2.8799,2.8799,2.8799,2.8799,100
299,2.9889,2.9889,2.88,2.88,300
300,2.9889,2.9889,2.9889,2.9889,100
302,2.9989,2.9989,2.9989,2.9989,100
303,2.9889,2.9889,2.9889,2.9889,100
305,2.99,2.99,2.99,2.99,100
306,2.9889,2.9889,2.9889,2.9889,200
308,2.9889,2.9889,2.9889,2.9889,100
312,2.99,2.99,2.99,2.99,100
313,2.9,2.9895,2.9,2.9,900
314,2.9199,2.98,2.9,2.98,700
315,2.9,2.9199,2.9,2.9199,700
316,2.9,2.9,2.9,2.9,100
327,2.83,3,2.83,2.83,1300
433,2.83,2.83,2.83,2.83,100
436,2.82,2.82,2.82,2.82,100
438,2.78,2.78,2.78,2.78,200
439,2.7433,2.749,2.7433,2.749,800
440,2.7428,2.7428,2.7428,2.7428,200
444,2.755,2.755,2.755,2.755,375
455,2.77,2.77,2.77,2.77,100
466,2.81,2.81,2.75,2.75,300
468,2.79,2.79,2.79,2.79,100
471,2.81,2.81,2.56,2.75,1500
874,2.78,2.78,2.41,2.41,788
903,2.83,2.83,2.83,2.83,200
a1495551000,2.52,2.52,2.52,2.52,3316
6,2.57,2.57,2.57,2.57,200
8,2.78,2.78,2.65,2.65,22554
9,2.58,2.72,2.58,2.72,6173
12,2.585,2.63,2.585,2.63,1000
18,2.69,2.69,2.69,2.69,100
23,2.69,2.69,2.69,2.69,100
24,2.69,2.69,2.69,2.69,100
30,2.67,2.67,2.67,2.67,100
31,2.84,2.84,2.59,2.59,500
140,2.6,2.61,2.59,2.59,2622
161,2.7099,2.7099,2.7099,2.7099,248
164,2.6514,2.6514,2.6514,2.6514,904
165,2.67,2.67,2.67,2.67,300
166,2.66,2.66,2.66,2.66,123
