EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,41.7,41.7,41.7,41.7,100
1,41.7,41.7,41.7,41.7,100
2,41.7,41.7,41.7,41.7,200
3,40.2,41.7,40.2,41.7,350
4,41.45,41.45,41.45,41.45,200
5,41.6,41.6,40.5508,40.95,5275
6,41.85,41.85,41.75,41.8,500
7,42,42.05,41.9,41.9,2200
8,42.25,42.3,42.25,42.3,700
9,42.2,42.35,42.2,42.35,700
10,42.1,42.15,42,42.15,1600
11,42.15,42.15,42.05,42.05,1300
12,42.2,42.2,42.1,42.15,500
13,42.25,42.25,42.25,42.25,100
14,42.25,42.25,42.25,42.25,200
16,42.2,42.25,42.2,42.25,300
17,42.3,42.3,42.3,42.3,100
20,42.25,42.25,42.25,42.25,200
21,42.3,42.3,42.3,42.3,100
22,42.25,42.25,42.25,42.25,300
23,42.25,42.25,42.2,42.25,500
24,42.25,42.25,42.25,42.25,100
25,42.05,42.15,42.05,42.15,1310
26,41.9,42.15,41.9,42.1,1223
28,41.925,41.925,41.85,41.85,200
29,42,42,42,42,100
30,41.8,41.9,41.8,41.9,200
31,41.8,41.875,41.8,41.875,200
32,41.9,41.95,41.85,41.95,300
33,41.95,41.95,41.95,41.95,100
34,42.05,42.05,41.95,41.95,1100
35,42.05,42.05,41.95,42.05,700
36,41.95,42.05,41.95,42.05,1141
37,41.9,41.9,41.9,41.9,200
38,41.8,41.8,41.8,41.8,100
39,41.6,41.825,41.6,41.8,3389
144,41.55,41.55,41.55,41.55,105
145,41.7188,41.7188,41.6,41.6,750
146,41.95,41.95,41.95,41.95,100
147,41.8,41.8,41.8,41.8,100
148,41.75,41.85,41.75,41.75,900
149,41.7,41.7,41.7,41.7,100
150,41.75,41.75,41.75,41.75,300
151,41.85,41.85,41.85,41.85,300
152,41.95,41.95,41.9,41.9,500
153,42.25,42.25,41.95,41.95,4100
154,42.1,42.125,42.1,42.1,1100
155,42.05,42.15,42.05,42.15,1020
156,42.15,42.15,42.05,42.05,1000
157,42.15,42.15,42.15,42.15,300
158,42.15,42.15,42.15,42.15,200
159,42.15,42.15,42.1,42.1,1557
160,42.1,42.1,42.1,42.1,100
161,42.1,42.15,42.1,42.15,200
162,42.125,42.15,42.1,42.15,933
163,42.15,42.15,42.15,42.15,490
164,42.1,42.15,42.1,42.15,883
165,42.25,42.25,42.175,42.2,300
166,42.2325,42.25,42.225,42.225,700
167,42.15,42.25,42.15,42.25,2100
168,42.175,42.25,42.15,42.2,1785
169,42.025,42.025,41.95,41.95,200
170,42.1,42.1,42.1,42.1,200
171,42.1,42.1,42.1,42.1,100
172,42.05,42.05,42.05,42.05,100
173,42.05,42.05,42.05,42.05,100
174,42.25,42.25,42.25,42.25,100
176,42.25,42.25,42.1,42.175,900
177,42.25,42.25,42.2,42.25,400
178,42.25,42.25,42.25,42.25,200
179,42.25,42.25,42.25,42.25,100
181,42.1,42.175,42.1,42.175,200
182,42.1,42.25,42.1,42.25,1416
183,41.95,42,41.8,42,4459
288,41.8,41.8,41.8,41.8,325
291,42.25,42.25,42.15,42.15,600
292,42.225,42.25,42.2,42.25,634
295,42.2,42.2,42.2,42.2,100
298,42.25,42.25,42.2,42.2,500
299,42.25,42.25,42.25,42.25,100
300,42.25,42.25,42.25,42.25,100
305,42.295,42.295,42.2,42.2,500
307,42.2,42.3,42.2,42.2,887
308,42.3,42.4,42.3,42.3,1999
309,42.55,42.8,42.4,42.45,3900
310,42.45,42.6,42.45,42.6,400
312,42.5,42.5,42.4,42.4,600
314,42.475,42.475,42.475,42.475,400
315,42.45,42.45,42.45,42.45,400
316,42.5,42.5,42.5,42.5,100
317,42.4,42.47,42.3,42.47,350
318,42.3,42.4,42.3,42.4,400
319,42.4,42.4,42.25,42.3,500
322,42.45,42.45,42.3,42.35,400
324,42.45,42.45,42.45,42.45,100
325,42.35,42.5,42.35,42.5,600
326,42.5,42.5,42.45,42.45,200
327,42.4,42.55,42.4,42.45,2942
435,42.5,42.5,42.5,42.5,100
436,42.5,42.5,42.5,42.5,100
437,42.45,42.45,42.45,42.45,100
438,42.4,42.4,42.4,42.4,200
442,42.35,42.35,42.35,42.35,200
443,42.25,42.3,42.25,42.3,500
444,42.2,42.2,42.2,42.2,200
452,42.2,42.2,42.2,42.2,200
457,42.2,42.2,42.2,42.2,315
461,42.1,42.1,42.05,42.1,400
464,41.9,41.9,41.9,41.9,100
465,41.8,41.85,41.8,41.85,300
468,41.85,41.85,41.78,41.78,265
470,41.55,41.7,41.55,41.7,600
471,41.5,41.7,41.4,41.6508,5199
867,41.55,42.2,40.9,42.2,900
868,41.5,41.75,41.5,41.725,500
870,41.65,41.65,41.65,41.65,100
876,41.6,41.6,41.6,41.6,100
877,41.7,41.85,41.7,41.7,800
882,41.65,41.65,41.5,41.625,1700
883,41.5,41.575,41.5,41.575,200
885,41.3,41.5,41.3,41.5,600
887,41.4,41.4,41.4,41.4,100
888,41.4,41.4,41.4,41.4,400
890,41.4,41.4,41.35,41.35,200
891,41.6,41.6,41.6,41.6,100
893,41.775,41.8,41.775,41.8,200
894,41.7,41.7,41.7,41.7,100
895,41.65,41.8947,41.55,41.65,3000
896,41.75,41.85,41.7,41.85,400
897,41.5,41.6,41.5,41.6,701
898,41.625,41.625,41.625,41.625,100
901,41.3,41.35,41.3,41.35,300
902,41.8,41.8,41.45,41.45,284
903,41.6,41.65,41.6,41.65,1612
a1493732400,41.65,41.65,41.65,41.65,100
1,41.6,41.65,41.5,41.5,1400
4,41.6,41.64,41.6,41.64,200
9,41.55,41.55,41.55,41.55,800
10,41.58,41.58,41.58,41.58,341
11,41.6,41.625,41.6,41.625,400
12,41.55,41.55,41.55,41.55,300
14,41.45,41.45,41.45,41.45,300
15,41.4791,41.4791,41.4791,41.4791,100
16,41.4,41.4,41.4,41.4,100
19,41.3,41.3,41.3,41.3,100
21,41.25,41.3,41.25,41.3,200
23,41.4,41.45,41.35,41.35,700
25,41.35,41.35,41.35,41.35,100
27,41.5,41.5,41.5,41.5,100
29,41.4,41.4,41.4,41.4,100
33,41.55,41.55,41.55,41.55,100
36,41.45,41.5,41.45,41.45,500
37,41.45,41.55,41.45,41.55,300
38,41.55,41.65,41.55,41.6,1989
143,41.35,41.35,41.35,41.35,121
145,41.7,41.7,41.7,41.7,200
150,41.6,41.6,41.6,41.6,300
151,41.6,41.6,41.6,41.6,100
155,41.75,41.75,41.75,41.75,100
157,41.9,41.9,41.9,41.9,100
160,42,42,42,42,100
161,41.85,41.85,41.85,41.85,300
167,41.95,41.95,41.95,41.95,100
170,41.7,41.7,41.7,41.7,100
171,41.75,41.75,41.7,41.7,300
172,41.7,41.7,41.7,41.7,300
173,41.25,41.25,41.25,41.25,100
175,41.85,41.85,41.4,41.45,1600
176,41.7,41.7,41.7,41.7,100
177,41.65,41.65,41.65,41.65,100
179,41.75,41.75,41.75,41.75,100
180,41.75,41.75,41.75,41.75,100
181,41.75,41.75,41.75,41.75,100
182,41.7,41.85,41.65,41.7,2500
287,41.55,41.55,41.55,41.55,2000
288,41.95,41.95,41.85,41.95,400
290,42,42,41.95,42,2800
291,42.2,42.2,42.2,42.2,200
294,41.95,42.1,41.95,42.1,700
296,41.8,41.8,41.8,41.8,100
303,41.9,41.9,41.9,41.9,100
304,41.6,41.9,41.6,41.8,1200
305,41.6,41.6,41.6,41.6,100
306,41.5,41.5,41.5,41.5,125
312,41.55,41.6,41.55,41.55,400
322,41.75,41.75,41.65,41.65,300
324,41.85,41.85,41.85,41.85,100
325,41.825,41.95,41.65,41.65,900
326,41.95,42.15,41.85,41.85,2011
441,41.95,42.125,41.95,42.025,1300
443,42.125,42.125,41.95,41.95,301
444,42.15,42.15,42.15,42.15,100
446,42.45,42.45,42.4,42.4,400
447,42.4,42.4,42.4,42.4,100
448,42.05,42.3,42.05,42.3,468
450,41.9,42,41.9,42,400
452,42.1,42.1,42.1,42.1,100
454,41.95,41.95,41.95,41.95,100
459,41.9,41.9,41.9,41.9,100
460,41.9,41.9,41.9,41.9,200
