EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,26.8,26.8,26.8,26.8,4574
1,26.95,27,26.7,26.7,17472
2,27.05,27.125,26.9,27,52588
3,27.1,27.125,27,27,16507
4,27.35,27.3688,27.05,27.05,41345
5,27.25,27.45,27.2,27.375,18866
6,27.1,27.25,26.95,27.25,22712
7,27.15,27.2,27.05,27.15,34494
8,27.15,27.2,27.05,27.15,13602
9,27.2,27.2,27.1407,27.175,8641
10,27.25,27.3,27.167,27.167,19915
11,27.325,27.375,27.2,27.25,6200
12,27.3,27.375,27.25,27.35,3100
13,27.45,27.5,27.3,27.35,37654
14,27.5,27.55,27.425,27.445,4475
15,27.5,27.525,27.45,27.475,34602
16,27.525,27.55,27.45,27.55,6300
17,27.55,27.55,27.4,27.5,13166
18,27.55,27.6,27.5,27.55,18844
19,27.5,27.575,27.5,27.525,3325
20,27.575,27.6,27.5,27.5,3500
21,27.6,27.6,27.525,27.55,14673
22,27.6,27.65,27.575,27.575,19387
23,27.65,27.7059,27.6,27.65,8550
24,27.6,27.75,27.575,27.75,13691
25,27.5501,27.64,27.55,27.6,11250
26,27.625,27.65,27.525,27.55,12591
27,27.7,27.7,27.6,27.65,4908
28,27.8,27.825,27.65,27.675,31385
29,27.85,27.89,27.8,27.8,8910
30,27.85,27.9,27.8,27.85,3200
31,27.8,27.9,27.75,27.875,6598
32,27.7,27.825,27.7,27.825,16581
33,27.65,27.75,27.65,27.7,6167
34,27.675,27.725,27.6,27.7,14810
35,27.7,27.7,27.6,27.6658,5700
36,27.8,27.8,27.65,27.675,18303
37,27.8,27.8,27.75,27.8,16355
38,27.85,27.85,27.75,27.8,26569
39,28,28.05,27.8,27.85,187324
144,27.95,27.95,27.95,27.95,4065
145,27.74,27.9,27.6,27.9,8700
146,27.95,27.95,27.7,27.7,8579
147,27.9,27.95,27.825,27.95,10300
148,27.825,28,27.8,27.85,14114
149,27.725,27.825,27.7,27.825,9634
150,27.85,27.875,27.725,27.725,3922
151,27.9,27.94,27.8,27.85,5747
152,27.85,27.95,27.85,27.94,8376
153,28,28,27.9,27.9,3400
154,27.925,28,27.9,27.95,6500
155,27.995,28,27.875,27.95,42601
156,27.975,28,27.875,27.95,41993
157,27.9098,28,27.9098,27.95,13554
158,27.95,27.975,27.825,27.945,19308
159,28.05,28.05,27.95,27.95,12681
160,28.025,28.1,27.9501,28.025,13450
161,28,28.025,28,28,3164
162,28,28.095,27.9853,28.05,14701
163,27.975,28,27.875,27.95,29408
164,27.945,28.05,27.945,28,16939
165,27.975,28,27.9,27.925,9450
166,27.975,28,27.9,27.95,9280
167,27.945,28,27.925,28,6625
168,27.9,27.975,27.9,27.925,4335
169,27.95,28,27.95,27.95,2163
170,27.925,28,27.925,28,12156
171,27.95,27.975,27.9001,27.925,4925
172,28,28,27.9,27.975,8056
173,27.975,28,27.975,27.975,13293
174,28,28,27.9,28,27840
175,27.975,28,27.9,27.95,7493
176,28,28,27.95,27.975,5179
177,27.975,28,27.95,28,3665
178,28,28,27.975,28,4631
179,27.9511,28,27.95,28,9548
180,28,28,27.975,27.975,4500
181,27.975,28,27.95,28,14263
182,27.975,28,27.95,28,21280
183,27.9,28,27.85,27.975,120439
288,28,28,28,28,4245
289,27.9,28.05,27.85,28,6100
290,28.1,28.15,27.95,27.95,59596
291,28,28.125,27.975,28.125,40796
292,28.05,28.0509,28,28.05,17385
293,28.1,28.15,28,28,44206
294,28.35,28.4,28,28.05,30956
295,28.4,28.4,28.25,28.35,17600
296,28.4,28.45,28.4,28.4,12069
297,28.45,28.45,28.3557,28.414,9537
298,28.6,28.65,28.429,28.45,37418
299,28.6,28.675,28.5,28.6,10977
300,28.55,28.6,28.525,28.6,5275
301,28.5658,28.5911,28.45,28.5,7823
302,28.5349,28.55,28.5,28.55,2657
303,28.55,28.55,28.45,28.45,9343
304,28.4563,28.55,28.4563,28.55,3931
305,28.45,28.5,28.45,28.45,4402
306,28.4,28.5,28.4,28.5,12557
307,28.4,28.45,28.35,28.3724,6203
308,28.4353,28.4353,28.33,28.33,1798
309,28.425,28.45,28.365,28.45,5777
310,28.3637,28.4,28.35,28.4,2516
311,28.35,28.375,28.35,28.35,1000
312,28.3,28.4,28.3,28.3,1200
313,28.375,28.4,28.3,28.3,1160
314,28.375,28.425,28.351,28.4,2725
315,28.3,28.4,28.3,28.375,2906
316,28.3,28.375,28.25,28.375,4707
317,28.325,28.325,28.275,28.275,1700
318,28.1,28.3,28.1,28.3,4300
319,28.25,28.3,28.1,28.15,6700
320,28.2,28.225,28.15,28.2,3096
321,28.1,28.2,28.075,28.2,14126
322,28.1,28.1377,28.05,28.1377,9790
323,28.075,28.125,28.05,28.125,5936
324,28.15,28.15,28.05,28.05,20966
325,28.05,28.2,28.05,28.2,8714
326,28.15,28.15,28.05,28.05,8739
327,28.05,28.15,28.05,28.1,55403
432,28.4,28.4,28.1,28.1,2362
433,28.15,28.325,28.15,28.2575,3900
434,28,28.2,27.9,28.175,7018
435,28.1,28.15,27.95,28,16500
436,28.075,28.2,28.075,28.1,7311
437,28.15,28.15,28.05,28.05,22393
438,28,28.175,27.975,28.15,18200
439,28.15,28.15,28,28.05,5983
440,28.125,28.175,28.1,28.125,2400
441,28.25,28.25,28.125,28.125,9497
442,28.2,28.275,28.175,28.25,15149
443,28.2,28.225,28.15,28.2,5836
444,28.15,28.2,28.1,28.2,5060
445,27.975,28.15,27.975,28.15,31762
446,28,28.05,27.975,28,19447
447,27.975,28.05,27.975,28,15932
448,27.975,28.025,27.95,28,7815
449,27.925,27.975,27.925,27.975,5900
450,27.9,27.95,27.851,27.9,20738
451,27.9211,27.925,27.85,27.9,8413
452,27.975,27.975,27.9,27.9,4794
453,28,28,27.95,28,1100
454,27.975,28.05,27.95,28,10878
455,27.95,28,27.95,28,4403
456,27.9,27.95,27.85,27.95,6427
457,27.975,28.025,27.9,27.95,7170
458,27.9,27.975,27.9,27.975,2859
459,27.875,27.925,27.85,27.925,6297
460,27.95,27.95,27.85,27.85,3359
461,27.95,27.975,27.908,27.925,5600
462,27.95,28,27.95,27.95,1695
463,27.95,28,27.95,28,2900
464,27.95,28,27.9,28,9949
465,28,28,27.934,27.95,5057
466,27.975,28,27.95,28,2467
467,28,28,27.95,27.975,13671
468,27.975,28,27.9,28,12659
469,27.975,28,27.95,27.95,10869
470,28,28,27.95,28,21193
471,28,28.025,27.9,28,399326
864,28,28.1,28,28.1,3198
865,27.9,28.1,27.8,28.025,10500
866,28.1,28.1,27.85,27.85,13919
867,28.2,28.2,28.05,28.1,5756
868,27.9,28.15,27.85,28.1,9204
869,28.1,28.1,27.85,27.9,7467
870,28.05,28.1,27.95,28.1,5812
871,28,28.05,27.9,28.035,7527
872,28.1,28.105,27.95,28,23062
873,28.3,28.3,28.1,28.15,7415
874,28.4,28.4,28.275,28.275,3859
875,28.3855,28.4,28.3285,28.3285,5000
876,28.35,28.4,28.3,28.4,9384
877,28.4,28.45,28.325,28.35,3580
878,28.55,28.6,28.4,28.4,10970
879,28.65,28.65,28.525,28.55,3600
880,28.6,28.7,28.6,28.65,14109
881,28.65,28.75,28.6,28.625,12676
882,28.65,28.7,28.65,28.6602,6834
883,28.55,28.7,28.55,28.65,10845
884,28.7,28.7,28.6,28.6,8684
885,28.7,28.7,28.6,28.675,8892
886,28.7,28.7,28.675,28.7,1900
887,28.8,28.8,28.675,28.7,13507
888,28.9,28.9,28.775,28.8,14128
889,28.9,28.9,28.8,28.85,7730
890,28.85,28.95,28.85,28.9,15357
891,28.95,28.95,28.9,28.9,11559
892,28.9,29,28.9,28.95,21073
893,28.899,28.899,28.825,28.85,8247
894,28.8,28.9,28.8,28.875,9828
895,28.725,28.775,28.725,28.7535,1871
896,28.75,28.75,28.7,28.7305,7093
897,28.85,28.85,28.7,28.7,7104
898,28.9,28.9,28.8125,28.85,3400
899,28.825,28.9,28.8,28.9,16541
900,28.85,28.9,28.8,28.825,8299
901,28.95,28.95,28.85,28.8501,14423
902,28.95,29,28.95,28.95,16504
