EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,34.8,34.8,34.8,34.8,333
1,34.95,35,34.85,34.9,1221
2,35.15,35.15,34.95,34.975,3500
3,35.05,35.1,35,35.1,600
4,34.95,35.0181,34.95,35.0181,705
5,34.9999,35.039,34.995,35.039,2602
6,34.9,34.975,34.9,34.955,1600
7,35.05,35.05,34.9,34.9,2047
8,35.05,35.05,35,35,400
9,35.05,35.1,35.05,35.05,1978
10,35.1,35.1,35.05,35.05,2200
11,35.1,35.1,35.1,35.1,800
12,35.025,35.1,35,35.1,800
13,35,35,35,35,100
14,34.925,34.95,34.9,34.95,800
15,34.95,34.95,34.95,34.95,300
16,34.95,34.95,34.95,34.95,778
17,35.1,35.1,35.1,35.1,100
18,35.1,35.1,35.1,35.1,200
19,34.95,35.075,34.95,35.075,1500
20,34.9,34.95,34.9,34.95,200
21,34.9,34.9,34.9,34.9,200
22,34.875,34.875,34.85,34.85,600
23,34.85,34.95,34.85,34.95,300
24,34.8,34.85,34.8,34.85,400
25,34.8,34.8,34.775,34.8,1500
26,34.9,34.9,34.8,34.8,1000
28,35.1,35.1,35,35,1400
29,34.95,35.1,34.95,35.075,1919
30,34.9,34.9,34.9,34.9,100
31,34.95,34.95,34.9,34.9,300
33,34.8,34.95,34.8,34.95,600
34,34.75,34.8,34.7,34.8,4620
35,34.55,34.7,34.45,34.7,2900
36,34.7,34.7,34.65,34.65,300
37,34.6,34.675,34.6,34.675,1300
38,34.4,34.6,34.4,34.55,1300
39,34.45,34.6,34.4,34.45,8361
144,32.45,32.45,32.45,32.45,1055
145,33.75,34.2,33.7,34.2,1230
146,35,35,34.6,34.6,900
147,35,35,34.4,35,2582
148,34.75,35.025,34.7,35,1800
149,34.85,34.85,34.85,34.85,400
150,35.2,35.2,34.95,34.95,700
151,35.25,35.25,35.2,35.2,653
152,35.125,35.35,35.05,35.25,2700
153,35.05,35.15,34.95,35.15,2915
154,35.05,35.05,35,35,500
155,34.9,34.95,34.9,34.95,200
156,34.9,34.9,34.8,34.9,2283
157,34.9,34.9,34.9,34.9,770
158,34.9,34.9,34.75,34.85,2208
159,34.75,34.75,34.75,34.75,1300
160,34.75,34.75,34.75,34.75,200
161,34.65,34.75,34.65,34.75,600
163,34.7,34.7,34.7,34.7,100
164,34.75,34.75,34.75,34.75,200
165,34.75,34.75,34.75,34.75,800
166,34.65,34.75,34.65,34.75,800
167,34.75,34.75,34.75,34.75,100
168,34.3,34.7,34.3,34.7,2600
169,34.25,34.4,34.25,34.4,4000
170,34.25,34.25,34.25,34.25,500
171,33.9,34.15,33.9,34.15,300
172,33.925,34.05,33.9,33.9,800
173,34.15,34.15,33.95,33.95,300
174,34.125,34.125,34.125,34.125,100
175,34.25,34.25,34.11,34.11,600
176,34.25,34.35,34.2,34.25,1478
177,34.2,34.25,34.15,34.25,500
178,34.05,34.1,34.05,34.1,600
179,34.15,34.15,34.15,34.15,600
180,34.1,34.125,34.1,34.1,618
181,34.15,34.15,34.05,34.05,500
182,34,34.15,34,34.15,400
183,33.95,34.1,33.9,34.1,7944
288,34.15,34.15,34.15,34.15,444
289,34.2,34.2,34.2,34.2,100
290,34.1,34.1,34,34,500
292,33.85,33.95,33.85,33.9,800
293,33.95,33.95,33.8,33.8,500
294,33.9,33.925,33.85,33.925,500
295,33.95,33.95,33.95,33.95,100
296,33.85,33.85,33.85,33.85,100
297,33.6,33.8,33.6,33.8,1000
298,33.75,33.75,33.575,33.65,1086
299,33.7,33.75,33.7,33.75,400
300,33.55,33.65,33.55,33.6,600
301,33.6,33.6,33.6,33.6,100
302,33.55,33.6,33.55,33.6,1014
303,33.45,33.45,33.45,33.45,100
304,33.8,33.8,33.65,33.65,700
305,33.85,33.85,33.85,33.85,100
306,33.8,33.8,33.8,33.8,100
307,33.8,33.8,33.75,33.75,300
308,33.825,33.825,33.825,33.825,100
309,34.05,34.05,33.9,33.9,300
310,34,34,34,34,200
311,34.05,34.05,34.05,34.05,100
312,34.1,34.1,34.1,34.1,100
313,34,34,34,34,100
315,33.95,34.0238,33.95,34.0238,1132
316,33.8,33.85,33.8,33.85,400
318,33.775,33.775,33.775,33.775,100
319,33.8,33.8,33.75,33.75,200
320,33.775,33.8,33.75,33.8,1400
321,33.85,33.85,33.75,33.75,1100
322,33.7437,33.8,33.7437,33.8,500
323,33.7,33.7,33.7,33.7,100
324,33.8,33.8,33.7,33.8,300
325,33.9,33.9,33.75,33.8,1416
326,33.85,33.95,33.85,33.9,2440
327,34,34,33.85,33.85,11420
432,33.95,33.95,33.95,33.95,400
433,34,34,33.95,33.95,383
435,34.25,34.25,34.2,34.2,1300
436,34.2,34.25,34.2,34.25,1052
437,34.1,34.1,34.1,34.1,100
438,34,34,34,34,200
439,34.1,34.1,34,34,800
441,33.95,34.1,33.95,34.1,200
442,33.975,33.975,33.95,33.95,200
444,33.85,33.85,33.85,33.85,100
445,33.8,33.85,33.8,33.85,200
448,33.85,33.85,33.85,33.85,100
451,33.75,33.85,33.75,33.85,300
452,33.65,33.7,33.65,33.7,600
455,33.65,33.65,33.65,33.65,100
458,33.65,33.65,33.65,33.65,100
460,33.575,33.6,33.5,33.55,500
461,33.5,33.5,33.5,33.5,100
463,33.45,33.45,33.45,33.45,300
464,33.45,33.5,33.45,33.5,600
465,33.5,33.5,33.4,33.475,800
466,33.45,33.5,33.45,33.5,200
468,33.4,33.45,33.4,33.45,600
469,33.55,33.6,33.5,33.5,700
470,33.55,33.55,33.55,33.55,600
471,33.5,33.6,33.5,33.55,13979
864,33.65,33.65,33.65,33.65,238
867,33.6,33.6,33.6,33.6,300
868,33.55,33.7,33.55,33.7,500
869,33.7,33.7,33.6,33.6,309
870,33.75,33.75,33.75,33.75,100
872,33.85,33.9,33.85,33.9,200
873,33.85,33.85,33.75,33.8,1104
875,33.85,33.85,33.85,33.85,100
876,33.9,33.9,33.9,33.9,100
877,33.85,33.85,33.75,33.75,700
881,34,34,34,34,100
882,34,34,34,34,100
883,33.9449,34,33.9449,34,200
885,33.85,34,33.85,34,1560
886,34,34,33.95,33.95,200
887,34,34,34,34,308
888,34.1,34.1,34,34,1113
889,34.2,34.2,34.2,34.2,300
890,34.25,34.25,34.2,34.2,1230
891,34.45,34.45,34.25,34.25,1400
892,34.35,34.4,34.35,34.4,300
893,34.35,34.35,34.35,34.35,200
894,34.2,34.3,34.15,34.3,1600
895,34.25,34.25,34.2,34.2,800
896,34.2,34.2,34.15,34.15,753
897,34.2,34.2,34.15,34.2,3000
898,34.05,34.2,34.05,34.15,4030
899,33.7,34.2,33.6436,33.81,16282
900,33.65,33.8,33.455,33.605,15456
901,33.2003,33.65,33.105,33.54,12932
902,33.45,33.5,33.1,33.15,9256
903,33.4,33.536,33.3,33.4,17872
a1493731800,32.1,32.1,32.1,32.1,22336
1,32.555,32.9,32.35,32.8426,10856
2,32.8428,33,32.51,32.625,9404
3,32.6,33,32.6,32.875,8317
4,32.6,32.7882,32.5,32.55,6789
5,32.9,32.95,32.65,32.65,3743
6,32.85,32.9385,32.8,32.85,2800
7,32.85,32.9,32.8,32.9,900
8,32.65,32.8,32.65,32.8,1900
9,32.7,32.8,32.65,32.65,1620
10,32.45,32.6587,32.3,32.65,3805
11,32.55,32.55,32.4,32.4,3956
12,32.65,32.65,32.55,32.6,2900
13,32.5615,32.7,32.5615,32.6,600
14,32.605,32.7,32.605,32.7,800
15,32.5,32.6,32.5,32.6,1600
16,32.6089,32.65,32.5,32.5,1786
17,32.5,32.575,32.5,32.575,1300
18,32.45,32.475,32.45,32.475,1100
19,32.405,32.45,32.4,32.45,2900
20,32.25,32.45,32.25,32.45,4161
21,32.3,32.3,32.2,32.2,3740
22,32.3,32.3,32.3,32.3,300
23,32.35,32.35,32.3077,32.35,1170
24,32.3,32.35,32.3,32.3,600
25,32.325,32.35,32.3,32.3,945
26,32.3,32.35,32.3,32.3,500
27,32.325,32.35,32.3,32.35,1400
28,32.35,32.35,32.3,32.3,1489
29,32.3,32.35,32.25,32.305,2600
