EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,48.48,48.48,48.48,48.48,3782
1,48.52,48.91,48.311,48.65,9810
2,48.67,48.67,48.41,48.53,11190
3,48.76,48.96,48.64,48.66,21875
4,48.95,48.95,48.68,48.77,23176
5,48.705,48.98,48.705,48.98,12133
6,48.51,48.71,48.5,48.71,17901
7,48.34,48.57,48.34,48.53,27724
8,48.1,48.38,48.09,48.37,20754
9,48.04,48.11,47.971,48.06,24417
10,48.11,48.22,48.02,48.04,15165
11,48.22,48.24,48.1,48.11,9240
12,48.4,48.41,48.19,48.21,15349
13,48.5,48.52,48.35,48.39,10875
14,48.565,48.63,48.49,48.49,14278
15,48.64,48.64,48.54,48.57,10110
16,48.7,48.73,48.61,48.65,14053
17,48.65,48.708,48.61,48.69,11945
18,48.6234,48.645,48.54,48.63,4788
19,48.525,48.61,48.455,48.61,7472
20,48.58,48.59,48.49,48.51,5300
21,48.46,48.56,48.46,48.56,15431
22,48.45,48.46,48.39,48.42,6075
23,48.51,48.55,48.435,48.435,8972
24,48.48,48.55,48.46,48.51,6628
25,48.49,48.49,48.41,48.46,17690
26,48.53,48.57,48.4841,48.52,4101
27,48.57,48.57,48.49,48.531,10361
28,48.57,48.58,48.52,48.55,5423
29,48.58,48.6,48.53,48.55,6492
30,48.5174,48.58,48.5,48.56,8172
31,48.5492,48.56,48.5,48.5,6227
32,48.55,48.55,48.48,48.54,14012
33,48.63,48.63,48.53,48.55,12220
34,48.66,48.68,48.59,48.62,13448
35,48.59,48.66,48.55,48.66,20754
36,48.59,48.65,48.59,48.6,16664
37,48.52,48.59,48.48,48.59,26633
38,48.43,48.51,48.38,48.51,37725
39,48.37,48.45,48.345,48.44,102172
144,48.5,48.5,48.5,48.5,4248
145,48.565,48.9001,48,48,7576
146,48.89,48.89,48.52,48.58,16693
147,49.1,49.154,48.851,48.9,18734
148,48.9899,49.14,48.9,49.09,21097
149,48.91,49.01,48.85,49,5765
150,48.95,48.95,48.81,48.87,4100
151,48.82,48.97,48.8,48.97,8737
152,48.75,48.84,48.7,48.84,7910
153,48.8788,48.9,48.75,48.76,9251
154,48.78,48.96,48.77,48.89,7003
155,48.95,49,48.75,48.76,8530
156,48.96,49.03,48.85,48.98,15344
157,48.88,48.96,48.83,48.93,6631
158,48.7461,48.9444,48.73,48.89,10089
159,48.87,48.91,48.73,48.73,9247
160,48.83,48.94,48.82,48.84,4100
161,48.85,48.91,48.82,48.82,7700
162,48.89,48.94,48.86,48.86,3929
163,48.88,48.9,48.82,48.89,13861
164,49,49.05,48.91,48.91,9039
165,49.15,49.15,49.02,49.03,10497
166,49.22,49.25,49.135,49.135,6831
167,49.16,49.21,49.14,49.21,5896
168,49.16,49.27,49.16,49.16,7596
169,49.2706,49.31,49.18,49.18,38215
170,49.12,49.353,49.1,49.27,28349
171,49.1,49.24,49.06,49.11,7555
172,49.13,49.17,48.98,49.1,6200
173,49.2,49.24,49.1,49.11,5549
174,49.15,49.22,49.14,49.1942,21450
175,49.13,49.16,49.08,49.15,8830
176,49.33,49.33,49.14,49.15,18954
177,49.36,49.385,49.32,49.33,22803
178,49.37,49.4,49.33,49.36,16967
179,49.38,49.45,49.32,49.38,9140
180,49.25,49.37,49.21,49.36,14364
181,49.19,49.313,49.19,49.26,29203
182,49.2,49.23,49.15,49.19,40977
183,49.18,49.24,49.11,49.19,132887
288,49.27,49.27,49.27,49.27,3421
289,49.26,49.4,49.02,49.4,7500
290,49.64,49.69,49.14,49.2,21041
291,49.47,49.72,49.42,49.64,10100
292,49.69,49.75,49.34,49.48,19253
293,49.4285,49.6992,49.41,49.6992,13623
294,49.14,49.3625,49.13,49.33,37257
295,49.11,49.26,49.02,49.15,14869
296,49.09,49.25,49.07,49.07,5443
297,48.92,49.149,48.91,49.09,11414
298,49,49.14,48.92,48.935,15045
299,49.17,49.21,48.99,49.02,13154
300,49.05,49.21,49.02,49.185,9588
301,48.98,49.04,48.94,49.04,14257
302,49.01,49.02,48.95,48.985,8876
303,49.13,49.13,48.96,49,4000
304,49.08,49.1346,49.04,49.1,8173
305,49.06,49.09,49.03,49.09,3300
306,49.05,49.08,49.01,49.03,4900
307,49.22,49.29,49.08,49.08,6333
308,49.35,49.38,49.23,49.23,6370
309,49.36,49.37,49.29,49.35,7208
310,49.39,49.39,49.27,49.35,6667
311,49.48,49.48,49.35,49.37,5498
312,49.36,49.5,49.35,49.48,5900
313,49.49,49.5,49.38,49.38,4100
314,49.47,49.48,49.39,49.48,5253
315,49.44,49.5,49.38,49.5,11500
316,49.36,49.44,49.35,49.44,6514
317,49.29,49.37,49.29,49.35,5266
318,49.34,49.34,49.24,49.28,7163
319,49.35,49.41,49.33,49.34,9877
320,49.36,49.4,49.31,49.34,9207
321,49.37,49.38,49.34,49.3588,4310
322,49.29,49.38,49.24,49.38,12422
323,49.28,49.346,49.28,49.32,15564
324,49.24,49.3,49.22,49.28,14748
325,49.325,49.35,49.24,49.24,14847
326,49.34,49.37,49.31,49.32,17296
327,49.38,49.4,49.335,49.335,93780
432,49.65,49.67,49.65,49.67,7887
433,49.55,49.86,49.5,49.845,22321
434,49.655,49.71,49.45,49.515,11980
435,49.735,49.8,49.65,49.68,6700
436,49.7,49.82,49.62,49.74,13746
437,49.72,49.82,49.67,49.68,13200
438,49.67,49.7,49.49,49.7,12229
439,49.5,49.665,49.4959,49.64,19617
440,49.21,49.59,49.21,49.51,14771
441,49.19,49.27,49.1,49.18,15126
442,49.23,49.25,49.16,49.18,8378
443,49.29,49.29,49.06,49.21,13075
444,49.12,49.28,49.1,49.265,6397
445,49.1,49.22,49.1,49.12,12526
446,49.18,49.2,49.11,49.11,13555
447,49.16,49.21,49.13,49.18,8360
448,49.09,49.24,49.09,49.18,9935
449,49.13,49.17,49.12,49.12,7300
450,49.11,49.17,49.11,49.14,6193
451,49.13,49.14,49.07,49.11,5900
452,49.23,49.25,49.11,49.12,6525
453,49.125,49.22,49.09,49.22,5705
454,49.2,49.24,49.11,49.11,6600
455,49.19,49.29,49.15,49.2,8800
456,49.43,49.43,49.18,49.18,4700
457,49.395,49.45,49.38,49.42,10132
458,49.39,49.43,49.28,49.39,7027
459,49.42,49.42,49.33,49.37,4748
460,49.45,49.54,49.4,49.44,18770
461,49.38,49.47,49.34,49.38,6585
462,49.38,49.44,49.37,49.41,7021
463,49.31,49.4,49.31,49.39,9106
464,49.31,49.39,49.31,49.335,13355
465,49.25,49.31,49.2,49.3,6960
466,49.37,49.39,49.21,49.23,9831
467,49.39,49.4,49.35,49.36,5843
468,49.35,49.39,49.32,49.39,10729
469,49.35,49.4,49.33,49.35,19102
470,49.25,49.3429,49.24,49.3429,27794
471,49.12,49.28,49.08,49.24,132437
864,49.18,49.18,49.18,49.18,3933
865,49.2325,49.28,48.97,49.26,15711
866,49.175,49.43,49.09,49.312,12000
867,49.04,49.17,49.037,49.14,11093
868,49.04,49.11,49,49,11304
869,49.305,49.345,49.01,49.01,15004
870,49.0516,49.315,49.0516,49.315,4000
871,49.445,49.49,49.09,49.1,8667
872,49.48,49.56,49.395,49.43,21411
873,49.41,49.47,49.37,49.47,4500
874,49.5,49.51,49.32,49.4,8560
875,49.49,49.59,49.45,49.495,8878
876,49.45,49.55,49.425,49.5,7484
877,49.32,49.43,49.27,49.43,7564
878,49.37,49.43,49.27,49.31,18800
879,49.41,49.45,49.29,49.38,8565
880,49.43,49.47,49.325,49.395,8285
881,49.3,49.48,49.29,49.3796,12706
882,49.255,49.3,49.13,49.295,6659
883,49.28,49.3,49.24,49.28,2933
884,49.22,49.3,49.22,49.255,2700
885,49.23,49.24,49.17,49.24,5310
886,49.25,49.32,49.21,49.22,4037
887,49.34,49.3466,49.26,49.26,3525
888,49.41,49.41,49.34,49.35,4005
889,49.42,49.46,49.38,49.3946,9454
890,49.45,49.54,49.41,49.41,7900
891,49.39,49.47,49.37,49.45,43400
892,49.39,49.5,49.36,49.4,27444
893,49.3,49.44,49.28,49.41,6531
894,49.255,49.34,49.23,49.3,7746
