EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493040600,10.65,10.65,10.65,10.65,811
1,10.662,10.75,10.55,10.65,6788
2,10.65,10.65,10.6,10.65,6400
3,10.7,10.7,10.7,10.7,100
4,10.6,10.7,10.55,10.65,7609
5,10.55,10.65,10.55,10.65,4100
6,10.575,10.575,10.575,10.575,388
7,10.6,10.6,10.575,10.575,2900
8,10.575,10.575,10.575,10.575,500
9,10.45,10.6,10.45,10.6,3200
10,10.45,10.45,10.375,10.45,7900
11,10.45,10.45,10.425,10.425,300
12,10.6,10.6,10.4,10.45,3514
13,10.55,10.55,10.55,10.55,800
14,10.575,10.6,10.55,10.6,1400
15,10.6,10.6,10.575,10.6,2800
16,10.6,10.6,10.6,10.6,183
17,10.575,10.6,10.575,10.6,700
19,10.55,10.55,10.55,10.55,1900
20,10.55,10.55,10.5201,10.55,3206
21,10.525,10.55,10.525,10.55,1000
22,10.55,10.575,10.55,10.55,1400
23,10.55,10.55,10.55,10.55,1400
25,10.55,10.6,10.55,10.55,7600
26,10.55,10.575,10.55,10.55,2667
27,10.525,10.55,10.525,10.55,655
28,10.55,10.55,10.515,10.515,3344
29,10.55,10.575,10.525,10.525,3220
30,10.55,10.575,10.55,10.55,1900
31,10.55,10.55,10.55,10.55,1887
33,10.55,10.55,10.5,10.5,300
34,10.55,10.55,10.55,10.55,100
35,10.5,10.6,10.5,10.55,9041
36,10.518,10.518,10.518,10.518,200
37,10.55,10.55,10.525,10.525,500
38,10.525,10.525,10.525,10.525,200
39,10.55,10.6,10.45,10.55,27817
144,10.65,10.65,10.65,10.65,274
145,10.6,10.6,10.55,10.55,600
146,10.6,10.6,10.55,10.6,2100
147,10.6,10.6,10.575,10.6,1900
148,10.64,10.64,10.575,10.6,2972
149,10.7,10.7,10.625,10.625,8285
150,10.65,10.7,10.65,10.7,531
151,10.6,10.6,10.6,10.6,800
152,10.513,10.6,10.513,10.6,2186
153,10.5,10.5,10.5,10.5,100
154,10.51,10.55,10.5,10.55,400
155,10.525,10.55,10.525,10.525,1600
156,10.55,10.55,10.525,10.55,3100
157,10.6,10.6,10.55,10.55,1100
158,10.6,10.6,10.6,10.6,100
159,10.5,10.5,10.5,10.5,100
160,10.5,10.55,10.5,10.5,1427
161,10.55,10.55,10.55,10.55,1230
162,10.6,10.6,10.6,10.6,100
163,10.625,10.65,10.575,10.575,2477
164,10.625,10.65,10.625,10.65,2300
166,10.625,10.65,10.625,10.625,300
167,10.6,10.625,10.6,10.625,776
168,10.6,10.65,10.6,10.6,1000
169,10.55,10.55,10.55,10.55,100
170,10.6,10.6,10.6,10.6,100
172,10.65,10.65,10.65,10.65,200
173,10.625,10.625,10.625,10.625,100
175,10.625,10.65,10.625,10.65,3400
176,10.65,10.65,10.625,10.625,3100
177,10.7,10.7,10.625,10.65,5304
178,10.7,10.7,10.675,10.675,1100
179,10.7,10.725,10.65,10.7,1762
180,10.675,10.675,10.675,10.675,100
181,10.675,10.7,10.675,10.675,700
182,10.625,10.675,10.6,10.675,5140
183,10.65,10.65,10.6,10.625,7387
288,10.6,10.6,10.6,10.6,2137
289,10.5592,10.58,10.5,10.5,2300
290,10.55,10.55,10.5,10.5,300
291,10.6,10.6,10.55,10.55,1700
292,10.625,10.65,10.6,10.6,2687
293,10.65,10.65,10.6,10.625,4942
294,10.6,10.65,10.6,10.6,712
295,10.6,10.6,10.55,10.55,1700
296,10.6,10.6,10.6,10.6,1833
297,10.6,10.625,10.6,10.6,2500
298,10.55,10.55,10.55,10.55,200
299,10.6,10.6,10.6,10.6,1012
300,10.625,10.65,10.575,10.6,3233
301,10.65,10.65,10.605,10.605,3900
302,10.625,10.625,10.6,10.6,300
303,10.65,10.65,10.55,10.6,5900
304,10.55,10.6,10.5,10.6,6936
306,10.55,10.6,10.55,10.6,600
307,10.55,10.575,10.55,10.575,200
308,10.55,10.6,10.55,10.575,400
309,10.575,10.6,10.55,10.6,4300
310,10.575,10.575,10.55,10.555,1100
311,10.55,10.575,10.55,10.575,796
312,10.575,10.575,10.575,10.575,100
313,10.575,10.6,10.5,10.575,4095
314,10.55,10.6,10.5,10.55,9100
315,10.6,10.6,10.5,10.5,1300
316,10.55,10.55,10.55,10.55,500
317,10.625,10.65,10.55,10.575,10464
318,10.6,10.65,10.55,10.625,18667
319,10.6,10.6,10.55,10.55,200
320,10.6,10.65,10.6,10.6,1700
321,10.65,10.65,10.6,10.625,7898
322,10.625,10.65,10.6,10.65,300
323,10.6,10.6,10.6,10.6,500
324,10.55,10.6,10.5,10.6,17581
325,10.55,10.575,10.55,10.575,3900
326,10.55,10.575,10.55,10.575,2000
327,10.55,10.6,10.55,10.575,15454
432,10.6,10.6,10.6,10.6,389
433,10.6,10.6,10.6,10.6,1761
434,10.6,10.6,10.55,10.55,2577
435,10.6,10.6,10.6,10.6,200
437,10.65,10.65,10.6,10.6,1739
439,10.65,10.7,10.65,10.675,2700
440,10.655,10.655,10.655,10.655,500
441,10.6,10.65,10.6,10.65,4724
442,10.67,10.675,10.625,10.625,1000
445,10.675,10.675,10.65,10.65,200
446,10.7,10.7,10.7,10.7,1933
447,10.7,10.7,10.7,10.7,100
448,10.65,10.65,10.65,10.65,100
450,10.65,10.65,10.65,10.65,100
452,10.75,10.75,10.75,10.75,200
454,10.75,10.75,10.75,10.75,100
455,10.75,10.75,10.75,10.75,100
457,10.725,10.725,10.725,10.725,396
458,10.75,10.75,10.7,10.7,300
459,10.75,10.75,10.75,10.75,100
460,10.75,10.75,10.745,10.75,2600
461,10.75,10.75,10.7,10.7143,1500
463,10.75,10.75,10.75,10.75,200
464,10.8,10.8,10.725,10.75,4072
465,10.8,10.825,10.8,10.8,3925
466,10.8,10.8,10.8,10.8,200
467,10.85,10.85,10.8,10.8,1119
468,10.8,10.8,10.8,10.8,200
469,10.825,10.85,10.8,10.825,400
470,10.825,10.825,10.8,10.8,300
471,10.8,10.85,10.8,10.8,10979
576,10.85,10.85,10.85,10.85,1849
577,10.8142,10.8142,10.8142,10.8142,500
578,10.7,10.8,10.7,10.8,800
579,10.675,10.675,10.675,10.675,100
580,10.7,10.7,10.65,10.686,3100
581,10.7,10.7,10.675,10.675,2100
582,10.65,10.7,10.65,10.7,1600
583,10.6,10.65,10.55,10.65,6945
584,10.6,10.6362,10.55,10.6362,5250
585,10.6,10.6,10.55,10.55,1700
586,10.625,10.625,10.6,10.6,200
587,10.6,10.6,10.6,10.6,2200
588,10.55,10.6,10.55,10.6,300
589,10.55,10.55,10.55,10.55,100
590,10.575,10.575,10.575,10.575,100
591,10.6,10.6,10.575,10.575,200
592,10.65,10.65,10.575,10.575,4206
593,10.65,10.65,10.65,10.65,100
594,10.65,10.65,10.65,10.65,100
596,10.6,10.625,10.6,10.625,300
597,10.65,10.65,10.6,10.6,200
598,10.65,10.65,10.625,10.625,1400
599,10.65,10.7,10.625,10.7,1900
600,10.625,10.625,10.625,10.625,100
601,10.65,10.65,10.6,10.6,300
602,10.6,10.65,10.6,10.65,200
603,10.625,10.65,10.6,10.6,400
604,10.7,10.7,10.625,10.65,1600
605,10.675,10.7,10.675,10.7,500
606,10.65,10.7,10.65,10.675,918
607,10.675,10.675,10.675,10.675,200
608,10.675,10.7,10.675,10.7,800
609,10.7,10.7,10.7,10.7,100
610,10.675,10.675,10.65,10.65,300
611,10.8,10.8,10.675,10.675,3496
612,10.8,10.8,10.764,10.8,4100
613,10.8,10.8,10.775,10.8,1500
614,10.8,10.85,10.75,10.8,5245
615,10.75,10.85,10.725,10.85,54223
a1493645400,10.85,10.85,10.85,10.85,2729
1,10.8,10.8,10.8,10.8,200
2,10.755,10.8,10.755,10.8,550
3,10.7,10.8,10.7,10.8,6635
4,10.7,10.75,10.7,10.75,350
5,10.75,10.75,10.6,10.7,1800
6,10.75,10.8,10.75,10.75,1344
7,10.75,10.8,10.75,10.75,700
8,10.79,10.79,10.79,10.79,100
9,10.75,10.8,10.75,10.8,1195
10,10.75,10.75,10.7,10.75,2069
11,10.75,10.75,10.75,10.75,500
