EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,26.39,26.39,26.39,26.39,1674
1,26.4,26.69,26.37,26.69,8297
2,26.25,26.55,26.25,26.4545,2400
3,26.31,26.3214,26.21,26.27,3100
4,26.3,26.4,26.29,26.3,4830
5,26.15,26.3,26.15,26.3,2350
6,26.13,26.25,26.13,26.1752,2900
7,26.24,26.31,26.13,26.13,1561
8,26.31,26.34,26.27,26.2716,1300
9,26.24,26.315,26.17,26.29,2800
10,26.24,26.26,26.24,26.25,1500
11,26.26,26.34,26.24,26.25,2977
12,26.33,26.35,26.25,26.25,2460
13,26.4,26.448,26.29,26.29,3800
14,26.45,26.47,26.395,26.422,2900
15,26.4,26.48,26.4,26.45,900
16,26.493,26.52,26.4,26.4,4100
17,26.44,26.5,26.42,26.43,2800
18,26.47,26.5,26.4,26.4899,8650
19,26.45,26.45,26.38,26.4,300
20,26.36,26.4841,26.36,26.43,17153
21,26.25,26.3711,26.25,26.3711,1000
22,26.23,26.33,26.23,26.29,2900
23,26.25,26.2963,26.22,26.2963,650
24,26.22,26.25,26.22,26.25,2264
25,26.28,26.28,26.24,26.28,1600
26,26.21,26.255,26.19,26.255,2149
27,26.19,26.24,26.17,26.21,800
28,26.175,26.175,26.13,26.16,1100
29,26.2,26.22,26.12,26.175,2750
30,26.18,26.2,26.13,26.15,2700
31,26.16,26.17,26.12,26.12,1292
32,26.18,26.18,26.11,26.11,1600
33,26.12,26.18,26.12,26.18,400
34,26.14,26.23,26.12,26.15,7750
35,26.11,26.16,26.11,26.14,2545
36,26.1,26.17,26.1,26.1596,6881
37,26.03,26.16,26.03,26.1,6428
38,26.11,26.14,26.03,26.03,8552
39,25.96,26.14,25.93,26.11,70881
144,22.6,22.6,22.6,22.6,23967
145,22.505,22.68,22.28,22.56,211879
146,22.01,22.5001,21.715,22.5,217919
147,22.505,22.65,21.9001,22.005,173632
148,22.02,22.5001,21.82,22.5001,142930
149,22.055,22.39,22.0036,22.015,63089
150,22.24,22.28,21.82,22.0501,70422
151,22.31,22.469,22.2,22.22,136274
152,21.98,22.32,21.95,22.32,50342
153,22.08,22.19,21.97,21.99,40389
154,22.022,22.18,22.01,22.08,38560
155,21.94,22.02,21.89,22.01,56591
156,21.93,22.01,21.9,21.921,44506
157,21.845,21.94,21.84,21.94,40857
158,21.8,21.85,21.79,21.847,41563
159,21.71,21.8067,21.69,21.79,85586
160,21.705,21.79,21.62,21.7,46152
161,21.84,21.9,21.69,21.695,48773
162,21.77,21.97,21.77,21.82,47366
163,21.71,21.765,21.655,21.765,39535
164,21.615,21.72,21.57,21.71,51510
165,21.76,21.84,21.59,21.6,51266
166,21.82,21.865,21.695,21.75,28765
167,21.85,21.89,21.7701,21.8,34157
168,21.785,21.95,21.7835,21.86,37679
169,21.755,21.8,21.665,21.7898,22471
170,21.55,21.7599,21.52,21.7599,39761
171,21.36,21.53,21.3,21.53,76133
172,21.295,21.36,21.15,21.3598,43365
173,21.35,21.425,21.29,21.2994,64580
174,21.485,21.49,21.335,21.36,31982
175,21.36,21.485,21.31,21.485,34743
176,21.35,21.39,21.2701,21.355,41400
177,21.455,21.48,21.29,21.325,46044
178,21.33,21.47,21.33,21.44,49730
179,21.195,21.34,21.17,21.315,95114
180,21.1,21.2,20.955,21.195,162570
181,20.505,21.13,20.485,21.115,220111
182,20.495,20.6,20.35,20.505,394063
183,20.6,20.71,20.48,20.495,499286
288,20.41,20.44,20.41,20.43,17021
289,20.23,20.45,20.09,20.4499,175174
290,20.17,20.35,20.105,20.225,106628
291,20.17,20.25,20.11,20.17,85566
292,20.19,20.23,20.15,20.16,47922
293,20.436,20.5,20.14,20.19,96025
294,20.35,20.46,20.33,20.46,31760
295,20.27,20.36,20.2669,20.36,35559
296,20.26,20.29,20.2,20.28,29819
297,20.4,20.48,20.265,20.27,44118
298,20.6,20.6,20.395,20.4,69955
299,20.54,20.6,20.51,20.5969,78667
300,20.51,20.6,20.5,20.54,77264
301,20.495,20.51,20.46,20.51,14502
302,20.52,20.58,20.495,20.495,25681
303,20.5997,20.6,20.51,20.52,62625
304,20.615,20.6292,20.55,20.6,28866
305,20.64,20.644,20.59,20.615,34969
306,20.85,20.88,20.63,20.64,107346
307,21.14,21.17,20.85,20.86,109815
308,21.09,21.17,21.09,21.14,45766
309,21.07,21.08,20.95,21.08,30096
310,20.99,21.12,20.9169,21.1,25441
311,20.995,21.07,20.95,20.99,25689
312,20.95,21.05,20.95,21,27003
313,20.94,20.95,20.9101,20.93,18657
314,20.78,20.935,20.75,20.935,33370
315,20.97,20.97,20.79,20.79,29986
316,21.09,21.1,20.965,20.9845,17764
317,21.215,21.24,21.09,21.09,41021
318,21.18,21.2132,21.07,21.2001,81796
319,21.08,21.2,21.04,21.185,30681
320,21.165,21.17,21.065,21.065,15502
321,21.23,21.24,21.12,21.165,37126
322,21.19,21.23,21.16,21.23,17576
323,21.1,21.21,21.0801,21.19,17038
324,20.9901,21.135,20.9901,21.1,51564
325,20.92,21.01,20.9005,20.995,41998
326,20.9901,21.005,20.915,20.93,10706
327,20.94,21.03,20.94,21,78098
432,21.01,21.22,21.01,21.22,11845
433,20.52,21.22,20.41,21.01,69567
434,20.29,20.72,20.24,20.61,45228
435,20.58,20.64,20.24,20.3,43241
436,20.67,20.844,20.51,20.6188,40535
437,20.75,20.79,20.53,20.65,43852
438,20.79,20.79,20.64,20.75,12859
439,20.453,20.76,20.38,20.76,25872
440,20.6709,20.6738,20.33,20.4178,25363
441,20.532,20.63,20.4101,20.63,12863
442,20.525,20.55,20.46,20.515,6243
443,20.7342,20.7342,20.5,20.51,11133
444,20.74,20.79,20.68,20.74,14065
445,20.72,20.7601,20.66,20.74,19857
446,20.855,20.88,20.73,20.7498,34798
447,20.8,20.91,20.74,20.9,30423
448,20.865,20.89,20.805,20.805,7500
449,20.72,20.871,20.72,20.865,5191
450,20.735,20.75,20.69,20.7451,6949
451,20.69,20.72,20.69,20.72,4153
452,20.6,20.7,20.6,20.69,9163
453,20.5,20.6,20.5,20.59,2820
454,20.44,20.57,20.42,20.5,30111
455,20.33,20.47,20.33,20.44,12109
456,20.1872,20.32,20.15,20.32,31994
457,20.39,20.4,20.22,20.22,12307
458,20.478,20.478,20.37,20.38,11314
459,20.4,20.49,20.4,20.49,11220
460,20.391,20.42,20.31,20.37,14266
461,20.39,20.43,20.288,20.4,18855
462,20.39,20.45,20.37,20.38,17138
463,20.39,20.46,20.35,20.4,15104
464,20.3274,20.41,20.29,20.4,12535
465,20.36,20.36,20.32,20.34,8100
466,20.36,20.38,20.325,20.36,12101
467,20.4,20.4,20.31,20.33,10180
468,20.532,20.55,20.4,20.4,17864
469,20.52,20.64,20.5,20.55,20587
470,20.475,20.54,20.45,20.52,22045
471,20.41,20.5,20.35,20.46,103661
864,20.55,20.55,20.55,20.55,4781
865,20.61,20.8,20.55,20.55,18000
866,20.7,20.75,20.6,20.6712,15746
867,20.705,20.78,20.66,20.72,11644
868,20.719,20.78,20.66,20.68,9700
869,20.53,20.68,20.51,20.65,12684
870,20.44,20.56,20.44,20.52,15565
871,20.43,20.51,20.28,20.4827,12390
872,20.56,20.5856,20.46,20.49,12926
873,20.64,20.65,20.45,20.53,16033
874,20.79,20.8099,20.63,20.65,6383
875,20.81,20.88,20.74,20.8,7393
876,20.74,20.8195,20.74,20.795,5275
877,20.77,20.78,20.71,20.73,4690
878,20.745,20.79,20.7,20.74,10160
879,20.84,20.85,20.738,20.738,19740
880,20.906,20.98,20.84,20.84,10507
881,20.96,21,20.85,20.94,21779
882,21.07,21.0783,20.94,20.96,19196
883,21.13,21.2,21.05,21.05,21553
884,21.05,21.1796,21.05,21.13,10103
885,21.05,21.08,21.01,21.05,15476
886,20.91,21.05,20.91,21.04,2165
887,20.95,20.96,20.88,20.89,5954
888,20.9,20.95,20.9,20.92,2200
889,20.92,21,20.85,20.9,13809
890,20.92,20.98,20.9,20.97,1500
891,20.96,20.96,20.86,20.92,3500
892,20.77,20.92,20.77,20.91,8288
