EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493225400,29.5209,29.5211,29.5209,29.5211,300
131,29.4501,29.4501,29.4501,29.4501,100
139,29.4722,29.4722,29.4722,29.4722,3000
295,29.4375,29.4375,29.4375,29.4375,208
735,29.5699,29.5699,29.5699,29.5699,220
738,29.55,29.55,29.55,29.55,300
739,29.5045,29.5045,29.5045,29.5045,750
876,29.3699,29.3699,29.3699,29.3699,330
878,29.3854,29.3854,29.3854,29.3854,350
a1493830800,29.2746,29.2746,29.2746,29.2746,650
9,29.3008,29.3008,29.3008,29.3008,728
10,29.2976,29.2976,29.2976,29.2976,993
15,29.2898,29.2898,29.2898,29.2898,750
133,29.3999,29.3999,29.3999,29.3999,100
267,29.34,29.34,29.34,29.34,140
299,29.4214,29.4214,29.4214,29.4214,115
731,29.399,29.399,29.399,29.399,145
a1494519600,29.26,29.26,29.26,29.26,100
128,29.28,29.28,29.27,29.27,1272
138,29.27,29.27,29.27,29.27,117
560,29.3376,29.3376,29.3376,29.3376,147
561,29.357,29.357,29.357,29.357,3000
583,29.3813,29.3813,29.3813,29.3813,150
742,29.3103,29.3103,29.3101,29.3101,600
858,28.9474,28.9474,28.9421,28.9421,272
995,28.8042,28.8042,28.8042,28.8042,138
a1495119600,28.86,28.8799,28.8493,28.8493,10148
10,28.7401,28.7401,28.7401,28.7401,200
23,28.9293,28.9293,28.91,28.91,400
582,29.16,29.1873,29.16,29.16,1100
598,29.1984,29.1984,29.18,29.18,200
743,29.3416,29.3416,29.3416,29.3416,812
872,29.383,29.383,29.383,29.383,317
883,29.322,29.3367,29.322,29.3365,1202
a1495721400,29.58,29.58,29.58,29.58,100
2,29.62,29.62,29.62,29.62,200
5,29.62,29.62,29.62,29.62,100
8,29.63,29.63,29.63,29.63,200
12,29.59,29.59,29.59,29.59,100
16,29.64,29.64,29.64,29.64,200
18,29.56,29.56,29.56,29.56,750
20,29.63,29.63,29.5856,29.5856,870
24,29.64,29.64,29.64,29.64,200
28,29.64,29.64,29.64,29.64,100
31,29.5928,29.5928,29.5928,29.5928,800
35,29.55,29.55,29.55,29.55,100
171,29.5756,29.5756,29.5756,29.5756,220
718,29.6039,29.6039,29.5661,29.5661,312
741,29.5566,29.5566,29.5566,29.5566,400
753,29.5557,29.5557,29.5557,29.5557,257
862,29.5569,29.5569,29.5569,29.5569,320
880,29.4475,29.4493,29.44,29.4493,2200
a1496338200,29.7161,29.7161,29.7161,29.7161,414
6,29.74,29.75,29.74,29.75,1052
15,29.74,29.76,29.74,29.76,200
568,29.93,29.93,29.93,29.93,100
591,29.88,29.88,29.88,29.88,100
722,29.8221,29.8221,29.8221,29.8221,3350
867,29.7907,29.7907,29.7907,29.7907,100
984,30,30,30,30,775
985,29.8,29.8,29.8,29.8,100
a1496940600,29.8807,29.8807,29.8807,29.8807,4400
19,29.87,29.89,29.87,29.89,300
163,29.783,29.783,29.783,29.783,503
556,29.65,29.65,29.65,29.65,102
557,29.65,29.65,29.65,29.65,100
593,29.74,29.74,29.74,29.74,200
595,29.78,29.78,29.78,29.78,100
702,29.923,29.923,29.923,29.923,213
703,29.94,29.94,29.94,29.94,100
705,29.93,29.93,29.93,29.93,100
706,29.93,29.93,29.93,29.93,100
708,29.92,29.92,29.92,29.92,100
709,29.88,29.89,29.88,29.89,1200
715,29.93,29.93,29.93,29.93,100
717,29.95,29.95,29.95,29.95,100
720,29.96,29.96,29.96,29.96,100
723,29.94,29.94,29.94,29.94,100
726,29.92,29.92,29.92,29.92,100
728,29.95,29.95,29.9277,29.9299,914
731,29.93,29.93,29.93,29.93,100
732,29.9,29.9,29.9,29.9,100
859,29.91,29.91,29.91,29.91,100
863,29.9,29.9,29.9,29.9,200
866,29.92,29.92,29.92,29.92,100
880,29.82,29.82,29.82,29.82,100
881,29.88,29.88,29.88,29.88,100
883,29.95,29.95,29.89,29.89,200
a1497541800,29.8314,29.8314,29.8314,29.8314,100
23,29.8987,29.8987,29.8987,29.8987,1446
566,30.04,30.04,30.04,30.04,200
569,30.12,30.12,30.12,30.12,100
580,30.08,30.0962,30.08,30.0962,1283
587,30.13,30.13,30.13,30.13,100
601,30.16,30.16,30.1,30.1,200
a1498230000,29.978,29.978,29.978,29.978,333
567,29.92,29.92,29.92,29.92,100
712,30.03,30.03,30.03,30.03,1575
715,29.92,29.92,29.8751,29.8751,6330
716,29.939,29.98,29.9351,29.98,600
739,30.0898,30.0898,30.0898,30.0898,600
859,29.9623,29.9623,29.9623,29.9623,257
a1498848000,29.8696,29.8696,29.8696,29.8696,266
5,29.88,29.88,29.88,29.88,100
7,29.88,29.88,29.88,29.88,100
8,29.87,29.87,29.87,29.87,100
405,29.96,29.96,29.96,29.96,100
408,29.9432,29.9432,29.9432,29.9432,1000
411,29.95,29.95,29.95,29.95,21383
412,29.94,29.94,29.94,29.94,852
699,29.9599,29.9599,29.9599,29.9599,467
700,29.9599,29.9599,29.9599,29.9599,471
701,29.9699,29.97,29.9699,29.97,1724
715,29.93,30,29.93,30,11348
