EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493128800,1.09,1.0925,1.09,1.0925,400
1,1.0901,1.0901,1.0901,1.0901,700
3,1.14,1.14,1.14,1.14,100
14,1.14,1.14,1.11,1.11,5200
16,1.13,1.13,1.1278,1.1278,1194
17,1.13,1.13,1.1052,1.1052,2193
18,1.0938,1.14,1.0938,1.1051,3297
21,1.14,1.14,1.14,1.14,220
36,1.12,1.12,1.12,1.12,100
147,1.1199,1.1199,1.1199,1.1199,1000
152,1.13,1.13,1.12,1.12,5071
155,1.1237,1.14,1.1237,1.14,667
158,1.137,1.14,1.137,1.14,3000
163,1.1383,1.1399,1.1383,1.1399,2520
164,1.1373,1.1373,1.1373,1.1373,6156
173,1.1308,1.1308,1.1301,1.1301,1200
180,1.1136,1.12,1.1136,1.12,7995
285,1.09,1.09,1.09,1.09,5695
286,1.09,1.09,1.09,1.09,600
293,1.1276,1.13,1.1276,1.13,2000
296,1.1245,1.1245,1.1245,1.1245,100
306,1.1299,1.1299,1.1299,1.1299,1109
311,1.1069,1.1069,1.1069,1.1069,307
313,1.1283,1.1283,1.1283,1.1283,200
321,1.1283,1.1283,1.1283,1.1283,2000
323,1.093,1.1,1.09,1.1,8823
324,1.09,1.117,1.09,1.0901,1776
429,1.09,1.09,1.09,1.09,322
430,1.09,1.0917,1.09,1.0917,200
431,1.1086,1.12,1.1086,1.12,200
433,1.09,1.0901,1.09,1.0901,200
437,1.09,1.0917,1.09,1.0917,892
441,1.1035,1.1035,1.1,1.1,1309
449,1.109,1.109,1.109,1.109,500
454,1.1098,1.1098,1.1098,1.1098,2000
459,1.1089,1.1089,1.1089,1.1089,200
460,1.11,1.11,1.11,1.11,100
466,1.1067,1.11,1.1067,1.11,400
468,1.1099,1.1099,1.1099,1.1099,100
861,1.1,1.1,1.1,1.1,414
867,1.1186,1.1186,1.1186,1.1186,1000
873,1.12,1.12,1.12,1.12,1000
875,1.114,1.114,1.114,1.114,300
876,1.115,1.115,1.115,1.115,102
882,1.12,1.12,1.12,1.12,1100
887,1.1189,1.1189,1.1189,1.1189,100
892,1.11,1.11,1.11,1.11,100
898,1.1127,1.12,1.1127,1.1199,1647
900,1.12,1.12,1.12,1.12,100
a1493731800,1.09,1.09,1.09,1.09,2540
1,1.09,1.09,1.09,1.09,460
8,1.1001,1.1001,1.1001,1.1001,390
10,1.115,1.115,1.115,1.115,100
13,1.1,1.1,1.1,1.1,100
14,1.1001,1.1001,1.1001,1.1001,100
16,1.1,1.1,1.1,1.1,100
21,1.1001,1.1001,1.1001,1.1001,150
25,1.12,1.12,1.12,1.12,100
26,1.1,1.1,1.1,1.1,100
31,1.1,1.12,1.1,1.1001,1808
35,1.11,1.11,1.11,1.11,100
37,1.1,1.1,1.1,1.1,500
38,1.12,1.12,1.1009,1.1009,1054
39,1.1001,1.12,1.1001,1.1173,3382
144,1.11,1.11,1.11,1.11,1076
147,1.1,1.1,1.1,1.1,500
148,1.11,1.11,1.11,1.11,200
153,1.102,1.102,1.1013,1.1013,900
154,1.1033,1.1033,1.1033,1.1033,300
156,1.108,1.1099,1.108,1.1099,1260
158,1.1053,1.1053,1.1053,1.1053,100
164,1.1019,1.1019,1.1019,1.1019,100
168,1.12,1.12,1.1034,1.1034,2100
177,1.1199,1.1199,1.1199,1.1199,900
179,1.1199,1.1199,1.1199,1.1199,900
181,1.1199,1.1199,1.1199,1.1199,200
183,1.1189,1.1189,1.1189,1.1189,100
288,1.15,1.15,1.15,1.15,233
293,1.14,1.14,1.14,1.14,1883
294,1.1,1.12,1.1,1.12,4500
295,1.1375,1.1375,1.1375,1.1375,900
296,1.1109,1.1109,1.1,1.1,2041
299,1.1148,1.1148,1.1148,1.1148,700
321,1.1353,1.1353,1.1353,1.1353,100
327,1.13,1.13,1.13,1.13,100
432,1.14,1.14,1.14,1.14,101
437,1.1399,1.14,1.1399,1.14,1100
442,1.1128,1.1128,1.1128,1.1128,100
444,1.116,1.116,1.11,1.1117,4096
446,1.1117,1.1117,1.1117,1.1117,200
447,1.1202,1.1202,1.1202,1.1202,200
448,1.1383,1.1383,1.1383,1.1383,400
451,1.125,1.125,1.125,1.125,100
455,1.1173,1.1173,1.1173,1.1173,800
458,1.1,1.14,1.1,1.14,304
462,1.14,1.14,1.14,1.14,425
865,1.14,1.14,1.14,1.14,13225
874,1.1208,1.1208,1.1208,1.1208,122
884,1.1296,1.13,1.1296,1.13,2500
887,1.1217,1.1217,1.1217,1.1217,900
a1494336600,1.13,1.13,1.13,1.13,251
8,1.15,1.15,1.1456,1.1456,200
11,1.1201,1.1201,1.1201,1.1201,250
21,1.132,1.132,1.132,1.132,100
26,1.12,1.12,1.12,1.12,200
27,1.1,1.1017,1.1,1.1017,1000
28,1.11,1.11,1.11,1.11,1100
29,1.1185,1.1185,1.1185,1.1185,103
31,1.1139,1.1139,1.1139,1.1139,400
33,1.12,1.12,1.12,1.12,673
39,1.1199,1.1199,1.1199,1.1199,251
144,1.11,1.11,1.11,1.11,480
155,1.1386,1.1386,1.1386,1.1386,2125
156,1.14,1.14,1.14,1.14,100
157,1.1217,1.1217,1.1217,1.1217,500
158,1.13,1.13,1.1218,1.1218,1100
161,1.11,1.11,1.11,1.11,171
162,1.1127,1.1127,1.1127,1.1127,1000
177,1.12,1.12,1.12,1.12,100
182,1.12,1.12,1.12,1.12,200
183,1.12,1.12,1.115,1.115,1937
288,1.13,1.13,1.13,1.13,113
289,1.1383,1.1383,1.1383,1.1383,100
299,1.113,1.113,1.113,1.113,2125
300,1.1381,1.14,1.1381,1.14,600
304,1.113,1.12,1.113,1.12,3143
306,1.11,1.1379,1.11,1.1379,495
316,1.13,1.13,1.13,1.13,1000
317,1.13,1.13,1.11,1.11,200
325,1.11,1.11,1.1,1.11,1912
326,1.11,1.11,1.11,1.11,800
432,1.14,1.14,1.13,1.13,1520
433,1.4826,1.65,1.1349,1.1349,753286
434,1.4,1.55,1.38,1.5098,238188
435,1.33,1.39,1.32,1.39,131861
436,1.3646,1.43,1.33,1.34,112809
437,1.33,1.45,1.33,1.37,116421
438,1.3714,1.39,1.35,1.35,30031
439,1.3201,1.38,1.28,1.37,151493
440,1.311,1.3414,1.31,1.3337,35826
441,1.34,1.39,1.32,1.3224,23169
442,1.37,1.39,1.32,1.34,16810
443,1.36,1.37,1.36,1.36,5850
444,1.3236,1.36,1.32,1.3599,9330
445,1.34,1.34,1.32,1.33,25040
446,1.3608,1.37,1.3399,1.3399,14690
447,1.3367,1.37,1.3,1.3529,35916
448,1.3414,1.3414,1.3064,1.3381,7150
449,1.3403,1.3669,1.3403,1.3669,3075
450,1.344,1.36,1.32,1.3421,6711
451,1.35,1.36,1.32,1.36,4446
452,1.33,1.36,1.3,1.33,16808
453,1.3043,1.3366,1.3043,1.3366,1620
454,1.3191,1.33,1.3012,1.3286,4891
455,1.36,1.36,1.31,1.32,20501
456,1.36,1.36,1.33,1.34,16334
457,1.359,1.36,1.351,1.3599,6512
458,1.3301,1.36,1.33,1.35,5219
459,1.3496,1.36,1.3311,1.346,8089
460,1.3487,1.35,1.3475,1.349,7000
461,1.3101,1.35,1.3101,1.3401,13286
462,1.32,1.35,1.311,1.32,20401
463,1.3302,1.34,1.3302,1.34,750
464,1.323,1.34,1.323,1.3237,1630
465,1.3201,1.34,1.3201,1.3201,3985
466,1.32,1.3248,1.3153,1.32,6595
467,1.29,1.32,1.26,1.3119,19205
468,1.35,1.35,1.2606,1.2728,57058
469,1.3146,1.34,1.31,1.336,4902
470,1.32,1.339,1.29,1.2947,12870
471,1.3,1.33,1.29,1.3105,29050
864,1.18,1.18,1.18,1.18,7333
865,1.1402,1.18,1.13,1.17,20684
866,1.13,1.1591,1.13,1.15,8818
867,1.14,1.15,1.13,1.1334,7882
868,1.1401,1.15,1.14,1.1449,5662
869,1.14,1.1404,1.14,1.1404,607
870,1.14,1.14,1.12,1.13,23601
871,1.15,1.15,1.14,1.14,1068
872,1.16,1.16,1.149,1.149,12768
873,1.1588,1.16,1.1588,1.16,1300
