EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493130000,41.8,41.8,41.8,41.8,800
1,39.8,40,39.8,40,497
139,39.55,39.55,39.55,39.55,150
283,38.88,38.88,38.88,38.88,212
457,38.5,38.5,38.5,38.5,990
a1493830200,38.56,38.58,38.56,38.57,400
124,39,39,39,39,1200
701,39.51,39.51,39.51,39.51,235
739,42,42,42,42,400
847,41.3669,41.49,41.3669,41.49,400
850,40.9,40.9,40.9,40.9,600
874,41.02,41.02,41.02,41.02,100
988,40.8,40.8,40.8,40.8,1500
989,41.87,41.9989,41.87,41.9989,400
990,41.86,41.86,41.76,41.76,400
a1494607200,43.06,43.06,43.06,43.06,100
4,42.3144,42.3144,42.3144,42.3144,250
415,42.2,42.2,42.2,42.2,200
419,42.2,42.2,42.2,42.2,200
564,43.3,43.3,43.3,43.3,316
577,44.2,44.2,44.2,44.2,516
586,44.2,44.2,44.2,44.2,100
722,42.9,42.9,42.9,42.9,200
727,42.1,42.1,42.1,42.1,300
851,41.1,41.1,41.1,41.1,100
852,41.25,41.25,41.25,41.25,289
991,40.18,40.18,40.18,40.18,111
a1495465800,41.19,41.19,41.19,41.19,200
150,42.69,42.9,42.682,42.89,1055
296,41.15,41.7,41.15,41.7,700
427,42.15,42.15,42.15,42.15,300
428,43.6,43.6,43.5,43.5,300
441,42.266,42.266,42.266,42.266,1000
586,41.4,41.4,41.4,41.4,100
591,41.4001,41.4001,41.4001,41.4001,200
a1496244600,41.7,41.7,41.7,41.7,323
18,41.6999,41.6999,41.6999,41.6999,111
20,41.7,41.7,41.7,41.7,300
145,41.7,41.71,41.7,41.7,1159
163,41.7,41.7,41.7,41.7,100
164,41.7,41.7,41.7,41.7,100
167,41.7,41.7,41.7,41.7,100
168,41.7,41.7,41.7,41.7,100
277,42,42,42,42,300
283,41.2,41.2,41.2,41.2,200
715,40.2,40.2,40.2,40.2,100
854,39.8,39.8,39.8,39.8,200
858,38.7,38.7,38.7,38.7,200
a1497018000,38.4,38.4,38.4,38.4,300
21,38.4001,38.4001,38.4001,38.4001,300
29,38.4,38.4,38.4,38.4,242
578,38.6,38.7,38.6,38.7,904
579,38.55,38.55,38.55,38.55,200
721,39.9,41.9,39.9,40.95,1400
722,42.1,42.1,39.5,39.9,1900
740,40.6,40.7,40.6,40.7,348
749,40.4,40.4,40.4,40.4,200
750,40,40.3,40,40.3,400
a1497620400,39,39.9,39,39.9,900
1,39.1,39.1,39.1,39.1,300
431,39.33,39.33,39.33,39.33,100
466,40.87,40.87,40.87,40.87,100
590,40.7,40.7,40.7,40.7,100
724,40.6,40.6,40.5,40.5,600
725,40.6,40.6,40.6,40.6,100
754,40.4,40.4,40.4,40.4,100
a1498752600,36.5341,36.68,36.3,36.66,10454
128,36.87,36.87,36.87,36.87,100
560,37.33,37.33,37.33,37.33,556
566,38.12,38.12,38.1,38.1,2200
849,38.38,38.38,38.38,38.38,28
