EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,34.35,34.35,34.35,34.35,2330
1,34.32,34.6732,34.15,34.49,32289
2,34.4,34.47,34.32,34.38,21126
3,34.36,34.43,34.3,34.43,8273
4,34.64,34.64,34.41,34.41,16619
5,34.94,35.045,34.57,34.57,21438
6,34.91,34.96,34.8,34.93,6402
7,35.05,35.13,34.885,34.91,12766
8,34.96,35.05,34.91,35.05,5835
9,34.82,34.97,34.76,34.96,19262
10,34.765,34.895,34.765,34.85,15221
11,34.85,34.85,34.75,34.76,3380
12,34.85,34.86,34.8,34.85,8032
13,34.71,34.87,34.71,34.85,11467
14,34.635,34.76,34.6,34.75,4938
15,34.68,34.759,34.67,34.67,3225
16,34.85,34.87,34.71,34.72,5773
17,34.9,34.91,34.81,34.85,8591
18,34.73,34.9,34.73,34.86,2308
19,34.7,34.76,34.7,34.74,1150
20,34.59,34.69,34.53,34.67,9451
21,34.6,34.66,34.57,34.57,8498
22,34.54,34.6,34.51,34.54,2200
23,34.42,34.57,34.42,34.54,5887
24,34.46,34.5,34.43,34.43,3188
25,34.4817,34.51,34.45,34.48,5120
26,34.38,34.5,34.38,34.45,1888
27,34.38,34.38,34.31,34.37,2100
28,34.5,34.5,34.39,34.39,4025
29,34.47,34.52,34.47,34.5,2700
30,34.48,34.5,34.46,34.47,1508
31,34.44,34.45,34.37,34.45,3000
32,34.37,34.46,34.31,34.46,1900
33,34.39,34.39,34.31,34.31,3100
34,34.48,34.51,34.37,34.38,3307
35,34.5,34.555,34.47,34.49,4053
36,34.39,34.51,34.38,34.5,8127
37,34.44,34.5,34.4,34.42,8177
38,34.51,34.53,34.44,34.45,19416
39,34.42,34.58,34.36,34.52,64207
144,34.47,34.47,34.47,34.47,1893
145,34.33,34.85,34.33,34.58,4070
146,34.3,34.44,34.23,34.245,3800
147,34.49,34.49,34.37,34.43,1600
148,34.44,34.54,34.38,34.51,7127
149,34.45,34.48,34.38,34.43,5730
150,34.49,34.49,34.4,34.46,3990
151,34.54,34.54,34.435,34.51,4950
152,34.57,34.57,34.46,34.57,2100
153,34.71,34.72,34.51,34.51,6542
154,34.71,34.8,34.68,34.73,11077
155,34.65,34.78,34.63,34.74,5737
156,34.63,34.69,34.54,34.59,5950
157,34.6,34.72,34.6,34.72,5333
158,34.43,34.64,34.4,34.64,3169
159,34.53,34.53,34.37,34.37,2700
160,34.58,34.6,34.47,34.47,1900
161,34.75,34.75,34.57,34.57,300
162,34.68,34.74,34.63,34.74,2353
163,34.62,34.64,34.57,34.64,1700
164,34.65,34.65,34.57,34.63,2931
165,34.65,34.68,34.6,34.6273,1209
166,34.69,34.69,34.63,34.69,2600
167,34.65,34.69,34.62,34.69,1750
168,34.7,34.73,34.67,34.67,2600
169,34.76,34.76,34.7,34.72,2002
170,34.84,34.88,34.74,34.79,5301
171,34.49,34.85,34.49,34.85,15458
172,34.53,34.58,34.5,34.5,6036
173,34.63,34.64,34.53,34.53,1910
174,34.72,34.79,34.65,34.66,3204
175,34.72,34.73,34.59,34.73,2684
176,34.72,34.745,34.66,34.71,3274
177,34.75,34.77,34.74,34.75,700
178,34.88,34.88,34.71,34.71,3974
179,35.06,35.06,34.89,34.89,2415
180,35.09,35.09,34.96,35.01,3926
181,35.1,35.16,35.065,35.08,6965
182,34.95,35.12,34.95,35.12,7850
183,34.84,34.97,34.8,34.93,50569
288,34.9,34.9,34.9,34.9,1906
289,34.7,35.2894,34.7,35.2894,9061
290,35.17,35.17,34.67,34.79,2560
291,34.94,35.18,34.76,35.18,3700
292,34.78,35.05,34.78,35.05,1789
293,34.6,34.77,34.58,34.77,5659
294,34.75,34.75,34.55,34.65,4250
295,34.72,34.81,34.65,34.72,4570
296,34.88,34.88,34.78,34.78,2744
297,34.705,34.93,34.62,34.9,2579
298,34.9,34.92,34.71,34.74,4513
299,34.86,35,34.83,34.86,4817
300,34.86,34.905,34.79,34.87,4335
301,34.87,34.87,34.8,34.82,2650
302,34.79,34.89,34.79,34.86,2400
303,34.82,34.83,34.8,34.8,1000
304,34.74,34.89,34.72,34.84,6284
305,34.71,34.815,34.71,34.8,2383
306,34.71,34.8,34.7,34.77,1605
307,34.8,34.8,34.65,34.7,2900
308,34.88,34.89,34.76,34.77,2397
309,34.92,34.94,34.89,34.91,3305
310,35.07,35.11,34.9,34.93,8388
311,35.13,35.13,35.08,35.1,1600
312,35.13,35.19,35.13,35.14,1289
313,35.12,35.15,35.07,35.13,3557
314,35.12,35.12,35.09,35.09,300
315,34.92,35.12,34.85,35.09,3038
316,34.77,34.84,34.77,34.84,1600
317,34.81,34.81,34.75,34.77,2200
318,34.92,34.93,34.79,34.83,5982
319,34.92,34.95,34.88,34.89,1400
320,34.85,34.92,34.75,34.92,11035
321,34.82,34.88,34.82,34.87,1400
322,34.75,34.88,34.66,34.84,3731
323,34.77,34.81,34.74,34.8,3000
324,34.83,34.83,34.77,34.77,5040
325,34.695,34.86,34.69,34.85,3400
326,34.79,34.81,34.73,34.73,3981
327,34.69,34.82,34.68,34.79,37274
432,34.64,34.64,34.64,34.64,1768
433,35.045,35.08,34.8,34.8,500
434,34.71,34.82,34.53,34.82,13321
435,34.48,34.81,34.48,34.78,5915
436,34.53,34.66,34.48,34.48,2208
437,34.365,34.52,34.32,34.5,3000
438,34.51,34.51,34.34,34.36,2950
439,34.5,34.59,34.43,34.465,1800
440,34.51,34.665,34.51,34.51,5550
441,34.64,34.64,34.5,34.51,2600
442,34.69,34.75,34.64,34.735,5539
443,34.69,34.73,34.62,34.65,6675
444,34.77,34.77,34.65,34.66,5457
445,34.68,34.74,34.67,34.71,5301
446,34.77,34.77,34.6,34.67,6968
447,34.79,34.79,34.76,34.76,350
448,34.8035,34.85,34.78,34.78,1351
449,34.69,34.78,34.69,34.78,4073
450,34.65,34.69,34.65,34.69,600
451,34.76,34.76,34.6,34.6696,5000
452,34.68,34.68,34.68,34.68,100
453,34.76,34.93,34.68,34.68,8315
454,34.78,34.97,34.76,34.79,5190
455,34.73,34.735,34.72,34.72,600
456,34.74,34.74,34.6,34.69,3200
457,34.81,34.86,34.76,34.76,1400
458,34.76,34.76,34.76,34.76,100
459,34.61,34.77,34.6075,34.77,400
460,34.755,34.755,34.575,34.6,2300
461,34.79,34.82,34.66,34.72,2732
462,34.755,34.77,34.755,34.77,533
463,34.9,34.92,34.75,34.76,3539
464,34.77,34.87,34.74,34.87,1100
465,34.81,34.83,34.68,34.72,4325
466,34.79,34.84,34.77,34.84,3740
467,34.89,34.905,34.785,34.79,3300
468,34.91,34.93,34.89,34.93,900
469,34.93,34.93,34.82,34.89,6526
470,34.87,34.91,34.87,34.9,3100
471,34.86,34.88,34.81,34.88,39594
864,34.99,34.99,34.99,34.99,3193
865,34.6,34.99,34.57,34.99,5253
866,34.1,34.61,34.09,34.6,8524
867,34.1511,34.19,34.01,34.09,16875
868,33.91,34.22,33.91,34.1139,2317
869,33.75,34.02,33.67,33.92,5592
870,33.64,33.71,33.61,33.71,8760
871,33.61,33.65,33.38,33.61,14264
872,33.74,33.77,33.63,33.65,3673
873,33.42,33.735,33.38,33.72,7153
874,33.41,33.4488,33.25,33.39,7403
875,33.45,33.47,33.35,33.41,4594
876,33.66,33.8607,33.41,33.41,10235
877,33.72,33.72,33.59,33.7,2850
878,33.79,33.8,33.72,33.76,4396
879,33.7699,33.8,33.69,33.8,2320
880,33.785,33.874,33.72,33.77,3782
881,33.765,33.79,33.7201,33.75,2900
882,33.6601,33.76,33.66,33.76,3200
883,33.61,33.73,33.61,33.64,2934
884,33.59,33.65,33.57,33.6,2400
885,33.46,33.61,33.38,33.61,9722
886,33.4,33.49,33.4,33.4746,4140
887,33.69,33.69,33.43,33.43,3443
888,33.71,33.81,33.67,33.68,4500
889,33.77,33.77,33.64,33.68,3000
890,33.9,33.96,33.77,33.79,4150
891,33.91,34.02,33.88,33.99,4900
892,33.73,33.96,33.73,33.96,4873
893,33.59,33.7,33.59,33.7,3800
894,33.41,33.635,33.38,33.635,8150
