EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,41.85,41.85,41.85,41.85,561
1,41.84,41.97,41.4,41.97,6035
2,42.19,42.2,41.655,41.655,11024
3,41.91,42.17,41.745,42.13,11283
4,42.21,42.29,41.9,41.9,6900
5,42.105,42.175,42.08,42.16,2835
6,42.09,42.165,42.04,42.105,4700
7,42.07,42.165,42.02,42.125,10330
8,42.045,42.06,41.97,42.04,1700
9,41.91,42.04,41.9,42.01,2600
10,42.01,42.01,41.91,41.91,1477
11,42.1,42.1,41.98,41.98,825
12,42.08,42.11,42.0001,42.06,2625
13,42.08,42.08,41.97,42,1800
14,42.11,42.11,42.03,42.04,1500
15,42.12,42.12,42.04,42.068,1201
16,42.15,42.16,42.09,42.13,1300
17,42.17,42.17,42.05,42.09,1934
18,42.15,42.18,42.14,42.14,2200
19,42.02,42.145,42.02,42.1301,3144
20,42.04,42.07,42.03,42.03,700
21,42.02,42.0225,41.93,42,2800
22,41.96,42.06,41.96,41.96,5669
23,41.96,42.05,41.94,41.94,3200
24,42.03,42.14,41.97,42,5400
25,41.92,42.01,41.91,42.01,1000
26,41.94,41.995,41.865,41.97,2153
27,41.99,41.99,41.84,41.86,3830
28,42.12,42.12,41.94,41.94,1500
29,42.15,42.17,42.06,42.09,2198
30,42.19,42.19,42.12,42.13,1500
31,42.15,42.21,42.07,42.15,7150
32,42.14,42.17,42.11,42.14,2000
33,42.065,42.1,42.05,42.05,400
34,42.1,42.1,42.04,42.04,2600
35,42.04,42.12,41.99,42.07,2429
36,41.97,42.07,41.96,42.02,6480
37,41.93,42,41.91,41.97,3000
38,41.84,41.95,41.82,41.88,6606
39,41.8,41.89,41.79,41.85,18781
144,41.76,42.67,41.76,41.8,3138
145,41.82,42.25,41.82,42.25,2825
146,42.005,42.01,41.88,41.88,2100
147,41.8501,42.2,41.8201,42.11,2100
148,41.87,42.04,41.82,42.04,1567
149,41.92,41.93,41.87,41.87,1100
150,42.05,42.05,41.8701,41.8701,2501
151,42.1,42.1,41.9,41.9601,8700
152,42.09,42.09,42.02,42.04,1600
153,42.14,42.33,42.0301,42.09,12163
154,42.16,42.19,42.11,42.11,3828
155,42.3,42.3,42.13,42.17,1600
156,42.52,42.6,42.3,42.32,3000
157,42.45,42.61,42.45,42.55,1700
158,42.2,42.45,42.2,42.45,1720
159,42.34,42.34,42.21,42.21,1500
160,42.33,42.38,42.33,42.36,900
161,42.43,42.52,42.34,42.39,7600
162,42.39,42.47,42.39,42.47,300
163,42.36,42.36,42.255,42.32,800
164,42.44,42.47,42.2901,42.2901,1000
165,42.435,42.47,42.3901,42.45,2225
166,42.45,42.46,42.41,42.45,1300
167,42.44,42.46,42.42,42.45,3504
168,42.45,42.46,42.43,42.45,12910
169,42.63,42.63,42.42,42.44,12456
170,42.74,42.78,42.66,42.73,10048
171,42.79,42.86,42.67,42.67,5786
172,42.65,42.79,42.58,42.76,4918
173,42.61,42.65,42.61,42.65,1100
174,42.61,42.66,42.57,42.59,1500
175,42.64,42.71,42.64,42.71,5700
176,42.62,42.72,42.62,42.64,3500
177,42.55,42.62,42.545,42.61,1500
178,42.64,42.67,42.59,42.59,1400
179,42.57,42.67,42.57,42.64,1800
180,42.59,42.59,42.53,42.56,1700
181,42.45,42.6,42.43,42.595,4764
182,42.25,42.44,42.24,42.44,6861
183,42.1,42.17,42.055,42.17,33512
288,42.14,42.14,42.14,42.14,426
290,43,43.35,42.74,42.74,2930
291,42.51,43.05,42.32,43,5640
292,42.3,42.54,42.24,42.54,3575
293,42.38,42.38,42.1875,42.31,1500
294,42.23,42.56,42.21,42.38,2800
295,42.21,42.22,42.15,42.22,2050
296,42.09,42.34,42.09,42.22,1532
297,41.77,42.01,41.71,42.01,2735
298,41.93,42.07,41.88,41.88,1700
299,41.94,41.94,41.91,41.91,500
300,42.08,42.08,41.99,42,1300
301,42,42.06,41.99,42.06,700
302,41.97,42.03,41.92,41.93,800
303,41.89,41.95,41.83,41.91,1000
304,42.06,42.06,41.92,41.92,800
305,42.18,42.26,42.03,42.03,1235
306,42.08,42.14,42.04,42.14,900
307,41.99,42.07,41.99,42.05,1059
308,42.1,42.1,42.08,42.08,400
309,42.22,42.28,42.12,42.12,1832
310,42.19,42.19,42.18,42.18,200
311,42.165,42.165,42.1,42.15,1000
312,42.24,42.29,42.14,42.14,2140
313,42.04,42.16,42.04,42.16,900
314,42.07,42.105,42.07,42.1,300
315,42,42.07,42,42.06,900
316,41.87,41.91,41.87,41.91,650
317,41.85,41.94,41.77,41.84,1800
318,41.93,41.93,41.8601,41.895,1189
319,42.12,42.13,42.07,42.1,1415
320,42.1,42.14,42.1,42.13,2600
321,42.12,42.17,42.045,42.08,1600
322,42,42.12,41.97,42.12,900
323,42.03,42.05,41.98,41.98,500
324,41.96,42.065,41.9101,42.05,2958
325,41.79,42.024,41.79,41.97,6341
326,41.89,41.91,41.8,41.85,3465
327,41.92,41.955,41.83,41.9,26569
432,42.38,42.38,42.38,42.38,2206
433,41.935,42.24,41.9,42.17,1400
434,42.595,42.66,42.16,42.16,4107
435,42.72,43.115,42.61,42.61,19354
436,42.95,42.95,42.63,42.72,2476
437,42.94,43.06,42.91,42.96,3700
438,42.77,42.89,42.76,42.89,5900
439,42.72,42.73,42.5,42.73,2774
440,42.57,42.74,42.57,42.74,700
441,42.54,42.54,42.5,42.53,650
442,42.39,42.47,42.39,42.47,826
443,42.11,42.35,42.0501,42.35,1307
444,42.22,42.22,42.14,42.21,800
445,42.18,42.19,42.13,42.19,600
446,42.08,42.15,42.021,42.11,540
447,41.95,42.06,41.95,42.02,900
448,42.02,42.05,41.97,41.99,1000
449,41.96,41.985,41.96,41.9601,500
450,41.95,41.97,41.93,41.951,2569
451,41.83,41.96,41.83,41.96,1699
452,42.03,42.03,41.85,41.85,1536
453,42.1,42.1,42.02,42.09,600
454,42.06,42.11,42.01,42.01,3900
455,42.03,42.1,42.03,42.07,841
456,41.9201,41.985,41.9201,41.985,200
457,41.98,42.04,41.9492,41.9492,1400
458,41.88,41.97,41.88,41.97,900
459,41.86,41.92,41.86,41.88,1700
460,41.7601,41.87,41.7601,41.84,1500
461,41.6,41.72,41.59,41.72,2195
462,41.64,41.67,41.6,41.65,2600
463,41.54,41.65,41.54,41.6001,8170
464,41.56,41.59,41.55,41.58,1523
465,41.52,41.5488,41.5,41.5401,6900
466,41.45,41.53,41.45,41.49,2300
467,41.43,41.47,41.42,41.45,3831
468,41.4,41.45,41.4,41.42,2600
469,41.41,41.45,41.37,41.38,2300
470,41.43,41.46,41.36,41.39,3500
471,41.38,41.5,41.32,41.43,55997
864,41.57,41.57,41.57,41.57,507
865,42.415,43.2,41.56,41.6,4100
866,42,42.28,41.95,42.16,3900
867,41.72,41.93,41.72,41.93,2500
868,41.5,41.5999,41.5,41.59,3100
869,41.53,41.53,41.31,41.31,2830
870,41.6,41.73,41.58,41.58,1300
871,41.82,41.82,41.725,41.725,400
872,41.79,41.865,41.79,41.865,900
873,41.64,41.8,41.64,41.8,865
874,41.74,41.81,41.71,41.71,1766
875,41.825,41.84,41.75,41.78,1274
876,41.79,41.83,41.78,41.83,900
877,41.72,41.73,41.72,41.72,374
878,41.79,41.84,41.705,41.71,918
879,41.92,41.92,41.77,41.82,650
880,42.1,42.1,42,42,800
881,42.12,42.22,42.1,42.1,3420
882,41.99,42.18,41.99,42.12,4004
883,42.03,42.04,41.93,41.99,805
884,41.94,42.03,41.94,42.03,1000
885,41.885,41.94,41.66,41.94,5019
886,41.97,41.97,41.775,41.845,6144
887,42.06,42.06,41.94,41.94,800
888,42.21,42.21,42.06,42.06,1200
889,42.25,42.25,42.18,42.21,2600
890,42.47,42.47,42.25,42.25,2180
891,42.33,42.49,42.29,42.45,5100
892,42.23,42.45,42.22,42.45,1200
893,42.35,42.35,42.35,42.35,300
894,42.25,42.26,42.23,42.23,600
895,42.05,42.13,41.94,42.13,800
896,42,42.09,42,42.075,4097
897,42.03,42.03,42,42,300
898,41.99,42.05,41.92,42.02,1948
