EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,18.73,18.73,18.73,18.73,423
1,18.655,18.67,18.5,18.59,1600
2,18.65,18.85,18.63,18.7,5450
3,18.61,18.65,18.61,18.65,2100
4,18.65,18.65,18.59,18.61,900
5,18.6,18.65,18.6,18.65,2049
6,18.53,18.61,18.53,18.61,900
7,18.59,18.63,18.573,18.573,2375
8,18.5685,18.6,18.55,18.6,1800
9,18.52,18.64,18.52,18.59,1389
10,18.6,18.6,18.52,18.52,1600
11,18.59,18.62,18.59,18.62,400
12,18.64,18.65,18.62,18.65,500
13,18.65,18.65,18.59,18.6,600
14,18.65,18.65,18.61,18.65,1700
15,18.65,18.65,18.58,18.62,2300
16,18.65,18.65,18.61,18.65,600
17,18.65,18.664,18.63,18.64,3900
18,18.68,18.7,18.64,18.66,45400
19,18.68,18.6925,18.66,18.675,2300
20,18.69,18.72,18.67,18.68,2900
21,18.705,18.72,18.705,18.72,200
22,18.72,18.73,18.69,18.715,2400
23,18.76,18.76,18.71,18.745,1800
24,18.72,18.76,18.7,18.76,2100
25,18.675,18.73,18.65,18.7,2200
26,18.66,18.66,18.65,18.65,200
27,18.65,18.69,18.65,18.66,1300
28,18.69,18.69,18.64,18.65,400
29,18.69,18.7,18.68,18.69,1300
30,18.63,18.68,18.63,18.68,800
31,18.6677,18.69,18.65,18.69,450
32,18.68,18.69,18.68,18.69,600
33,18.67,18.67,18.66,18.66,200
34,18.7,18.7,18.66,18.66,2181
35,18.68,18.7,18.68,18.6939,2801
36,18.68,18.69,18.67,18.67,1100
37,18.6,18.675,18.6,18.675,2300
38,18.56,18.6,18.55,18.58,8700
39,18.7,18.71,18.56,18.56,30871
144,18.68,18.68,18.68,18.68,275
145,18.85,18.85,18.55,18.55,1000
146,18.76,18.77,18.76,18.77,300
147,18.68,18.77,18.68,18.77,600
148,18.774,18.774,18.67,18.67,500
149,18.84,18.8639,18.77,18.8225,24600
150,18.88,18.88,18.84,18.84,500
151,18.88,18.91,18.88,18.88,1700
152,18.89,18.92,18.84,18.86,2767
153,18.98,18.98,18.93,18.93,980
154,18.95,18.96,18.94,18.96,700
155,18.98,18.98,18.93,18.95,700
156,19.05,19.05,18.9501,18.98,1313
157,19.01,19.04,19,19.03,1325
158,18.985,18.995,18.97,18.98,600
159,18.98,19,18.92,18.98,1191
160,18.98,18.98,18.98,18.98,100
161,18.98,19,18.98,19,400
162,18.99,19,18.99,19,400
163,18.98,18.98,18.95,18.95,200
164,18.99,19.01,18.95,18.95,700
165,19.01,19.03,19,19.01,1000
166,19.01,19.02,19,19.01,1227
167,19.01,19.03,19,19.03,300
168,19,19.03,18.99,19,900
169,18.97,19,18.97,18.995,1300
170,18.98,18.98,18.98,18.98,100
171,18.94,18.9602,18.89,18.89,800
172,18.94,18.95,18.89,18.89,800
174,18.96,18.99,18.95,18.98,2086
175,18.96,19.02,18.95,18.96,17107
176,18.99,18.99,18.96,18.962,400
177,19.0081,19.02,19.0081,19.02,900
178,19.0241,19.03,19.01,19.01,870
179,19.05,19.08,19.02,19.02,4848
180,19.13,19.13,19.07,19.08,16707
181,19.12,19.16,19.12,19.16,1400
182,19.09,19.15,19.08,19.12,3615
183,19.1,19.13,19.02,19.1,12826
288,19.19,19.19,19.19,19.19,1340
289,19.4603,19.4603,19.12,19.21,1250
290,19.13,19.3898,19.11,19.3898,4461
292,19.23,19.23,19.23,19.23,100
293,19.22,19.23,19.22,19.23,300
294,19.19,19.19,19.18,19.18,300
295,19.18,19.18,19.12,19.1401,2398
296,19.1525,19.18,19.14,19.18,700
297,19.12,19.15,19.1,19.15,1400
298,19.15,19.1725,19.12,19.14,3300
299,19.145,19.16,19.13,19.135,874
300,19.16,19.16,19.145,19.145,200
301,19.14,19.14,19.14,19.14,100
302,19.15,19.16,19.13,19.13,900
303,19.17,19.18,19.1568,19.18,1100
304,19.27,19.27,19.19,19.19,600
305,19.3,19.3,19.25,19.25,300
306,19.21,19.26,19.21,19.26,1200
307,19.2493,19.28,19.24,19.24,3900
308,19.25,19.29,19.25,19.2834,1400
309,19.36,19.36,19.27,19.29,4895
310,19.33,19.34,19.32,19.34,700
311,19.31,19.4397,19.31,19.37,1800
313,19.36,19.36,19.35,19.35,394
314,19.39,19.43,19.38,19.43,300
316,19.39,19.39,19.39,19.39,100
317,19.38,19.39,19.38,19.39,1586
318,19.365,19.4,19.36,19.4,2500
319,19.38,19.39,19.38,19.39,200
320,19.39,19.39,19.39,19.39,400
321,19.39,19.39,19.37,19.38,1700
322,19.4,19.4,19.4,19.4,100
323,19.416,19.416,19.39,19.39,300
324,19.46,19.5,19.41,19.43,4000
325,19.48,19.49,19.45,19.49,5601
326,19.56,19.62,19.47,19.48,15475
327,19.54,19.58,19.49,19.55,18649
432,19.57,19.57,19.57,19.57,442
433,19.51,19.6096,19.51,19.6096,600
434,19.35,19.49,19.35,19.46,800
435,19.43,19.43,19.4,19.4,500
436,19.27,19.42,19.27,19.42,5956
437,19.24,19.27,19.24,19.2602,1700
438,19.27,19.3,19.16,19.22,4000
439,19.27,19.29,19.25,19.2853,3800
440,19.25,19.255,19.2475,19.25,1000
441,19.24,19.25,19.21,19.25,1900
442,19.225,19.24,19.21,19.24,1400
443,19.13,19.19,19.12,19.17,1055
444,19.105,19.105,19.1,19.1,200
445,19.09,19.11,19.08,19.1,1453
446,19.07,19.07,19.07,19.07,100
447,19.12,19.12,19.08,19.1,1500
448,19.14,19.15,19.135,19.14,500
449,19.1,19.16,19.01,19.1466,35700
450,19.09,19.13,19.07,19.12,5500
451,19.11,19.11,19.105,19.105,300
452,19.065,19.1,19.02,19.1,6200
453,19.09,19.1,19.05,19.08,1300
454,19.095,19.1,19.07,19.1,500
455,19.01,19.07,18.98,19.07,1200
456,19,19.035,19,19,1200
457,19.005,19.015,19,19.015,600
458,19.11,19.11,19,19.02,4204
459,19.11,19.16,19.08,19.1,1200
460,19.11,19.13,19.09,19.11,1756
461,19.09,19.12,19.09,19.12,1000
462,19.11,19.11,19.08,19.095,400
463,19.11,19.13,19.08,19.095,1200
464,19.105,19.125,19.1,19.125,1000
465,19.12,19.12,19.1,19.1087,1501
466,19.15,19.15,19.135,19.135,500
467,19.23,19.23,19.16,19.16,2400
468,19.21,19.2164,19.185,19.2164,2574
469,19.245,19.26,19.21,19.215,7626
470,19.28,19.28,19.235,19.2449,6400
471,19.24,19.28,19.21,19.28,25175
864,19.28,19.28,19.28,19.28,1030
865,19.26,19.8599,19.23,19.8599,18600
866,19.225,19.29,19.215,19.29,400
867,19.29,19.29,19.19,19.215,1200
868,19.165,19.165,19.155,19.155,200
869,19.15,19.21,19.15,19.21,300
870,19.17,19.1772,19.13,19.17,2800
871,19.38,19.38,19.17,19.17,1435
872,19.36,19.39,19.36,19.39,900
873,19.27,19.35,19.27,19.34,1300
874,19.3,19.3,19.285,19.285,300
875,19.41,19.42,19.31,19.31,2100
876,19.43,19.45,19.41,19.43,1500
877,19.44,19.45,19.4,19.45,4279
878,19.495,19.51,19.42,19.47,6992
879,19.52,19.52,19.41,19.5,3300
880,19.5348,19.5348,19.5348,19.5348,100
881,19.51,19.5153,19.51,19.51,800
882,19.51,19.51,19.51,19.51,100
883,19.52,19.52,19.52,19.52,100
884,19.49,19.52,19.49,19.5,2138
885,19.49,19.5,19.47,19.4801,9665
886,19.46,19.51,19.45,19.49,21459
887,19.5,19.5101,19.47,19.47,3800
888,19.57,19.57,19.49,19.5201,3000
889,19.6,19.6,19.56,19.58,800
890,19.65,19.68,19.605,19.62,1800
891,19.65,19.65,19.65,19.65,100
892,19.66,19.69,19.66,19.66,1109
893,19.6401,19.68,19.6401,19.68,500
894,19.62,19.66,19.62,19.66,500
895,19.61,19.64,19.61,19.62,1700
897,19.535,19.61,19.535,19.61,3600
898,19.4,19.525,19.38,19.525,7868
899,19.33,19.41,19.32,19.41,8860
900,19.26,19.33,19.26,19.31,6229
901,19.245,19.28,19.2301,19.26,10253
902,19.24,19.25,19.22,19.245,12597
