EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493134200,49.9616,49.9616,49.4812,49.49,3499
278,50,50,50,50,480
300,49.4683,49.4683,49.4683,49.4683,597
422,49.35,49.35,49.35,49.35,100
860,49.415,49.415,49.415,49.415,100
863,49.35,49.3501,49.35,49.3501,226
864,49.35,49.35,49.35,49.35,100
a1493747400,50,50,50,50,100
2,50,50,50,50,300
11,50,50,50,50,200
424,49.935,49.935,49.935,49.935,135
a1494349200,49.5091,49.5581,49.41,49.41,300
4,49.5,49.5,49.5,49.5,100
18,49.5,49.5,49.5,49.5,400
150,49.36,49.4,49.36,49.37,1794
293,49.36,49.36,49.36,49.36,186
a1494963000,50,50,50,50,358
286,50,50,50,50,100
a1495723200,49.9899,49.9899,49.9899,49.9899,565
144,49.4241,49.4241,49.4241,49.4241,316
729,49.42,49.42,49.42,49.42,100
745,49.99,49.99,49.97,49.97,600
750,49.99,49.99,49.99,49.99,100
883,50.0682,50.0682,50.0682,50.0682,100
a1496416800,50.1899,50.1899,50.1899,50.1899,214
565,49.31,49.31,49.31,49.31,976
566,50,50,49.31,49.31,650
576,50,50,49.99,49.99,1395
602,50,50,50,50,703
713,50.0616,50.25,49.97,49.97,3956
714,50.01,50.16,50,50.05,4952
722,50.0288,50.0288,50,50,1000
726,50.1003,50.1006,50.1,50.1,2100
747,49.98,50,49.975,50,763
853,50,50,50,50,131
854,50.0234,50.0234,49.98,50,5132
855,49.72,49.72,49.72,49.72,100
862,49.815,49.815,49.81,49.81,200
869,50,50,50,50,845
876,50.13,50.13,50.13,50.13,800
a1497020400,50.26,50.26,50.26,50.26,100
429,50.5001,50.5759,50.5001,50.5759,400
430,50.5,50.5,50.5,50.5,100
443,51.04,51.04,50.6455,50.6455,1100
445,51.035,51.035,51.035,51.035,100
447,51,51,50.9999,51,300
457,50.5,50.5,50.5,50.5,100
567,51.23,51.23,51.23,51.23,114
568,50.5,50.5075,50.5,50.5,2500
569,51.2503,51.2503,51.2503,51.2503,190
570,50.5,50.5505,50.5,50.5,1400
584,51.13,51.13,51.13,51.13,500
585,51.9229,51.9229,51.9229,51.9229,100
720,50.5,50.5,50.5,50.5,100
721,50.5,50.5,50.5,50.5,100
722,50.5,50.5,50.5,50.5,100
723,50.5,50.5,50.5,50.5,100
742,51.33,51.33,51.33,51.33,100
749,51.33,51.33,51.33,51.33,200
861,51,51,51,51,100
884,51.1287,51.1287,51.1287,51.1287,140
888,51.33,51.33,51.33,51.33,200
999,51.3,51.3,51.3,51.3,140
a1497622800,51.33,51.33,51.33,51.33,800
9,51.8325,52,51.8325,52,400
19,51.933,51.933,51.933,51.933,234
22,51.505,51.505,51.505,51.505,100
23,51.505,51.505,51.505,51.505,200
24,51.505,51.505,51.505,51.505,200
25,51.505,51.505,51.505,51.505,100
34,52,52,52,52,1610
440,51.75,51.75,51.75,51.75,683
441,51.5,51.5,51.5,51.5,317
445,51.75,51.75,51.75,51.75,150
453,52.23,52.23,52.23,52.23,100
454,52.23,52.23,52.23,52.23,100
456,52.1529,52.1529,52.1529,52.1529,168
462,51.75,51.75,51.75,51.75,100
466,52.22,52.22,52.22,52.22,100
571,52.23,52.23,52.23,52.23,144
581,51.9229,52,51.8929,51.99,1705
601,51.99,51.99,51.99,51.99,200
604,52,52,51.99,52,1800
610,51.99,51.99,51.99,51.99,100
716,52,52,52,52,600
724,51.9992,52,51.997,51.999,600
730,51.2344,51.2344,51.2344,51.2344,219
736,52,52,52,52,200
738,52,52,52,52,124
742,51.394,51.394,51.394,51.394,300
743,52,52,52,52,200
751,52,52,52,52,300
753,51.75,51.99,51.75,51.99,200
754,51.975,51.99,51.975,51.99,200
878,52,52,52,52,1091
879,52,52,52,52,200
880,51.7125,51.7125,51.7125,51.7125,100
a1498227000,52,52,51.5,51.5,1930
1,52,52,52,52,607
9,51.0001,51.0001,51.0001,51.0001,171
449,52,52,52,52,993
451,52,52,52,52,1000
452,52,52,52,52,1000
463,51.16,51.16,51.16,51.16,100
467,52,52,52,52,100
589,52.5254,52.5254,52.5254,52.5254,478
599,52.1539,52.1539,52.111,52.111,1000
600,52.4307,52.4307,52.4307,52.4307,100
607,52.16,52.16,52.16,52.16,100
716,52.75,52.78,52.75,52.78,253
720,52.15,52.15,52.15,52.15,100
735,53.01,53.01,53.0001,53.0001,1403
736,53.0501,53.0501,53.0501,53.0501,500
742,54,54,53.52,53.52,1300
751,53.6,53.6,53.6,53.6,100
869,54,54,53.99,54,1900
871,53.76,53.76,53.76,53.76,100
890,58.97,58.97,58.97,58.97,220
895,54.5,54.5,54.5,54.5,100
a1498842000,55.75,55.75,55.75,55.75,500
16,55,55.3187,55,55.3063,800
17,52.4075,54.5,52.4075,54.5,475
18,52.78,52.78,52,52,200
417,53.47,53.47,53.47,53.47,100
422,54.12,54.12,54.12,54.12,100
423,53.8,53.84,53.8,53.84,200
428,51.27,51.27,51.27,51.27,100
432,51.3,51.3,51.3,51.3,100
710,51.56,51.56,51.56,51.56,144
738,52.1,52.1,52.1,52.1,32
