EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,8.13,8.13,8.13,8.13,5301
1,8.21,8.21,8.0888,8.13,10536
2,8.234,8.24,8.23,8.23,750
3,8.24,8.24,8.24,8.24,100
5,8.222,8.23,8.21,8.23,300
6,8.22,8.22,8.2,8.2,200
7,8.2,8.2,8.2,8.2,100
8,8.21,8.23,8.2,8.2,1682
9,8.24,8.24,8.22,8.22,5660
10,8.26,8.26,8.235,8.24,6831
11,8.27,8.27,8.26,8.27,700
12,8.26,8.26,8.258,8.258,250
13,8.27,8.27,8.245,8.2601,6750
14,8.26,8.28,8.26,8.28,300
15,8.2502,8.26,8.25,8.255,1318
16,8.26,8.26,8.26,8.26,200
17,8.25,8.26,8.25,8.25,800
18,8.25,8.25,8.25,8.25,200
19,8.25,8.26,8.24,8.24,6837
20,8.24,8.26,8.24,8.25,400
21,8.26,8.26,8.24,8.26,1000
22,8.25,8.25,8.23,8.25,4700
23,8.27,8.28,8.26,8.26,5500
24,8.25,8.27,8.25,8.26,2134
25,8.25,8.25,8.25,8.25,100
26,8.22,8.26,8.2,8.255,24682
27,8.28,8.28,8.222,8.23,4696
28,8.265,8.28,8.25,8.28,8809
29,8.23,8.26,8.23,8.2503,6849
30,8.24,8.25,8.2348,8.2348,1200
31,8.25,8.26,8.25,8.26,300
32,8.245,8.25,8.24,8.25,500
33,8.25,8.265,8.23,8.25,17011
34,8.24,8.25,8.2,8.241,7466
35,8.24,8.25,8.21,8.25,3683
36,8.24,8.24,8.23,8.235,1900
37,8.24,8.24,8.23,8.235,3000
38,8.2,8.24,8.2,8.24,20740
39,8.17,8.21,8.15,8.21,31632
144,8.15,8.15,8.15,8.15,5202
145,8.18,8.18,8.15,8.15,6717
146,8.23,8.27,8.14,8.18,3945
147,8.2084,8.23,8.2001,8.2001,6934
148,8.21,8.23,8.21,8.23,3005
149,8.1801,8.22,8.1801,8.22,4100
150,8.22,8.22,8.22,8.22,3000
151,8.27,8.27,8.2,8.22,3224
152,8.22,8.25,8.22,8.25,1000
153,8.2054,8.22,8.2,8.22,1300
154,8.25,8.25,8.22,8.22,700
155,8.24,8.24,8.23,8.24,600
156,8.25,8.255,8.22,8.22,600
157,8.245,8.27,8.24,8.27,500
158,8.25,8.25,8.24,8.2467,400
159,8.23,8.26,8.23,8.23,400
160,8.23,8.23,8.23,8.23,300
161,8.25,8.25,8.23,8.23,700
162,8.25,8.26,8.24,8.26,7517
163,8.27,8.27,8.25,8.26,700
164,8.2512,8.27,8.25,8.25,2050
165,8.26,8.26,8.26,8.26,100
166,8.25,8.27,8.25,8.27,300
167,8.27,8.27,8.25,8.25,600
168,8.288,8.29,8.2643,8.27,11460
169,8.3,8.3,8.29,8.3,800
170,8.28,8.3,8.28,8.29,3995
171,8.33,8.35,8.29,8.29,16094
172,8.3101,8.34,8.3101,8.33,1351
173,8.33,8.34,8.31,8.3101,2071
174,8.31,8.33,8.29,8.31,8945
175,8.2674,8.28,8.2674,8.28,810
176,8.279,8.29,8.27,8.28,9164
177,8.29,8.3,8.2809,8.2809,4143
178,8.28,8.28,8.25,8.2567,1216
179,8.26,8.26,8.26,8.26,400
180,8.26,8.26,8.25,8.25,1200
181,8.269,8.27,8.25,8.26,2860
182,8.27,8.27,8.25,8.26,4789
183,8.26,8.27,8.25,8.27,6420
288,8.26,8.26,8.26,8.26,1342
289,8.29,8.29,8.21,8.25,2200
291,8.3,8.3,8.25,8.27,16207
292,8.32,8.32,8.3,8.3001,2000
293,8.265,8.32,8.24,8.29,13883
294,8.25,8.25,8.24,8.25,1300
295,8.25,8.28,8.25,8.26,3800
296,8.25,8.28,8.25,8.28,300
297,8.27,8.28,8.246,8.25,7600
298,8.25,8.27,8.25,8.27,300
299,8.25,8.27,8.25,8.27,800
300,8.24,8.24,8.24,8.24,100
301,8.25,8.25,8.24,8.24,400
302,8.2534,8.26,8.25,8.25,900
303,8.26,8.26,8.25,8.26,500
304,8.28,8.28,8.26,8.26,3025
305,8.25,8.25,8.25,8.25,200
306,8.25,8.25,8.25,8.25,100
307,8.2582,8.26,8.2582,8.26,1200
308,8.25,8.25,8.24,8.25,1700
310,8.26,8.26,8.24,8.24,900
311,8.27,8.27,8.26,8.26,500
312,8.25,8.28,8.25,8.28,500
313,8.25,8.27,8.25,8.27,300
314,8.25,8.26,8.25,8.26,400
315,8.26,8.26,8.26,8.26,300
316,8.26,8.27,8.26,8.27,400
317,8.3,8.3,8.26,8.26,3800
318,8.28,8.3,8.28,8.3,1450
319,8.27,8.28,8.27,8.28,1050
320,8.26,8.26,8.24,8.26,3300
321,8.26,8.26,8.25,8.26,800
322,8.27,8.27,8.24,8.25,2741
323,8.28,8.28,8.28,8.28,100
324,8.26,8.26,8.26,8.26,200
325,8.27,8.27,8.25,8.27,600
326,8.27,8.27,8.26,8.27,3500
327,8.26,8.28,8.26,8.27,2975
432,8.26,8.26,8.26,8.26,1214
433,8.26,8.26,8.24,8.24,700
434,8.23,8.24,8.18,8.18,520
435,8.28,8.28,8.24,8.24,1400
437,8.26,8.27,8.24,8.26,500
438,8.2999,8.3,8.27,8.27,800
439,8.27,8.27,8.27,8.27,300
440,8.3,8.3,8.26,8.26,2700
441,8.28,8.28,8.26,8.26,350
442,8.26,8.26,8.26,8.26,100
444,8.22,8.2402,8.22,8.24,1230
445,8.2,8.25,8.2,8.218,3700
447,8.24,8.25,8.19,8.19,300
448,8.19,8.19,8.1876,8.19,500
449,8.18,8.18,8.18,8.18,303
450,8.21,8.21,8.21,8.21,100
451,8.21,8.21,8.19,8.19,200
452,8.18,8.18,8.18,8.18,200
453,8.18,8.18,8.18,8.18,100
454,8.17,8.21,8.17,8.192,13073
456,8.17,8.17,8.12,8.12,900
457,8.14,8.18,8.14,8.18,200
458,8.18,8.18,8.1557,8.1557,1100
459,8.06,8.14,8.05,8.14,11875
460,8.12,8.14,8.09,8.09,900
461,8.09,8.11,8.04,8.1001,7188
462,8.13,8.13,8.067,8.09,3500
463,8.0992,8.0999,8.09,8.0999,300
464,8.08,8.09,8.08,8.09,200
465,8.08,8.08,8.07,8.075,4100
466,8.15,8.16,8.04,8.06,11150
467,8.164,8.2,8.1501,8.175,1400
468,8.16,8.16,8.16,8.16,100
469,8.17,8.22,8.121,8.19,8709
470,8.15,8.16,8.11,8.15,6229
471,8.15,8.2,8.13,8.16,10996
864,8.12,8.12,8.12,8.12,7947
865,8.13,8.16,8.12,8.12,6005
866,8.16,8.16,8.13,8.13,1200
867,8.16,8.16,8.13,8.14,1995
868,8.135,8.15,8.135,8.15,1315
869,8.15,8.15,8.11,8.15,800
870,8.15,8.15,8.12,8.12,536
871,8.14,8.16,8.14,8.15,600
872,8.18,8.18,8.14,8.14,9287
873,8.16,8.18,8.16,8.18,400
874,8.2,8.2,8.18,8.18,200
875,8.15,8.19,8.15,8.19,1606
876,8.15,8.15,8.14,8.14,1100
877,8.15,8.15,8.13,8.14,2778
878,8.16,8.16,8.1441,8.15,4468
879,8.1509,8.16,8.15,8.16,2130
880,8.16,8.16,8.15,8.155,800
881,8.1551,8.1551,8.15,8.15,1900
883,8.15,8.16,8.13,8.16,2468
884,8.15,8.16,8.12,8.14,3000
885,8.14,8.15,8.12,8.14,4000
886,8.14,8.1466,8.14,8.14,2200
887,8.15,8.16,8.14,8.14,1300
888,8.16,8.16,8.16,8.16,1000
889,8.15,8.15,8.14,8.14,700
890,8.15,8.17,8.15,8.16,2100
891,8.15,8.15,8.15,8.15,200
892,8.23,8.23,8.16,8.16,7017
893,8.19,8.21,8.18,8.2,800
894,8.17,8.18,8.16,8.18,4584
895,8.16,8.17,8.15,8.165,1300
896,8.19,8.19,8.155,8.155,800
897,8.19,8.19,8.17,8.17,300
898,8.18,8.18,8.17,8.17,1400
899,8.17,8.18,8.17,8.18,300
900,8.18,8.18,8.175,8.175,500
901,8.18,8.18,8.17,8.18,2180
902,8.17,8.18,8.17,8.17,1700
903,8.17,8.19,8.17,8.17,5653
a1493731800,8.19,8.19,8.19,8.19,1822
