EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,27.25,27.28,27.25,27.28,21711
1,27.41,27.46,27.23,27.28,107783
2,27.41,27.4758,27.4,27.4,79049
3,27.37,27.43,27.3335,27.4129,43605
4,27.28,27.3653,27.27,27.35,37339
5,27.26,27.37,27.22,27.27,71116
6,27.18,27.3,27.16,27.26,35738
7,27.1,27.1886,27.0956,27.1886,28248
8,27.17,27.18,27.08,27.1,37168
9,27.16,27.1868,27.13,27.16,21585
10,27.14,27.179,27.11,27.16,20910
11,27.16,27.18,27.12,27.1445,13073
12,27.14,27.2089,27.13,27.1745,37750
13,27.16,27.17,27.13,27.145,24132
14,27.15,27.19,27.15,27.16,22471
15,27.1701,27.19,27.14,27.15,24086
16,27.22,27.2453,27.18,27.18,42621
17,27.2,27.2337,27.19,27.2337,22745
18,27.17,27.22,27.17,27.19,41195
19,27.177,27.18,27.15,27.17,27053
20,27.16,27.17,27.14,27.16,11967
21,27.17,27.21,27.15,27.17,21966
22,27.19,27.195,27.16,27.17,14937
23,27.22,27.25,27.195,27.2,21429
24,27.23,27.28,27.21,27.2201,35168
25,27.23,27.24,27.21,27.2391,16097
26,27.2499,27.255,27.22,27.2319,23002
27,27.26,27.27,27.242,27.2484,14866
28,27.3193,27.34,27.26,27.2601,24285
29,27.4106,27.42,27.31,27.31,37503
30,27.3624,27.4244,27.36,27.42,37775
31,27.34,27.37,27.325,27.36,39794
32,27.3,27.349,27.29,27.34,23372
33,27.31,27.32,27.27,27.3,31753
34,27.335,27.3418,27.3,27.31,20017
35,27.4,28.05,27.29,27.33,145653
36,27.38,27.4,27.36,27.4,52548
37,27.3653,27.38,27.34,27.37,91821
38,27.52,27.535,27.34,27.36,233462
39,27.54,27.64,27.495,27.52,654582
144,27.56,27.56,27.52,27.52,21081
145,27.585,27.8,27.42,27.56,136320
146,27.62,27.63,27.41,27.57,79049
147,27.97,28.01,27.6,27.62,115626
148,28.26,28.3,27.96,27.99,144393
149,28.2886,28.36,28.2,28.27,177608
150,28.85,28.8501,28.22,28.28,294560
151,28.82,29.02,28.75,28.85,376852
152,28.62,28.9,28.5802,28.811,164938
153,28.8,28.81,28.615,28.615,98771
154,28.81,28.84,28.75,28.82,125740
155,28.81,28.82,28.7302,28.81,79642
156,28.755,28.825,28.7,28.81,107915
157,28.76,28.77,28.7,28.75,61146
158,28.59,28.8,28.39,28.77,450472
159,28.62,28.64,28.57,28.59,150520
160,29.11,29.14,28.6,28.6195,366071
161,29.0608,29.18,29.06,29.11,182992
162,29.125,29.13,29.03,29.065,170034
163,28.95,29.12,28.93,29.12,75094
164,28.97,29.02,28.92,28.93,40816
165,28.99,29.02,28.9,28.96,74527
166,28.97,29.005,28.93,28.99,32143
167,28.8176,28.97,28.8,28.961,43936
168,28.85,28.899,28.7884,28.8103,37833
169,28.89,28.92,28.85,28.85,72439
170,28.79,28.98,28.77,28.89,49297
171,28.79,28.85,28.77,28.78,31609
172,28.91,29.02,28.73,28.8,158921
173,28.93,28.97,28.85,28.92,59926
174,28.975,29.07,28.92,28.93,77282
175,28.93,29.005,28.902,28.975,74216
176,28.921,28.9599,28.91,28.93,55247
177,28.97,29.01,28.92,28.935,116829
178,29.06,29.1,28.97,28.9753,108743
179,29.175,29.19,29.0612,29.07,121538
180,29.17,29.18,29.155,29.17,73039
181,29.185,29.19,29.165,29.165,134212
182,28.94,29.195,28.93,29.18,264534
183,28.99,29,28.95,28.95,526603
288,29.56,29.56,29.51,29.51,62871
289,29.76,29.9602,29.51,29.53,327020
290,29.39,29.76,29.2561,29.75,233075
291,29.1,29.44,29.08,29.3999,126356
292,29.07,29.29,29.02,29.1,191332
293,28.725,29.0907,28.7,29.07,276092
294,28.46,28.725,28.4,28.72,194334
295,28.56,28.6973,28.38,28.465,204205
296,28.51,28.805,28.4812,28.5611,189217
297,28.63,28.66,28.48,28.512,118528
298,28.66,28.72,28.57,28.62,88421
299,28.692,28.79,28.64,28.665,76352
300,28.8789,28.92,28.695,28.695,117180
301,28.79,28.97,28.77,28.88,60689
302,28.76,28.81,28.72,28.8,53121
303,28.73,28.809,28.73,28.7675,22342
304,28.75,28.77,28.69,28.73,41999
305,28.585,28.745,28.585,28.745,55484
306,28.6301,28.65,28.586,28.59,24682
307,28.76,28.84,28.63,28.63,54747
308,28.86,28.88,28.72,28.77,37582
309,28.81,28.86,28.79,28.85,26591
310,28.81,28.83,28.74,28.8,40475
311,28.77,28.81,28.76,28.8,16300
312,28.78,28.82,28.76,28.76,25071
313,28.79,28.82,28.76,28.77,34647
314,28.84,28.94,28.77,28.79,61547
315,28.86,28.86,28.805,28.8401,23376
316,28.955,28.97,28.85,28.86,47921
317,28.94,28.96,28.91,28.96,51266
318,28.91,28.94,28.88,28.94,28414
319,29.125,29.13,28.91,28.92,177279
320,29.27,29.28,29.11,29.125,102786
321,29.315,29.33,29.2,29.27,60430
322,29.365,29.39,29.26,29.315,99323
323,29.54,29.55,29.315,29.365,169072
324,29.53,29.6,29.47,29.53,153146
325,29.565,29.58,29.51,29.535,159307
326,29.58,29.59,29.53,29.56,134840
327,29.44,29.6,29.43,29.5729,759077
432,29.49,29.49,29.45,29.45,19458
433,30.391,30.4,29.47,29.47,479814
434,30.15,30.5,30.13,30.371,235851
435,29.735,30.14,29.72,30.14,202795
436,29.825,30.06,29.66,29.72,163496
437,29.7,29.84,29.66,29.825,140920
438,29.69,29.84,29.65,29.68,113571
439,29.725,29.79,29.68,29.68,85688
440,29.68,29.8,29.66,29.73,123076
441,29.39,29.68,29.37,29.675,154756
442,29.565,29.575,29.36,29.39,73614
443,29.52,29.57,29.42,29.565,96260
444,29.525,29.5399,29.44,29.53,65968
445,29.42,29.575,29.4,29.52,56078
446,29.32,29.44,29.2365,29.42,92722
447,29.36,29.37,29.27,29.3,40484
448,29.45,29.47,29.369,29.37,56514
449,29.39,29.49,29.39,29.45,54890
450,29.42,29.45,29.38,29.4,45278
451,29.51,29.51,29.4,29.43,39282
452,29.52,29.58,29.49,29.505,48977
453,29.425,29.52,29.41,29.52,46140
454,29.46,29.48,29.42,29.42,33113
455,29.44,29.47,29.42,29.465,37614
456,29.479,29.48,29.42,29.45,21161
457,29.51,29.52,29.45,29.475,33387
458,29.5,29.535,29.5,29.52,34025
459,29.51,29.52,29.48,29.5,33534
460,29.61,29.629,29.51,29.51,52360
461,29.55,29.62,29.5,29.61,45333
462,29.545,29.58,29.54,29.56,35629
463,29.48,29.55,29.47,29.54,30406
464,29.565,29.565,29.465,29.48,44279
465,29.52,29.57,29.52,29.56,37006
466,29.55,29.565,29.5,29.525,170548
467,29.6,29.6,29.52,29.545,59198
468,29.605,29.71,29.59,29.59,104360
469,29.5999,29.65,29.575,29.6,98189
470,29.58,29.61,29.54,29.595,151272
471,29.55,29.62,29.53,29.58,450363
864,30,30.01,29.99,29.99,35560
865,29.98,29.99,29.52,29.9669,87908
866,29.5801,30.03,29.57,29.98,96668
867,29.4252,29.6399,29.2314,29.58,104424
868,29.53,29.55,29.35,29.41,25211
869,29.57,29.7,29.49,29.52,45128
870,29.4201,29.55,29.32,29.55,77980
871,29.6092,29.62,29.42,29.42,41374
872,29.65,29.7052,29.59,29.6063,52924
873,29.6,29.66,29.55,29.66,46734
874,29.5301,29.63,29.5301,29.6065,38694
875,29.6361,29.65,29.53,29.53,53439
876,29.87,29.9,29.63,29.6557,50995
877,29.71,29.87,29.69,29.86,36294
878,29.71,29.74,29.69,29.72,26961
879,29.7,29.74,29.63,29.695,40464
880,29.75,29.75,29.66,29.69,42925
881,29.77,29.79,29.675,29.76,52470
882,29.75,29.77,29.72,29.76,36103
883,29.74,29.81,29.73,29.76,43562
884,29.745,29.8,29.73,29.75,42440
885,29.7516,29.78,29.73,29.75,62519
886,29.7617,29.8,29.74,29.76,44205
887,29.7401,29.85,29.725,29.77,147894
888,29.74,29.79,29.74,29.75,28286
889,29.685,29.755,29.68,29.735,40057
890,29.67,29.71,29.65,29.68,41714
891,29.76,29.79,29.68,29.68,59043
