EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,0.95,0.95,0.95,0.95,5500
1,0.9214,0.9218,0.9214,0.9218,2000
2,0.95,0.95,0.95,0.95,210
4,0.95,0.95,0.939,0.95,20100
5,0.95,0.95,0.95,0.95,400
15,0.95,0.95,0.9499,0.95,11175
16,0.95,0.95,0.95,0.95,400
17,0.95,0.95,0.95,0.95,200
21,0.95,0.95,0.95,0.95,200
30,0.95,0.95,0.95,0.95,100
34,0.94,0.94,0.94,0.94,200
39,0.948,0.948,0.939,0.94,2600
146,0.95,0.95,0.95,0.95,200
147,0.94,0.94,0.884,0.884,5599
150,0.948,0.948,0.946,0.946,1800
151,0.948,0.948,0.948,0.948,700
153,0.9401,0.948,0.9401,0.948,800
154,0.9433,0.946,0.9433,0.946,900
155,0.9433,0.9433,0.9433,0.9433,200
156,0.9432,0.9433,0.9432,0.9433,300
157,0.946,0.946,0.9432,0.9432,300
158,0.946,0.946,0.9431,0.9431,300
163,0.946,0.946,0.946,0.946,100
168,0.9301,0.9301,0.9301,0.9301,800
169,0.946,0.946,0.946,0.946,100
171,0.946,0.946,0.946,0.946,100
173,0.93,0.946,0.93,0.938,7200
176,0.93,0.9361,0.93,0.9361,8000
177,0.946,0.946,0.9041,0.9041,300
178,0.946,0.946,0.946,0.946,100
179,0.946,0.946,0.946,0.946,100
182,0.9281,0.946,0.9281,0.946,1100
183,0.892,0.94,0.892,0.94,4086
288,0.8921,0.8921,0.8921,0.8921,578
290,0.95,0.95,0.9201,0.9201,3600
293,0.95,0.95,0.95,0.95,100
294,0.95,0.95,0.95,0.95,200
295,0.95,0.95,0.95,0.95,100
296,0.95,0.95,0.95,0.95,146
298,0.95,0.95,0.95,0.95,100
300,0.931,0.95,0.931,0.95,405
301,0.95,0.95,0.94,0.94,200
302,0.9251,0.9251,0.9251,0.9251,3500
304,0.94,0.94,0.94,0.94,450
307,0.94,0.94,0.94,0.94,100
311,0.9498,0.95,0.9498,0.95,1000
312,0.9252,0.95,0.9252,0.95,900
314,0.9219,0.9219,0.9219,0.9219,100
317,0.95,0.95,0.94,0.94,291
319,0.95,0.95,0.95,0.95,200
321,0.92,0.92,0.92,0.92,100
325,0.92,0.92,0.92,0.92,300
327,0.8924,0.92,0.8924,0.92,475
433,0.8841,0.9061,0.8841,0.9061,3600
434,0.8841,0.8841,0.8841,0.8841,100
435,0.9094,0.9094,0.9094,0.9094,5009
439,0.88,0.88,0.88,0.88,200
443,0.92,0.92,0.92,0.92,100
444,0.8801,0.89,0.8801,0.89,6413
445,0.89,0.89,0.8801,0.8801,350
446,0.8803,0.89,0.8803,0.89,9159
452,0.8882,0.8882,0.8882,0.8882,350
455,0.8803,0.8902,0.8803,0.8902,3100
456,0.852,0.8801,0.852,0.88,6880
457,0.8991,0.8991,0.8603,0.88,2500
458,0.87,0.8701,0.87,0.8701,2100
459,0.8826,0.8826,0.8601,0.8712,4100
460,0.93,0.93,0.8601,0.9,3660
462,0.872,0.93,0.872,0.93,300
463,0.87,0.87,0.87,0.87,100
468,0.92,0.92,0.92,0.92,200
469,0.92,0.92,0.88,0.88,400
470,0.928,0.928,0.8801,0.92,5100
471,0.87,0.89,0.87,0.89,200
865,0.8663,0.8663,0.865,0.865,4990
866,0.93,0.93,0.93,0.93,100
867,0.88,0.8802,0.88,0.8802,7500
870,0.93,0.93,0.93,0.93,100
871,0.8785,0.8785,0.8785,0.8785,3000
872,0.85,0.8539,0.85,0.8539,9700
873,0.9178,0.93,0.9178,0.93,3000
874,0.94,0.94,0.94,0.94,100
875,0.92,0.92,0.92,0.92,400
879,0.92,0.92,0.92,0.92,100
881,0.87,0.895,0.87,0.895,3600
885,0.8602,0.862,0.8602,0.862,1100
887,0.85,0.9,0.85,0.9,7960
888,0.86,0.86,0.85,0.8596,3800
889,0.8502,0.8508,0.8502,0.8508,975
892,0.8553,0.8553,0.8553,0.8553,2000
895,0.8505,0.86,0.8505,0.8553,7000
897,0.8506,0.8553,0.8506,0.8549,9000
899,0.8505,0.8505,0.8505,0.8505,281
901,0.8566,0.8566,0.8566,0.8566,250
903,0.8506,0.8553,0.8506,0.8553,3100
a1493731800,0.8268,0.8268,0.8268,0.8268,300
2,0.92,0.92,0.92,0.92,100
3,0.8786,0.8786,0.8786,0.8786,250
11,0.91,0.91,0.91,0.91,100
12,0.8908,0.8908,0.884,0.884,6500
14,0.92,0.92,0.92,0.92,200
15,0.9136,0.9136,0.9136,0.9136,750
17,0.92,0.92,0.92,0.92,200
18,0.92,0.92,0.92,0.92,1001
21,0.9,0.9,0.9,0.9,200
23,0.8897,0.8897,0.8897,0.8897,1500
25,0.89,0.89,0.89,0.89,100
26,0.87,0.88,0.87,0.88,5100
27,0.87,0.87,0.87,0.87,2200
28,0.89,0.89,0.88,0.88,2000
31,0.8824,0.9,0.8401,0.9,8069
32,0.852,0.9,0.852,0.9,300
33,0.84,0.8413,0.84,0.841,4400
34,0.8745,0.8745,0.874,0.874,11000
35,0.83,0.888,0.83,0.888,595
39,0.84,0.888,0.84,0.888,200
144,0.82,0.82,0.82,0.82,200
145,0.8464,0.8464,0.8399,0.84,2110
146,0.824,0.8394,0.8225,0.824,5050
147,0.824,0.824,0.822,0.822,400
148,0.822,0.822,0.822,0.822,300
149,0.822,0.825,0.822,0.822,1609
151,0.86,0.86,0.83,0.86,300
152,0.88,0.88,0.88,0.88,100
154,0.8301,0.8446,0.83,0.84,2700
155,0.83,0.8496,0.83,0.83,400
156,0.8499,0.8499,0.82,0.83,8200
157,0.8201,0.8201,0.8201,0.8201,200
158,0.8201,0.8201,0.82,0.82,1300
159,0.82,0.8201,0.82,0.8201,5449
160,0.82,0.82,0.82,0.82,400
161,0.85,0.85,0.82,0.82,400
162,0.82,0.83,0.82,0.83,200
163,0.82,0.8294,0.8,0.82,10289
164,0.8001,0.8001,0.8001,0.8001,100
165,0.83,0.83,0.83,0.83,100
167,0.8,0.8,0.8,0.8,100
168,0.79,0.81,0.7601,0.8001,42100
170,0.79,0.79,0.78,0.79,700
171,0.7802,0.7802,0.7802,0.7802,900
172,0.79,0.79,0.79,0.79,100
173,0.79,0.79,0.7801,0.79,2366
174,0.78,0.79,0.7701,0.79,4000
175,0.781,0.79,0.781,0.79,1100
178,0.81,0.81,0.8,0.8,5000
179,0.8,0.8,0.8,0.8,100
180,0.79,0.79,0.79,0.79,200
181,0.8036,0.8036,0.8,0.8,4500
183,0.8021,0.81,0.8021,0.81,1889
288,0.7806,0.7806,0.7806,0.7806,169
289,0.79,0.79,0.7751,0.7751,927
290,0.91,0.91,0.91,0.91,100
291,0.792,0.792,0.792,0.792,11000
293,0.8,0.8,0.8,0.8,800
294,0.855,0.855,0.8097,0.81,2500
295,0.898,0.898,0.898,0.898,131
297,0.792,0.81,0.792,0.81,2860
298,0.888,0.888,0.888,0.888,100
299,0.885,0.885,0.885,0.885,100
300,0.8,0.8,0.8,0.8,25000
301,0.88,0.88,0.88,0.88,400
303,0.8,0.881,0.8,0.85,1700
306,0.79,0.8,0.79,0.8,1100
313,0.85,0.85,0.85,0.85,100
314,0.8338,0.8338,0.8338,0.8338,3500
315,0.85,0.85,0.85,0.85,200
316,0.796,0.796,0.796,0.796,400
317,0.85,0.85,0.85,0.85,100
319,0.84,0.84,0.84,0.84,100
322,0.84,0.84,0.84,0.84,100
323,0.7921,0.84,0.79,0.84,7628
324,0.79,0.79,0.79,0.79,500
325,0.82,0.82,0.82,0.82,100
433,0.8152,0.8152,0.8152,0.8152,4999
434,0.828,0.828,0.828,0.828,100
437,0.828,0.828,0.828,0.828,100
438,0.8032,0.8032,0.8032,0.8032,1600
440,0.82,0.82,0.82,0.82,350
441,0.82,0.8238,0.82,0.8238,3600
442,0.823,0.823,0.823,0.823,200
443,0.823,0.826,0.823,0.826,2200
444,0.826,0.826,0.826,0.826,100
445,0.813,0.826,0.813,0.826,7500
446,0.8,0.8,0.8,0.8,300
451,0.818,0.818,0.818,0.818,200
453,0.809,0.809,0.809,0.809,2500
