EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,44.86,44.86,44.86,44.86,484
1,44.99,44.99,44.98,44.98,400
2,45.6624,45.73,45.307,45.307,2500
5,45.44,45.44,45.44,45.44,100
6,45.691,45.72,45.691,45.72,200
8,45.811,45.811,45.71,45.71,200
10,46.539,46.539,45.99,45.99,600
11,46.05,46.25,45.99,46.21,836
14,46.22,46.22,46.02,46.106,500
16,46.21,46.21,46.21,46.21,200
17,46.03,46.1591,46.01,46.05,1100
18,46.23,46.23,46.2,46.2,990
19,46.14,46.19,46.14,46.19,482
20,46.21,46.21,46.2,46.2,400
21,46.1727,46.1727,46.1727,46.1727,100
22,45.75,46.04,45.75,46.04,1531
24,45.7501,45.76,45.75,45.76,1268
27,46.38,46.38,45.75,45.75,490
28,45.803,45.803,45.803,45.803,250
31,46.4327,46.4327,46.1856,46.2,675
32,46.265,46.265,46.265,46.265,100
34,46.2,46.2,46.2,46.2,100
35,46.2,46.2,46.111,46.2,10300
36,46.08,46.093,46.08,46.093,200
38,46.3617,46.3617,46.3617,46.3617,429
39,46.23,46.305,46,46.2,2307
145,46.2116,46.46,46.2116,46.35,2640
146,45.56,46.36,45.56,45.9672,1900
147,45.55,45.65,45.27,45.56,12966
149,45.44,45.44,45.3,45.3,200
151,45.39,45.48,45.354,45.47,400
152,45.3,45.3,45.3,45.3,300
153,45.43,45.43,45.39,45.39,550
158,45.84,46.0691,45.84,46.0691,373
159,45.7501,45.7949,45.7501,45.7949,700
160,45.85,45.85,45.85,45.85,555
162,45.7,45.85,45.7,45.85,491
167,45.7,45.7,45.69,45.69,575
168,45.6001,45.65,45.6001,45.65,400
171,45.6,45.6,45.6,45.6,237
173,45.55,45.55,45.54,45.54,300
174,45.403,45.89,45.403,45.87,350
175,45.36,45.36,45.36,45.36,100
176,45.403,45.403,45.403,45.403,300
179,45.41,45.76,45.4,45.4,706
183,45.1201,45.3408,45.1201,45.3408,825
288,45.37,45.37,45.37,45.37,200
289,45.15,45.29,45.15,45.29,500
290,45.187,45.187,45.187,45.187,199
296,45.75,45.75,45.57,45.57,5500
297,45.5,45.61,45.5,45.61,3950
298,45.65,45.65,45.65,45.65,200
303,45.7117,45.8,45.65,45.8,700
304,45.5,45.66,45.5,45.66,1530
307,45.41,45.41,45.41,45.41,100
308,45.62,45.62,45.62,45.62,100
309,45.63,45.63,45.63,45.63,116
313,45.45,45.45,45.45,45.45,176
316,45.36,45.36,45.36,45.36,200
318,45.36,45.37,45.36,45.36,504
321,45.277,45.277,45.277,45.277,1000
325,45.3401,45.3401,45.3401,45.3401,120
327,45.64,45.64,45.34,45.41,2386
432,46.08,46.08,46.08,46.08,450
433,45.5174,45.5174,45.5,45.51,1400
434,45.11,45.3,45.01,45.3,2570
435,45.05,45.05,45,45,350
436,44.5,45.1174,44.5,45,4982
437,44.6121,44.6121,44.6121,44.6121,197
438,44.2,44.74,44.2,44.69,7009
439,44.57,44.57,44.14,44.4126,2500
440,44.57,44.57,44.51,44.57,1100
441,44.39,44.455,44.21,44.39,7699
442,44.39,44.39,44.39,44.39,100
443,44.1001,44.1001,44.1001,44.1001,1500
445,44.11,44.16,44.1,44.1,2100
446,43.5159,44,43.5159,44,2960
447,43.885,43.885,43.72,43.72,10750
448,44.04,44.04,43.98,43.98,2225
449,44.1,44.11,44,44,2260
450,44.0663,44.0663,43.97,43.97,500
451,43.95,44.0105,43.95,44.0105,446
452,43.741,43.95,43,43.95,35781
453,43.9,43.9,43.89,43.89,300
454,43.9,43.9,43.89,43.89,200
455,43.47,43.74,43.47,43.74,2659
458,43.6,43.6197,43.6,43.6197,262
459,43.4697,43.55,43.4697,43.55,600
460,43.95,43.95,43.53,43.53,200
461,43.85,43.86,43.69,43.72,1896
462,43.85,43.85,43.85,43.85,100
465,44.02,44.02,43.8847,44.01,625
466,43.95,43.95,43.95,43.95,200
470,43.9717,43.9717,43.9717,43.9717,200
471,44.34,44.75,44.14,44.2,36847
864,44.79,44.79,44.79,44.79,238
865,44.6,44.6,44.6,44.6,200
868,44.188,44.199,43.88,44.1488,1000
869,44.22,44.22,44.22,44.22,100
872,44.5,44.5,44.366,44.38,5050
873,43.932,43.932,43.932,43.932,150
874,44.2,44.2,44.2,44.2,114
878,44.35,44.35,44.296,44.296,300
882,44.3499,44.35,44.26,44.35,3250
883,44.4,44.4,44.4,44.4,100
885,44.3,44.3,44.3,44.3,100
886,44.24,44.24,44.24,44.24,12500
887,44.5,44.5,44.44,44.44,400
891,44.79,44.79,44.65,44.65,200
892,44.67,44.67,44.53,44.57,600
893,44.5946,44.66,44.55,44.652,1100
894,44.72,44.72,44.52,44.52,2600
897,44.51,44.65,44.51,44.65,350
898,44.51,44.51,44.51,44.51,700
900,44.35,44.356,44.35,44.356,240
901,44.5,44.5,44.41,44.41,200
902,44.5,44.5,44.5,44.5,1000
903,44.48,44.53,44.4,44.53,3225
a1493731800,44.19,44.19,44.19,44.19,337
3,44.05,44.06,44.05,44.06,910
6,44.75,44.76,44.75,44.76,275
8,44.5,44.5,44.5,44.5,100
9,44.5,44.5,44.5,44.5,125
10,44.6512,44.6512,44.6512,44.6512,200
11,44.6,44.6,44.6,44.6,2500
12,44.86,44.86,44.7,44.7,29832
13,44.44,44.765,44.44,44.765,293
14,44.7,44.7,44.68,44.7,1207
18,45.019,45.019,44.4,44.4,1200
19,44.75,44.75,44.75,44.75,2461
23,45.12,45.12,44.94,44.95,2784
25,45.2161,45.25,45.1003,45.1003,500
27,45.25,45.25,45.25,45.25,200
28,45.22,45.22,45.22,45.22,400
29,45.25,45.25,45.25,45.25,400
30,45.4,45.4,45.15,45.15,3590
31,45.31,45.32,45.13,45.13,1691
32,45.52,45.52,45.36,45.36,15751
33,45.55,45.55,45.51,45.54,1592
34,45.55,45.55,45.55,45.55,400
35,45.4,45.4,45.4,45.4,253
36,45.3932,45.43,45.36,45.36,15850
37,45.1,45.25,45.1,45.25,1082
38,45.65,45.65,45.3001,45.3001,200
39,45.85,46.04,45.85,45.87,1389
144,43.984,43.984,42.5,42.5,2725
145,43.66,44.28,42.2,42.9,16864
146,42.59,43.35,42.59,43.28,13726
147,42.04,42.6,41.501,42.58,18041
148,42.88,42.88,41.5824,41.94,12736
149,43,43.128,42.96,43.128,2410
150,43.5,43.67,43.196,43.196,7125
151,43.49,43.63,43.49,43.5536,2825
152,43.75,43.8078,43.6748,43.8078,1500
153,43.31,43.85,43.19,43.85,6293
154,43.15,43.33,43.1396,43.31,3139
155,43.25,43.49,43.25,43.41,40319
156,43.26,43.26,43.26,43.26,100
159,43.4538,43.4899,43.25,43.28,2135
160,43.0328,43.1,43,43.1,32700
161,42.97,43,42.8639,42.99,3202
162,42.651,42.96,42.55,42.96,675
163,42.65,42.65,42.6327,42.65,1500
164,42.4223,42.65,42.4223,42.65,2050
165,42.51,42.65,42.51,42.65,1700
166,42.52,42.5248,42.52,42.5248,400
167,42.4725,42.4888,42.26,42.4888,3170
168,42.3,42.464,42.3,42.4112,800
169,42.45,42.45,42.3,42.34,1300
170,42.56,42.56,42.56,42.56,100
172,42.57,42.6,42.4716,42.6,1200
173,42.6,42.6,42.5,42.58,600
174,42.5,42.6,42.5,42.6,1587
175,42.31,42.31,41.9639,42.14,8282
176,42.15,42.15,42.15,42.15,300
177,41.9,42.2323,41.9,42.15,6534
178,41.81,41.97,41.65,41.83,5004
179,41.59,41.829,41.5,41.82,4414
180,41.54,41.5554,41.22,41.495,8304
181,41.52,41.9119,41.4001,41.4326,25850
182,41.5,41.5,41.4256,41.472,4235
183,41.35,41.57,41.22,41.535,16579
288,41.6,41.6,41.6,41.6,521
289,40.4156,40.81,40.3,40.81,4412
290,39.2435,40.324,39.08,40.324,12191
291,39.44,39.72,39.07,39.07,1085
292,39.8841,40.16,39.76,39.8,1100
294,39.628,39.678,39.5,39.678,1972
295,39.41,39.6,39.4,39.575,2314
296,39.44,39.5,39.1,39.3,11345
297,39.042,39.23,39.031,39.23,2365
298,39.32,39.32,38.7,39.15,5025
