EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,48.44,48.46,48.44,48.46,3313
1,48.46,48.46,48.44,48.44,4794
2,48.4486,48.45,48.42,48.42,761
3,48.41,48.448,48.41,48.432,4433
4,48.42,48.43,48.42,48.43,1104
5,48.4398,48.45,48.4268,48.43,1481
6,48.44,48.44,48.4251,48.4251,700
7,48.4272,48.46,48.4,48.44,53019
8,48.4376,48.454,48.416,48.45,4080
9,48.44,48.45,48.4319,48.4356,2200
10,48.4378,48.46,48.42,48.46,3860
11,48.42,48.43,48.42,48.43,553
12,48.4322,48.4332,48.42,48.4332,1678
13,48.415,48.44,48.41,48.4399,2150
14,48.4238,48.44,48.4115,48.4115,4296
15,48.434,48.434,48.4136,48.4136,2611
16,48.434,48.434,48.41,48.4315,652
17,48.41,48.44,48.41,48.425,3565
19,48.4,48.4298,48.37,48.4298,1577
20,48.4217,48.4299,48.4,48.42,2922
21,48.44,48.44,48.425,48.425,410
22,48.425,48.44,48.425,48.425,3334
23,48.4246,48.4399,48.41,48.41,1062
24,48.422,48.44,48.422,48.4233,3542
25,48.41,48.44,48.41,48.425,1437
26,48.4352,48.4352,48.4206,48.4206,299
27,48.4397,48.44,48.439,48.44,1320
28,48.43,48.44,48.43,48.44,1789
29,48.43,48.44,48.43,48.44,3115
30,48.44,48.44,48.43,48.44,6058
31,48.42,48.4349,48.42,48.431,5343
32,48.4265,48.43,48.42,48.4267,2205
33,48.4299,48.43,48.4162,48.43,1260
34,48.43,48.43,48.423,48.423,954
35,48.4351,48.44,48.4234,48.429,6366
36,48.4366,48.44,48.43,48.43,3649
37,48.42,48.4341,48.4155,48.4341,9772
38,48.445,48.45,48.42,48.42,17906
39,48.45,48.45,48.44,48.44,6791
144,48.47,48.47,48.47,48.47,3922
145,48.45,48.48,48.415,48.48,8062
146,48.45,48.45,48.4201,48.45,7174
147,48.45,48.45,48.4438,48.4499,1585
148,48.48,48.48,48.455,48.455,1002
149,48.4698,48.48,48.447,48.447,550
150,48.472,48.472,48.42,48.46,3099
151,48.479,48.48,48.44,48.475,11873
152,48.4532,48.46,48.45,48.46,8954
153,48.4599,48.46,48.4373,48.4373,13101
154,48.46,48.46,48.434,48.4504,1424
155,48.4399,48.44,48.4324,48.4324,2050
156,48.46,48.46,48.4249,48.44,5220
157,48.436,48.46,48.436,48.45,572
158,48.4472,48.46,48.42,48.4346,2717
159,48.4414,48.4414,48.42,48.42,893
160,48.44,48.4599,48.4204,48.4372,2136
161,48.4464,48.46,48.4201,48.44,2496
162,48.4599,48.4599,48.4252,48.4464,1201
163,48.46,48.46,48.455,48.46,400
165,48.4513,48.46,48.4513,48.46,1717
166,48.45,48.45,48.4412,48.45,2809
167,48.42,48.45,48.42,48.43,15227
168,48.45,48.45,48.4376,48.45,1900
169,48.45,48.45,48.434,48.434,3049
170,48.459,48.459,48.441,48.441,2550
171,48.4501,48.46,48.445,48.445,1273
173,48.4399,48.44,48.4301,48.44,1700
174,48.44,48.44,48.44,48.44,1900
175,48.43,48.44,48.43,48.44,23544
176,48.46,48.46,48.42,48.4369,64505
177,48.4555,48.46,48.4303,48.4303,6381
178,48.4565,48.46,48.455,48.455,1915
179,48.43,48.45,48.43,48.45,800
180,48.4555,48.4555,48.435,48.44,354
181,48.4314,48.44,48.4294,48.4297,3093
182,48.445,48.4457,48.4394,48.4394,1456
183,48.46,48.46,48.44,48.445,17226
288,48.47,48.47,48.47,48.47,2061
289,48.47,48.48,48.46,48.46,4084
290,48.46,48.47,48.46,48.47,5069
292,48.4405,48.451,48.4301,48.445,2737
293,48.4571,48.4573,48.4571,48.4573,656
294,48.45,48.46,48.445,48.45,1620
295,48.45,48.45,48.431,48.45,11300
296,48.45,48.45,48.4431,48.45,3209
297,48.46,48.46,48.4487,48.45,3904
298,48.447,48.46,48.441,48.441,1756
299,48.4554,48.4554,48.44,48.44,3072
300,48.45,48.45,48.45,48.45,4415
301,48.4428,48.4428,48.44,48.44,593
302,48.459,48.459,48.44,48.4402,1486
303,48.445,48.46,48.445,48.4479,8978
304,48.4435,48.4435,48.43,48.43,1554
305,48.43,48.4597,48.43,48.4597,1299
306,48.4507,48.4507,48.43,48.43,1309
307,48.4488,48.4488,48.439,48.439,1056
308,48.43,48.43,48.43,48.43,100
309,48.4432,48.451,48.4432,48.451,1130
310,48.4432,48.4432,48.43,48.43,1437
311,48.445,48.445,48.43,48.4344,3509
312,48.4498,48.4498,48.43,48.43,415
313,48.44,48.4499,48.43,48.43,9802
314,48.43,48.448,48.43,48.448,1174
315,48.43,48.4499,48.43,48.43,7419
316,48.43,48.4427,48.43,48.43,665
317,48.44,48.44,48.43,48.43,551
318,48.43,48.45,48.43,48.43,2615
319,48.4422,48.4442,48.43,48.43,1710
320,48.43,48.43,48.43,48.43,300
321,48.43,48.45,48.43,48.43,1052
322,48.4437,48.4468,48.43,48.43,1962
323,48.43,48.4472,48.43,48.4472,1329
324,48.44,48.4472,48.43,48.43,4344
325,48.435,48.45,48.435,48.44,3480
326,48.44,48.45,48.43,48.435,15462
327,48.43,48.45,48.43,48.45,14226
432,48.42,48.42,48.42,48.42,4505
433,48.4518,48.4865,48.4417,48.4417,654
434,48.455,48.46,48.455,48.46,816
435,48.4823,48.4899,48.42,48.4899,1393
436,48.49,48.49,48.4317,48.455,7476
437,48.44,48.49,48.43,48.4597,7400
438,48.44,48.4499,48.44,48.4499,750
439,48.4432,48.45,48.4301,48.45,6319
440,48.476,48.476,48.438,48.455,1792
441,48.47,48.47,48.45,48.47,1906
442,48.478,48.4863,48.4503,48.4503,1096
443,48.45,48.4748,48.45,48.47,815
444,48.47,48.4836,48.47,48.47,1200
445,48.4401,48.4799,48.43,48.45,2553
446,48.44,48.4401,48.44,48.4401,279
447,48.451,48.4664,48.451,48.4664,1610
448,48.445,48.451,48.44,48.44,1219
449,48.4438,48.4438,48.43,48.43,368
450,48.46,48.46,48.4393,48.4442,4928
451,48.445,48.445,48.445,48.445,2000
452,48.44,48.442,48.43,48.442,715
453,48.45,48.45,48.43,48.4405,1907
455,48.4528,48.4597,48.4435,48.4597,2066
456,48.46,48.46,48.445,48.445,1183
457,48.4503,48.4503,48.4301,48.4339,1878
458,48.4495,48.4599,48.4301,48.4495,1521
459,48.4499,48.4512,48.43,48.4321,9393
460,48.4433,48.4498,48.43,48.445,6360
461,48.445,48.46,48.445,48.46,692
462,48.4495,48.4496,48.4386,48.4496,875
463,48.4404,48.45,48.43,48.45,2062
464,48.43,48.45,48.43,48.45,1700
465,48.449,48.449,48.43,48.4404,1935
466,48.437,48.448,48.437,48.448,1223
467,48.444,48.45,48.43,48.45,1685
468,48.44,48.44,48.43,48.44,1547
469,48.45,48.45,48.44,48.443,1959
470,48.4434,48.45,48.44,48.45,452
471,48.46,48.46,48.44,48.45,6888
864,48.42,48.42,48.42,48.42,1100
865,48.47,48.47,48.46,48.46,2500
866,48.4982,48.5,48.48,48.5,349
867,48.4853,48.4853,48.4853,48.4853,164
868,48.48,48.4853,48.4592,48.4592,1651
869,48.43,48.48,48.43,48.455,4437
870,48.46,48.48,48.44,48.4799,11427
871,48.48,48.48,48.48,48.48,2483
872,48.4607,48.4699,48.44,48.44,1810
873,48.45,48.4564,48.45,48.4564,2105
875,48.4552,48.4552,48.4552,48.4552,227
876,48.455,48.455,48.4493,48.4493,625
877,48.457,48.457,48.457,48.457,2300
878,48.4484,48.45,48.445,48.445,1058
879,48.466,48.466,48.45,48.45,2078
880,48.4632,48.465,48.4632,48.464,2129
881,48.45,48.46,48.45,48.46,1900
882,48.4501,48.4699,48.4501,48.4699,3220
883,48.46,48.4688,48.44,48.4688,6652
884,48.46,48.4662,48.44,48.4662,1082
885,48.465,48.465,48.46,48.46,1200
886,48.4668,48.48,48.4593,48.48,405
887,48.45,48.4695,48.45,48.45,1172
888,48.465,48.465,48.465,48.465,190
889,48.45,48.465,48.45,48.465,2052
890,48.464,48.464,48.45,48.45,614
891,48.4636,48.4636,48.4636,48.4636,850
892,48.455,48.4566,48.4536,48.4536,790
