EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,59.96,59.96,59.96,59.96,1444
1,59.9599,59.96,59.9465,59.959,2768
2,59.95,59.96,59.95,59.96,8035
3,59.9543,59.96,59.953,59.9599,2732
4,59.9509,59.9509,59.9509,59.9509,193
5,59.9575,59.9575,59.9575,59.9575,769
6,59.9567,59.9567,59.9567,59.9567,150
7,59.951,59.958,59.951,59.958,670
8,59.95,59.9599,59.95,59.9567,1205
9,59.957,59.96,59.957,59.96,1605
10,59.96,59.96,59.95,59.955,3460
11,59.96,59.96,59.95,59.95,8727
12,59.96,59.96,59.9552,59.9552,900
13,59.96,59.96,59.9535,59.96,905
14,59.96,59.96,59.96,59.96,400
15,59.9557,59.96,59.9557,59.9569,1065
16,59.96,59.96,59.9569,59.96,2007
17,59.96,59.96,59.9553,59.96,430
18,59.96,59.96,59.96,59.96,367
19,59.96,59.96,59.9568,59.96,2100
20,59.96,59.96,59.9531,59.96,350
21,59.96,59.96,59.95,59.96,4050
22,59.96,59.96,59.9584,59.96,1166
23,59.96,59.96,59.955,59.955,1782
24,59.96,59.96,59.95,59.96,1052
25,59.957,59.96,59.957,59.96,434
26,59.96,59.96,59.9532,59.9532,2339
27,59.96,59.96,59.9599,59.96,900
28,59.96,59.96,59.9552,59.96,901
29,59.96,59.96,59.953,59.953,1600
30,59.9599,59.96,59.9567,59.96,1166
31,59.96,59.96,59.9504,59.959,10022
32,59.96,59.96,59.96,59.96,300
33,59.9566,59.96,59.955,59.96,866
34,59.955,59.96,59.955,59.96,701
36,59.9531,59.9531,59.9531,59.9531,100
37,59.96,59.96,59.9501,59.9501,7952
38,59.96,59.96,59.95,59.9534,2335
39,59.96,59.96,59.95,59.96,8297
144,59.96,59.96,59.96,59.96,1664
145,59.96,59.96,59.9501,59.96,2164
146,59.94,59.96,59.94,59.96,7852
147,59.94,59.96,59.94,59.95,2284
148,59.94,59.96,59.94,59.96,9012
149,59.94,59.96,59.94,59.96,5619
150,59.94,59.96,59.94,59.96,7600
151,59.9599,59.96,59.95,59.96,4977
152,59.955,59.958,59.95,59.955,3714
153,59.96,59.96,59.96,59.96,790
154,59.96,59.96,59.95,59.96,8202
155,59.96,59.96,59.95,59.96,3092
156,59.96,59.96,59.95,59.96,10353
157,59.958,59.96,59.9501,59.96,1133
158,59.9561,59.96,59.9533,59.96,1100
159,59.96,59.96,59.96,59.96,400
160,59.96,59.96,59.9501,59.96,6602
161,59.96,59.96,59.95,59.96,4402
162,59.96,59.96,59.95,59.95,2855
163,59.96,59.96,59.956,59.96,1865
164,59.96,59.96,59.951,59.96,852
165,59.96,59.96,59.9565,59.96,798
166,59.96,59.96,59.959,59.96,898
167,59.96,59.96,59.9566,59.96,852
168,59.96,59.96,59.95,59.96,12423
169,59.96,59.96,59.9536,59.9566,1983
170,59.955,59.96,59.955,59.96,1000
171,59.96,59.96,59.96,59.96,500
172,59.9533,59.9533,59.9533,59.9533,200
173,59.9599,59.96,59.9566,59.9566,7729
174,59.955,59.96,59.953,59.953,4790
175,59.951,59.96,59.951,59.96,2501
176,59.9599,59.96,59.95,59.9566,5950
177,59.96,59.96,59.95,59.96,9176
178,59.9599,59.96,59.9539,59.9539,5284
179,59.9501,59.96,59.9501,59.96,3120
180,59.9553,59.96,59.9553,59.9594,7192
181,59.96,59.96,59.9501,59.96,11275
182,59.955,59.96,59.9501,59.9599,12952
183,59.96,59.96,59.96,59.96,8468
288,59.95,59.95,59.95,59.95,1676
289,59.97,59.97,59.95,59.96,1506
290,59.9673,59.9673,59.9673,59.9673,200
291,59.9647,59.97,59.95,59.95,11342
292,59.96,59.96,59.95,59.9569,1160
293,59.9632,59.969,59.9545,59.9545,2783
294,59.9607,59.9637,59.9607,59.9637,435
296,59.97,59.97,59.9634,59.9634,26811
297,59.9699,59.97,59.96,59.9638,5984
298,59.965,59.965,59.965,59.965,400
299,59.96,59.97,59.955,59.9684,9034
300,59.965,59.9699,59.96,59.9699,4640
301,59.97,59.97,59.965,59.9658,8362
302,59.957,59.9643,59.957,59.9643,1032
303,59.96,59.96,59.96,59.96,150
304,59.96,59.96,59.96,59.96,51000
305,59.9402,59.96,59.9402,59.9565,25571
306,59.96,59.96,59.9456,59.96,705
307,59.9574,59.96,59.9518,59.96,43737
308,59.9562,59.9599,59.9562,59.9599,400
309,59.9566,59.9599,59.9562,59.9566,721
310,59.95,59.9599,59.95,59.95,960
311,59.9567,59.96,59.955,59.955,1471
312,59.9599,59.9599,59.95,59.955,475
313,59.9599,59.9599,59.955,59.955,900
314,59.9523,59.96,59.9523,59.9561,6817
315,59.96,59.96,59.9559,59.96,1150
316,59.96,59.96,59.9532,59.9532,1150
317,59.955,59.96,59.95,59.96,8800
318,59.95,59.955,59.95,59.9533,3150
319,59.96,59.96,59.95,59.95,2739
320,59.96,59.96,59.95,59.96,2910
321,59.96,59.96,59.95,59.9501,1120
322,59.9501,59.96,59.95,59.96,1810
323,59.96,59.96,59.9568,59.96,68509
324,59.96,59.96,59.9531,59.96,2395
325,59.955,59.96,59.9501,59.96,3434
326,59.96,59.96,59.9501,59.9501,36334
327,59.955,59.96,59.95,59.9599,2548
432,59.96,59.96,59.96,59.96,265
433,59.96,59.96,59.93,59.96,2635
434,59.9599,59.9599,59.9599,59.9599,800
435,59.9589,59.9589,59.95,59.95,1778
436,59.965,59.965,59.96,59.96,2001
437,59.97,59.97,59.9628,59.965,3892
438,59.965,59.968,59.965,59.968,8805
439,59.9621,59.965,59.96,59.96,1036
440,59.9699,59.9699,59.9699,59.9699,834
441,59.97,59.97,59.965,59.9658,1323
442,59.9634,59.97,59.9634,59.97,5813
443,59.96,59.97,59.96,59.97,5667
444,59.957,59.957,59.957,59.957,300
445,59.9566,59.96,59.95,59.96,6782
446,59.95,59.96,59.95,59.95,1366
447,59.96,59.96,59.955,59.9562,5383
448,59.9599,59.9669,59.95,59.95,3800
449,59.96,59.96,59.9562,59.96,4338
450,59.965,59.965,59.953,59.953,8815
451,59.965,59.97,59.96,59.96,4680
452,59.965,59.9662,59.965,59.965,5425
453,59.965,59.97,59.965,59.965,30026
454,59.96,59.9672,59.96,59.965,1124
455,59.965,59.9687,59.96,59.96,1143
456,59.965,59.97,59.965,59.969,6229
457,59.9575,59.9665,59.95,59.965,2028
458,59.96,59.96,59.95,59.95,500
459,59.9653,59.97,59.955,59.955,29183
460,59.95,59.97,59.95,59.965,9516
461,59.97,59.97,59.95,59.9567,93564
462,59.9568,59.96,59.95,59.96,1750
463,59.95,59.95,59.95,59.95,900
464,59.956,59.96,59.956,59.959,1300
465,59.9599,59.96,59.9599,59.96,800
466,59.96,59.96,59.96,59.96,300
467,59.9533,59.96,59.9533,59.96,1207
468,59.96,59.96,59.9508,59.96,14056
469,59.965,59.97,59.955,59.9598,8975
470,59.967,59.97,59.9601,59.969,11306
471,59.97,59.97,59.965,59.97,155356
864,59.98,59.99,59.98,59.99,1153
865,59.9621,60.08,59.9621,59.99,1835
866,59.9833,59.988,59.9833,59.988,665
868,59.9668,59.99,59.9668,59.99,2723
869,59.9771,59.9999,59.9771,59.9999,605
870,59.9742,59.9793,59.9742,59.9793,892
872,59.9897,59.992,59.95,59.992,20487
873,59.99,59.99,59.9892,59.99,13346
874,59.9901,59.9901,59.9901,59.9901,110
875,60,60,59.9902,59.9902,894
877,60,60,60,60,100
878,59.97,59.97,59.97,59.97,1127
879,59.9973,59.9973,59.9973,59.9973,2700
880,59.972,60,59.97,60,29235
881,59.9979,60,59.99,59.99,1234
882,59.9998,60,59.988,59.988,12162
883,59.9796,60.01,59.9796,60.01,1579
884,59.9796,59.9814,59.97,59.97,1401
885,60,60,60,60,100
886,60,60,59.9864,59.9871,2774
887,59.9978,59.9978,59.9978,59.9978,173
888,59.9934,60,59.98,60,4277
889,59.9902,60,59.9902,60,1170
890,59.9835,60.0035,59.9835,60,9017
892,59.9812,59.9812,59.9812,59.9812,500
893,59.9965,60,59.9942,60,2226
894,59.99,60,59.99,60,3953
895,59.9961,59.9961,59.995,59.995,1300
