EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,19,19,19,19,10765
1,19.125,19.15,19,19,36068
2,19.175,19.2,19.05,19.1335,20056
3,19.125,19.15,19,19.15,56717
4,19.2,19.2,19.125,19.125,22952
5,19.1,19.2,19.1,19.15,27572
6,19.125,19.15,19.075,19.1,8517
7,19.025,19.15,19.025,19.125,38665
8,19.025,19.1,19,19.05,39451
9,19.075,19.1,19,19.025,21001
10,19.1,19.15,19.05,19.075,26292
11,19.1,19.15,19.075,19.075,52764
12,19.075,19.125,19.05,19.1,14323
13,19.05,19.1,19.025,19.075,15442
14,19.05,19.05,19.025,19.05,11942
15,19.025,19.05,19,19.025,5825
16,19.025,19.05,19,19.025,4141
17,19.025,19.025,18.95,19.025,18614
18,19.025,19.025,19,19.025,600
19,18.975,19.025,18.95,19.025,11761
20,18.975,19.05,18.95,18.975,20843
21,18.95,18.975,18.9,18.95,7230
22,18.975,18.975,18.925,18.95,11233
23,19,19.045,18.95,19,28272
24,19,19.025,18.975,19,9500
25,19,19.025,18.975,19,16929
26,19,19.05,19,19.025,10136
27,19,19.05,19,19.025,8048
28,19.082,19.082,19,19,31559
29,19.075,19.1,19.05,19.0501,3900
30,19.075,19.1,19.05,19.1,4112
31,19.075,19.125,19.05,19.075,26175
32,19.1,19.125,19.05,19.1,17723
33,19.025,19.1,19,19.05,23408
34,19.1,19.1,19.025,19.05,10398
35,19.05,19.075,19,19.075,9343
36,19.025,19.05,19,19.025,8941
37,19,19.05,19,19.025,8184
38,18.9,19.05,18.9,19.025,73588
39,18.95,19,18.9,18.95,193809
144,18.95,18.95,18.95,18.95,1967
145,19,19,18.9,18.95,18829
146,19.15,19.15,18.975,19,19654
147,19.025,19.1,18.975,19.1,26862
148,19.05,19.075,18.975,19,29246
149,19.025,19.075,19,19.05,17829
150,19.075,19.075,19,19,11000
151,19.05,19.1,19.025,19.075,19108
152,19.075,19.075,19.05,19.05,3900
153,19.125,19.175,19.05,19.1,39054
154,19.125,19.1499,19.075,19.125,12765
155,19.15,19.18,19.1,19.125,28541
156,19.325,19.325,19.175,19.175,63412
157,19.25,19.325,19.25,19.275,9875
158,19.2,19.25,19.15,19.25,19694
159,19.25,19.25,19.175,19.2,16411
160,19.25,19.275,19.225,19.225,7909
161,19.275,19.3,19.225,19.225,4896
162,19.275,19.325,19.265,19.3,25842
163,19.25,19.275,19.225,19.25,18133
164,19.3,19.325,19.25,19.25,7825
165,19.325,19.375,19.3,19.3,27723
166,19.375,19.4,19.325,19.35,20044
167,19.45,19.45,19.375,19.4,16138
168,19.375,19.475,19.35,19.425,14365
169,19.4,19.45,19.31,19.375,33161
170,19.35,19.425,19.325,19.4,19790
171,19.325,19.375,19.25,19.35,13453
172,19.3,19.3274,19.225,19.3,41261
173,19.25,19.35,19.25,19.3,24066
174,19.35,19.35,19.25,19.25,16463
175,19.4,19.4,19.325,19.325,9451
176,19.425,19.475,19.375,19.4,22597
177,19.45,19.45,19.425,19.45,5900
178,19.45,19.5,19.375,19.425,71944
179,19.425,19.5,19.4,19.45,20843
180,19.475,19.475,19.375,19.4,53035
181,19.45,19.5,19.4,19.475,13205
182,19.3,19.4,19.25,19.4,81279
183,19.25,19.3,19.25,19.3,190919
288,19.25,19.25,19.25,19.25,8648
289,19.1,19.3,19.1,19.25,15157
290,19.173,19.2,19,19.1,88825
291,19,19.2,19,19.2,35901
292,18.925,19.05,18.9,19.025,20128
293,19,19,18.9,18.925,18189
294,18.925,18.98,18.925,18.975,9934
295,19,19,18.9,18.925,18987
296,18.85,18.975,18.85,18.975,32857
297,18.875,18.8999,18.85,18.8928,29146
298,18.85,18.95,18.85,18.8933,36577
299,18.85,18.9,18.85,18.875,4900
300,18.85,18.925,18.85,18.875,19026
301,18.85,18.9,18.825,18.85,56910
302,18.85,18.875,18.85,18.85,18743
303,18.875,18.875,18.825,18.85,23306
304,18.975,18.975,18.9,18.9,43868
305,18.925,19.025,18.9,18.975,40974
306,18.875,18.95,18.85,18.925,4927
307,18.925,18.95,18.875,18.875,14169
308,18.95,18.975,18.9,18.925,11174
309,19,19.025,18.95,18.95,10210
310,18.95,19.025,18.95,19,10715
311,18.95,19,18.925,18.95,17282
312,18.95,19,18.925,18.95,9433
313,18.925,18.975,18.9,18.975,5225
314,18.925,18.95,18.9,18.925,15313
315,18.9,18.95,18.9,18.9,5541
316,18.8501,18.925,18.85,18.9,15594
317,18.9001,18.925,18.85,18.875,13786
318,18.9,18.925,18.9,18.9,2780
319,18.9659,18.9753,18.9125,18.95,41257
320,18.9,19,18.9,18.9742,24235
321,18.925,18.95,18.9,18.925,6154
322,18.925,18.95,18.875,18.925,22624
323,18.9,18.95,18.9,18.9,7800
324,18.925,18.95,18.9,18.9,18866
325,18.85,18.95,18.85,18.925,28515
326,18.875,18.9,18.85,18.875,24766
327,18.85,18.9,18.825,18.875,224082
432,18.9,18.9,18.9,18.9,3186
433,18.85,18.9,18.8143,18.9,14708
434,18.925,18.925,18.85,18.85,12946
435,19.002,19.002,18.95,18.95,17783
436,18.95,19,18.9,19,18347
437,18.85,18.975,18.85,18.9501,15184
438,18.85,18.9,18.825,18.9,10788
439,18.85,18.85,18.75,18.85,19181
440,18.7,18.85,18.7,18.85,15103
441,18.725,18.725,18.7,18.7,2300
442,18.7,18.75,18.675,18.725,24832
443,18.675,18.675,18.6,18.675,16821
444,18.625,18.7,18.625,18.675,15873
445,18.65,18.675,18.625,18.65,26302
446,18.575,18.675,18.575,18.625,18352
447,18.575,18.625,18.575,18.6,11192
448,18.625,18.65,18.575,18.6,19531
449,18.6,18.65,18.55,18.65,12950
450,18.625,18.625,18.55,18.6,12345
451,18.575,18.625,18.55,18.621,4725
452,18.575,18.575,18.5,18.575,15103
453,18.575,18.575,18.55,18.55,900
454,18.625,18.65,18.55,18.575,9286
455,18.575,18.65,18.575,18.625,16201
456,18.575,18.625,18.575,18.6,18960
457,18.575,18.625,18.575,18.6,10261
458,18.6,18.6,18.55,18.575,1277
459,18.55,18.6,18.55,18.575,1323
460,18.55,18.6,18.525,18.55,22962
461,18.525,18.55,18.475,18.55,17664
462,18.475,18.55,18.45,18.5,20053
463,18.5,18.5,18.46,18.5,7190
464,18.475,18.5,18.45,18.475,5032
465,18.4,18.475,18.4,18.471,23364
466,18.5,18.5,18.4,18.4,19112
467,18.45,18.5,18.45,18.5,4590
468,18.475,18.5,18.4,18.475,39445
469,18.425,18.475,18.4,18.45,19726
470,18.5,18.5,18.4,18.4,39095
471,18.45,18.5,18.4,18.5,245511
864,18.65,18.65,18.65,18.65,6756
865,18.55,18.65,18.5,18.6,16735
866,18.6,18.65,18.55,18.5803,57369
867,18.525,18.575,18.525,18.55,13844
868,18.425,18.5,18.4,18.5,23446
869,18.55,18.575,18.375,18.4,34781
870,18.525,18.55,18.475,18.55,21491
871,18.575,18.625,18.525,18.525,12726
872,18.575,18.6,18.575,18.6,9584
873,18.6,18.6,18.525,18.55,14444
874,18.6,18.625,18.575,18.575,5888
875,18.6,18.65,18.5989,18.6,19460
876,18.6,18.63,18.55,18.575,7872
877,18.6,18.6,18.55,18.575,16686
878,18.7,18.7,18.625,18.625,11707
879,18.7,18.75,18.675,18.7,20095
880,18.75,18.775,18.675,18.6787,20053
881,18.75,18.775,18.715,18.75,8955
882,18.75,18.775,18.725,18.75,4590
883,18.75,18.75,18.725,18.75,3008
884,18.75,18.75,18.725,18.75,1200
885,18.65,18.725,18.525,18.7,52521
886,18.65,18.65,18.575,18.65,12555
887,18.7,18.7,18.625,18.65,16366
888,18.7,18.7,18.675,18.7,13390
889,18.7,18.7,18.675,18.7,6290
890,18.8,18.8,18.675,18.7,17958
891,18.85,18.85,18.775,18.8,26066
892,18.775,18.85,18.775,18.85,28304
893,18.76,18.85,18.76,18.8,12571
894,18.7,18.775,18.7,18.775,12157
895,18.65,18.725,18.65,18.7,12951
896,18.65,18.6837,18.6,18.6837,34946
897,18.6,18.65,18.6,18.625,6264
898,18.625,18.65,18.6,18.625,4000
