EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,34.71,34.71,34.71,34.71,1507
1,35,35,34.74,34.79,5160
2,35.03,35.03,34.95,34.9675,1000
3,34.96,34.96,34.93,34.93,300
4,35.02,35.09,34.99,35.01,3450
5,34.86,35.08,34.86,35.08,5291
6,34.82,34.88,34.79,34.88,600
7,34.95,34.95,34.92,34.92,700
8,34.98,35,34.92,35,1730
9,34.955,35.02,34.82,34.96,4767
10,34.9,34.95,34.83,34.92,4307
11,35.03,35.03,34.9,34.94,3490
12,34.93,35.025,34.91,35,4380
13,34.98,34.98,34.92,34.92,1190
14,34.98,35,34.97,34.98,1930
15,34.94,35,34.94,34.98,2340
16,34.93,35,34.93,34.98,6170
17,34.91,34.945,34.85,34.945,3415
18,34.88,34.93,34.79,34.91,6727
19,34.86,34.9,34.85,34.9,1100
20,34.89,34.91,34.87,34.91,1000
21,34.84,34.9099,34.84,34.9099,2266
22,34.83,34.83,34.8,34.8,1300
23,34.87,34.89,34.87,34.89,200
24,34.88,34.8929,34.875,34.89,1105
25,34.86,34.91,34.86,34.91,2246
26,34.84,34.88,34.84,34.87,1800
27,34.83,34.87,34.8289,34.86,2190
28,34.86,34.87,34.83,34.83,1300
29,34.87,34.89,34.85,34.87,2600
30,34.86,34.9,34.86,34.87,3505
31,34.87,34.88,34.85,34.88,2712
32,34.84,34.89,34.84,34.87,4698
33,34.78,34.81,34.77,34.8,2490
34,34.81,34.82,34.775,34.775,4970
35,34.75,34.8,34.73,34.8,6374
36,34.66,34.76,34.64,34.76,12311
37,34.71,34.715,34.67,34.675,3800
38,34.7,34.75,34.69,34.705,6800
39,34.72,34.76,34.71,34.71,15444
144,34.61,34.61,34.61,34.61,1182
145,34.7,34.7,34.46,34.46,200
146,34.8,34.8,34.62,34.64,1117
147,34.68,34.85,34.605,34.85,7420
148,34.72,34.72,34.72,34.72,300
149,34.76,34.82,34.69,34.73,2100
150,34.73,34.79,34.71,34.74,9400
151,34.73,34.83,34.68,34.73,40836
152,34.74,34.75,34.68,34.75,5100
153,34.74,34.78,34.7,34.7,13758
154,34.76,34.8,34.685,34.75,14058
155,34.73,34.76,34.7,34.73,3200
156,34.79,34.87,34.7301,34.74,9661
157,34.76,34.84,34.75,34.815,9527
158,34.72,34.77,34.72,34.77,1100
159,34.81,34.83,34.77,34.77,1100
160,34.81,34.86,34.81,34.82,2037
161,34.82,34.84,34.8,34.8,2100
162,34.78,34.87,34.77,34.87,2400
163,34.77,34.82,34.76,34.77,3704
164,34.82,34.85,34.78,34.79,2260
165,34.78,34.85,34.78,34.81,2200
166,34.73,34.83,34.73,34.79,32900
167,34.73,34.76,34.705,34.745,3900
168,34.79,34.79,34.72,34.72,2000
169,34.78,34.8,34.77,34.77,1900
170,34.69,34.81,34.69,34.7856,2991
171,34.71,34.74,34.67,34.7,2700
172,34.67,34.7308,34.67,34.71,1518
173,34.68,34.7,34.655,34.655,1450
174,34.79,34.8,34.67,34.68,8795
175,34.88,34.88,34.75,34.75,3776
176,34.84,34.88,34.84,34.85,1800
177,34.81,34.86,34.81,34.83,3900
178,34.78,34.82,34.76,34.81,5300
179,34.74,34.77,34.74,34.76,5639
180,34.77,34.8,34.71,34.73,9537
181,34.7,34.79,34.7,34.77,7226
182,34.715,34.73,34.69,34.69,12183
183,34.63,34.72,34.61,34.715,118724
288,34.84,34.84,34.84,34.84,911
289,34.645,34.78,34.645,34.78,300
290,34.76,34.85,34.615,34.62,3800
291,34.76,34.78,34.69,34.74,800
292,34.71,34.77,34.67,34.77,1467
293,34.75,34.82,34.74,34.74,1600
294,34.77,34.77,34.73,34.74,1000
295,34.69,34.715,34.69,34.7,3000
296,34.65,34.67,34.65,34.67,300
297,34.57,34.59,34.57,34.59,200
298,34.62,34.63,34.52,34.54,1900
299,34.6225,34.63,34.59,34.59,500
300,34.64,34.64,34.62,34.63,400
301,34.62,34.67,34.62,34.64,1900
302,34.66,34.66,34.61,34.64,1300
303,34.6,34.66,34.6,34.66,1502
304,34.63,34.63,34.61,34.61,1100
305,34.66,34.66,34.63,34.6425,800
306,34.62,34.66,34.62,34.66,800
307,34.65,34.69,34.65,34.65,807
308,34.62,34.67,34.61,34.67,11682
309,34.64,34.64,34.58,34.62,3600
310,34.69,34.69,34.62,34.65,10355
311,34.66,34.71,34.64,34.69,7535
312,34.635,34.66,34.635,34.64,4736
313,34.63,34.64,34.59,34.64,1600
314,34.6,34.63,34.59,34.61,3700
315,34.55,34.59,34.55,34.59,2600
316,34.54,34.6,34.54,34.575,2700
317,34.635,34.66,34.54,34.55,5800
318,34.585,34.66,34.56,34.6,8526
319,34.61,34.63,34.57,34.57,5500
320,34.59,34.61,34.575,34.575,5200
321,34.61,34.64,34.5,34.58,558203
322,34.65,34.65,34.59,34.6,5488
323,34.6364,34.65,34.59,34.645,4139
324,34.61,34.64,34.57,34.63,8500
325,34.6,34.63,34.58,34.61,9327
326,34.62,34.64,34.58,34.59,6100
327,34.67,34.69,34.62,34.63,50439
432,34.71,34.71,34.71,34.71,332
433,34.45,34.6,34.45,34.6,800
434,34.53,34.53,34.41,34.455,600
435,34.5,34.65,34.5,34.62,2110
436,34.49,34.51,34.3,34.51,1980
437,35.06,35.14,34.56,34.56,24214
438,34.99,35.09,34.99,35.06,1800
439,35.03,35.0775,34.85,34.98,24235
440,35.11,35.15,35.05,35.05,3122
441,35.33,35.4,35.12,35.12,7625
442,35.13,35.33,35.13,35.33,3803
443,35.14,35.15,35.07,35.08,3928
444,35.15,35.15,35.12,35.15,1513
445,35.11,35.14,35.11,35.13,1300
446,35.03,35.1,35.03,35.1,900
447,35.02,35.05,35.02,35.05,600
448,35.1,35.1,35.03,35.03,1500
449,35.15,35.15,35.11,35.11,1871
450,35.12,35.14,35.12,35.14,1600
451,35.13,35.15,35.11,35.11,1922
452,35.22,35.22,35.13,35.13,2794
453,35.23,35.23,35.22,35.22,700
454,35.28,35.3,35.23,35.23,2600
455,35.31,35.34,35.25,35.27,7519
456,35.29,35.32,35.29,35.31,400
457,35.32,35.37,35.24,35.3,6400
458,35.33,35.36,35.32,35.32,700
459,35.29,35.34,35.29,35.32,3900
460,35.265,35.3,35.25,35.27,11989
461,35.07,35.28,35.07,35.28,3581
462,34.96,35.025,34.92,35,5484
463,34.94,34.967,34.84,34.967,4400
464,35.015,35.06,34.9,34.9,10400
465,35.06,35.12,35.015,35.015,7056
466,35.11,35.11,35.06,35.06,4900
467,35.085,35.12,35.08,35.12,5447
468,34.975,35.08,34.96,35.08,9000
469,35.01,35.01,34.94,34.96,17421
470,35.03,35.04,34.995,35.01,22990
471,35.05,35.08,34.98,35.025,117189
864,35.29,35.29,35.29,35.29,1924
865,35.12,35.22,34.47,34.47,6748
866,35.025,35.22,35,35.21,8175
867,34.95,35.01,34.95,35,21600
868,34.62,34.99,34.62,34.96,17437
869,34.48,34.6,34.4,34.6,11560
870,34.385,34.48,34.38,34.455,9589
871,34.46,34.5,34.39,34.39,6369
872,34.38,34.5,34.35,34.5,6521
873,34.54,34.55,34.38,34.39,9005
874,34.53,34.58,34.52,34.53,4413
875,34.54,34.55,34.52,34.54,5715
876,34.405,34.54,34.4,34.53,6300
877,34.4,34.42,34.37,34.42,11140
878,34.46,34.465,34.39,34.4,7718
879,34.46,34.48,34.43,34.47,7400
880,34.45,34.47,34.44,34.46,1876
881,34.46,34.46,34.38,34.44,6704
882,34.46,34.46,34.44,34.46,4200
883,34.49,34.49,34.43,34.44,4800
884,34.46,34.51,34.44,34.49,4595
885,34.46,34.47,34.42,34.44,6390
886,34.42,34.47,34.42,34.45,4100
887,34.355,34.42,34.34,34.42,5800
888,34.39,34.39,34.355,34.355,5132
889,34.36,34.385,34.32,34.385,8600
890,34.38,34.38,34.36,34.36,2500
891,34.53,34.53,34.35,34.37,9576
892,34.535,34.55,34.5201,34.54,1578
893,34.53,34.56,34.52,34.535,7273
894,34.54,34.54,34.5,34.51,7511
895,34.54,34.55,34.53,34.53,4548
896,34.49,34.56,34.49,34.53,10342
