EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,19.41,19.41,19.41,19.41,300
2,19.5,19.5,19.41,19.5,1470
3,19.605,19.605,19.5,19.5,600
4,19.5,19.503,19.5,19.503,400
5,19.6,19.6,19.59,19.59,500
9,19.6,19.6,19.59,19.59,300
10,19.6,19.61,19.52,19.52,400
11,19.71,19.8,19.65,19.65,800
12,19.725,19.725,19.725,19.725,100
14,19.67,19.67,19.67,19.67,100
15,19.67,19.67,19.67,19.67,100
16,19.7985,19.82,19.7985,19.82,400
18,19.895,19.895,19.7901,19.7901,2300
19,19.775,19.92,19.77,19.92,1600
21,19.78,19.78,19.78,19.78,100
24,19.73,19.73,19.73,19.73,100
25,19.65,19.66,19.65,19.66,200
28,19.73,19.73,19.73,19.73,100
29,19.65,19.66,19.65,19.66,200
31,19.68,19.68,19.68,19.68,100
32,19.61,19.62,19.61,19.62,300
33,19.5808,19.61,19.53,19.61,1366
34,19.5083,19.5083,19.5083,19.5083,650
35,19.58,19.61,19.58,19.61,200
36,19.525,19.58,19.48,19.49,500
38,19.46,19.5,19.45,19.49,3332
39,19.56,19.63,19.42,19.53,15270
147,19.68,19.68,19.68,19.68,100
151,19.36,19.36,19.36,19.36,100
153,19.32,19.32,19.32,19.32,100
155,19.48,19.48,19.43,19.43,400
156,19.5514,19.58,19.5514,19.58,900
158,19.52,19.52,19.52,19.52,100
165,19.645,19.645,19.52,19.52,200
166,19.665,19.665,19.635,19.635,200
168,19.47,19.595,19.38,19.595,1900
170,19.5,19.5,19.5,19.5,500
171,19.545,19.63,19.48,19.63,300
174,19.55,19.55,19.55,19.55,100
176,19.55,19.55,19.55,19.55,100
179,19.54,19.54,19.54,19.54,100
182,19.49,19.54,19.49,19.54,300
183,19.56,19.67,19.48,19.52,3050
288,19.76,19.76,19.76,19.76,100
289,19.52,19.52,19.52,19.52,200
291,19.69,19.69,19.69,19.69,100
292,19.35,19.45,19.35,19.45,500
293,19.3501,19.3501,19.3501,19.3501,100
294,19.4,19.4,19.39,19.4,400
295,19.52,19.59,19.4101,19.53,1800
296,19.5,19.5,19.5,19.5,100
297,19.62,19.62,19.43,19.43,800
298,19.62,19.7099,19.62,19.7099,318
302,19.53,19.53,19.53,19.53,100
303,19.5,19.53,19.5,19.53,300
304,19.46,19.46,19.46,19.46,200
306,19.4,19.42,19.4,19.42,200
307,19.4684,19.4684,19.4486,19.4486,450
309,19.5,19.5,19.41,19.41,200
310,19.42,19.42,19.42,19.42,100
311,19.42,19.42,19.42,19.42,200
312,19.465,19.55,19.45,19.485,2400
313,19.4,19.42,19.4,19.42,854
314,19.4,19.45,19.4,19.4,400
316,19.45,19.45,19.4,19.4,200
318,19.45,19.45,19.44,19.44,400
319,19.45,19.51,19.45,19.475,700
320,19.45,19.45,19.45,19.45,200
321,19.485,19.485,19.4,19.4,300
322,19.4,19.53,19.4,19.53,200
323,19.4,19.4,19.4,19.4,100
325,19.4,19.4,19.4,19.4,429
326,19.4,19.4,19.4,19.4,100
327,19.3,19.52,19.3,19.44,617
432,19.3,19.3,19.3,19.3,476
433,19.3,19.3,19.28,19.28,300
434,19.5,19.85,19.2,19.35,2234
435,19.49,19.49,19.49,19.49,100
436,19.3,19.59,19.3,19.59,1800
437,19.31,19.31,19.31,19.31,100
438,19.33,19.33,19.3,19.3,1700
441,19.36,19.36,19.35,19.35,200
443,19.31,19.36,19.31,19.36,200
446,19.33,19.33,19.3,19.3,1700
447,19.45,19.45,19.45,19.45,200
448,19.35,19.35,19.35,19.35,100
450,19.43,19.43,19.43,19.43,100
451,19.32,19.32,19.32,19.32,100
453,19.3,19.3421,19.3,19.3421,950
454,19.3,19.3,19.3,19.3,100
455,19.3,19.35,19.3,19.3,400
456,19.32,19.33,19.25,19.3,2098
458,19.31,19.39,19.31,19.39,500
459,19.39,19.39,19.3,19.3,1600
461,19.3,19.32,19.3,19.32,200
462,19.32,19.38,19.32,19.38,200
464,19.32,19.32,19.3,19.3,1700
465,19.33,19.33,19.3,19.3,400
466,19.31,19.31,19.31,19.31,100
467,19.31,19.31,19.31,19.31,100
468,19.31,19.31,19.31,19.31,100
469,19.37,19.37,19.35,19.36,900
470,19.31,19.37,19.31,19.37,448
471,19.73,19.73,19.3,19.31,2359
864,19.61,19.61,19.61,19.61,359
865,19.31,19.31,19.21,19.21,200
866,19.58,19.58,19.465,19.465,200
867,19.31,19.52,19.2,19.29,3192
868,19.4,19.4,19.4,19.4,100
869,19.4,19.5,19.4,19.4,2200
870,19.3,19.3,19.3,19.3,100
871,19.25,19.27,19.25,19.27,1600
872,19.325,19.325,19.25,19.25,862
873,19.26,19.26,19.26,19.26,100
874,19.26,19.3,19.25,19.28,3503
875,19.25,19.25,19.25,19.25,499
876,19.26,19.3,19.25,19.25,1901
877,19.32,19.32,19.32,19.32,100
878,19.25,19.26,19.25,19.26,300
879,19.37,19.39,19.2,19.25,6400
880,19.31,19.31,19.25,19.29,2550
881,19.3,19.345,19.3,19.345,600
882,19.3,19.33,19.3,19.33,300
883,19.31,19.31,19.28,19.3,800
884,19.37,19.37,19.25,19.3,1501
885,19.3,19.38,19.3,19.38,200
888,19.3,19.37,19.3,19.3,1480
889,19.33,19.34,19.3,19.31,2599
891,19.31,19.381,19.31,19.381,200
893,18.95,19.3,18.71,19.3,9538
894,19.05,19.05,18.99,18.99,300
895,19.1,19.1,19.1,19.1,100
896,19.04,19.04,18.45,18.96,3100
897,18.75,19.22,18.71,18.92,4700
898,18.86,18.86,18.69,18.8493,1900
899,18.84,18.86,18.84,18.84,300
900,18.99,19.01,18.82,18.97,2800
901,18.99,18.99,18.87,18.93,1645
902,18.9401,19.02,18.9401,18.98,915
903,19.06,19.06,18.96,19.05,1317
a1493733000,18.42,18.7899,18.39,18.7899,800
1,18.66,18.66,18.43,18.5,300
2,18.3,19.095,18.3,18.34,5600
3,18.4,18.5,18.34,18.34,400
4,18.81,18.81,18.81,18.81,100
5,18.51,18.51,18.51,18.51,100
6,18.535,18.62,18.5,18.62,900
7,18.5201,18.6,18.5201,18.54,2000
8,18.62,18.68,18.53,18.68,900
9,18.54,18.54,18.54,18.54,100
10,18.54,18.59,18.54,18.59,200
12,18.55,18.78,18.55,18.552,3900
13,18.66,18.66,18.5622,18.66,629
14,18.58,18.72,18.58,18.72,200
15,18.655,18.655,18.655,18.655,100
16,18.7,18.7,18.56,18.56,1510
17,18.835,18.835,18.69,18.69,400
19,18.77,18.77,18.77,18.77,100
20,18.76,18.84,18.75,18.75,300
21,18.75,18.939,18.71,18.74,8281
22,19,19.07,18.75,18.77,13791
23,19,19.04,19,19,1800
24,19.05,19.05,19,19,200
25,19,19.12,19,19.08,16204
26,19.035,19.09,18.6,19,12800
27,19,19,19,19,100
28,18.98,18.98,18.8316,18.8316,450
29,18.8301,18.91,18.83,18.91,1200
30,18.7,18.9,18.7,18.82,300
31,18.89,18.91,18.73,18.82,2122
33,18.7,18.87,18.7,18.87,1370
34,18.56,18.8,18.56,18.8,2450
36,18.73,18.73,18.61,18.61,1100
37,19.39,19.39,18.58,18.73,3269
142,19.21,19.21,19.21,19.21,228
143,19.295,19.295,18.23,18.23,50100
144,18.93,19.1,18.89,18.89,400
145,18.83,19.2,18.8,19.085,85552
146,18.8,18.99,18.76,18.76,43600
147,18.78,18.81,18.71,18.75,1758
148,18.93,19,18.76,18.76,300
149,18.81,18.81,18.76,18.76,200
150,18.8,19,18.75,18.855,57680
151,18.89,19,18.89,18.9,500
152,18.88,18.9,18.75,18.86,1900
153,18.79,18.88,18.7,18.75,2500
154,18.75,18.77,18.75,18.75,7145
155,18.975,19.16,18.75,18.79,3100
156,18.75,19.08,18.75,18.95,93460
157,18.6,18.75,18.55,18.6408,676
158,18.62,18.69,18.62,18.65,400
159,18.62,18.69,18.61,18.61,500
160,18.75,18.75,18.58,18.6,53000
161,18.55,18.57,18.55,18.57,200
162,18.63,18.63,18.55,18.55,700
163,18.59,18.735,18.59,18.735,200
164,18.57,18.57,18.57,18.57,100
