EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493129400,25.4,25.4,25.4,25.4,700
7,25.3,25.35,25.3,25.35,1091
10,25.3253,25.3275,25.3,25.3,1146
140,25.3,25.3,25.3,25.3,301
141,25.3,25.3,25.3,25.3,303
161,25.37,25.37,25.36,25.3699,937
173,25.36,25.36,25.36,25.36,100
174,25.3,25.37,25.3,25.36,6096
175,25.36,25.36,25.36,25.36,200
176,25.36,25.36,25.36,25.36,200
177,25.36,25.36,25.36,25.36,200
178,25.37,25.37,25.37,25.37,200
179,25.36,25.36,25.36,25.36,300
285,25.32,25.32,25.32,25.32,200
286,25.3173,25.32,25.3173,25.32,1000
287,25.3183,25.32,25.3183,25.32,1382
288,25.31,25.32,25.31,25.32,1400
290,25.5,25.5,25.36,25.36,1700
292,25.52,25.52,25.52,25.52,210
450,25.472,25.472,25.472,25.472,150
464,25.476,25.476,25.476,25.476,270
a1493731800,25.41,25.41,25.41,25.41,201
6,25.59,25.59,25.59,25.59,800
21,25.62,25.62,25.54,25.54,1246
170,25.63,25.63,25.63,25.63,300
172,25.5349,25.5349,25.5349,25.5349,1000
297,25.45,25.47,25.45,25.45,996
899,25.712,25.739,25.712,25.739,300
a1494339000,25.45,25.4501,25.45,25.45,1100
1,25.45,25.46,25.45,25.46,1000
3,25.45,25.45,25.45,25.45,500
4,25.45,25.45,25.45,25.45,500
7,25.4,25.41,25.4,25.41,1100
16,25.4,25.42,25.4,25.42,500
17,25.4,25.413,25.4,25.413,200
18,25.4146,25.4146,25.4146,25.4146,200
29,25.41,25.41,25.41,25.41,100
158,25.7,25.7,25.7,25.7,100
159,25.4624,25.4624,25.4624,25.4624,1000
176,25.69,25.69,25.56,25.56,300
177,25.75,25.75,25.69,25.69,300
178,25.85,25.85,25.85,25.85,200
297,25.6808,25.7027,25.68,25.7027,1300
307,25.65,25.65,25.65,25.65,145
444,25.45,25.51,25.45,25.51,500
450,25.521,25.639,25.521,25.639,300
466,25.48,25.52,25.48,25.52,600
467,25.83,25.83,25.83,25.83,115
864,25.6341,25.6341,25.6341,25.6341,156
873,25.5765,25.724,25.5765,25.5765,600
874,25.6603,25.6603,25.5765,25.6596,500
875,25.6603,25.6603,25.5765,25.628,500
882,25.5121,25.5121,25.5121,25.5121,100
a1494946200,25.51,25.51,25.51,25.51,200
21,25.49,25.51,25.49,25.51,400
137,25.48,25.48,25.48,25.48,100
157,25.4562,25.4562,25.4562,25.4562,200
172,25.47,25.47,25.47,25.47,200
293,25.5119,25.5119,25.5119,25.5119,300
311,25.4101,25.45,25.4101,25.44,1500
856,25.41,25.41,25.41,25.41,100
858,25.428,25.464,25.41,25.41,700
864,25.45,25.45,25.45,25.45,500
865,25.485,25.485,25.485,25.485,1000
893,25.4808,25.49,25.48,25.49,700
a1495569600,25.41,25.42,25.41,25.41,1200
116,25.5,25.52,25.5,25.52,200
144,25.41,25.42,25.41,25.42,400
265,25.43,25.43,25.43,25.43,900
275,25.42,25.43,25.42,25.43,675
285,25.45,25.45,25.45,25.45,200
974,25.4329,25.45,25.4329,25.45,1896
978,25.41,25.42,25.41,25.42,300
979,25.4002,25.4002,25.4,25.4,600
981,25.4,25.4,25.4,25.4,310
982,25.3953,25.3953,25.3711,25.3711,825
985,25.4,25.4,25.3856,25.3874,6000
a1496169600,25.424,25.424,25.424,25.424,600
5,25.4902,25.4902,25.4902,25.4902,300
115,25.45,25.45,25.45,25.45,100
125,25.45,25.45,25.45,25.45,500
143,25.53,25.53,25.53,25.53,200
259,25.53,25.53,25.53,25.53,100
261,25.53,25.53,25.53,25.53,100
268,25.5,25.5,25.5,25.5,100
287,25.44,25.44,25.44,25.44,100
290,25.45,25.45,25.45,25.45,200
291,25.45,25.45,25.45,25.45,100
292,25.45,25.45,25.45,25.45,100
293,25.57,25.57,25.57,25.57,100
295,25.53,25.53,25.53,25.53,100
401,25.53,25.53,25.53,25.53,100
406,25.4994,25.4994,25.4994,25.4994,400
422,25.78,25.78,25.52,25.52,1415
440,25.4787,25.4787,25.4787,25.4787,200
834,25.5,25.5,25.5,25.5,500
838,25.7569,25.7569,25.7569,25.7569,392
a1496777400,25.75,25.75,25.7,25.7,867
282,25.67,25.67,25.67,25.67,225
290,25.6,25.62,25.6,25.62,5095
423,25.6207,25.6207,25.6207,25.6207,500
864,25.5135,25.5135,25.5135,25.5135,200
978,25.6006,25.6187,25.6,25.6187,800
980,25.6676,25.6676,25.6676,25.6676,100
984,25.6015,25.6015,25.6,25.6,400
988,25.6,25.6,25.6,25.6,1300
a1497455400,25.7302,25.7302,25.7302,25.7302,300
166,25.6014,25.6014,25.6014,25.6014,300
292,25.6007,25.619,25.6,25.619,1400
304,25.7186,25.7186,25.7186,25.7186,1000
712,25.5513,25.5513,25.5513,25.5513,1000
735,25.53,25.5728,25.53,25.56,5600
853,25.55,25.55,25.55,25.55,300
867,25.5984,25.5984,25.5984,25.5984,100
889,25.61,25.61,25.61,25.61,100
a1498070400,25.63,25.63,25.63,25.63,100
3,25.69,25.69,25.69,25.69,188
4,25.69,25.69,25.69,25.69,195
5,25.69,25.69,25.666,25.666,300
6,25.69,25.69,25.666,25.666,400
7,25.69,25.69,25.69,25.69,400
8,25.76,25.76,25.76,25.76,200
118,25.7,25.7,25.7,25.7,500
149,25.71,25.71,25.71,25.71,200
150,25.7,25.7,25.7,25.7,150
260,25.7,25.7,25.7,25.7,5000
261,25.7,25.7,25.7,25.7,1000
263,25.742,25.742,25.742,25.742,600
267,25.7001,25.7001,25.7001,25.7001,400
291,25.7386,25.7386,25.7386,25.7386,500
693,25.7,25.7,25.7,25.7,200
697,25.72,25.72,25.72,25.72,189
699,25.7,25.7,25.7,25.7,3400
714,25.57,25.6,25.57,25.6,328
725,25.6,25.6,25.6,25.6,172
728,25.61,25.61,25.61,25.61,100
850,25.61,25.61,25.61,25.61,1000
852,25.6399,25.6399,25.6399,25.6399,100
980,25.63,25.63,25.63,25.63,300
988,25.63,25.63,25.63,25.63,500
995,25.65,25.65,25.65,25.65,800
a1498672200,25.65,25.65,25.65,25.65,160
1,25.648,25.648,25.648,25.648,100
12,25.65,25.65,25.65,25.65,300
146,25.644,25.644,25.644,25.644,200
153,25.64,25.64,25.64,25.64,100
155,25.639,25.639,25.639,25.639,300
157,25.629,25.629,25.629,25.629,189
262,25.69,25.69,25.69,25.69,94
986,25.5022,25.54,25.5,25.54,674
a1499275200,25.43,25.44,25.43,25.44,375
