EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493144400,25.695,25.73,25.695,25.73,200
2,25.66,25.66,25.66,25.66,957
126,25.674,25.674,25.674,25.674,155
153,25.729,25.729,25.729,25.729,100
264,25.63,25.649,25.63,25.649,1200
403,25.73,25.73,25.73,25.73,349
406,25.7145,25.74,25.7145,25.7306,400
417,25.64,25.65,25.64,25.65,460
418,25.61,25.63,25.61,25.63,1050
431,25.61,25.71,25.61,25.71,900
442,25.6,25.6,25.6,25.6,100
980,25.6,25.61,25.6,25.61,800
999,25.564,25.648,25.55,25.55,600
a1493920800,25.65,25.65,25.65,25.65,200
557,25.6,25.61,25.6,25.61,1000
559,25.61,25.61,25.61,25.61,100
586,25.61,25.61,25.61,25.61,100
694,25.6,25.6,25.6,25.6,700
699,25.5872,25.6,25.5701,25.6,2000
874,25.65,25.65,25.65,25.65,111
987,25.7,25.7,25.69,25.69,500
993,25.7,25.7,25.7,25.7,100
a1494858000,25.7025,25.7025,25.69,25.69,310
7,25.69,25.7143,25.69,25.7143,317
29,25.71,25.71,25.71,25.71,280
139,25.71,25.71,25.71,25.71,749
160,25.713,25.719,25.71,25.71,1600
168,25.71,25.7248,25.71,25.7248,200
177,25.74,25.74,25.74,25.74,100
178,25.79,25.79,25.79,25.79,100
285,25.618,25.618,25.618,25.618,600
441,25.65,25.7799,25.65,25.65,1000
592,25.618,25.618,25.618,25.618,400
594,25.6,25.6,25.6,25.6,215
595,25.6001,25.6001,25.6001,25.6001,110
610,25.74,25.74,25.74,25.74,100
a1495560600,25.618,25.618,25.618,25.618,800
149,25.6,25.6,25.6,25.6,111
151,25.57,25.57,25.57,25.57,200
271,25.679,25.679,25.679,25.679,886
274,25.58,25.58,25.58,25.58,200
282,25.59,25.6,25.59,25.6,500
290,25.57,25.6,25.57,25.6,420
425,25.5601,25.5601,25.5601,25.5601,200
985,25.56,25.56,25.56,25.56,111
a1496237400,25.64,25.64,25.64,25.64,433
38,25.59,25.59,25.58,25.58,600
164,25.6,25.6,25.59,25.59,1251
288,25.67,25.67,25.67,25.67,100
308,25.67,25.67,25.66,25.67,865
319,25.72,25.73,25.72,25.72,1262
325,25.7799,25.78,25.7799,25.78,244
733,25.6728,25.6728,25.63,25.63,1950
741,25.6895,25.6895,25.6895,25.6895,580
744,25.6301,25.6418,25.63,25.6418,1358
753,25.64,25.64,25.64,25.64,500
756,25.74,25.74,25.74,25.74,273
881,25.6321,25.6321,25.6321,25.6321,400
a1496865000,25.63,25.64,25.63,25.64,969
1,25.6245,25.6245,25.6,25.61,2000
116,25.63,25.63,25.63,25.63,100
140,25.67,25.6799,25.61,25.6799,550
256,25.55,25.6,25.55,25.6,1914
262,25.5109,25.52,25.51,25.52,470
269,25.52,25.52,25.43,25.43,20100
286,25.56,25.56,25.56,25.56,100
703,25.65,25.65,25.65,25.65,900
709,25.65,25.65,25.65,25.65,600
715,25.55,25.65,25.55,25.65,1100
716,25.65,25.65,25.55,25.65,2100
718,25.55,25.55,25.55,25.55,100
836,25.6078,25.6078,25.6078,25.6078,400
986,25.6599,25.6599,25.6599,25.6599,100
988,25.615,25.625,25.615,25.625,750
989,25.61,25.61,25.61,25.61,400
a1497467400,25.55,25.61,25.55,25.61,300
111,25.6,25.6,25.6,25.6,1000
112,25.5483,25.5521,25.51,25.55,1600
114,25.53,25.53,25.53,25.53,100
136,25.6203,25.6203,25.6203,25.6203,130
255,25.51,25.51,25.51,25.51,100
290,25.54,25.54,25.54,25.54,247
292,25.54,25.54,25.54,25.54,100
293,25.5757,25.5757,25.5757,25.5757,400
687,25.55,25.55,25.55,25.55,200
689,25.5499,25.5499,25.5499,25.5499,100
693,25.54,25.54,25.53,25.5399,700
694,25.55,25.55,25.55,25.55,300
697,25.5421,25.55,25.5421,25.55,2200
837,25.5001,25.5001,25.5,25.5,500
863,25.5128,25.5128,25.5128,25.5128,100
997,25.5005,25.5005,25.5005,25.5005,1300
999,25.5437,25.5437,25.5437,25.5437,329
a1498074000,25.5101,25.55,25.5101,25.55,2021
2,25.52,25.52,25.52,25.52,100
107,25.54,25.54,25.54,25.54,175
108,25.54,25.54,25.54,25.54,100
687,25.519,25.519,25.519,25.519,600
689,25.5399,25.5399,25.5115,25.5115,200
710,25.5166,25.5166,25.5166,25.5166,333
828,25.52,25.52,25.52,25.52,200
831,25.54,25.54,25.53,25.53,200
841,25.5364,25.5364,25.5364,25.5364,155
843,25.516,25.516,25.516,25.516,250
a1498744200,25.51,25.51,25.51,25.51,111
1,25.49,25.5128,25.49,25.5128,2100
3,25.4299,25.4299,25.4299,25.4299,500
4,25.43,25.43,25.41,25.41,507
7,25.49,25.49,25.49,25.49,400
8,25.49,25.49,25.45,25.45,300
15,25.45,25.45,25.44,25.44,507
18,25.45,25.45,25.45,25.45,100
142,25.54,25.54,25.54,25.54,326
148,25.4201,25.4201,25.4201,25.4201,234
171,25.42,25.42,25.42,25.42,200
175,25.4782,25.4782,25.4782,25.4782,322
864,25.509,25.509,25.509,25.509,249
870,25.43,25.44,25.43,25.44,2200
871,25.42,25.42,25.42,25.42,100
881,25.43,25.43,25.43,25.43,400
887,25.4142,25.43,25.4142,25.43,6300
888,25.4274,25.43,25.4274,25.43,1400
