EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,35,35,35,35,3118
1,35.36,35.36,34.81,34.94,10625
2,35.25,35.35,35.11,35.32,9457
3,35.04,35.27,35.01,35.27,14024
4,35.2044,35.22,35.05,35.08,9519
5,35.12,35.22,35.065,35.19,16244
6,35.16,35.16,35.12,35.15,2300
7,35.09,35.12,35.03,35.1,2500
8,35,35.066,34.96,35.066,3929
9,34.99,35.08,34.99,34.99,2100
10,35.09,35.14,35.01,35.01,3300
11,35.18,35.18,35.09,35.1,1400
12,35.1,35.18,35.09,35.15,3045
13,35.07,35.11,35.02,35.11,4400
14,35.06,35.1,35.01,35.06,2960
15,35.04,35.08,35.04,35.06,1347
16,35.11,35.11,35.07,35.07,1100
17,35.08,35.08,35.025,35.071,2208
18,35.129,35.13,35.08,35.08,2039
19,35.06,35.11,34.99,35.11,3281
20,34.98,35.05,34.98,35.04,1436
21,34.9,34.98,34.9,34.98,2312
22,34.95,34.97,34.9,34.9,2388
23,34.98,35,34.96,34.96,1749
24,34.99,35.02,34.97,35,1700
25,34.97,35,34.95,34.98,2500
26,35.03,35.03,34.99,34.99,5900
27,34.98,35.04,34.97,35.02,5364
28,35.12,35.12,34.997,34.997,3436
29,35.12,35.18,35.07,35.12,4500
30,35.1,35.11,35.08,35.09,3333
31,35.09,35.12,35.09,35.1,6005
32,35.05,35.11,35,35.09,6834
33,35,35.02,34.98,35,3678
34,35.07,35.08,35.03,35.03,7288
35,34.97,35.07,34.94,35.04,4070
36,34.95,34.99,34.95,34.97,4605
37,34.92,34.95,34.92,34.94,8015
38,34.945,34.95,34.905,34.93,11972
39,34.87,34.945,34.86,34.94,33202
144,34.82,34.82,34.82,34.82,2420
145,34.92,35.08,34.92,34.98,3888
146,35.04,35.1,34.91,34.965,20714
147,34.88,35.09,34.87,35.055,5200
148,34.87,35.01,34.87,34.89,6000
149,34.91,35,34.85,34.87,7528
150,35.07,35.07,34.92,34.92,16270
151,35.06,35.12,34.96,35.1,20862
152,35.06,35.12,34.99,35.06,11700
153,35.02,35.11,34.98,35.05,20941
154,35.03,35.09,34.98,35.065,17950
155,35.04,35.1,35,35.05,26378
156,35.26,35.31,35.0001,35.04,28957
157,35.38,35.38,35.24,35.25,5296
158,35.23,35.3401,35.16,35.3401,5612
159,35.25,35.29,35.24,35.24,11339
160,35.2,35.29,35.19,35.25,5265
161,35.2,35.25,35.2,35.23,11100
162,35.23,35.2765,35.23,35.24,3976
163,35.25,35.26,35.19,35.22,2693
164,35.27,35.36,35.226,35.26,3800
165,35.46,35.46,35.24,35.24,2585
166,35.53,35.53,35.43,35.45,1300
167,35.59,35.59,35.49,35.53,2158
168,35.5972,35.61,35.52,35.6,4650
169,35.62,35.62,35.48,35.56,4894
170,35.49,35.63,35.46,35.6,6596
171,35.43,35.57,35.43,35.53,1600
172,35.38,35.45,35.34,35.45,6919
173,35.37,35.43,35.37,35.38,3000
174,35.415,35.46,35.34,35.34,2800
175,35.48,35.49,35.4,35.4,2025
176,35.59,35.64,35.5,35.51,4543
177,35.57,35.6399,35.56,35.61,2836
178,35.6,35.61,35.52,35.54,3729
179,35.56,35.65,35.56,35.65,2300
180,35.65,35.66,35.51,35.55,6200
181,35.52,35.65,35.51,35.63,10653
182,35.36,35.54,35.36,35.49,11973
183,35.37,35.41,35.34,35.37,69553
288,35.51,35.51,35.51,35.51,1583
289,35.32,35.3525,35.31,35.34,700
290,35.35,35.35,35.22,35.25,1700
291,35.1912,35.38,35.18,35.38,2200
292,35.11,35.25,35.1,35.19,2327
293,35.24,35.24,35.1,35.1,2200
294,35.1,35.19,35.08,35.19,900
295,35.15,35.15,35.08,35.12,2015
296,34.99,35.17,34.99,35.17,4020
297,34.95,34.99,34.845,34.98,2709
298,34.97,35.07,34.91,34.91,5039
299,34.98,34.98,34.91,34.91,1000
300,34.95,35.02,34.92,35.01,3800
301,34.86,34.95,34.86,34.95,2000
302,34.78,34.8799,34.78,34.86,1239
303,34.84,34.84,34.77,34.78,1300
304,34.98,34.98,34.86,34.87,1910
305,34.97,35.06,34.97,34.98,2930
306,34.96,34.99,34.96,34.96,2582
307,34.931,35,34.931,34.94,2165
308,35.02,35.02,34.97,34.97,1910
309,35.06,35.09,34.93,34.97,2625
310,34.96,35.04,34.9542,35.02,2493
311,34.93,34.9801,34.93,34.96,2783
312,35,35.03,34.92,34.93,1300
313,34.94,34.98,34.9,34.98,2043
314,34.97,34.97,34.93,34.96,3424
315,34.88,34.93,34.88,34.91,1600
316,34.8301,34.9,34.8301,34.9,1520
317,34.88,34.88,34.87,34.87,1100
318,34.93,34.94,34.9102,34.92,1030
319,34.99,35.02,34.95,34.95,2438
320,34.96,34.99,34.95,34.97,3309
321,34.98,34.98,34.93,34.94,1200
322,34.93,34.97,34.92,34.96,3897
323,34.95,35,34.95,34.95,2728
324,34.96,35.01,34.94,34.96,5137
325,34.88,34.97,34.88,34.96,4839
326,34.9,34.97,34.87,34.9,9450
327,34.87,34.92,34.85,34.87,86071
432,34.96,34.96,34.96,34.96,2184
433,34.62,34.78,34.62,34.78,2134
434,34.82,34.83,34.61,34.63,1504
435,34.8605,35,34.83,34.94,2824
436,34.8325,34.925,34.82,34.87,1400
437,34.725,34.8225,34.7,34.8225,2100
438,34.59,34.65,34.56,34.61,1600
439,34.6099,34.6099,34.5,34.57,1700
440,34.445,34.61,34.445,34.55,1700
441,34.445,34.48,34.43,34.45,1759
442,34.3701,34.5,34.3701,34.44,3175
443,34.3925,34.3925,34.26,34.35,2900
444,34.36,34.41,34.3,34.35,2700
445,34.285,34.355,34.285,34.33,600
446,34.22,34.33,34.1678,34.24,5000
447,34.18,34.25,34.17,34.21,4304
448,34.25,34.27,34.2,34.2,700
449,34.2,34.25,34.2,34.24,1600
450,34.2,34.29,34.2,34.26,1091
451,34.18,34.23,34.1401,34.23,1200
452,34.24,34.24,34.13,34.16,1500
453,34.229,34.24,34.19,34.225,1556
454,34.24,34.28,34.22,34.22,900
455,34.24,34.28,34.24,34.24,665
456,34.2201,34.25,34.2201,34.2463,800
457,34.19,34.28,34.19,34.25,1700
458,34.14,34.21,34.14,34.21,2100
459,34.11,34.15,34.1,34.13,1036
460,34.1,34.18,34.1,34.11,2100
461,34.095,34.095,34.0001,34.05,7481
462,34.04,34.12,34.04,34.12,3108
463,33.97,34.07,33.97,34.05,3174
464,33.94,34,33.85,34,5765
465,33.9074,33.97,33.9074,33.96,3100
466,33.99,33.991,33.92,33.92,3214
467,33.98,34.02,33.97,33.97,3983
468,33.92,33.99,33.92,33.99,8654
469,33.93,33.96,33.89,33.92,10895
470,33.93,33.965,33.9,33.925,8177
471,33.78,33.97,33.77,33.9101,90180
864,33.98,33.98,33.98,33.98,1599
865,33.93,33.985,33.82,33.89,8541
866,33.88,34.07,33.88,34.04,3000
867,33.755,33.9,33.755,33.87,3652
868,33.62,33.76,33.62,33.71,5693
869,33.77,33.81,33.58,33.59,1905
870,33.77,33.78,33.7,33.76,1800
871,33.87,33.94,33.77,33.77,1700
872,33.88,33.89,33.835,33.87,4304
873,33.8,33.86,33.78,33.86,1600
874,33.88,33.88,33.83,33.83,1600
875,33.89,33.92,33.89,33.92,1220
876,33.88,33.91,33.85,33.905,1600
877,33.91,33.91,33.83,33.87,1400
878,34,34.01,33.93,33.94,1891
879,34.06,34.06,34.01,34.035,1318
880,34.14,34.14,34.06,34.06,1300
881,34.14,34.14,34.1,34.135,1317
882,34.06,34.11,34.06,34.11,700
883,34.02,34.05,34.02,34.05,700
884,33.97,34.05,33.96,34.02,2900
885,33.94,33.97,33.71,33.97,8025
886,33.94,33.97,33.87,33.92,2564
887,33.9978,34.0399,33.88,33.9,5654
888,34.02,34.05,34.01,34.01,2979
889,34.07,34.13,34.0501,34.07,2000
890,34.17,34.18,34.05,34.05,1800
891,34.21,34.21,34.141,34.15,600
892,34.26,34.29,34.22,34.22,3216
893,34.24,34.27,34.21,34.21,1562
894,34.13,34.26,34.13,34.25,2304
895,34.06,34.08,34.011,34.08,3445
