EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,39.86,39.86,39.86,39.86,141
4,40.11,40.11,40.11,40.11,1000
10,40.11,40.11,40.11,40.11,715
11,40.11,40.11,40.11,40.11,900
13,40.11,40.11,40.11,40.11,700
15,40.1,40.1,40.0679,40.0679,1100
17,40.11,40.11,40.11,40.11,300
18,40.54,40.54,40.18,40.18,1423
20,40.62,40.62,40.62,40.62,100
23,40.59,40.64,40.59,40.64,400
29,40.97,40.97,40.88,40.88,500
35,41.03,41.03,41.03,41.03,100
37,40.9,40.9,40.9,40.9,100
38,40.06,40.06,40.06,40.06,100
39,40.55,40.63,40.48,40.63,1734
144,40.44,40.44,40.44,40.44,808
156,40.57,40.92,40.56,40.92,1000
157,40.92,40.92,40.65,40.92,600
158,40.85,40.85,40.85,40.85,100
159,40.85,40.85,40.65,40.84,400
160,40.65,40.86,40.65,40.86,300
161,40.88,40.88,40.65,40.88,545
162,40.85,40.92,40.76,40.88,3134
164,40.81,40.92,40.81,40.92,300
165,40.82,40.92,40.82,40.92,600
166,40.83,40.92,40.83,40.9,400
167,40.91,40.91,40.91,40.91,100
168,40.81,40.92,40.81,40.92,300
172,40.7398,40.86,40.727,40.727,1832
174,40.88,40.88,40.88,40.88,100
176,40.87,40.87,40.77,40.77,200
177,40.9,40.9,40.9,40.9,100
178,40.79,40.91,40.79,40.91,200
180,40.89,40.89,40.89,40.89,200
181,40.81,40.81,40.68,40.81,300
183,40.8,40.91,40.69,40.91,5237
299,41.08,41.08,41.08,41.08,100
302,40.81,40.81,40.81,40.81,235
303,40.9,40.9,40.9,40.9,100
305,41,41,41,41,100
320,40.5748,40.5748,40.5748,40.5748,100
326,40.91,40.91,40.91,40.91,100
327,40.82,41,40.68,41,1858
447,40.23,40.23,40.23,40.23,100
468,40.315,40.315,40.315,40.315,100
471,40.55,40.55,40.23,40.36,2060
896,39.52,40.01,39.52,39.81,1400
901,39.54,39.6,39.54,39.57,300
903,39.9,39.9,39.61,39.61,1210
a1493731800,39.7,39.7,39.7,39.7,421
1,41.09,41.09,41.09,41.09,100
5,38.97,38.97,38.94,38.94,302
12,38.79,38.79,38.79,38.79,100
19,39.16,39.16,38.79,38.8,300
21,39.54,39.54,39.54,39.54,100
31,39.54,39.54,39.54,39.54,100
32,38.55,38.55,38.55,38.55,100
36,39.49,39.49,39.49,39.49,100
37,39.3187,39.3187,39.3187,39.3187,500
38,39.5399,39.5399,39.5399,39.5399,160
39,39.01,39.495,39.01,39.495,1112
144,38.95,38.95,38.95,38.95,134
148,38.96,38.96,38.96,38.96,400
156,39.05,39.05,39.05,39.05,100
158,39.39,39.39,39.39,39.39,100
183,38.67,38.89,38.67,38.89,2118
306,38.97,38.97,38.97,38.97,200
327,38.21,38.21,38.21,38.21,891
468,38.21,38.505,38.2,38.2,400
471,38.18,38.665,38,38.665,1275
864,38.18,38.18,38.18,38.18,125
869,37.57,37.58,37.54,37.58,400
873,37.58,37.58,37.58,37.58,100
876,37.56,37.56,37.56,37.56,100
881,37.57,37.57,37.57,37.57,100
888,37.53,37.53,37.53,37.53,100
899,37.38,37.38,37.38,37.38,100
901,36.52,36.63,36.04,36.63,800
902,36.53,36.57,36.5,36.5,2300
903,36.69,36.69,36.5,36.53,1603
a1494336600,36.99,36.99,36.99,36.99,103
6,39.25,39.25,39.25,39.25,300
7,38.25,38.77,38.03,38.03,300
8,38.35,38.35,38.35,38.35,100
9,38.41,38.41,38.41,38.41,100
11,38.92,38.92,38.92,38.92,100
14,38.35,38.39,38.35,38.39,400
15,38.87,38.87,38.87,38.87,100
16,38.38,38.38,38.36,38.36,200
24,38.725,38.725,38.725,38.725,100
27,38.36,38.36,38.36,38.36,100
34,38.66,38.76,38.66,38.76,300
35,38.66,38.66,38.66,38.66,200
39,38.68,38.68,38.03,38.03,419
173,38.29,38.29,38.29,38.29,100
178,38.32,38.32,38.32,38.32,800
179,38.29,38.32,38.29,38.32,800
180,38.06,38.285,38.06,38.275,607
181,38.18,38.28,38.18,38.28,1000
182,38.02,38.02,38.02,38.02,100
183,38.43,38.72,38.3,38.39,3533
292,37.95,37.95,37.95,37.95,295
293,38.5,38.5,38.49,38.49,336
299,38.81,38.81,38.81,38.81,100
300,38.5,38.5678,38.5,38.51,2252
301,38,38.5,38,38.5,1663
308,38,38.36,38,38.36,523
310,38.35,38.35,38.35,38.35,100
311,38.36,38.36,38.36,38.36,100
312,38.225,38.225,38.225,38.225,100
313,38.02,38.02,38.02,38.02,100
324,38.125,38.125,38.125,38.125,100
325,38.74,38.74,38.68,38.68,500
326,38.95,38.95,38.95,38.95,100
327,38.71,38.75,38.51,38.73,1262
471,38.49,39.17,38.49,39.17,1013
889,38.17,38.17,37.62,37.62,200
890,38.66,38.72,38.4,38.4,2200
891,38.7,39.26,38.67,39.26,600
896,38.85,38.85,38.85,38.85,100
897,38.88,38.88,38.88,38.88,100
899,38.71,38.71,38.71,38.71,100
900,38.74,38.74,38.74,38.74,100
901,38.31,38.31,38.31,38.31,100
903,38.42,38.725,38.42,38.44,1201
a1494941400,38.48,38.48,38.48,38.48,100
21,37.275,37.275,37.275,37.275,100
26,38.625,38.625,38.625,38.625,100
27,37.755,37.755,37.59,37.59,200
30,38.1,38.58,38.1,38.42,326
31,38.42,38.42,38.26,38.26,200
33,37.57,37.57,37.57,37.57,100
38,38.28,38.28,38.28,38.28,264
39,38.2,38.2,38.01,38.01,1634
144,37.73,37.73,37.73,37.73,146
154,37.87,37.87,37.85,37.85,200
164,37.32,37.32,37.32,37.32,100
166,37.5307,37.545,37.5307,37.545,200
167,37.34,37.34,37.34,37.34,200
168,37.545,37.7,37.5305,37.5305,400
171,37.68,37.68,37.68,37.68,100
172,37.76,37.76,37.71,37.71,300
173,38.35,38.35,37.99,37.99,300
181,38.5925,38.5925,37.8042,38.45,1017
182,38.51,38.51,37.55,38.2,300
183,37.86,38.385,37.5,37.62,3606
293,37.23,37.23,37.23,37.23,100
303,40.935,40.935,40.935,40.935,100
304,38.77,38.77,38.77,38.77,100
305,38.63,38.73,38.63,38.73,200
306,38.12,38.35,38.1,38.28,901
307,38.15,38.15,38.15,38.15,100
308,38.39,38.44,38.39,38.44,200
310,38.55,38.55,38.55,38.55,100
324,38.1,38.1,38.1,38.1,100
327,37.92,38.52,37.52,38.38,2083
432,37.94,37.94,37.94,37.94,1525
433,37.25,37.25,37.25,37.25,102
434,37.95,37.97,37.95,37.97,800
435,38.15,38.15,38.15,38.15,200
444,38,38,37.7,37.7,800
445,38.1,38.34,38.1,38.34,514
449,38,38,38,38,200
450,37.98,37.98,37.98,37.98,191
451,37.76,37.95,37.65,37.95,601
452,37.8,37.8,37.75,37.75,200
459,38.255,38.255,38.255,38.255,100
467,37.965,37.965,37,37.33,1100
468,37.21,37.21,37.21,37.21,200
470,37.5,37.95,37,37.95,5141
471,37.59,37.86,37.49,37.51,5733
868,37.87,37.87,37.87,37.87,100
873,37.05,37.05,37.05,37.05,100
874,37.7,37.78,37.5,37.5,1500
875,37.79,37.79,37.79,37.79,100
879,38,38,38,38,1639
891,38,38,38,38,100
894,38,38,38,38,100
896,37.81,37.81,37.81,37.81,100
903,38.18,38.21,37.87,38.21,1278
a1495546200,38.33,38.33,38.33,38.33,138
4,38.85,38.85,38.85,38.85,100
9,38.95,38.95,38.95,38.95,100
19,38.57,38.58,38.57,38.58,200
24,38.57,38.57,38.57,38.57,100
28,38.215,38.27,38.215,38.27,500
29,38.25,38.25,38,38,200
31,38.34,38.34,38.25,38.25,800
32,38.25,38.25,38.25,38.25,100
35,38.25,38.25,38.25,38.25,100
36,38.25,38.25,38.25,38.25,100
37,38.31,38.54,38.31,38.54,200
38,38.29,38.29,38.29,38.29,100
39,38.39,38.43,38.25,38.25,1373
152,38.16,38.16,38.08,38.1,600
153,38.35,38.55,38.35,38.55,700
154,38.7,38.7,38.7,38.7,100
155,38.36,38.36,38.36,38.36,100
159,38.8,38.8,38.8,38.8,100
165,38.75,38.75,38.75,38.75,100
