EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127000,30.6,30.6,30.25,30.25,8860
1,30.95,31.45,30.5,30.75,37814
2,30.7,31.3,30.7,30.9514,34228
3,30.75,30.85,30.6,30.7541,25816
4,30.9998,31.15,30.65,30.65,9213
5,30.6,31.05,30.6,31.05,14217
6,30.5,30.6388,30.4,30.6388,32734
7,30.5,30.55,30.45,30.55,16304
8,30.1,30.55,30.05,30.5101,28862
9,30.15,30.2,30.05,30.15,13520
10,30.1,30.2,30.1,30.15,9390
11,30.2,30.25,30.05,30.1,9728
12,30.45,30.55,30.2,30.2,11983
13,30.575,30.7,30.3,30.4167,16777
14,30.35,30.55,30.35,30.55,19588
15,30.55,30.55,30.3,30.4,9405
16,30.4,30.55,30.35,30.4666,10994
17,30.525,30.55,30.35,30.4,7150
18,30.5,30.5,30.4,30.5,5442
19,30.45,30.55,30.4,30.45,5900
20,30.5,30.55,30.4,30.4,4812
21,30.4,30.5,30.305,30.5,11233
22,30.7,30.7,30.35,30.35,24400
23,30.75,30.825,30.65,30.7,20765
24,30.8,30.95,30.75,30.8,15141
25,30.9,30.975,30.8,30.8,24116
26,30.95,31,30.9,30.9,25662
27,30.95,31,30.95,30.975,9141
28,31.015,31.05,30.95,30.95,15382
29,31.05,31.15,31,31,19365
30,30.83,31.05,30.8,31.05,9683
31,30.8,30.85,30.75,30.7836,6461
32,30.65,30.8,30.65,30.8,3600
33,30.6266,30.75,30.625,30.675,12637
34,30.8,30.8,30.625,30.625,6600
35,30.7,30.8,30.7,30.8,11667
36,30.65,30.75,30.65,30.7,15350
37,30.725,30.75,30.65,30.675,14865
38,30.8,30.8,30.7,30.75,12990
39,30.5,30.8,30.45,30.8,115842
144,30.35,30.35,30.35,30.35,7756
145,30.4,30.6,30.1153,30.1153,14188
146,30.6,30.6,30.396,30.4,6308
147,30.6,30.7,30.5,30.6,6708
148,30.45,30.55,30.35,30.55,8623
149,30.15,30.5,30.15,30.4,19153
150,30.15,30.25,30.1,30.15,10252
151,30.25,30.3,30.1,30.25,5400
152,30.4,30.45,30.25,30.3,11600
153,30.45,30.55,30.35,30.35,27418
154,30.2,30.5,30.15,30.5,5467
155,30.15,30.3,30.15,30.2,9812
156,30.2,30.3,30.1,30.15,13710
157,30.2,30.266,30.15,30.2,15334
158,30.15,30.3,30.15,30.27,10307
159,30.2,30.25,30.15,30.15,5481
160,30.2,30.2,30.15,30.2,2700
161,30.1,30.25,30.1,30.25,11544
162,30.1,30.15,30,30.15,4996
163,29.85,30.1,29.85,30.1,12455
164,29.9,29.9215,29.775,29.9061,25066
165,29.6,29.9,29.575,29.85,8177
166,29.6004,29.625,29.575,29.6,4070
167,29.6,29.6,29.541,29.6,4353
168,29.55,29.65,29.524,29.6,8900
169,29.75,29.75,29.55,29.55,17760
170,29.7,29.8311,29.65,29.75,4729
171,29.7504,29.7591,29.7,29.7,4790
172,29.6,29.75,29.6,29.75,6000
173,29.65,29.7,29.65,29.65,2350
174,29.6,29.75,29.55,29.7,10130
175,29.6,29.7,29.6,29.65,11863
176,29.65,29.7,29.575,29.625,9440
177,29.875,29.95,29.7,29.7,12507
178,29.95,30,29.85,29.875,9698
179,29.95,30,29.9,29.95,6719
180,29.95,30,29.9161,29.95,10252
181,29.925,30.05,29.9,30,15331
182,29.8,29.9,29.7671,29.9,11643
183,29.7,29.8,29.65,29.8,51196
288,29.75,29.75,29.75,29.75,2309
289,29.4491,29.85,29.405,29.8,7295
290,29.5,29.7,29.4,29.4491,4914
291,29.3,29.65,29.2,29.45,4761
292,29.2,29.4,29.15,29.4,5387
293,29.5,29.5,29.15,29.2,8700
294,29.6,29.6,29.35,29.4599,9243
295,29.7,29.8,29.55,29.65,3900
296,29.65,29.75,29.65,29.7,2800
297,29.6,29.75,29.6,29.605,5250
298,29.8,29.85,29.7,29.7,17200
299,30.05,30.05,29.85,29.85,3265
300,29.8,30.05,29.8,30,7000
301,29.75,29.85,29.65,29.75,5939
302,29.75,29.85,29.75,29.75,2901
303,29.75,29.85,29.7,29.75,1203
304,29.65,29.8,29.65,29.8,3138
305,29.625,29.75,29.625,29.75,2500
306,29.55,29.65,29.55,29.6,1400
307,29.555,29.65,29.55,29.55,3500
308,29.7,29.7,29.575,29.6,7300
309,29.8,29.8,29.6,29.7,4883
310,29.8,29.85,29.7,29.7054,4800
311,29.85,29.85,29.7332,29.8,1500
312,29.85,29.9,29.8,29.825,5805
313,29.75,29.825,29.75,29.825,4300
314,29.85,29.85,29.75,29.75,3693
315,29.65,29.825,29.65,29.825,5100
316,29.65,29.75,29.6,29.65,3200
317,29.6,29.6,29.5,29.6,3600
318,29.4619,29.6,29.4619,29.55,8021
319,29.6,29.6,29.5,29.5,3600
320,29.6,29.6,29.5,29.55,5918
321,29.5,29.6,29.475,29.6,7205
322,29.375,29.5,29.375,29.5,6909
323,29.325,29.4,29.2817,29.4,8246
324,29.375,29.375,29.3,29.3,7037
325,29.175,29.4,29.175,29.35,12309
326,29.4,29.4,29.15,29.15,10746
327,29.45,29.45,29.3,29.425,53328
432,29.55,29.55,29.55,29.55,2731
433,29.35,29.95,29.3,29.55,11417
434,29.1,29.35,29.1,29.337,11962
435,29.05,29.241,28.85,29.15,19253
436,29.05,29.25,29,29,10302
437,28.95,29.2,28.95,29.05,6521
438,28.8,28.9,28.75,28.9,9922
439,28.95,29,28.75,28.8,7046
440,28.95,28.95,28.9,28.95,5825
441,29.05,29.1,28.9,28.9,3700
442,29.095,29.15,29,29.05,4426
443,29.1,29.1042,29.05,29.1,5850
444,29.05,29.2,28.975,29.2,5520
445,29.05,29.1,29.05,29.05,4500
446,28.9612,29.055,28.95,29.055,7534
447,28.9,28.95,28.875,28.95,2800
448,29.025,29.05,28.8567,28.9,11147
449,29.25,29.2875,29.05,29.05,8177
450,29.1,29.25,29.075,29.225,5883
451,29.2,29.25,29.15,29.15,3022
452,29.15,29.2,29.15,29.2,1150
453,29.125,29.2,29.05,29.15,10740
454,29.2,29.3,29.2,29.2,5867
455,29.15,29.2,29.15,29.2,3459
456,29.15,29.2,29.075,29.15,10675
457,29.2,29.2342,29.15,29.15,2900
458,29.3,29.3,29.2,29.2,7981
459,29.3,29.3,29.2,29.25,5904
460,29.3,29.35,29.225,29.3,8343
461,29.2,29.272,29.2,29.272,9400
462,29.3,29.3,29.2,29.25,5850
463,29.25,29.3,29.2,29.3,4600
464,29.2,29.25,29.15,29.2,9754
465,29.2,29.2,29.15,29.15,4500
466,29.225,29.25,29.15,29.2,9007
467,29.225,29.3,29.175,29.2,9100
468,29.2,29.3,29.2,29.3,6700
469,29.1873,29.2,29.1,29.175,17671
470,29.1,29.175,29.0248,29.175,17643
471,28.95,29.1,28.875,29.1,89776
864,29.2,29.2,29.2,29.2,4431
865,29.4207,29.45,28.95,29.2,9231
866,29.7,29.8,29.349,29.349,22037
867,29.9,30.1,29.65,29.7,23437
868,29.995,30,29.85,29.9,6161
869,30,30,29.85,29.975,5900
870,29.9593,30,29.85,29.975,5231
871,30,30,29.95,30,4700
872,30,30.1,29.9,30,13678
873,29.9,30,29.85,30,7898
874,29.9378,30,29.9,29.9,6550
875,29.95,30,29.8998,29.95,13000
876,30.125,30.2,29.9,30,13175
877,30.15,30.2,30.1,30.15,7425
878,30.05,30.2,30.05,30.2,8700
879,30.25,30.25,30,30,8775
880,30.5,30.6,30.25,30.25,21957
881,30.85,30.85,30.5,30.55,12180
882,30.6,30.85,30.45,30.825,9723
883,30.5,30.65,30.4,30.571,7445
884,30.6,30.6,30.4,30.45,5182
885,30.5,30.6,30.425,30.6,6402
886,30.55,30.65,30.5,30.5,3156
887,30.8,30.85,30.6255,30.65,9693
888,30.8,30.8,30.7,30.7,5050
889,30.55,30.8,30.55,30.8,4557
890,30.6,30.65,30.575,30.6,6189
891,30.85,30.85,30.6,30.623,6187
892,30.75,30.85,30.7,30.85,8700
893,30.725,30.8,30.725,30.8,3455
894,30.7,30.75,30.5,30.75,10000
895,30.55,30.7,30.5,30.7,13166
