EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493127600,3.55,3.6,3.55,3.6,533
1,3.6,3.6,3.55,3.55,4652
2,3.6,3.6,3.6,3.6,1800
3,3.6,3.6,3.55,3.6,5500
4,3.6,3.6,3.55,3.55,10200
5,3.55,3.6,3.55,3.6,320
6,3.6,3.6,3.6,3.6,1400
7,3.6,3.6,3.6,3.6,6100
8,3.55,3.55,3.55,3.55,100
9,3.55,3.55,3.55,3.55,100
10,3.6,3.6,3.55,3.6,4939
11,3.55,3.55,3.55,3.55,100
12,3.6,3.6,3.55,3.55,500
13,3.55,3.55,3.55,3.55,100
14,3.55,3.6,3.55,3.6,200
15,3.6,3.6,3.55,3.55,3700
16,3.6,3.6,3.6,3.6,7300
17,3.55,3.55,3.55,3.55,100
19,3.6,3.6,3.55,3.55,3900
20,3.6,3.6,3.6,3.6,300
21,3.6,3.6082,3.6,3.6059,4900
24,3.6,3.6,3.6,3.6,100
25,3.6,3.6,3.6,3.6,100
26,3.6,3.6,3.6,3.6,300
27,3.6,3.65,3.6,3.65,200
28,3.6,3.625,3.6,3.625,5300
29,3.6,3.6,3.6,3.6,100
30,3.6,3.6,3.6,3.6,100
31,3.6,3.6,3.6,3.6,100
32,3.6,3.6,3.6,3.6,100
33,3.6,3.6,3.6,3.6,200
34,3.625,3.625,3.6,3.625,300
35,3.6,3.65,3.6,3.65,9688
36,3.6,3.6,3.6,3.6,100
37,3.65,3.65,3.6,3.6,9548
38,3.65,3.65,3.625,3.625,4592
143,3.6,3.6,3.6,3.6,100
144,3.625,3.625,3.6,3.6,5191
145,3.55,3.6,3.55,3.6,1200
146,3.55,3.575,3.55,3.55,300
147,3.6,3.6,3.6,3.6,6462
148,3.6,3.65,3.575,3.65,5900
149,3.575,3.575,3.575,3.575,100
150,3.575,3.575,3.575,3.575,100
151,3.5999,3.5999,3.575,3.575,200
152,3.575,3.575,3.575,3.575,100
153,3.575,3.575,3.575,3.575,200
154,3.6,3.6,3.575,3.5999,6300
155,3.6,3.6,3.55,3.6,3700
156,3.575,3.6,3.575,3.6,400
157,3.575,3.575,3.575,3.575,100
158,3.575,3.575,3.575,3.575,600
159,3.575,3.575,3.575,3.575,100
160,3.575,3.575,3.575,3.575,100
161,3.575,3.575,3.575,3.575,100
162,3.6,3.6,3.575,3.575,300
163,3.5999,3.6,3.5999,3.6,200
164,3.6,3.6,3.575,3.575,600
166,3.5999,3.6,3.5999,3.6,300
168,3.575,3.575,3.575,3.575,100
169,3.575,3.575,3.575,3.575,100
170,3.5999,3.5999,3.575,3.575,200
171,3.575,3.575,3.575,3.575,100
172,3.5999,3.5999,3.575,3.575,200
173,3.5999,3.5999,3.5999,3.5999,100
174,3.575,3.575,3.575,3.575,100
176,3.6,3.6,3.575,3.575,200
177,3.6,3.6,3.575,3.575,3084
178,3.6,3.6,3.575,3.5999,3900
179,3.6,3.6,3.6,3.6,300
180,3.6,3.65,3.6,3.6,1152
181,3.6,3.625,3.6,3.625,300
182,3.6,3.65,3.6,3.6,9400
287,3.6,3.6,3.6,3.6,205
288,3.625,3.625,3.625,3.625,100
289,3.65,3.65,3.625,3.65,12433
291,3.65,3.65,3.625,3.625,1800
292,3.65,3.65,3.649,3.65,723
293,3.625,3.625,3.625,3.625,100
294,3.625,3.6499,3.625,3.6499,3750
295,3.625,3.625,3.625,3.625,200
296,3.6008,3.625,3.6008,3.625,1300
297,3.625,3.625,3.625,3.625,100
298,3.625,3.625,3.625,3.625,100
299,3.65,3.65,3.625,3.625,3400
301,3.625,3.625,3.625,3.625,200
302,3.625,3.625,3.625,3.625,100
303,3.65,3.65,3.625,3.65,3500
304,3.625,3.625,3.625,3.625,100
305,3.6499,3.6499,3.625,3.625,1900
306,3.625,3.65,3.625,3.65,200
307,3.625,3.65,3.625,3.65,400
308,3.65,3.65,3.625,3.65,6200
309,3.65,3.65,3.65,3.65,800
311,3.65,3.65,3.65,3.65,1633
312,3.625,3.625,3.625,3.625,100
313,3.625,3.625,3.625,3.625,100
314,3.65,3.65,3.625,3.65,500
315,3.65,3.65,3.625,3.65,7400
316,3.65,3.65,3.65,3.65,2000
317,3.65,3.65,3.625,3.65,1700
318,3.65,3.65,3.625,3.65,6000
319,3.65,3.65,3.65,3.65,100
320,3.625,3.625,3.625,3.625,100
321,3.625,3.65,3.625,3.65,200
322,3.625,3.625,3.625,3.625,100
323,3.7,3.7,3.625,3.625,8500
324,3.65,3.65,3.65,3.65,300
325,3.65,3.65,3.65,3.65,500
326,3.65,3.65,3.65,3.65,2637
431,3.65,3.65,3.65,3.65,179
433,3.625,3.625,3.625,3.625,300
434,3.65,3.65,3.625,3.625,230
435,3.625,3.65,3.625,3.625,300
436,3.625,3.625,3.625,3.625,100
437,3.625,3.625,3.625,3.625,100
438,3.65,3.65,3.625,3.625,800
439,3.65,3.65,3.65,3.65,1500
440,3.625,3.625,3.625,3.625,100
441,3.625,3.625,3.625,3.625,200
442,3.65,3.65,3.625,3.625,7620
445,3.65,3.65,3.65,3.65,100
447,3.65,3.65,3.6,3.65,800
448,3.6,3.6,3.6,3.6,100
449,3.65,3.65,3.6,3.6,200
450,3.625,3.625,3.625,3.625,100
451,3.6,3.6,3.6,3.6,100
452,3.6,3.6,3.6,3.6,100
453,3.6379,3.6379,3.6379,3.6379,125
454,3.65,3.65,3.6,3.6,200
455,3.625,3.625,3.6,3.6,200
456,3.6,3.6,3.6,3.6,100
457,3.6,3.6,3.6,3.6,100
458,3.6,3.6,3.6,3.6,100
459,3.6,3.65,3.6,3.625,1700
460,3.625,3.65,3.625,3.65,1600
461,3.65,3.65,3.65,3.65,800
462,3.6,3.6,3.6,3.6,200
463,3.6,3.65,3.6,3.65,2000
464,3.6,3.65,3.6,3.65,1500
465,3.6,3.625,3.6,3.625,1283
466,3.6,3.6,3.6,3.6,100
467,3.6,3.6,3.6,3.6,200
468,3.6,3.625,3.6,3.6,400
469,3.625,3.65,3.6,3.6,40009
470,3.65,3.65,3.6,3.625,1946
863,3.65,3.65,3.65,3.65,415
864,3.625,3.65,3.625,3.65,200
865,3.6,3.625,3.6,3.625,4400
866,3.6,3.65,3.6,3.65,8000
867,3.625,3.65,3.6,3.625,27659
868,3.625,3.65,3.625,3.625,7500
869,3.6,3.6,3.6,3.6,100
870,3.6,3.65,3.6,3.65,200
871,3.625,3.65,3.6,3.6,1800
872,3.6,3.65,3.6,3.6,15084
873,3.6,3.6,3.6,3.6,400
874,3.625,3.625,3.6,3.625,1422
876,3.625,3.65,3.6,3.6,11925
877,3.6,3.6,3.6,3.6,100
878,3.6,3.65,3.6,3.65,400
879,3.6,3.6,3.6,3.6,200
880,3.6,3.65,3.55,3.6,12352
881,3.6,3.6,3.6,3.6,400
882,3.6,3.6,3.6,3.6,100
883,3.6,3.65,3.6,3.65,200
885,3.6,3.6,3.6,3.6,100
886,3.6,3.6,3.6,3.6,100
888,3.6,3.6,3.6,3.6,100
889,3.6,3.6,3.6,3.6,100
890,3.6,3.6,3.6,3.6,100
891,3.6,3.6,3.6,3.6,100
892,3.6,3.6,3.6,3.6,100
893,3.6,3.6,3.6,3.6,700
894,3.6,3.6,3.6,3.6,1900
895,3.55,3.6,3.55,3.6,2088
896,3.55,3.55,3.55,3.55,1800
897,3.575,3.575,3.55,3.575,3900
898,3.55,3.575,3.55,3.55,2200
899,3.5,3.55,3.5,3.55,11470
900,3.5,3.5,3.5,3.5,3200
901,3.5,3.5,3.5,3.5,5200
902,3.45,3.5499,3.45,3.5,15900
a1493731800,3.5,3.5,3.5,3.5,1147
1,3.45,3.5,3.45,3.5,558
2,3.45,3.45,3.45,3.45,100
3,3.45,3.45,3.45,3.45,200
4,3.45,3.45,3.45,3.45,100
5,3.45,3.45,3.45,3.45,200
6,3.45,3.45,3.45,3.45,100
7,3.45,3.45,3.45,3.45,700
8,3.475,3.475,3.45,3.45,300
9,3.45,3.45,3.45,3.45,200
10,3.45,3.45,3.45,3.45,100
11,3.45,3.45,3.45,3.45,100
12,3.45,3.45,3.45,3.45,100
