EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1493139600,96.5,96.5,96.5,96.5,100
12,97.655,97.655,97.655,97.655,100
16,97.6499,97.6499,97.6499,97.6499,200
17,97.65,97.65,97.65,97.65,100
18,97.65,97.65,97.2,97.4431,1505
130,95.55,95.55,95.55,95.55,100
142,96.0958,96.0958,96.0958,96.0958,100
278,95.4634,95.675,95.42,95.675,1105
282,96.2499,96.2499,96.1548,96.1548,600
440,96,96,96,96,100
444,95.7624,95.7624,95.7624,95.7624,200
445,95.4713,95.4713,95.4713,95.4713,150
850,95.1693,95.1693,95.01,95.01,200
856,94.3484,94.3484,93.65,93.65,400
863,93.5,93.51,93.5,93.51,200
872,95,95,94.96,94.96,400
873,95.7663,95.7663,95.29,95.29,400
874,95.5062,95.5062,95.28,95.28,492
876,95.7263,95.75,95.7263,95.75,367
877,95.75,95.75,95.75,95.75,100
882,99.49,99.49,99.49,99.49,100
987,98.49,98.49,98.49,98.49,216
a1493752800,95.2,95.2,95.2,95.2,100
3,95.5,95.5,95.5,95.5,150
4,95.5,95.5,95.5,95.5,150
124,95.5663,95.5663,95.5663,95.5663,475
128,94.5125,94.5945,94.5,94.5945,1400
140,94.51,95.75,94.51,95.75,400
278,94.0578,94.4678,93.59,94.4678,600
280,94.1278,94.1278,93.59,93.59,400
289,93.55,93.55,93.55,93.55,300
988,98.5,98.5,98.5,98.5,100
994,98.7651,98.7651,98.5,98.7503,700
995,98.5,98.5,98.5,98.5,670
a1494358800,97.37,97.37,97.37,97.37,100
108,96.1,96.1,96.1,96.1,100
109,96.1,96.325,96.1,96.325,350
110,96.3369,96.3993,96.19,96.29,850
111,96.1687,96.1687,96.1687,96.1687,400
112,96.2399,96.2399,96.21,96.21,200
113,96.1,96.1,96.1,96.1,400
114,96.1,96.3178,96.1,96.3178,465
132,95.5,95.5,95.5,95.5,100
254,96,96,96,96,200
274,96.5,96.5,96.5,96.5,100
414,96,96,96,96,100
417,96,96,96,96,100
832,95.06,95.06,94.9424,94.9424,200
850,94.84,94.84,94.84,94.84,145
a1495114200,95,95,95,95,200
1,94.479,94.479,94.479,94.479,125
14,93.465,93.465,93,93,500
20,95.2995,95.2995,95.2995,95.2995,100
34,93.97,93.97,93.97,93.97,200
35,95.369,95.369,95.369,95.369,100
36,93,93.47,93,93.47,646
160,90.31,92.04,90.31,92.04,656
163,90.31,90.31,90.31,90.31,181
183,92.75,92.75,92.75,92.75,100
737,92.75,95.9,92.75,95.9,200
739,95.9,95.9,95.9,95.9,100
751,95.4,95.4,95.4,95.4,200
755,95,95,95,95,447
756,94.52,94.52,94.42,94.42,655
757,95.9,95.9,95.9,95.9,100
900,94.9912,94.9912,94.9912,94.9912,200
a1495729200,95.475,95.475,95.475,95.475,300
22,95.1,95.1,95.1,95.1,120
128,95,95,95,95,250
165,95.602,95.602,95.602,95.602,100
707,94.375,94.375,94.375,94.375,100
708,93.5,93.5,93.5,93.5,400
714,94.5,94.5,94.5,94.5,159
725,94,94,94,94,100
a1496431200,94.256,94.256,94.256,94.256,200
574,94.4195,94.4195,94.4195,94.4195,100
692,94.4,94.4,94.4,94.4,100
693,94.86,94.86,94.7608,94.7608,260
977,92.925,93.0128,92.75,92.92,1700
979,94.2639,94.2639,94.2639,94.2639,100
990,94.25,94.25,94.25,94.25,100
a1497038400,94.5,94.5,92.75,93,400
418,94.5,94.5,94.4125,94.4125,250
422,94.75,94.75,94.5,94.5,308
423,94.9717,94.9717,94.9717,94.9717,300
429,94.8597,94.8597,94.8597,94.8597,100
715,94.85,94.85,94.85,94.85,100
825,94.12,94.12,94.12,94.12,200
835,94.5,94.5,94.5,94.5,105
850,94.7168,95,94.7168,95,200
a1497973800,94.5,94.5,94.5,94.5,215
1,93.2138,93.2138,93.2138,93.2138,200
14,93.0782,93.0782,93.0782,93.0782,200
143,93.5,94.465,93.5,94,500
154,95.907,95.907,95.907,95.907,100
164,95.1,95.1,95.1,95.1,140
305,93.0464,93.0464,93.0464,93.0464,200
441,93.5241,93.5241,93.5241,93.5241,100
452,94.2189,94.2189,94.2189,94.2189,100
850,93.31,93.31,93.31,93.31,100
a1498583400,95.9999,96,95.9999,96,232
146,95.0875,95.75,95.0875,95.75,200
286,95.5,95.5,95.5,95.5,140
416,95.1494,95.75,94.955,94.955,600
429,95.8445,95.8445,95.15,95.15,208
438,96,96,96,96,917
444,96,96,96,96,1000
445,95.7288,95.7288,95.7288,95.7288,250
446,95.871,96,95.7403,95.8,802
447,96.8,97.63,96,96,952
448,97.15,97.15,96.82,96.82,589
857,96,96,96,96,100
a1499273400,93.195,93.195,93.195,93.195,100
14,95.4722,95.4722,95.4722,95.4722,140
16,95.99,95.99,95.5145,95.99,560
